,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,6353.0303,6312.911,6281.1533,6267.4253,6354.9453,6335.2124,6261.59,6354.543,6233.843,6278.1724,6316.315,6300.0884,6308.6616,6266.6377,6312.1484,6279.006,6204.035,6322.539,6271.7803,6339.0786,6280.895,6291.658,6309.0566,6268.825,6247.6665,6335.4185,6305.8853,6297.798,6328.9863,6262.2974,6296.053
2021-11-25,6339.9463,6299.278,6267.872,6253.4746,6341.059,6322.5083,6248.275,6341.834,6221.483,6265.078,6303.0474,6286.9214,6296.22,6253.222,6298.489,6265.7554,6190.5146,6309.506,6258.4126,6326.2896,6268.605,6278.557,6296.176,6255.365,6234.073,6322.4087,6293.2466,6284.4155,6315.794,6249.085,6282.897
2021-11-26,6325.732,6284.155,6253.102,6238.0303,6325.591,6308.2188,6233.451,6328.8506,6208.059,6250.3945,6289.243,6272.1606,6283.291,6238.569,6283.673,6251.684,6175.744,6294.7783,6244.1855,6312.397,6254.9434,6264.2104,6282.1177,6240.7314,6219.9956,6307.9263,6278.8213,6270.6045,6301.5522,6234.431,6268.554
2021-11-27,6280.075,6235.1753,6210.7065,6191.7104,6276.753,6263.0957,6190.282,6281.1265,6164.8774,6209.699,6240.4707,6229.645,6234.2085,6190.876,6234.7046,6206.652,6130.485,6248.455,6195.3105,6265.2754,6214.025,6219.001,6238.0093,6195.671,6169.028,6260.351,6235.0947,6221.403,6257.5044,6192.2915,6222.732
2021-11-28,6209.5864,6161.959,6144.261,6120.33,6201.6484,6195.348,6122.8203,6217.0537,6101.2554,6144.9785,6174.128,6162.8726,6168.7666,6117.9517,6160.652,6141.2793,6062.376,6177.279,6123.2305,6192.4365,6152.732,6151.699,6170.7896,6128.2544,6097.055,6184.1826,6164.008,6149.8804,6190.807,6126.6772,6153.8774
2021-11-29,6127.9995,6075.0483,6058.448,6031.3335,6112.2686,6109.209,6036.7944,6138.6055,6028.5566,6059.0566,6091.1704,6075.722,6092.2896,6031.202,6071.9595,6061.372,5977.7827,6089.088,6043.096,6103.2715,6073.576,6071.0845,6090.729,6044.2964,6019.1123,6106.581,6079.2993,6067.1655,6108.7773,6041.8164,6070.5566
2021-11-30,6045.581,6000.671,5974.117,5946.205,6028.6123,6032.9644,5952.3696,6059.395,5957.303,5972.918,6004.26,5993.231,6016.0293,5962.689,6000.4775,5982.0464,5897.4424,6016.6377,5964.5977,6032.1685,5995.1147,5992.9414,6012.9224,5963.716,5945.4805,6035.205,6005.5474,5995.1562,6029.4937,5957.5376,5992.4277
2021-12-01,5958.913,5918.3545,5868.6963,5846.3394,5934.8545,5938.81,5851.484,5964.357,5870.9023,5863.4443,5909.4663,5887.0327,5925.728,5881.0796,5918.4897,5879.342,5801.115,5937.751,5874.0547,5949.972,5899.6387,5895.934,5912.0586,5863.234,5859.155,5951.3984,5927.3794,5907.4043,5931.14,5853.2314,5899.359
2021-12-02,5973.8955,5933.6895,5884.3438,5862.4014,5951.5024,5954.901,5867.062,5980.6816,5885.182,5878.982,5927.2207,5902.6953,5943.038,5896.7153,5934.2734,5895.9434,5816.637,5952.661,5890.323,5964.9795,5914.6885,5911.8145,5928.485,5879.328,5875.2554,5966.091,5941.608,5924.498,5946.5713,5868.7397,5915.1396
2021-12-03,5990.1987,5949.4517,5899.6074,5878.2783,5968.594,5969.898,5882.3413,5995.9473,5899.7656,5893.945,5942.267,5917.8345,5957.191,5911.206,5949.073,5911.258,5831.745,5966.8823,5907.3975,5980.954,5928.733,5927.4336,5944.1333,5894.8853,5891.5215,5983.5703,5956.8477,5939.208,5961.409,5883.752,5930.511
2021-12-04,5996.3765,5956.9844,5908.032,5886.595,5976.011,5979.6406,5890.6104,6001.8423,5905.306,5902.666,5948.6895,5927.3125,5963.386,5920.4595,5958.7026,5918.1426,5839.4614,5977.099,5913.111,5990.184,5935.8467,5934.0415,5951.1045,5902.947,5896.188,5990.4023,5964.8984,5947.476,5970.357,5891.955,5938.1934
2021-12-05,6003.7046,5962.9097,5913.875,5892.8965,5983.6562,5984.29,5896.8574,6008.986,5911.005,5908.7046,5957.4956,5932.3076,5970.279,5924.8643,5963.0366,5925.5786,5845.3438,5981.757,5919.012,5994.67,5942.267,5940.1533,5956.295,5907.881,5902.231,5994.3057,5970.3906,5953.5103,5975.7554,5898.028,5944.069
2021-12-06,6030.555,5988.6562,5943.379,5921.753,6012.853,6012.7197,5925.322,6038.793,5937.356,5938.401,5986.342,5961.686,5999.3677,5949.3813,5988.0557,5955.258,5873.4536,6004.379,5949.2886,6019.986,5968.895,5969.919,5986.758,5938.8657,5930.8965,6022.7773,5994.153,5981.414,6003.763,5927.108,5972.0513
2021-12-07,6041.3613,6004.134,5951.5933,5932.758,6025.0317,6025.573,5934.3906,6048.5767,5947.7593,5944.697,5996.3916,5970.935,6011.592,5967.182,6006.557,5964.1987,5884.107,6021.2637,5962.0654,6036.899,5976.6113,5979.972,5996.5415,5948.7793,5944.9316,6038.655,6008.945,5996.396,6014.6616,5934.8784,5983.9146
2021-12-08,6084.58,6051.2046,5988.6177,5974.773,6072.3784,6066.014,5973.1978,6087.826,5985.2036,5979.3604,6038.839,6008.1636,6049.8027,6012.051,6053.935,6004.005,5924.0605,6067.493,6004.647,6083.4126,6011.6484,6018.849,6033.21,5986.314,5987.726,6084.504,6054.299,6041.579,6053.706,5971.422,6025.0938
2021-12-09,6164.515,6132.699,6071.8564,6060.2056,6159.1787,6148.761,6056.2783,6165.5576,6058.737,6062.83,6121.8237,6092.253,6126.324,6091.139,6133.6025,6083.567,6005.419,6146.7827,6086.1753,6164.7217,6088.558,6100.06,6112.2734,6069.5317,6064.737,6162.5527,6133.8506,6122.1685,6132.9795,6053.8066,6105.765
2021-12-10,6232.923,6199.1006,6145.207,6133.978,6232.065,6218.544,6128.942,6233.5933,6119.902,6137.8535,6194.312,6164.116,6192.62,6153.7334,6195.9336,6150.766,6075.6655,6211.1724,6152.541,6229.1416,6156.3306,6168.32,6180.102,6139.9316,6129.491,6224.037,6197.418,6185.751,6200.718,6126.72,6173.698
2021-12-11,6281.9478,6241.931,6201.0815,6188.2134,6282.6987,6264.3164,6183.5503,6284.095,6165.83,6196.3174,6246.7866,6219.7812,6242.8047,6196.5244,6241.1587,6201.7393,6127.4385,6254.609,6199.7407,6271.1714,6207.8193,6218.1006,6232.756,6192.068,6176.265,6267.514,6238.5933,6230.8154,6252.676,6182.6777,6223.0347
2021-12-12,6303.682,6261.093,6231.7485,6215.119,6301.573,6286.6196,6211.7373,6307.6963,6188.105,6229.482,6266.7705,6251.2974,6262.2188,6216.5864,6261.5435,6231.055,6153.7227,6272.723,6222.7256,6290.3975,6235.011,6242.974,6261.753,6218.9126,6197.847,6286.2607,6258.096,6248.948,6280.6064,6213.192,6246.9834
2021-12-13,6270.915,6228.244,6197.5293,6180.02,6268.0093,6254.927,6177.702,6276.222,6157.6567,6195.106,6234.4688,6217.247,6231.6562,6184.4634,6228.7607,6198.3413,6119.9907,6240.889,6190.134,6259.503,6203.433,6210.485,6229.0684,6185.2695,6165.2866,6255.1885,6227.3403,6217.716,6247.586,6179.1533,6214.41
2021-12-14,6237.522,6194.124,6162.9604,6144.3237,6233.352,6222.1978,6143.2197,6243.976,6126.825,6160.552,6201.033,6182.97,6199.5806,6151.4575,6195.352,6165.149,6085.7295,6208.043,6156.9575,6227.2803,6171.5093,6177.3667,6195.9062,6151.1367,6131.6934,6223.4404,6195.1924,6184.8945,6214.2905,6144.839,6181.095
2021-12-15,6207.1357,6163.854,6130.996,6111.5625,6201.587,6192.4785,6111.3154,6214.8315,6098.973,6128.3003,6170.13,6151.0806,6171.256,6121.965,6165.1714,6135.181,6054.535,6178.2456,6126.8237,6197.093,6141.924,6147.5537,6165.577,6120.07,6101.865,6194.8584,6165.9146,6156.062,6184.144,6113.1,6150.786
2021-12-16,6178.287,6136.0845,6099.098,6079.7617,6171.605,6163.8994,6079.8823,6185.493,6072.244,6095.5986,6140.0674,6118.9766,6144.25,6094.426,6137.148,6105.3843,6024.1367,6151.017,6097.559,6168.92,6112.538,6118.706,6135.8784,6089.6226,6074.216,6168.498,6138.15,6129.174,6154.3594,6081.3633,6121.545
2021-12-17,6163.678,6124.014,6081.455,6063.278,6156.4937,6150.1406,6062.922,6170.5347,6058.607,6076.776,6125.034,6101.507,6130.494,6082.4863,6124.929,6089.516,6008.504,6138.45,6083.5566,6157.3735,6096.4316,6104.0977,6119.3574,6073.8247,6061.079,6155.9854,6125.359,6117.664,6138.4707,6063.748,6106.859
2021-12-18,6167.491,6128.8613,6081.904,6065.4897,6159.9385,6152.9507,6064.178,6172.032,6061.4487,6076.1553,6127.96,6101.8228,6132.9077,6086.9697,6129.9824,6090.9,6010.5273,6143.2285,6087.4478,6160.883,6097.1675,6105.801,6120.877,6075.6187,6065.271,6160.993,6130.353,6121.7476,6139.9717,6064.129,6109.5
2021-12-19,6183.0713,6145.767,6098.7334,6082.7896,6177.802,6169.505,6080.9805,6186.9985,6075.551,6093.123,6143.6704,6119.05,6147.797,6103.268,6145.8164,6105.921,6026.904,6159.4043,6102.8955,6178.7524,6112.703,6121.785,6136.177,6091.846,6080.157,6175.591,6147.0474,6137.333,6155.3115,6080.741,6125.549
2021-12-20,6191.239,6151.43,6108.269,6091.9214,6185.3433,6176.0747,6090.4736,6195.213,6082.3853,6103.5312,6153.19,6127.998,6154.5884,6108.501,6151.2637,6113.252,6035.297,6166.098,6110.4297,6184.233,6121.71,6128.8833,6144.285,6100.2734,6086.784,6179.784,6154.566,6143.025,6163.192,6090.3936,6133.12
2021-12-21,6194.2104,6151.0005,6116.176,6097.1943,6188.29,6178.872,6097.102,6200.7715,6086.271,6113.173,6157.291,6136.1826,6158.516,6109.0635,6152.0005,6119.9897,6040.4385,6166.4106,6113.2075,6184.2827,6128.546,6133.6284,6150.6934,6105.8203,6088.3735,6181.133,6153.934,6143.594,6169.587,6098.4062,6137.1387
2021-12-22,6187.821,6145.4937,6108.762,6089.722,6181.2236,6173.338,6089.4263,6196.9336,6081.3584,6105.0747,6151.3066,6128.467,6153.835,6103.958,6147.2935,6116.0015,6034.043,6159.474,6108.1113,6177.9087,6121.4297,6128.2573,6145.0146,6099.6426,6084.0054,6178.026,6146.5283,6139.912,6164.434,6091.001,6131.26
2021-12-23,6186.719,6149.2837,6102.0015,6086.074,6181.6934,6172.628,6083.898,6192.303,6080.709,6095.8,6147.673,6121.7637,6152.58,6107.299,6150.209,6112.6714,6030.701,6161.1567,6108.372,6179.872,6115.418,6126.695,6141.306,6095.877,6085.8115,6182.9727,6148.827,6142.46,6160.77,6083.9507,6129.5835
2021-12-24,6217.938,6187.764,6130.198,6119.009,6218.6294,6205.546,6113.659,6222.1196,6109.136,6121.624,6180.1416,6150.095,6180.664,6144.5205,6187.2153,6139.811,6062.216,6198.6367,6141.1006,6219.326,6142.018,6156.601,6167.7446,6126.6523,6119.2915,6215.9756,6185.2905,6179.2734,6188.8545,6111.6006,6161.422
2021-12-25,6282.3647,6251.163,6194.0225,6186.722,6286.228,6266.8203,6178.7256,6283.392,6166.8633,6185.0996,6247.241,6212.81,6239.98,6206.293,6250.207,6200.2466,6126.414,6262.83,6203.9785,6279.613,6201.879,6217.7485,6228.139,6190.329,6181.575,6274.592,6246.9863,6238.726,6250.157,6175.1997,6223.878
2021-12-26,6373.5317,6338.418,6295.8647,6287.7393,6382.4985,6357.414,6278.4526,6376.1436,6252.2695,6289.6763,6341.627,6313.8784,6328.8076,6291.752,6336.704,6295.4707,6223.5923,6347.3545,6293.051,6367.8555,6295.2603,6311.7505,6323.7017,6287.528,6271.1113,6360.064,6330.4453,6323.726,6345.589,6276.597,6316.5947
2021-12-27,6422.376,6384.4463,6349.5815,6341.5815,6428.4106,6403.3164,6331.5483,6419.874,6298.238,6344.9185,6387.6743,6367.16,6375.475,6337.538,6382.0063,6344.378,6275.2427,6393.622,6338.4854,6408.7515,6344.9136,6360.5205,6374.4663,6339.1177,6319.1797,6403.9937,6373.9004,6368.8276,6396.388,6330.43,6364.8794
2021-12-28,6463.0854,6423.7427,6396.6763,6387.303,6465.6855,6442.235,6377.064,6458.5796,6337.0664,6393.7104,6424.5483,6414.409,6412.3193,6376.617,6420.5996,6389.3687,6319.672,6431.3823,6379.056,6444.915,6387.757,6402.857,6419.073,6383.655,6359.6597,6439.2188,6411.5884,6405.6636,6440.8013,6377.424,6406.1904
