,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,3019.838,2974.6868,2997.906,2928.1067,2967.2358,2993.875,2968.7615,2972.4084,2954.5752,2923.0847,3001.81,2979.569,3003.2854,2972.8047,3008.263,3014.3862,2962.9858,3000.1504,2983.0466,3007.0315,2968.789,2993.1375,2987.4436,2948.9707,2956.493,3005.8936,3013.9688,3005.2598,2988.6772,2958.3682,2982.027
2000-01-10,3015.989,2972.655,2992.1643,2926.946,2963.48,2991.5247,2965.1094,2968.6763,2951.2515,2919.5977,2998.6587,2974.0232,3000.901,2970.171,3008.0847,3011.2385,2959.2263,2997.6313,2983.0632,3004.0747,2964.1548,2989.3079,2985.1924,2945.2815,2955.2173,3001.823,3011.1123,3003.0618,2983.1448,2953.342,2978.8704
2000-01-11,3034.7512,2992.355,3010.2417,2947.4556,2983.3206,3011.4595,2985.6516,2987.2966,2969.95,2937.6228,3018.3608,2991.7617,3020.5405,2990.1113,3028.8887,3029.3208,2978.268,3016.7607,3003.162,3022.5366,2982.592,3007.0476,3004.4924,2964.331,2975.4517,3020.4927,3029.303,3022.8198,3001.9526,2971.676,2997.9993
2000-01-12,3063.1387,3021.286,3038.5789,2976.8594,3013.31,3040.8535,3016.5913,3015.5322,2998.1104,2964.859,3047.7317,3019.4832,3049.6016,3019.813,3058.8123,3056.527,3007.1362,3045.2156,3031.9773,3050.2131,3010.9548,3034.0977,3032.9802,2992.7927,3004.872,3048.923,3056.5342,3052.0222,3031.2017,3000.0366,3026.6682
2000-01-13,3095.049,3053.4792,3071.067,3009.4858,3047.2532,3072.4468,3051.5583,3047.4434,3029.7764,2995.601,3080.861,3051.2678,3081.4697,3053.1365,3091.8794,3087.179,3039.8677,3077.1665,3063.82,3081.4038,3043.2563,3064.7686,3064.9836,3024.4702,3037.4294,3081.2031,3087.2412,3084.7698,3064.668,3032.4636,3058.8823
2000-01-14,3121.7434,3079.5671,3098.6357,3035.8367,3075.5808,3098.4026,3080.6611,3073.8657,3055.9177,3021.3022,3108.1726,3078.374,3107.299,3080.8247,3118.8406,3112.5925,3067.061,3102.8892,3089.0356,3107.3413,3070.305,3090.3892,3091.627,3050.7307,3063.5652,3108.2827,3112.6243,3111.5361,3093.2068,3059.411,3085.5205
2000-01-15,3143.445,3100.3022,3120.8464,3056.415,3098.474,3118.8528,3104.0945,3095.018,3076.7832,3042.025,3130.558,3100.5715,3127.8525,3101.908,3140.135,3133.2585,3089.1416,3123.8562,3109.0308,3128.2268,3092.2483,3111.3743,3112.5977,3072.0815,3084.3284,3130.2163,3132.9673,3132.8528,3116.6538,3081.5493,3106.9224
2000-01-16,3158.2522,3113.8682,3136.341,3069.9749,3113.9116,3132.102,3119.8926,3109.394,3090.9333,3055.9302,3145.51,3116.0452,3142.6304,3115.1655,3153.356,3147.0454,3104.0476,3138.0757,3121.8171,3141.9,3107.1284,3125.175,3125.935,3086.3188,3098.1636,3145.1365,3146.6836,3147.0476,3132.791,3096.5466,3121.2375
2000-01-17,3162.4646,3118.167,3140.6238,3073.9758,3118.2534,3136.799,3124.3691,3113.6587,3095.0132,3059.9724,3149.7695,3120.3137,3146.6602,3118.0571,3156.1418,3151.0,3108.2927,3142.0903,3125.5344,3145.888,3111.2783,3129.0857,3130.2427,3090.3193,3102.3123,3149.3765,3150.6868,3151.2458,3137.1665,3100.5945,3125.312
2000-01-18,3159.104,3115.8235,3136.6191,3071.8745,3115.0857,3133.9597,3121.1943,3110.4333,3092.1345,3057.055,3146.7102,3116.2476,3143.755,3117.3523,3155.9202,3148.255,3105.223,3139.323,3124.4302,3143.3005,3107.9082,3126.1445,3127.94,3087.3167,3100.1626,3146.0447,3147.984,3148.81,3133.1235,3097.0015,3122.5413
2000-01-19,3172.8542,3128.9758,3150.757,3084.8684,3129.5037,3146.9937,3135.9724,3123.8774,3105.336,3070.1233,3160.7576,3130.3384,3157.22,3129.8796,3168.5088,3161.0928,3119.0906,3152.6318,3136.9683,3156.2368,3121.6863,3139.039,3140.962,3100.6182,3113.4353,3159.9104,3160.8894,3162.3203,3147.873,3110.7854,3135.9834
2000-01-20,3169.677,3124.873,3147.9973,3080.6003,3126.0415,3143.6091,3132.347,3120.4556,3101.699,3067.046,3156.7734,3127.794,3153.2668,3126.262,3164.3865,3157.6306,3115.4836,3148.5508,3131.8582,3152.9314,3118.5542,3135.8074,3137.7192,3097.1506,3108.851,3156.8267,3157.4985,3158.299,3145.2336,3108.2017,3132.4473
2000-01-21,3155.53,3109.092,3134.913,3064.6343,3110.8735,3128.9343,3116.5042,3106.146,3087.023,3053.3145,3141.776,3115.0525,3137.0208,3110.826,3147.912,3143.5293,3100.607,3133.0334,3114.5847,3138.7568,3104.7646,3122.3645,3122.965,3083.304,3092.1565,3142.7595,3143.1575,3142.2908,3131.894,3095.671,3117.7131
