,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
797,7184.1597,7134.773,7044.0415,7139.5996,7157.922,7082.667,6894.761,7141.374,7215.939,7110.087,7181.2437,7163.6196,7103.5176,7071.1396,7164.7725,7194.356,7112.598,7132.964,7139.0396,7159.1367,7142.114,7103.526,7155.4575,7184.36,7174.534,7200.431,7086.0474,7246.033,7221.1636,7177.6914,7140.635
798,7150.361,7118.7944,7067.9243,7126.4116,7132.1646,7091.753,6858.909,7127.2754,7162.77,7030.1514,7150.2627,7133.1465,7106.2983,7070.9463,7136.3423,7156.344,7091.2485,7118.0254,7114.5825,7130.359,7120.418,7095.1772,7120.0405,7157.0425,7130.7456,7169.6196,7103.07,7202.9536,7222.977,7184.3584,7119.3496
799,7142.393,7099.737,7027.893,7106.369,7119.9478,7059.5107,6871.1396,7107.8354,7165.104,7051.0713,7140.244,7122.3804,7076.534,7044.6855,7124.241,7150.0596,7076.6724,7098.179,7101.4575,7118.61,7105.03,7072.662,7112.067,7143.7637,7128.3896,7159.138,7065.2397,7198.874,7192.6816,7171.1167,7105.101
800,7116.3057,7075.1836,7009.824,7082.644,7095.151,7039.031,6859.9395,7084.0674,7135.956,7021.1665,7114.1504,7095.9976,7054.358,7023.583,7097.9854,7122.8623,7052.562,7073.603,7076.6807,7092.432,7080.0703,7049.7837,7085.0327,7117.2134,7100.9497,7132.7812,7044.9316,7170.483,7169.524,7164.405,7081.2896
801,7094.28,7052.514,6988.769,7060.4565,7073.43,7017.3687,6853.072,7061.9517,7113.237,7000.972,7091.7686,7073.2686,7031.7695,7002.4375,7075.1313,7100.2407,7030.991,7050.7817,7054.8125,7069.7,7057.692,7027.8496,7062.255,7093.929,7078.7837,7110.1177,7022.4746,7147.287,7146.072,7156.836,7060.0083
802,7086.472,7062.991,7036.61,7073.0996,7073.181,7051.339,6825.566,7073.6377,7087.166,6945.636,7087.11,7069.5493,7060.597,7026.6978,7073.5737,7088.978,7034.901,7062.4644,7055.987,7067.6577,7062.198,7044.979,7053.733,7093.9487,7061.2837,7105.972,7065.1846,7131.6963,7174.9644,7172.1606,7063.645
803,7125.835,7120.7217,7125.6797,7131.8286,7118.8984,7128.792,6814.4404,7131.322,7111.0093,6936.893,7130.1724,7114.206,7135.2373,7094.0293,7120.4844,7126.3765,7084.1987,7121.637,7103.3506,7113.8765,7113.7627,7107.3193,7093.997,7143.258,7091.9043,7150.0977,7152.459,7166.305,7251.501,7202.2534,7112.062
804,7205.757,7214.4795,7236.3276,7224.9844,7202.2188,7233.1445,6823.341,7223.6304,7182.3325,6980.3677,7213.3975,7199.386,7240.0264,7190.4404,7207.429,7206.4463,7169.609,7216.7095,7188.037,7200.0874,7202.6724,7202.18,7176.313,7232.9004,7166.2153,7234.7515,7265.3877,7245.9683,7359.6997,7240.2793,7196.151
805,7270.377,7233.621,7156.4385,7237.4497,7246.9014,7189.956,6907.3213,7238.483,7295.174,7163.1406,7270.5073,7254.9673,7211.8784,7171.1553,7257.798,7281.185,7203.2617,7233.0664,7229.1904,7251.4,7236.4556,7202.7095,7244.3794,7280.03,7255.88,7291.2334,7201.5,7332.905,7333.183,7216.694,7229.941
806,7264.491,7248.1367,7212.249,7254.3115,7249.3306,7230.433,6877.633,7254.2515,7269.101,7104.2305,7268.2085,7253.717,7246.7905,7200.776,7258.93,7271.5264,7210.3403,7248.9263,7233.2285,7251.9985,7244.302,7224.4614,7237.755,7283.0166,7239.214,7289.5195,7251.8115,7318.545,7368.2715,7234.4004,7236.6636
