,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
797,7203.905,7175.371,7218.379,7151.77,7151.7256,7250.982,7179.4824,7181.4775,7217.6274,7208.278,7168.8228,7151.3945,7184.229,7243.4277,7191.8535,7124.022,7052.512,7278.0884,7109.767,7215.2446,7240.3286,7150.0625,7097.786,7239.4854,7155.376,7171.4067,7243.0146,7134.312,7168.7344,7184.7314,7181.453
798,7199.0684,7156.8584,7220.3345,7138.968,7146.749,7243.286,7170.1807,7164.416,7209.9805,7204.764,7164.2817,7149.5073,7174.0996,7238.998,7187.724,7112.9546,7049.4854,7260.361,7094.6943,7207.2925,7226.955,7142.3354,7083.037,7225.65,7146.71,7171.515,7230.572,7120.5728,7158.4214,7171.78,7172.385
799,7172.683,7140.6494,7190.2817,7118.728,7123.415,7220.081,7149.124,7146.8813,7188.2207,7177.9243,7140.147,7125.9155,7153.0737,7214.073,7160.7173,7091.655,7025.9604,7240.969,7076.6147,7184.223,7207.4956,7121.45,7065.7275,7204.7188,7125.6064,7145.5664,7207.9956,7100.2124,7136.4277,7150.2617,7150.2266
800,7148.7666,7116.873,7167.3887,7095.0654,7101.84,7197.022,7126.8467,7122.902,7166.3486,7154.415,7118.1914,7105.9365,7130.3403,7191.5527,7136.717,7068.159,7005.3813,7215.1177,7053.35,7161.1323,7184.125,7100.229,7043.2695,7179.8965,7103.6675,7124.876,7182.6855,7075.9116,7112.8228,7125.5,7127.2114
801,7125.365,7095.2793,7144.1763,7072.886,7080.793,7174.822,7105.6226,7100.9287,7145.334,7131.258,7096.713,7086.1104,7108.766,7169.494,7113.1426,7045.9365,6985.0996,7191.3516,7031.8467,7138.9355,7162.3096,7079.874,7022.5366,7156.677,7082.7144,7104.0967,7158.819,7053.2085,7090.401,7102.2437,7105.2246
802,7147.6597,7101.9976,7172.9287,7085.9043,7100.2007,7192.886,7120.981,7109.519,7162.0757,7154.5703,7117.054,7107.163,7123.7173,7190.6304,7136.336,7060.721,7005.5635,7201.366,7041.8477,7156.7603,7174.3477,7095.772,7031.9565,7169.8843,7098.3906,7128.2197,7174.16,7065.925,7106.1636,7116.3794,7121.702
803,7217.9136,7153.908,7248.762,7144.9243,7162.748,7256.631,7180.126,7163.997,7222.0957,7225.251,7181.4004,7168.6235,7183.249,7256.925,7207.7827,7121.47,7067.4814,7260.9673,7096.6177,7220.291,7231.6885,7153.6035,7084.5796,7231.2505,7157.297,7194.589,7238.943,7125.7593,7168.26,7178.737,7183.5293
804,7321.693,7240.8867,7355.691,7238.098,7255.4614,7352.972,7270.973,7253.7207,7313.11,7328.6895,7276.4434,7257.5625,7275.2793,7354.6367,7312.7407,7215.9194,7157.9927,7358.494,7185.272,7316.5615,7322.882,7241.515,7169.991,7328.4307,7247.4614,7289.252,7340.219,7220.757,7264.163,7276.8784,7278.1245
805,7312.031,7267.3667,7329.103,7249.626,7248.3447,7351.6304,7274.5967,7276.1846,7312.731,7315.9146,7267.8247,7243.8525,7280.649,7345.23,7301.142,7223.0605,7146.7104,7380.9663,7203.1636,7315.863,7336.1953,7241.947,7187.7554,7341.6265,7249.7153,7269.5923,7349.2686,7234.206,7269.21,7287.7974,7280.4434
806,7339.7183,7277.4795,7363.9014,7266.8237,7272.476,7374.424,7294.235,7288.468,7333.9287,7344.692,7293.075,7269.5967,7299.909,7371.395,7329.828,7242.2183,7171.924,7395.057,7216.904,7338.4062,7352.265,7262.113,7200.8013,7359.1147,7269.729,7298.9253,7369.3027,7251.1094,7289.5054,7306.398,7301.4565
