,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
797,7207.984,7237.4146,7183.396,7139.793,7233.9697,7216.6675,7251.2275,7074.924,7217.9146,7099.015,7101.433,7234.588,7199.023,7217.696,7186.8447,7140.459,7268.515,7153.3213,7181.8447,7156.635,7111.016,7105.8896,7127.118,7231.783,7221.5576,7237.8394,7125.36,7202.5894,7283.9175,7101.0967,7181.695
798,7194.076,7208.67,7174.652,7120.789,7230.1167,7200.0547,7233.5093,7068.51,7198.4346,7078.9478,7097.902,7220.0146,7182.6514,7217.4897,7167.2764,7125.2285,7271.4424,7136.2188,7171.684,7149.154,7095.022,7093.8022,7107.111,7227.953,7216.6206,7225.605,7119.6177,7185.5107,7268.686,7091.954,7169.2905
799,7175.3496,7196.66,7162.9355,7103.285,7203.5854,7181.089,7213.533,7046.6147,7182.244,7064.53,7081.273,7199.0757,7162.0986,7190.443,7151.2686,7105.1353,7240.76,7118.128,7150.4775,7127.4253,7080.443,7074.4507,7090.3203,7201.224,7188.9717,7203.075,7099.8657,7167.5234,7248.335,7070.5146,7149.354
800,7152.2627,7170.2964,7148.472,7078.208,7180.131,7156.0044,7187.2344,7025.3706,7157.9414,7041.3003,7065.921,7173.839,7136.1245,7168.705,7127.0547,7080.191,7217.942,7093.69,7127.601,7105.6943,7059.4536,7051.932,7065.224,7177.624,7163.9946,7177.9326,7080.7305,7143.183,7223.1816,7048.041,7126.1772
801,7130.8057,7147.3755,7135.0376,7055.381,7157.075,7132.371,7163.028,7004.8457,7135.9526,7020.457,7050.953,7150.311,7112.077,7146.9253,7105.1616,7057.037,7194.6934,7071.271,7105.9,7084.8115,7040.3555,7030.8247,7042.499,7154.4175,7139.548,7154.212,7062.24,7120.8584,7199.815,7026.615,7104.428
802,7141.9165,7145.588,7141.9683,7063.0703,7179.9434,7143.359,7173.5825,7022.2607,7142.2046,7024.804,7064.7837,7163.1714,7123.7715,7171.907,7111.2104,7068.821,7224.456,7080.357,7120.99,7101.595,7046.685,7043.3335,7049.074,7177.4785,7162.9585,7169.5996,7077.9688,7129.8574,7211.8394,7042.3936,7117.365
803,7197.6675,7192.4556,7176.8633,7118.5435,7250.0225,7201.34,7234.657,7081.9004,7194.5776,7072.9707,7109.3325,7224.9507,7185.568,7241.258,7163.1743,7128.802,7301.354,7136.2666,7180.976,7161.417,7092.9873,7099.6567,7103.291,7248.054,7236.5063,7234.137,7131.7524,7185.491,7272.4883,7102.339,7175.36
804,7287.07,7279.6094,7232.896,7211.2104,7352.9175,7295.7134,7334.414,7171.655,7283.1113,7155.878,7175.5024,7323.4995,7285.409,7340.5723,7251.125,7225.226,7409.2524,7228.168,7273.8823,7252.186,7170.324,7188.6533,7194.7656,7351.6226,7345.1665,7334.9966,7212.7046,7276.977,7369.8413,7194.249,7266.9536
805,7302.06,7330.644,7242.376,7237.7026,7341.07,7316.177,7356.443,7168.6587,7311.661,7186.9844,7170.414,7338.227,7304.189,7320.719,7279.9844,7241.9707,7380.137,7250.313,7279.204,7251.509,7192.792,7199.3774,7223.9463,7339.5757,7334.7344,7343.6504,7209.88,7299.1455,7386.383,7197.351,7277.908
806,7317.1025,7331.5693,7251.7817,7249.1577,7369.3833,7330.3105,7371.2417,7190.5884,7321.3965,7194.4463,7187.668,7355.499,7320.232,7351.2275,7289.4536,7257.988,7416.1304,7263.239,7298.7256,7272.793,7202.213,7215.914,7234.108,7368.1157,7363.8545,7363.7515,7229.7065,7311.9644,7402.6855,7217.472,7294.9907
807,7338.579,7358.4805,7265.2725,7273.2236,7389.365,7353.7544,7396.0996,7209.215,7344.926,7217.1885,7200.9326,7378.8994,7344.575,7369.1396,7312.8926,7281.266,7434.3535,7286.4277,7319.3896,7292.0166,7222.342,7236.4995,7258.3467,7388.202,7385.3037,7386.6543,7246.494,7335.069,7426.1196,7237.551,7316.286
808,7354.275,7376.0547,7275.1294,7290.1836,7405.6475,7370.6226,7413.967,7223.8687,7361.335,7232.821,7211.5596,7396.108,7362.2534,7384.3364,7329.2095,7298.248,7450.3936,7302.9897,7335.087,7306.983,7236.503,7251.7734,7275.2617,7404.578,7402.6343,7403.8716,7259.7114,7351.5635,7443.235,7252.9355,7332.105
