,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
797,7166.73,7260.5083,7023.3423,7118.923,6379.427,7282.3716,7257.873,7190.9688,7163.077,7219.5117,7245.292,7254.8496,7159.3765,7136.924,7227.0737,7221.686,7152.5874,7193.218,7179.3604,7145.956,7235.0737,7219.001,7149.5303,7197.8057,7093.064,7199.326,7223.7114,7212.9517,7165.6074,7180.1724,7161.8438
798,7143.56,7233.9683,6999.1147,7103.4653,6371.8,7259.987,7238.913,7179.6255,7149.9033,7198.4805,7219.0664,7227.5913,7131.4043,7119.5654,7181.057,7193.913,7145.7866,7166.2603,7178.2075,7130.6274,7201.849,7192.1943,7120.6807,7170.123,7071.3438,7165.641,7192.124,7187.4946,7131.568,7153.5474,7138.6284
799,7127.1143,7221.7563,6992.1035,7089.257,6368.0,7242.406,7221.614,7158.3784,7128.6934,7181.2188,7205.4575,7212.7637,7121.7026,7103.8765,7178.874,7180.906,7133.6123,7154.9243,7151.2935,7111.9033,7191.785,7178.8276,7110.194,7159.4604,7058.465,7156.1665,7180.653,7174.012,7123.124,7140.147,7125.29
800,7100.461,7196.5225,6972.3735,7068.8887,6360.5166,7215.303,7196.7334,7134.7847,7104.062,7154.795,7179.29,7185.019,7097.639,7081.2173,7150.2974,7154.3174,7119.917,7130.147,7129.1143,7088.002,7164.3687,7152.516,7084.9927,7134.7983,7035.5073,7128.954,7153.0674,7148.3936,7096.5283,7113.913,7101.0806
801,7076.5703,7174.468,6955.555,7050.356,6353.9443,7190.8657,7174.1045,7112.5127,7080.974,7129.1436,7156.26,7160.535,7076.934,7060.6187,7127.2783,7131.0547,7107.0156,7108.601,7107.0107,7065.91,7140.9453,7129.413,7063.253,7113.4575,7015.1465,7105.79,7129.2734,7125.8203,7074.0273,7090.866,7079.5903
802,7081.4023,7173.862,6951.167,7056.5796,6354.0396,7197.102,7181.6187,7127.108,7094.713,7128.787,7157.089,7162.0312,7073.357,7067.3604,7108.6245,7130.6313,7115.244,7106.995,7131.4375,7076.3765,7135.344,7129.756,7060.0093,7110.901,7017.3228,7099.4355,7125.7124,7126.877,7066.5586,7091.3228,7081.2925
803,7136.491,7220.0005,6982.698,7101.617,6368.042,7254.6562,7236.532,7187.8584,7156.3926,7184.4507,7206.629,7215.2705,7113.873,7117.2524,7140.008,7179.497,7150.2227,7151.1255,7200.98,7132.901,7179.732,7178.9985,7103.0244,7153.7134,7062.4673,7142.5713,7172.784,7175.6616,7107.2544,7140.5522,7128.442
804,7231.5376,7304.5977,7044.7725,7176.882,6393.418,7352.681,7328.3804,7282.727,7253.873,7284.47,7295.8726,7310.5312,7191.4277,7200.7964,7217.1226,7268.8594,7205.034,7233.1406,7301.299,7224.513,7266.503,7268.223,7184.7705,7234.351,7142.2676,7227.8735,7262.2495,7263.2866,7189.3125,7229.632,7212.346
805,7267.6157,7350.896,7090.143,7198.5225,6406.507,7386.267,7355.02,7290.485,7265.484,7319.949,7340.4673,7356.368,7242.606,7225.3,7311.6562,7315.218,7210.109,7280.97,7283.505,7242.494,7328.386,7314.2144,7237.1934,7284.202,7177.9946,7291.1626,7319.6543,7306.373,7254.1147,7275.218,7250.9365
806,7276.0264,7353.025,7087.402,7207.798,6407.447,7396.3086,7366.2524,7309.5464,7283.697,7331.27,7344.3164,7361.1436,7241.261,7235.4136,7293.8394,7318.3364,7220.899,7281.9233,7313.477,7256.9414,7325.1357,7317.532,7236.3496,7284.0728,7183.0034,7287.04,7318.7188,7310.417,7248.6694,7278.656,7255.8647
807,7302.19,7378.6333,7108.057,7227.384,6414.9976,7422.6997,7390.191,7331.04,7306.377,7356.231,7370.637,7388.95,7266.166,7257.232,7325.744,7344.364,7233.414,7307.2314,7331.9526,7279.413,7353.757,7344.077,7262.3516,7309.418,7205.86,7315.578,7347.1826,7336.1455,7276.764,7305.1025,7279.971
808,7320.1587,7395.506,7121.1445,7241.183,6420.01,7441.007,7407.046,7347.2236,7323.232,7373.8447,7388.173,7407.5586,7282.1753,7272.5786,7344.367,7361.6235,7242.8013,7323.7715,7347.455,7295.6914,7371.9546,7361.6963,7279.132,7325.855,7221.2837,7333.62,7365.5493,7353.32,7294.3623,7322.673,7296.1997
809,7312.264,7392.5464,7122.2407,7232.9453,6418.893,7431.826,7397.058,7331.244,7307.856,7363.8193,7383.8335,7402.4204,7281.966,7263.573,7356.6714,7357.8696,7233.739,7321.746,7323.1035,7283.267,7373.0464,7357.7607,7278.475,7324.6743,7216.2134,7335.3965,7364.8394,7348.858,7297.195,7318.6494,7291.1333
810,7347.7275,7414.1553,7130.097,7265.8906,6425.935,7470.9434,7437.1,7386.469,7362.047,7405.6377,7409.6094,7431.173,7295.6465,7299.8037,7339.6445,7381.882,7265.23,7340.6294,7399.7456,7329.235,7385.108,7382.5444,7293.963,7341.2573,7242.174,7345.532,7381.7676,7374.658,7304.195,7343.625,7317.7803
811,7350.0347,7431.1577,7154.585,7260.415,6430.1934,7469.505,7430.663,7358.998,7337.655,7399.7407,7423.072,7443.683,7320.438,7294.235,7410.2905,7396.8564,7249.9824,7360.216,7343.3003,7313.761,7417.7183,7397.4854,7318.491,7363.4927,7249.839,7380.1753,7408.645,7387.137,7341.652,7358.1924,7326.72
812,7335.9,7408.9487,7130.552,7253.9253,6424.0737,7457.3867,7422.5864,7364.0674,7340.3936,7390.1577,7402.5244,7422.948,7294.1494,7286.704,7354.526,7375.5933,7252.5093,7336.686,7366.3066,7311.5366,7385.1665,7375.989,7291.8145,7338.4395,7234.282,7346.5103,7379.4277,7367.439,7306.6055,7336.955,7309.803
813,7364.645,7435.3633,7150.601,7276.2827,6431.95,7486.8203,7449.883,7391.105,7368.388,7418.715,7430.1416,7452.3247,7318.8765,7311.5483,7381.6665,7402.7095,7268.165,7362.4673,7393.376,7338.2603,7413.103,7403.682,7317.7886,7363.9536,7258.7354,7374.1167,7407.857,7394.5146,7333.392,7364.584,7335.5
