,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,26866.764,27094.887,25458.408,25650.479,26863.926,25669.64,27502.06,28028.684,27721.645,26508.637,26765.924,27384.107,25189.68,26440.61,25221.111,26679.299,26722.746,26279.604,25725.771,25491.684,27716.875,25488.227,26243.254,25010.064,26374.248,25801.86,26732.22,26881.254,26676.775,27303.578,26449.803
2000-01-10,26547.309,25540.799,27257.76,26505.49,28429.844,26573.268,27678.121,27274.604,28246.117,26184.385,27113.041,27220.139,26919.656,26721.264,25984.951,26785.64,27287.16,25860.926,24269.725,25698.416,26491.023,26068.693,26544.484,26289.941,26711.564,25262.035,26943.436,25562.885,28165.623,27436.42,26652.492
2000-01-11,27730.225,27328.342,27509.291,26811.4,26967.729,26939.51,27361.754,27383.82,27327.428,26948.074,27083.7,27405.557,26817.855,27428.074,26856.092,26911.172,27324.428,27140.277,26989.172,27195.61,27490.615,26874.178,27264.867,26758.422,27278.062,26783.477,26772.713,27118.766,27144.395,27317.76,27142.092
2000-01-12,27735.672,27420.406,27549.762,26827.23,27006.312,26928.564,27389.596,27400.816,27345.121,26998.56,27106.215,27418.06,26850.766,27444.018,26879.092,26912.182,27376.03,27148.494,26941.557,27211.045,27538.39,26935.111,27350.264,26772.62,27289.6,26811.4,26797.096,27128.305,27187.848,27329.959,27167.67
2000-01-13,27981.596,27738.998,27825.475,27069.854,27271.47,27146.746,27649.826,27652.58,27597.83,27274.273,27357.559,27665.223,27107.615,27694.3,27128.854,27142.41,27658.768,27389.303,27129.809,27460.043,27818.445,27219.404,27660.871,27014.445,27534.168,27065.395,27047.607,27368.178,27460.775,27575.842,27423.59
2000-01-14,28816.654,27792.223,29797.771,28154.715,27297.58,27599.924,27453.865,26812.408,27175.068,27621.162,27639.031,27662.6,28666.424,28620.117,28691.154,27351.412,28131.744,28188.598,27956.76,29076.6,27524.479,28475.615,28562.025,28614.727,28379.29,27962.752,27064.283,26612.188,27873.697,27536.766,27970.389
2000-01-15,29184.27,29520.31,28092.342,27379.309,25832.844,26626.107,27361.824,27643.518,26697.02,28081.033,27339.006,27878.963,27075.855,28419.21,28022.861,27315.557,27657.572,28697.533,29263.506,28857.879,28844.93,28086.55,28359.092,27458.213,28046.004,28598.68,26869.848,28137.69,26460.98,27463.45,27842.4
2000-01-16,28180.666,27893.877,28007.027,27253.574,27446.453,27342.43,27833.713,27842.537,27787.729,27443.668,27540.479,27856.78,27282.541,27884.299,27309.871,27333.736,27832.697,27580.742,27344.979,27649.592,27994.762,27383.318,27817.156,27199.498,27724.727,27243.986,27227.562,27557.203,27636.373,27766.7,27606.623
2000-01-17,28487.498,28249.316,28334.068,27551.125,27761.07,27622.242,28147.477,28151.035,28097.035,27765.777,27845.709,28161.682,27589.572,28191.428,27612.922,27623.012,28163.13,27879.799,27605.434,27955.406,28323.652,27711.057,28165.885,27496.898,28026.844,27549.938,27530.822,27854.344,27958.45,28070.178,27916.096
2000-01-18,28874.605,28643.527,28724.78,27919.844,28137.1,27985.123,28529.246,28532.979,28479.533,28143.867,28219.994,28541.867,27959.592,28572.27,27984.164,27990.576,28551.16,28255.283,27967.05,28334.95,28712.086,28089.719,28555.787,27866.516,28404.105,27921.77,27901.418,28226.459,28340.965,28448.775,28293.836
2000-01-19,29231.445,28972.828,29071.191,28255.53,28470.568,28325.752,28872.318,28880.488,28827.264,28474.594,28558.225,28889.508,28289.79,28919.16,28319.422,28331.053,28890.709,28600.275,28321.164,28680.885,29053.49,28416.88,28883.734,28203.73,28749.42,28255.643,28235.492,28567.713,28678.604,28795.09,28634.064
2000-01-20,29530.117,29248.137,29361.027,28536.447,28749.537,28610.762,29159.389,29171.322,29118.26,28751.26,28841.268,29180.453,28566.08,29209.46,28600.004,28616.049,29174.791,28889.043,28617.73,28970.43,29339.105,28690.527,29157.95,28485.977,29038.43,28535.06,28515.049,28853.277,28961.102,29084.947,28918.768
