,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,15070.725,15253.116,15230.532,15245.267,15097.716,15226.04,15122.949,15207.093,15209.458,15189.163,15124.582,15186.348,15178.601,15198.967,15132.684,15196.378,15169.784,15203.093,15168.113,15119.11,15078.024,15197.145,15156.88,15258.51,15184.275,15263.892,15106.192,15167.307,15178.12,15151.239,15175.712
2021-11-25,14947.682,15125.852,15102.778,15115.124,14972.569,15100.004,14995.402,15078.754,15084.199,15061.986,15000.906,15060.349,15051.397,15071.167,15007.228,15068.493,15044.745,15074.831,15040.364,14992.129,14954.407,15068.655,15030.668,15129.178,15057.84,15135.58,14981.207,15040.947,15051.663,15025.914,15049.067
2021-11-26,14924.25,15052.355,14991.272,14994.938,14910.177,15032.422,14894.321,14984.673,14990.882,14984.759,14940.617,14984.177,14963.906,14994.095,14948.951,14981.357,14996.743,14973.092,14947.589,14904.997,14916.07,14967.315,14956.463,15021.647,14980.412,15042.494,14925.285,14971.522,14975.652,14964.937,14970.579
2021-11-27,14860.592,15000.877,14950.6,14955.451,14856.676,14979.922,14850.748,14938.6,14946.316,14934.409,14887.316,14934.211,14916.552,14943.367,14894.081,14933.516,14939.1,14929.305,14901.477,14857.68,14856.434,14923.2705,14905.801,14978.926,14930.569,14996.143,14869.996,14919.396,14925.392,14910.927,14920.923
2021-11-28,14669.377,14873.834,14877.239,14890.269,14717.563,14846.629,14762.879,14839.211,14851.348,14812.851,14747.763,14813.345,14809.745,14820.528,14748.522,14824.975,14779.496,14841.078,14801.305,14750.818,14685.592,14834.021,14781.729,14897.031,14810.735,14895.351,14721.916,14788.2295,14803.51,14769.491,14802.213
2021-11-29,14383.797,14643.294,14695.449,14713.977,14477.861,14611.458,14568.12,14633.159,14651.922,14587.358,14508.807,14589.631,14597.849,14593.437,14502.684,14610.908,14521.073,14645.359,14595.072,14539.158,14418.204,14637.109,14554.905,14706.103,14587.613,14687.982,14474.187,14554.833,14578.543,14527.566,14579.913
2021-11-30,14203.518,14418.204,14439.925,14448.781,14264.269,14392.597,14321.308,14390.735,14413.733,14359.317,14298.443,14364.168,14361.958,14364.987,14292.019,14374.459,14318.811,14397.116,14354.475,14304.031,14225.523,14388.768,14330.74,14451.805,14360.68,14446.307,14265.986,14334.362,14352.785,14314.97,14351.827
2021-12-01,13875.41,14155.056,14234.083,14249.783,13990.223,14123.923,14100.448,14156.605,14186.893,14101.992,14024.908,14109.013,14120.791,14106.04,14010.86,14130.83,14022.698,14175.181,14120.115,14063.2705,13918.886,14165.366,14071.978,14235.489,14106.31,14210.552,13982.579,14067.981,14096.331,14038.429,14098.402
2021-12-02,13498.641,13810.143,13922.077,13938.759,13642.076,13777.572,13780.457,13827.529,13865.959,13760.38,13678.606,13770.796,13789.041,13763.071,13658.271,13796.729,13661.597,13853.521,13791.832,13732.4375,13553.972,13842.308,13731.397,13915.339,13768.062,13880.399,13629.373,13722.949,13757.006,13688.795,13760.302
2021-12-03,13630.777,13695.502,13614.741,13592.246,13579.719,13690.476,13525.984,13610.329,13645.742,13626.261,13623.573,13639.958,13602.953,13631.447,13617.711,13613.933,13672.22,13597.277,13580.1455,13547.973,13611.165,13588.339,13611.043,13631.572,13631.839,13668.305,13599.875,13627.501,13628.124,13634.115,13619.029
2021-12-04,13669.643,13744.084,13669.924,13649.45,13625.8125,13737.717,13579.211,13662.615,13697.235,13675.529,13669.067,13688.61,13653.862,13680.716,13663.135,13664.943,13715.882,13650.8,13632.025,13598.662,13652.715,13641.921,13659.404,13686.44,13680.785,13720.442,13644.766,13675.0205,13676.79,13679.96,13668.238
2021-12-05,13682.3955,13771.284,13707.946,13689.992,13649.754,13763.1875,13614.199,13695.667,13730.036,13703.832,13692.433,13716.496,13685.019,13708.919,13685.888,13696.014,13735.756,13685.998,13664.666,13629.655,13669.73,13677.055,13686.733,13723.371,13709.022,13753.218,13666.823,13700.956,13704.603,13703.476,13696.804
2021-12-06,13685.993,13781.583,13723.319,13706.508,13658.564,13772.696,13628.157,13708.698,13742.999,13714.647,13700.99,13727.143,13697.181,13719.684,13694.136,13708.124,13742.654,13700.04,13677.517,13641.748,13675.318,13691.062,13697.114,13738.203,13719.831,13766.12,13674.756,13710.683,13715.211,13712.083,13707.76
2021-12-07,13806.906,13845.989,13741.558,13716.774,13734.054,13842.881,13658.773,13748.935,13780.648,13774.414,13777.496,13786.67,13744.217,13780.244,13775.017,13756.393,13835.766,13730.725,13718.634,13688.846,13778.523,13722.553,13759.295,13763.109,13778.295,13807.626,13757.964,13778.863,13775.385,13789.448,13765.2
2021-12-08,13725.566,13856.04,13823.709,13813.081,13725.062,13842.919,13721.251,13797.22,13830.719,13791.74,13766.022,13803.143,13781.094,13796.569,13757.808,13791.88,13799.416,13793.6875,13765.012,13725.239,13725.133,13784.577,13771.792,13836.08,13796.701,13853.988,13736.732,13782.032,13791.06,13777.569,13785.427
2021-12-09,13899.5,13917.972,13795.607,13768.462,13809.608,13916.691,13717.496,13811.744,13841.487,13844.607,13853.057,13856.252,13809.331,13850.855,13852.753,13822.214,13918.231,13789.723,13781.561,13753.823,13864.368,13782.003,13829.981,13820.281,13847.583,13870.951,13836.438,13851.896,13845.315,13865.754,13834.186
2021-12-10,14120.081,14099.888,13942.82,13911.811,13997.765,14101.763,13873.664,13976.132,14001.134,14023.055,14040.823,14033.065,13977.856,14030.242,14045.226,13992.319,14119.8125,13946.654,13945.971,13921.963,14072.019,13939.919,14009.006,13974.042,14023.951,14036.339,14030.19,14035.501,14022.914,14055.397,14010.044
2021-12-11,14307.533,14298.895,14146.487,14119.597,14192.436,14298.35,14075.587,14178.597,14199.48,14222.527,14233.56,14230.369,14178.111,14230.216,14239.775,14193.471,14312.964,14149.672,14147.367,14121.579,14261.838,14143.414,14206.379,14179.43,14221.917,14238.742,14223.784,14232.397,14220.634,14250.02,14208.504
2021-12-12,14452.593,14467.34,14329.651,14308.394,14354.387,14463.256,14254.391,14355.718,14373.318,14392.416,14393.438,14398.357,14351.638,14400.443,14400.419,14367.557,14469.5205,14329.475,14323.3125,14294.541,14413.071,14323.449,14373.838,14362.692,14390.7705,14415.511,14383.025,14398.089,14388.892,14411.523,14378.034
2021-12-13,14536.272,14585.276,14472.057,14457.521,14464.07,14576.76,14389.914,14487.252,14502.887,14512.768,14501.151,14517.263,14478.416,14520.875,14507.584,14494.449,14570.035,14465.789,14453.666,14420.86,14506.56,14459.718,14491.594,14503.361,14510.669,14546.421,14488.426,14512.797,14507.849,14520.34,14498.754
2021-12-14,14360.573,14542.35,14535.232,14540.559,14394.027,14519.599,14424.237,14500.274,14519.727,14480.517,14427.968,14484.391,14475.079,14487.019,14425.351,14488.789,14459.652,14500.543,14464.171,14416.997,14371.77,14492.897,14452.771,14552.319,14480.494,14556.64,14400.4795,14460.236,14473.668,14445.998,14471.144
2021-12-15,14350.26,14469.844,14415.113,14409.992,14335.13,14454.307,14317.234,14402.166,14421.952,14403.257,14371.372,14408.346,14385.019,14410.153,14371.707,14399.302,14418.76,14392.846,14367.619,14327.417,14342.832,14385.6875,14379.236,14437.477,14402.97,14459.771,14349.721,14392.777,14397.954,14388.94,14392.307
2021-12-16,14279.691,14419.526,14381.96,14379.333,14281.102,14402.078,14279.501,14360.67,14382.034,14354.68,14317.252,14360.114,14341.209,14361.168,14315.608,14354.895,14358.16,14354.945,14325.921,14283.639,14278.761,14347.425,14329.97,14401.508,14355.052,14417.812,14292.852,14341.247,14349.395,14334.179,14344.723
2021-12-17,14248.735,14371.817,14322.057,14316.279,14237.334,14356.478,14223.021,14306.255,14328.336,14305.758,14274.343,14311.808,14289.074,14312.257,14273.123,14302.759,14318.968,14298.131,14272.042,14231.71,14242.955,14290.66,14282.259,14342.613,14306.285,14363.703,14251.205,14295.069,14301.101,14290.858,14295.565
2021-12-18,14245.84,14352.513,14290.193,14281.663,14221.62,14339.076,14194.622,14280.2,14302.364,14285.195,14259.231,14291.572,14265.141,14291.804,14258.798,14278.979,14308.002,14269.549,14246.4,14207.907,14235.147,14262.201,14262.684,14312.142,14285.66,14337.976,14237.641,14277.102,14280.955,14275.632,14274.594
2021-12-19,14259.058,14355.368,14284.78,14274.691,14226.598,14343.045,14191.456,14278.69,14300.567,14287.217,14264.458,14293.648,14264.911,14293.949,14264.724,14278.927,14316.122,14266.347,14245.09,14207.719,14245.173,14259.121,14265.223,14307.83,14287.525,14336.687,14244.015,14280.711,14283.131,14280.941,14276.256
2021-12-20,14280.715,14371.401,14296.005,14285.245,14243.64,14359.599,14203.958,14292.261,14313.657,14302.766,14281.512,14309.077,14279.116,14309.616,14282.352,14293.309,14335.009,14278.906,14258.708,14221.909,14265.015,14271.788,14280.945,14319.865,14302.872,14350.389,14261.854,14297.069,14298.656,14298.192,14291.513
2021-12-21,14275.629,14378.703,14312.948,14304.18,14248.302,14365.505,14218.257,14304.705,14326.204,14311.034,14285.783,14317.174,14289.99,14317.775,14285.93,14304.027,14336.019,14293.305,14270.872,14232.703,14263.681,14286.072,14288.52,14335.649,14311.244,14362.581,14264.873,14303.403,14306.662,14302.475,14300.141
2021-12-22,14193.574,14336.233,14302.7705,14299.572,14198.038,14318.967,14199.369,14279.117,14302.42,14271.821,14234.834,14278.076,14259.643,14277.98,14231.891,14272.823,14273.442,14274.385,14244.654,14202.28,14194.001,14266.6,14247.565,14320.803,14272.888,14336.124,14209.196,14258.241,14267.096,14250.879,14262.509
2021-12-23,14079.501,14243.369,14228.779,14227.73,14101.683,14224.336,14120.443,14195.775,14221.608,14180.874,14138.702,14187.911,14174.031,14186.4795,14133.181,14186.37,14169.811,14195.072,14161.267,14116.822,14086.976,14186.788,14156.2,14243.287,14182.963,14252.25,14109.767,14164.364,14176.484,14153.695,14172.886
2021-12-24,14059.536,14179.838,14132.19,14123.7,14047.807,14165.931,14033.019,14114.424,14140.72,14114.022,14086.505,14122.067,14098.352,14119.901,14082.939,14111.03,14128.411,14107.1,14081.064,14041.537,14054.041,14099.102,14092.082,14150.225,14116.069,14171.752,14061.577,14104.477,14110.86,14101.101,14105.045
2021-12-25,14126.653,14197.655,14110.58,14094.725,14075.672,14189.019,14022.108,14111.448,14136.288,14127.87,14115.527,14136.125,14101.444,14134.349,14115.341,14114.996,14171.269,14096.045,14079.018,14044.816,14105.949,14088.634,14108.351,14133.907,14129.128,14169.831,14096.095,14125.852,14125.404,14130.56,14117.155
2021-12-26,14290.999,14307.29,14174.433,14151.472,14195.58,14303.976,14098.185,14197.39,14218.621,14232.888,14235.973,14240.445,14193.765,14240.332,14240.707,14208.778,14308.697,14172.434,14165.615,14137.09,14252.89,14165.933,14215.387,14204.949,14232.535,14257.018,14223.606,14238.884,14230.509,14252.386,14219.625
2021-12-27,14554.98,14515.006,14332.909,14303.833,14412.936,14516.614,14269.667,14380.124,14395.473,14435.607,14453.016,14441.5,14382.664,14444.41,14464.141,14399.707,14544.986,14344.734,14348.636,14325.704,14498.426,14339.433,14419.5205,14372.257,14432.868,14441.095,14449.031,14449.552,14432.667,14471.902,14419.113
2021-12-28,14662.0625,14691.892,14561.082,14544.948,14573.617,14684.838,14483.563,14585.149,14597.901,14617.565,14610.225,14621.164,14578.246,14626.3125,14619.3955,14595.18,14686.371,14559.909,14551.517,14520.53,14625.859,14554.333,14596.655,14595.96,14614.418,14644.793,14600.834,14620.24,14612.259,14630.71,14602.251
2021-12-29,14752.639,14801.426,14683.165,14671.349,14678.153,14791.654,14602.074,14701.961,14712.538,14728.298,14713.212,14730.688,14692.217,14737.307,14722.773,14709.472,14786.241,14679.097,14667.494,14634.17,14721.612,14673.595,14705.68,14717.774,14724.606,14761.28,14703.137,14727.773,14721.976,14734.868,14712.94
2021-12-30,14812.81,14879.737,14774.081,14766.066,14751.9375,14867.52,14689.457,14787.407,14796.505,14807.818,14785.749,14809.323,14775.055,14816.985,14795.322,14792.471,14855.303,14766.99,14752.256,14716.758,14786.887,14761.483,14783.758,14808.036,14803.82,14846.398,14774.718,14804.324,14800.717,14808.247,14792.598
2021-12-31,14877.89,14945.367,14838.667,14831.6,14816.8125,14932.698,14754.256,14852.88,14860.412,14873.293,14849.957,14874.174,14840.16,14882.757,14860.488,14857.944,14920.628,14832.145,14817.449,14781.732,14851.761,14826.791,14848.787,14873.583,14868.85,14911.895,14839.711,14869.575,14865.793,14873.249,14857.71
2022-01-01,14938.648,15008.6045,14902.44,14896.593,14878.917,14995.288,14817.823,14916.785,14922.841,14936.531,14911.36,14936.801,14903.47,14946.27,14922.701,14921.579,14982.576,14896.0625,14881.053,14844.909,14912.92,14890.834,14911.502,14938.086,14931.691,14975.784,14901.674,14932.309,14928.629,14935.421,14920.669
2022-01-02,14998.667,15069.608,14962.852,14957.974,14939.122,15055.819,14878.345,14977.854,14982.443,14997.423,14970.913,14997.121,14964.134,15007.447,14983.14,14982.579,15043.052,14956.918,14941.856,14905.455,14972.896,14951.821,14971.969,14999.349,14992.191,15036.86,14961.931,14992.939,14989.163,14995.736,14981.253
2022-01-03,15059.732,15130.554,15022.327,15018.253,14999.496,15116.412,14938.178,15038.405,15041.495,15058.162,15030.657,15057.303,15024.413,15068.492,15043.85,15043.214,15104.026,15017.076,15002.163,14965.63,15033.579,15012.122,15032.348,15059.797,15052.53,15097.441,15022.512,15053.598,15049.575,15056.262,15041.652
2022-01-04,15060.747,15161.289,15075.92,15076.828,15023.767,15143.717,14985.516,15081.4375,15084.389,15091.154,15053.808,15089.79,15063.593,15101.331,15065.607,15082.108,15119.633,15064.734,15044.473,15004.622,15043.517,15059.513,15063.624,15110.829,15085.73,15139.877,15042.9,15081.982,15081.917,15079.662,15075.466
2022-01-05,15137.683,15205.375,15092.989,15089.456,15074.238,15191.13,15009.929,15111.503,15112.677,15132.494,15104.693,15130.978,15097.547,15143.24,15119.275,15116.831,15180.397,15089.218,15075.026,15038.652,15110.152,15084.465,15106.396,15131.961,15126.342,15170.637,15097.904,15128.301,15123.565,15131.287,15115.479
2022-01-06,15249.565,15295.498,15163.837,15158.206,15167.994,15283.089,15085.998,15192.011,15190.481,15220.59,15198.0625,15218.432,15180.331,15232.042,15215.484,15200.486,15281.531,15165.66,15155.613,15121.398,15214.873,15161.349,15195.092,15206.474,15213.579,15251.621,15194.863,15219.624,15211.567,15225.965,15202.378
2022-01-07,15374.764,15411.341,15269.653,15264.212,15284.648,15399.26,15194.524,15303.322,15298.672,15335.293,15313.691,15332.182,15292.238,15347.479,15333.619,15313.225,15402.057,15274.768,15266.652,15233.184,15336.566,15270.804,15309.625,15315.111,15327.456,15363.157,15313.146,15335.65,15325.874,15343.222,15316.181
2022-01-08,15463.483,15517.057,15386.458,15385.132,15385.805,15502.478,15308.302,15415.634,15408.626,15441.98,15413.197,15437.824,15401.898,15454.594,15433.841,15423.25,15499.048,15389.209,15378.203,15342.635,15429.901,15385.266,15414.862,15431.889,15433.761,15475.146,15412.389,15439.66,15431.816,15444.129,15422.915
