,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,15326.516,15020.47,15040.648,14965.64,15194.09,14852.114,14944.345,14895.223,15051.966,14993.668,15286.642,15562.743,14978.154,14820.018,14994.758,15129.786,15081.208,15149.172,15190.183,15247.865,15241.248,15048.414,15003.133,15154.942,15186.791,15058.661,15229.352,15206.572,15058.945,15254.491,15105.591
2021-11-25,15200.957,14896.803,14913.288,14842.965,15069.102,14731.931,14821.558,14774.207,14927.957,14871.382,15162.852,15430.092,14855.358,14704.132,14876.663,15004.885,14958.061,15025.691,15065.133,15120.7705,15113.854,14926.12,14882.115,15031.264,15062.356,14935.806,15101.374,15083.939,14934.165,15129.132,14981.796
2021-11-26,15202.163,14860.201,14862.002,14836.484,15016.539,14736.177,14813.573,14747.974,14923.313,14878.105,15160.611,15412.69,14847.789,14688.667,14876.746,14978.727,14959.585,15012.377,15071.775,15100.221,15079.85,14928.557,14878.691,15006.644,15039.39,14920.798,15061.517,15074.414,14915.995,15101.139,14966.424
2021-11-27,15129.877,14800.035,14804.012,14768.1,14960.27,14666.086,14745.561,14686.302,14853.621,14806.091,15090.342,15341.778,14779.653,14626.793,14809.067,14914.806,14888.592,14945.52,14998.2,15033.41,15016.807,14857.783,14810.363,14942.972,14974.805,14854.799,14999.829,15006.935,14849.812,15037.495,14899.993
2021-11-28,14898.651,14626.625,14644.985,14553.228,14807.368,14440.354,14532.642,14502.852,14633.653,14572.968,14867.299,15124.378,14566.148,14437.251,14593.135,14724.131,14661.354,14738.979,14760.134,14830.687,14832.908,14630.759,14594.1455,14752.313,14780.397,14651.866,14823.213,14796.49,14647.884,14848.641,14695.848
2021-11-29,14574.059,14356.871,14385.188,14246.306,14555.233,14125.691,14227.413,14226.272,14320.84,14249.666,14551.815,14806.235,14260.423,14159.674,14289.339,14437.408,14342.66,14438.966,14429.811,14530.978,14550.278,14312.942,14287.498,14466.696,14490.665,14355.772,14546.639,14493.627,14350.953,14563.226,14397.77
2021-11-30,14409.772,14165.573,14177.659,14079.884,14349.684,13970.905,14059.644,14046.607,14154.025,14094.113,14387.117,14618.203,14093.038,13995.156,14134.063,14252.662,14181.858,14266.074,14270.501,14347.778,14356.332,14153.907,14125.657,14284.693,14308.992,14182.483,14347.1045,14324.787,14172.587,14376.489,14222.911
2021-12-01,14035.897,13856.235,13880.414,13726.751,14061.144,13608.48,13708.505,13729.104,13793.993,13721.72,14023.852,14252.582,13741.402,13676.128,13784.306,13923.426,13814.901,13921.076,13889.983,14003.462,14032.266,13787.794,13772.7705,13956.636,13976.153,13842.166,14029.999,13976.338,13831.333,14048.9,13880.259
2021-12-02,13628.401,13489.862,13515.959,13336.046,13705.014,13215.939,13318.782,13361.937,13397.1,13320.308,13625.218,13839.793,13351.542,13315.646,13402.376,13543.478,13415.319,13533.853,13479.567,13611.465,13652.101,13389.729,13384.72,13579.078,13594.693,13458.862,13652.583,13588.252,13444.458,13669.391,13494.05
2021-12-03,13891.804,13556.225,13514.94,13554.041,13692.628,13483.447,13529.264,13475.772,13627.108,13604.834,13867.152,14022.432,13564.054,13473.784,13644.43,13665.81,13675.052,13718.552,13769.197,13766.779,13739.732,13652.696,13614.768,13706.484,13732.221,13633.657,13711.219,13790.609,13607.074,13783.12,13668.963
