,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,26206.625,27710.451,25360.406,26600.475,27488.613,26719.475,25538.75,28223.037,26012.188,26085.814,26699.988,25175.498,24276.46,27545.22,27474.008,26951.05,27327.031,27090.766,26365.05,25539.88,26485.746,27363.447,25289.36,26896.229,26150.188,26290.195,26570.191,26656.531,27383.777,27328.545,26560.168
2000-01-10,27301.627,26586.88,27167.752,26076.617,26589.193,26714.283,27272.129,25894.467,28127.416,28296.455,26403.295,27143.482,26025.744,26451.45,26445.703,26426.355,26600.164,26915.918,27550.396,26332.803,26551.166,26146.81,27587.957,26744.121,26702.832,26562.479,27558.15,26997.201,25918.13,26833.297,26797.475
2000-01-11,26876.83,27504.531,26856.912,26958.51,27020.244,27106.422,26194.244,26867.273,27153.38,27685.691,26627.395,27116.855,26165.746,26571.91,26843.715,26884.709,27106.145,26786.324,27132.643,26258.871,26712.48,26787.242,26366.137,26961.59,26605.123,26956.08,27443.518,26671.025,26981.572,26875.715,26869.291
2000-01-12,27086.705,27680.4,27021.91,27112.715,27222.852,27231.926,26427.043,27093.473,27350.691,27825.475,26784.354,27346.775,26285.73,26652.494,27082.15,27056.25,27313.057,26922.625,27315.71,26532.668,26840.586,26891.877,26603.115,27114.77,26700.764,27225.785,27559.787,26828.896,27141.441,26992.203,27041.475
2000-01-13,27500.035,28073.715,27394.465,27480.346,27633.117,27574.145,26853.555,27522.521,27758.285,28186.516,27149.102,27782.854,26608.537,26946.322,27518.113,27435.223,27729.46,27270.809,27707.412,26995.383,27180.51,27210.6,27033.027,27480.555,27009.117,27692.29,27897.578,27195.236,27510.705,27323.275,27421.76
2000-01-14,27894.533,27664.646,28661.96,27662.041,26878.555,27772.104,27220.996,25862.361,28545.535,29590.97,26901.746,29413.604,28193.047,25604.35,26570.291,27131.912,27211.764,26779.598,28162.145,27362.873,27171.016,26424.254,27798.021,27317.127,27341.21,27993.057,28604.008,27010.457,26886.32,26736.994,27478.916
2000-01-15,27214.027,29125.549,27217.537,28490.732,28204.72,28094.725,25917.877,28637.61,26891.766,27704.918,27505.258,27902.826,26851.248,27171.283,28059.275,28027.688,28370.97,27263.316,27420.12,27069.385,27456.695,27953.783,25947.6,27828.55,27031.023,28231.492,27902.365,27002.172,28692.342,27490.514,27622.58
2000-01-16,27591.379,28189.541,27506.098,27600.91,27730.738,27708.182,26928.182,27607.227,27860.068,28318.99,27263.979,27868.975,26733.043,27094.326,27593.787,27544.24,27826.996,27396.787,27813.127,27050.607,27309.492,27350.268,27105.521,27600.86,27150.996,27755.645,28039.146,27310.266,27625.756,27458.922,27531.133
2000-01-17,28007.748,28597.457,27893.262,27987.283,28146.94,28076.594,27349.904,28035.281,28275.516,28704.13,27645.389,28304.164,27079.822,27424.018,28024.473,27936.223,28248.768,27767.434,28215.395,27497.629,27673.74,27699.465,27529.355,27985.352,27491.586,28209.396,28406.646,27693.07,28011.258,27817.754,27924.5
2000-01-18,28404.965,29005.396,28281.637,28381.514,28548.621,28465.945,27739.55,28437.04,28679.58,29105.771,28031.627,28712.781,27445.186,27792.479,28421.846,28326.55,28654.809,28152.867,28611.525,27893.55,28056.16,28077.55,27919.049,28377.828,27864.393,28616.441,28800.773,28080.34,28400.697,28200.58,28316.23
2000-01-19,28690.549,29314.326,28576.656,28686.23,28841.271,28777.309,28009.16,28720.367,28976.514,29422.893,28327.97,29001.137,27736.54,28102.197,28696.314,28620.756,28949.809,28456.414,28906.58,28152.816,28360.094,28386.668,28187.092,28681.357,28172.154,28887.617,29120.314,28377.117,28698.68,28509.432,28611.543
2000-01-20,28928.771,29572.19,28822.895,28940.668,29085.492,29037.303,28234.0,28956.627,29224.334,29687.664,28575.44,29241.684,27979.85,28360.977,28925.113,28866.27,29195.973,28709.871,29152.762,28368.842,28613.867,28644.842,28410.553,28934.791,28429.232,29113.598,29387.252,28624.826,28947.387,28767.324,28858.012
2000-01-21,28723.277,29412.713,28674.11,28806.715,28890.084,28939.74,27997.533,28730.71,29036.176,29573.31,28436.908,29012.178,27885.408,28318.248,28682.744,28709.242,28995.812,28597.723,28981.922,28080.252,28511.818,28572.186,28169.012,28802.148,28367.389,28832.277,29302.514,28485.186,28805.422,28680.287,28700.436
2000-01-22,28708.387,29393.346,28655.438,28786.398,28874.031,28916.96,27985.672,28717.084,29019.36,29550.887,28417.564,28998.273,27864.248,28292.766,28670.764,28691.076,28979.793,28576.389,28964.396,28072.021,28489.932,28548.324,28157.559,28781.871,28343.084,28822.607,29278.322,28465.88,28786.137,28657.193,28682.19
2000-01-23,28708.81,29390.713,28652.748,28782.645,28873.719,28911.193,27988.162,28718.598,29018.543,29545.758,28414.32,28999.785,27859.006,28284.352,28673.385,28688.822,28979.633,28571.605,28962.791,28077.438,28484.64,28541.408,28160.357,28778.096,28335.68,28827.26,29271.645,28462.686,28783.01,28650.998,28679.926
2000-01-24,28737.082,29415.93,28676.527,28805.525,28901.396,28931.207,28018.484,28748.523,29045.762,29567.42,28437.281,29030.215,27878.004,28299.62,28704.387,28713.271,29007.805,28592.574,28988.455,28111.816,28504.76,28559.209,28191.055,28800.82,28352.504,28861.469,29290.875,28485.746,28806.316,28670.014,28704.469
2000-01-25,28997.955,29659.592,28907.041,29031.559,29159.467,29137.957,28290.87,29020.84,29301.414,29787.191,28662.225,29307.197,28073.434,28471.975,28982.613,28948.436,29269.904,28804.627,29232.49,28411.275,28710.764,28749.604,28465.777,29025.48,28535.643,29162.07,29493.693,28711.46,29034.02,28869.098,28940.52
2000-01-26,29083.957,29760.227,29003.54,29133.66,29249.486,29246.947,28366.979,29103.469,29393.98,29896.377,28760.578,29391.443,28175.072,28586.98,29059.814,29043.6,29360.26,28908.857,29326.314,28477.041,28816.326,28860.719,28540.625,29127.277,28647.549,29233.318,29607.484,28809.73,29132.465,28978.354,29036.082
2000-01-27,29019.566,29714.283,28960.973,29097.145,29189.227,29224.459,28290.168,29031.256,29336.654,29867.793,28721.977,29318.129,28152.844,28585.113,28980.99,28997.885,29298.322,28880.508,29275.432,28380.072,28791.803,28847.508,28461.828,29091.215,28638.361,29139.645,29590.227,28770.707,29092.611,28959.709,28990.213
2000-01-28,28971.889,29669.707,28918.8,29055.775,29142.043,29186.59,28240.412,28981.506,29289.906,29827.547,28680.809,29267.521,28117.045,28553.492,28930.178,28954.873,29250.406,28841.682,29230.809,28325.41,28754.076,28812.604,28411.656,29050.094,28604.78,29084.768,29553.055,28729.41,29050.95,28923.238,28947.033
2000-01-29,28930.58,29627.578,28878.723,29015.166,29100.318,29146.727,28199.67,28939.635,29247.979,29786.342,28640.967,29224.89,28079.611,28516.05,28888.658,28914.56,29208.215,28802.117,29189.834,28283.748,28714.89,28774.023,28370.893,29009.682,28566.791,29042.03,29512.752,28689.508,29010.816,28884.104,28906.562
2000-01-30,28858.713,29556.459,28811.19,28947.473,29028.242,29081.752,28127.312,28866.018,29175.916,29718.582,28574.234,29149.967,28018.46,28457.135,28814.863,28846.309,29135.227,28736.955,29119.977,28207.723,28650.742,28712.076,28298.291,28942.334,28506.217,28964.684,29447.652,28622.635,28943.494,28820.69,28838.041
2000-01-31,28739.746,29439.08,28699.75,28835.904,28909.035,28974.895,28007.312,28744.035,29056.783,29607.053,28464.193,29025.83,27917.88,28360.611,28692.453,28733.635,29014.484,28629.684,29004.572,28081.312,28545.201,28610.361,28177.842,28831.336,28406.834,28836.178,29340.703,28512.352,28832.451,28716.465,28724.932
