,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,15146.542,15114.58,15155.043,15029.383,15181.618,14925.604,15381.902,15188.487,15411.455,15261.425,15095.491,15051.724,15054.812,14873.803,14878.205,15226.513,14983.183,15107.003,14965.671,15230.63,15114.639,15037.625,15300.131,15293.507,14865.555,14975.412,15033.8955,15392.983,15121.305,15074.668,15115.76
2021-11-25,15022.841,14988.724,15028.182,14905.13,15053.387,14805.88,15251.658,15059.712,15277.76,15136.946,14971.341,14930.154,14931.074,14754.626,14760.181,15099.407,14864.171,14983.258,14843.002,15101.021,14990.275,14915.006,15171.544,15162.461,14747.143,14855.12,14910.081,15261.668,14995.836,14951.736,14990.9795
2021-11-26,14957.347,14906.976,14966.314,14829.738,14972.1875,14780.373,15168.855,14989.1,15163.254,15080.775,14882.382,14891.036,14872.591,14718.202,14723.515,15038.0625,14826.347,14931.362,14781.777,15010.654,14940.188,14866.104,15122.067,15078.548,14701.392,14821.379,14840.645,15173.689,14956.797,14890.207,14929.396
2021-11-27,14905.602,14858.736,14911.698,14780.566,14922.428,14719.233,15118.412,14935.943,15120.078,15025.863,14837.224,14832.813,14818.772,14660.567,14666.603,14983.158,14769.206,14875.62,14729.378,14962.783,14883.5625,14810.132,15062.856,15027.968,14646.912,14762.316,14789.981,15124.14,14896.317,14837.742,14875.886
2021-11-28,14773.68,14746.223,14768.789,14661.858,14804.78,14537.13,14999.399,14802.109,15040.273,14879.126,14738.175,14666.9,14676.698,14495.158,14503.63,14839.056,14606.084,14724.078,14593.209,14855.798,14728.287,14656.337,14899.02,14909.076,14496.291,14591.0,14663.505,15010.588,14723.161,14701.521,14736.364
2021-11-29,14542.0205,14530.436,14524.229,14441.833,14582.157,14262.996,14773.729,14564.17,14847.445,14633.184,14536.252,14405.982,14435.683,14236.84,14248.56,14593.187,14349.977,14474.379,14358.583,14641.731,14474.609,14405.5625,14633.748,14682.79,14252.21,14326.237,14436.722,14788.95,14452.099,14466.609,14496.763
2021-11-30,14328.231,14301.075,14309.096,14219.587,14350.102,14085.625,14537.787,14339.717,14582.121,14425.64,14303.478,14215.602,14227.253,14051.707,14064.686,14378.172,14163.885,14271.125,14149.469,14400.73,14271.929,14206.11,14426.125,14444.906,14060.774,14141.697,14219.645,14547.517,14256.636,14256.8955,14284.578
2021-12-01,14063.826,14055.474,14029.722,13968.912,14096.612,13770.97,14280.855,14068.276,14364.019,14144.473,14074.065,13916.642,13951.817,13755.644,13772.337,14097.274,13870.359,13985.489,13881.505,14157.423,13981.646,13919.117,14122.539,14187.29,13781.402,13838.084,13960.949,14295.377,13945.983,13988.617,14010.89
2021-12-02,13724.158,13723.659,13676.515,13636.534,13756.606,13407.481,13935.8545,13716.947,14036.689,13793.725,13754.297,13559.749,13605.493,13404.016,13424.513,13742.823,13520.332,13633.187,13541.253,13821.437,13625.657,13567.645,13752.608,13840.666,13440.724,13480.258,13624.378,13951.56,13576.373,13647.782,13664.097
2021-12-03,13643.512,13564.437,13620.661,13506.51,13605.017,13522.135,13780.244,13620.493,13726.488,13762.007,13554.821,13608.946,13560.323,13462.062,13478.762,13690.254,13570.744,13621.714,13480.08,13626.064,13624.556,13569.172,13763.681,13681.0205,13449.673,13554.311,13523.6455,13771.732,13633.951,13585.55,13605.419
2021-12-04,13689.539,13613.84,13666.984,13554.371,13655.005,13560.325,13831.063,13668.823,13783.67,13806.702,13604.97,13649.934,13605.223,13501.916,13518.365,13736.547,13610.832,13665.483,13525.113,13677.967,13668.208,13612.123,13808.352,13732.262,13490.893,13594.041,13570.414,13823.743,13676.034,13630.711,13651.115
2021-12-05,13714.185,13643.217,13690.769,13581.8545,13684.347,13573.465,13860.953,13695.176,13822.739,13828.76,13636.313,13667.011,13627.916,13518.11,13534.599,13760.185,13627.441,13686.297,13548.511,13709.96,13688.548,13632.032,13828.678,13762.51,13509.697,13609.534,13596.212,13855.16,13693.284,13654.213,13674.722
2021-12-06,13723.364,13654.576,13699.48,13592.357,13695.642,13577.313,13872.467,13705.057,13838.498,13836.706,13648.629,13672.674,13636.174,13523.404,13539.931,13768.824,13632.932,13693.671,13557.124,13722.477,13695.688,13639.003,13835.732,13774.177,13516.232,13614.477,13605.927,13867.371,13698.951,13662.868,13683.391
2021-12-07,13793.084,13706.88,13777.497,13650.54,13751.512,13691.457,13928.805,13774.616,13859.997,13918.849,13689.985,13772.273,13714.566,13623.417,13638.249,13847.794,13731.054,13780.186,13630.833,13768.721,13785.182,13727.86,13931.102,13830.13,13603.835,13719.192,13670.937,13918.652,13803.403,13736.51,13759.236
2021-12-08,13791.426,13734.117,13765.717,13667.251,13775.272,13617.561,13953.556,13777.576,13941.808,13898.634,13732.751,13722.471,13699.571,13570.913,13587.444,13834.727,13681.426,13752.567,13622.127,13808.553,13753.499,13695.656,13893.812,13856.185,13569.932,13660.393,13676.758,13952.2,13749.448,13728.14,13749.049
2021-12-09,13865.693,13773.446,13854.534,13718.82,13820.354,13780.1045,13998.56,13849.019,13917.344,13996.642,13751.636,13855.861,13790.634,13706.29,13720.064,13925.284,13813.16,13859.433,13704.6455,13834.267,13865.837,13807.623,14015.552,13900.033,13681.557,13804.338,13741.768,13986.822,13890.329,13810.395,13834.67
