,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,26464.166,25418.096,26760.11,27059.99,27742.027,25390.332,26377.605,27412.385,27766.537,25906.715,26401.137,26262.58,26131.932,25315.47,25203.488,25897.338,26464.238,27085.31,25559.207,26150.01,25284.477,26976.3,27101.28,28195.238,26818.844,25172.135,26387.596,27256.2,26901.799,26162.422,26434.168
2000-01-10,25428.354,27459.053,27007.373,26329.908,27316.148,27025.13,27131.58,26631.63,27382.37,26438.13,25913.887,27158.754,26786.527,26124.95,24998.635,28190.03,26105.713,26337.766,25735.791,26662.889,26764.014,26478.725,28525.9,26407.385,26453.582,26616.684,26049.924,26583.506,27399.238,26424.385,26662.264
2000-01-11,26789.023,26836.043,27115.324,26698.293,27154.762,26461.26,27551.598,27330.398,27609.725,27110.443,26584.541,26736.559,26720.328,26300.125,26147.2,27297.744,26344.186,26848.496,26563.055,27269.36,26893.047,26658.547,27629.059,27494.037,26139.219,26517.32,26692.406,27556.402,27154.6,26624.494,26894.254
2000-01-12,26795.53,26799.18,27140.887,26675.246,27123.36,26584.256,27517.814,27330.078,27489.043,27146.113,26523.188,26819.027,26750.426,26385.592,26234.508,27321.947,26426.69,26897.09,26581.346,27211.264,26949.81,26714.225,27690.76,27458.629,26197.443,26613.236,26686.125,27509.021,27242.393,26647.02,26915.373
2000-01-13,27022.98,26989.307,27391.027,26878.424,27323.691,26914.047,27720.06,27562.375,27611.994,27405.975,26686.717,27117.332,26998.875,26679.957,26526.824,27575.697,26716.525,27164.158,26819.545,27388.61,27223.842,26984.31,27983.318,27658.686,26464.508,26919.104,26904.19,27696.59,27550.873,26885.914,27158.848
2000-01-14,27354.57,28487.166,27755.043,26609.8,26820.828,27850.299,28958.137,27512.873,27686.61,28577.139,26987.064,27522.38,27594.541,27541.014,27331.998,28981.535,26498.58,26781.861,27776.168,28643.727,28767.9,26599.578,28444.254,27055.152,25726.984,26653.516,27266.479,28076.502,27714.88,27359.576,27564.54
2000-01-15,28433.363,26437.018,27587.984,27345.773,27226.275,26479.258,28187.24,28360.666,27900.14,28156.75,27390.518,26804.588,27036.416,26945.062,27741.254,26795.611,27016.852,27689.639,27705.432,28069.357,27430.486,27257.926,27176.385,28824.14,26241.95,26387.533,27634.477,28707.758,27421.098,27174.988,27452.201
2000-01-16,27205.254,27192.867,27569.145,27076.236,27529.256,27040.885,27930.03,27756.94,27861.014,27580.135,26897.736,27266.844,27170.117,26822.56,26665.377,27758.762,26858.9,27328.672,26996.566,27607.209,27384.135,27142.648,28153.307,27868.832,26617.285,27058.6,27094.156,27910.695,27702.463,27058.418,27336.836
2000-01-17,27487.867,27449.988,27870.97,27343.047,27796.6,27394.996,28200.91,28049.162,28074.904,27889.441,27133.453,27601.38,27467.553,27150.402,26989.871,28066.045,27182.516,27640.445,27287.053,27858.646,27700.557,27454.584,28490.898,28137.625,26924.334,27395.799,27371.434,28169.52,28046.957,27347.672,27632.486
2000-01-18,27842.938,27799.914,28238.396,27696.838,28156.201,27767.758,28566.48,28420.87,28422.568,28260.424,27471.596,27974.89,27826.572,27513.355,27347.268,28441.75,27541.896,28006.188,27644.854,28214.736,28066.86,27815.895,28881.48,28501.469,27277.992,27764.031,27728.016,28528.05,28429.668,27701.041,27995.002
