,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,15118.461,15216.063,15406.657,14938.785,15057.687,15124.361,15110.8545,15105.711,15239.335,15110.328,15016.277,14969.999,15244.4,15284.991,15262.391,15052.513,15123.071,15112.668,15458.085,15139.321,15234.59,15266.201,15221.601,15149.909,15299.984,14990.18,14942.786,15275.987,15112.665,14984.182,15152.335
2021-11-25,14996.234,15089.194,15275.29,14817.894,14929.43,14998.342,14981.455,14980.881,15113.656,14986.167,14894.179,14848.939,15117.633,15152.328,15132.357,14928.235,14996.858,14985.716,15325.028,15014.807,15101.98,15139.401,15092.616,15026.806,15172.2295,14866.782,14821.473,15148.446,14987.748,14860.598,15026.09
2021-11-26,14953.664,15037.835,15202.605,14772.365,14841.482,14954.605,14860.699,14945.467,15059.748,14924.383,14858.596,14803.425,15037.635,14994.825,15046.315,14885.411,14956.9375,14911.723,15211.99,14968.433,14990.741,15078.962,15036.085,14980.567,15107.329,14790.039,14776.187,15095.425,14941.39,14814.149,14961.301
2021-11-27,14896.07,14980.144,15148.567,14716.403,14793.682,14895.188,14821.814,14884.295,15003.484,14871.29,14799.047,14747.359,14988.363,14964.799,14996.94,14826.717,14896.287,14860.592,15168.76,14910.64,14947.234,15023.963,14978.688,14923.544,15053.082,14741.748,14719.909,15037.836,14883.36,14756.914,14907.892
2021-11-28,14733.904,14822.112,15012.97,14560.943,14685.692,14727.797,14758.8545,14707.103,14851.29,14733.194,14627.11,14591.555,14871.666,14948.678,14882.97,14661.167,14723.04,14734.933,15088.034,14749.764,14864.731,14879.111,14824.208,14765.051,14912.88,14626.533,14563.311,14880.965,14721.719,14597.844,14770.304
2021-11-29,14475.815,14563.659,14771.08,14310.223,14471.915,14461.5625,14585.347,14432.919,14599.25,14495.456,14360.215,14340.343,14651.22,14815.22,14662.118,14398.143,14451.231,14506.103,14894.959,14490.814,14670.421,14632.8125,14567.091,14509.556,14669.971,14410.468,14311.143,14622.968,14461.702,14341.384,14531.17
2021-11-30,14281.82,14356.683,14541.576,14115.735,14234.589,14261.771,14320.847,14241.128,14391.846,14283.927,14171.972,14145.592,14422.028,14517.759,14423.961,14201.27,14254.07,14281.348,14631.69,14290.876,14409.094,14418.855,14353.237,14311.571,14451.238,14188.259,14116.244,14413.806,14261.217,14142.621,14314.556
2021-12-01,13986.199,14060.937,14265.638,13828.742,13991.531,13956.878,14125.232,13926.765,14103.554,14012.39,13866.045,13857.99,14170.993,14369.489,14172.705,13899.984,13942.581,14020.473,14413.289,13994.406,14189.205,14137.417,14059.158,14019.073,14173.816,13942.177,13827.538,14118.636,13963.502,13849.021,14041.513
2021-12-02,13630.205,13697.983,13907.763,13479.958,13657.699,13589.955,13817.668,13555.92,13746.743,13667.784,13504.359,13508.493,13834.6,14085.056,13831.437,13537.641,13571.331,13678.003,14086.835,13634.574,13862.495,13783.037,13693.94,13663.67,13820.32,13613.7295,13477.019,13755.013,13602.295,13492.28,13692.926
2021-12-03,13663.001,13695.581,13806.04,13495.178,13471.904,13624.825,13467.019,13630.599,13728.913,13606.781,13572.855,13524.03,13686.213,13554.007,13659.117,13573.469,13625.745,13560.468,13782.994,13652.874,13566.67,13734.251,13669.402,13679.679,13750.792,13474.955,13494.243,13745.502,13621.399,13508.366,13620.896
2021-12-04,13704.792,13740.155,13855.462,13537.039,13523.015,13667.824,13523.999,13671.892,13773.59,13652.34,13613.356,13565.969,13735.579,13618.098,13710.39,13615.86,13668.209,13608.88,13839.711,13695.923,13622.98,13780.334,13715.482,13722.315,13797.909,13522.821,13536.214,13790.552,13664.578,13551.157,13667.547
2021-12-05,13722.901,13760.976,13882.534,13555.89,13554.255,13686.414,13564.602,13688.086,13795.08,13675.976,13629.431,13584.843,13764.503,13669.266,13741.16,13634.129,13685.763,13636.117,13878.308,13715.203,13661.066,13803.723,13737.895,13741.495,13822.614,13550.662,13555.034,13811.881,13683.884,13570.405,13692.137
2021-12-06,13729.035,13768.294,13892.702,13562.398,13566.443,13692.701,13581.168,13693.27,13802.733,13684.67,13634.613,13591.358,13775.632,13690.732,13753.097,13640.298,13691.558,13646.45,13893.859,13721.842,13676.385,13812.249,13745.918,13748.115,13831.74,13561.346,13561.522,13819.423,13690.527,13577.049,13701.239
2021-12-07,13825.198,13859.282,13962.873,13653.272,13614.026,13792.004,13589.722,13801.397,13889.141,13759.51,13739.207,13682.478,13831.22,13657.991,13805.194,13738.643,13795.813,13709.64,13916.378,13816.1045,13700.554,13891.954,13833.129,13840.816,13907.144,13616.819,13653.232,13909.182,13785.303,13670.093,13774.911
2021-12-08,13781.354,13827.441,13967.135,13616.389,13650.619,13746.44,13687.829,13741.192,13863.394,13750.3545,13682.049,13645.418,13854.157,13822.908,13836.282,13693.146,13742.839,13720.957,13995.988,13777.126,13777.26,13877.535,13809.029,13803.058,13900.246,13637.03,13615.475,13879.835,13745.907,13632.189,13769.3545
2021-12-09,13907.7,13941.44,14038.471,13733.17,13679.602,13877.078,13640.38,13889.536,13969.07,13834.32,13824.922,13762.559,13899.414,13693.593,13873.179,13822.738,13882.95,13780.894,13973.864,13898.674,13758.545,13969.645,13914.604,13922.265,13983.504,13683.736,13733.638,13991.1045,13868.235,13751.838,13850.022
2021-12-10,14108.357,14142.952,14228.681,13928.3,13849.288,14083.952,13781.43,14101.999,14165.853,14020.642,14031.743,13958.113,14073.714,13806.414,14048.128,14027.162,14093.933,13961.216,14129.4,14100.196,13914.935,14162.44,14115.494,14121.145,14174.027,13854.447,13929.909,14192.382,14070.607,13951.447,14037.609
2021-12-11,14296.287,14338.722,14433.268,14114.3955,14050.704,14277.529,13987.881,14293.06,14360.104,14213.35,14218.58,14144.548,14272.148,14021.382,14251.976,14218.156,14287.573,14159.352,14340.572,14291.87,14125.335,14358.991,14315.049,14310.708,14372.497,14047.5,14116.701,14389.338,14262.933,14141.71,14233.741
2021-12-12,14447.404,14498.231,14605.608,14265.047,14225.244,14433.158,14175.885,14444.362,14519.248,14373.698,14366.814,14295.441,14442.127,14226.569,14427.743,14371.608,14442.116,14327.332,14529.754,14446.877,14313.426,14521.774,14478.883,14464.122,14538.017,14212.552,14267.787,14550.216,14418.414,14295.698,14397.506
2021-12-13,14542.723,14601.723,14725.13,14361.448,14352.716,14531.265,14324.864,14536.561,14623.697,14482.283,14457.525,14391.964,14563.733,14400.682,14554.973,14468.215,14537.975,14445.244,14675.863,14545.856,14458.192,14630.986,14586.881,14562.239,14650.61,14330.22,14364.302,14655.1455,14517.629,14394.193,14509.162
2021-12-14,14422.667,14497.301,14671.965,14252.343,14348.66,14407.053,14411.012,14391.231,14528.789,14412.556,14318.015,14282.482,14540.191,14583.939,14542.04,14344.833,14402.643,14404.444,14733.071,14432.005,14511.251,14552.293,14492.873,14450.795,14582.588,14304.15,14253.673,14554.089,14402.944,14282.368,14443.81
2021-12-15,14388.242,14452.578,14601.219,14214.032,14258.298,14371.798,14279.667,14366.201,14480.685,14354.351,14292.396,14244.195,14459.558,14407.046,14454.359,14310.421,14372.154,14331.353,14611.981,14393.192,14392.306,14496.179,14441.97,14411.92,14521.023,14227.065,14215.717,14507.382,14364.198,14243.327,14382.159
2021-12-16,14327.095,14392.407,14547.913,14155.144,14214.084,14308.704,14249.809,14300.042,14422.474,14300.78,14228.138,14185.175,14412.654,14391.972,14408.097,14248.036,14307.155,14281.563,14576.151,14332.288,14355.9375,14440.244,14382.7705,14351.889,14466.502,14180.8955,14156.423,14447.533,14303.017,14183.073,14328.599
2021-12-17,14290.246,14351.883,14499.77,14117.634,14161.688,14270.794,14186.761,14264.984,14381.366,14257.469,14193.574,14147.62,14363.061,14316.641,14355.977,14210.724,14270.39,14233.834,14514.861,14293.811,14295.282,14396.853,14340.183,14313.717,14421.504,14132.975,14118.895,14406.351,14264.458,14144.754,14283.936
