,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,26966.893,26998.38,26657.787,26089.64,27340.928,26820.068,27004.396,27159.13,26807.697,26524.637,26896.324,26502.922,25956.994,26736.697,26849.742,26080.047,27229.34,26576.535,27660.3,27306.504,27927.064,26546.002,26722.088,27817.566,26535.578,26931.623,26358.05,27016.006,25201.74,26926.908,26804.918
2000-01-10,27202.22,27507.729,27573.768,26234.436,25944.045,27500.96,26722.766,28090.623,27690.78,26162.15,26867.865,26371.928,26706.41,27479.725,27540.936,26883.928,26792.322,27409.354,26944.982,27578.105,27243.023,27334.666,26641.615,26572.016,27176.963,26640.422,26568.09,27178.416,27232.943,26101.068,26996.475
2000-01-11,26859.121,27224.39,27738.068,26443.877,27001.613,27247.69,26833.008,27118.18,27152.225,26830.941,26844.678,26467.164,27099.232,27196.703,27332.855,26903.863,27233.416,26978.092,27682.148,27020.969,27329.152,27246.27,27378.225,26915.764,27301.477,26557.385,26501.979,27332.248,27014.145,26765.586,27051.682
2000-01-12,26931.285,27282.21,27737.297,26506.943,26949.01,27323.69,26686.133,27217.709,27197.242,26849.438,26935.62,26530.639,27066.354,26937.748,27289.28,26981.732,27322.875,26967.035,27561.062,27086.55,27219.742,27273.773,27422.783,26980.26,27317.24,26531.336,26565.709,27385.023,27079.521,26827.826,27065.432
2000-01-13,27222.389,27561.46,27971.246,26781.965,27130.18,27625.51,26775.812,27536.934,27464.559,27089.61,27245.88,26805.455,27263.654,26935.389,27478.545,27276.918,27635.205,27182.346,27686.287,27372.23,27349.959,27526.695,27692.6,27263.678,27558.918,26729.957,26843.156,27660.436,27364.844,27108.12,27304.662
2000-01-14,27045.102,27719.902,29064.354,27091.424,26917.879,27977.781,26861.502,27393.078,27765.986,27398.676,27097.521,26652.404,28493.209,27828.555,28057.879,27978.094,27556.37,27648.695,27928.832,27037.63,26950.635,28169.56,28320.65,26296.303,28310.076,26422.543,26923.295,27931.617,29102.887,26888.943,27561.045
2000-01-15,26974.63,27379.508,28232.65,27100.604,28258.852,27475.373,26930.922,26685.383,27007.354,27828.654,27320.557,26997.38,27741.727,26696.291,27346.781,27401.55,28186.707,26849.748,28489.588,26930.664,27502.324,27446.637,28512.21,27691.639,27749.883,26729.088,26858.465,27900.47,27244.99,27858.326,27444.299
2000-01-16,27378.611,27724.822,28167.76,26935.477,27345.418,27786.043,27028.734,27683.348,27633.438,27267.951,27395.293,26958.258,27468.451,27247.291,27689.422,27429.27,27787.988,27375.674,27937.756,27531.709,27591.404,27704.797,27864.193,27422.564,27741.879,26927.682,26997.926,27826.693,27524.186,27267.12,27488.037
2000-01-17,27709.293,28047.314,28462.184,27250.03,27599.104,28128.361,27213.582,28035.762,27947.23,27560.691,27740.777,27272.303,27732.646,27371.875,27948.518,27761.967,28136.775,27651.688,28154.79,27858.57,27808.934,28009.13,28181.273,27747.262,28037.752,27190.4,27315.277,28146.756,27850.55,27588.697,27781.982
2000-01-18,28084.674,28420.656,28836.82,27610.053,27954.723,28516.082,27540.723,28421.25,28317.705,27921.129,28123.137,27631.363,28089.238,27693.559,28304.947,28135.723,28523.982,28009.309,28506.967,28232.863,28154.018,28378.62,28556.086,28119.568,28403.795,27540.941,27678.564,28520.152,28224.24,27958.314,28146.973
