,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2024-02-03,17913.762,18032.553,17973.986,16689.457,17996.209,18270.832,17948.406,18123.52,18002.904,16363.927,18202.578,18081.707,18036.025,17866.166,18016.27,18005.879,18011.27,17962.094,18205.926,18111.713,18033.82,18126.83,18213.807,17952.12,18071.86,18348.705,18173.883,18247.895,18059.818,18301.617,17978.186
2024-02-04,17891.957,18096.014,17999.254,16686.34,18033.07,18295.523,17969.637,18142.242,18008.752,16376.464,18205.785,18096.719,18036.867,17901.857,18041.492,18011.39,18049.963,17986.488,18237.727,18131.475,18041.395,18134.453,18226.023,17968.98,18111.604,18393.826,18182.627,18237.365,18091.36,18334.918,17997.385
2024-02-05,17946.35,18180.982,18069.85,16716.488,18110.102,18369.758,18039.998,18212.8,18074.527,16408.732,18272.422,18167.375,18101.898,17972.584,18114.305,18077.416,18127.863,18059.023,18315.582,18204.727,18109.535,18202.896,18295.66,18037.531,18187.904,18475.629,18252.123,18301.225,18164.613,18413.305,18066.107
2024-02-06,18024.568,18242.39,18137.986,16754.238,18178.65,18442.562,18110.357,18284.96,18149.041,16439.246,18349.615,18241.967,18178.643,18034.363,18185.096,18152.432,18196.307,18130.004,18388.27,18279.445,18185.781,18279.47,18370.791,18108.465,18253.795,18544.707,18329.242,18383.664,18231.986,18485.693,18135.79
2024-02-07,18085.252,18304.775,18198.953,16784.871,18242.072,18507.268,18172.414,18348.041,18211.73,16466.754,18414.04,18306.385,18242.25,18091.967,18248.244,18215.469,18259.975,18193.162,18454.191,18344.838,18250.207,18344.182,18435.146,18170.197,18315.543,18610.078,18394.613,18449.906,18293.455,18551.646,18196.92
2024-02-08,18148.111,18443.3,18302.729,16823.371,18359.098,18615.54,18274.139,18448.994,18301.113,16514.51,18503.475,18405.957,18328.525,18200.145,18354.889,18305.012,18378.89,18299.123,18570.242,18449.81,18343.387,18437.809,18532.234,18267.73,18432.803,18736.836,18490.072,18529.957,18403.248,18669.021,18295.668
2024-02-09,18265.242,18333.969,18294.158,16861.385,18321.936,18612.184,18277.469,18460.018,18346.166,16507.637,18557.32,18428.182,18387.922,18160.473,18348.572,18351.346,18337.104,18295.027,18549.012,18460.285,18385.533,18480.082,18561.896,18282.42,18386.316,18679.451,18530.018,18622.295,18378.467,18643.854,18303.523
2024-02-10,18187.795,18423.113,18309.09,16837.797,18358.21,18623.809,18283.807,18460.85,18321.951,16516.576,18526.895,18420.979,18353.299,18197.768,18362.152,18326.238,18376.812,18306.982,18573.94,18461.85,18363.693,18458.195,18549.223,18280.371,18429.207,18730.861,18509.932,18563.846,18405.373,18671.682,18306.41
2024-02-11,18258.645,18509.373,18387.67,16874.762,18441.576,18706.826,18363.043,18540.943,18399.61,16552.146,18606.273,18502.15,18431.262,18273.807,18443.361,18404.252,18460.756,18388.098,18659.594,18544.96,18443.713,18538.594,18629.898,18358.53,18510.98,18817.908,18591.303,18643.275,18485.492,18757.613,18384.215
2024-02-12,18339.871,18584.006,18464.432,16914.898,18520.297,18788.453,18441.576,18621.074,18480.63,16586.58,18689.844,18584.424,18513.957,18345.045,18522.926,18485.738,18539.605,18467.791,18742.113,18628.021,18526.773,18622.049,18712.41,18437.098,18587.236,18898.322,18675.49,18730.588,18562.193,18840.037,18461.785
2024-02-13,18412.498,18663.674,18540.188,16951.959,18599.666,18868.648,18518.346,18698.943,18557.365,16620.719,18768.559,18663.734,18591.459,18417.217,18601.277,18562.848,18619.373,18546.15,18824.262,18708.807,18605.666,18701.326,18791.516,18513.219,18664.75,18980.559,18755.623,18810.664,18638.836,18922.332,18537.338
2024-02-14,18488.979,18754.613,18623.848,16991.615,18688.137,18957.02,18602.744,18784.322,18640.514,16658.482,18853.635,18750.38,18675.02,18497.83,18687.719,18646.361,18708.414,18632.54,18915.328,18797.424,18691.262,18787.355,18877.723,18596.572,18751.455,19072.79,18842.66,18896.084,18723.928,19013.678,18620.281
