,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2024-02-03,18121.967,18210.46,18358.137,18156.273,18389.613,18379.51,18002.053,18081.553,18137.916,18244.531,18120.691,18112.96,18163.047,18308.69,17938.422,18409.713,18360.113,17929.354,17987.916,18050.021,17882.969,17902.27,18279.764,18129.105,17895.785,18022.467,18033.586,18142.521,18290.043,18493.783,18151.178
2024-02-04,18143.951,18233.076,18393.172,18183.38,18423.139,18402.736,18055.213,18102.088,18164.193,18275.57,18138.463,18142.186,18194.389,18326.47,17959.795,18429.824,18385.416,17962.623,18014.367,18074.492,17907.621,17933.244,18299.736,18160.709,17928.945,18046.96,18052.906,18180.021,18315.963,18526.188,18178.562
2024-02-05,18203.553,18300.809,18469.424,18245.47,18496.846,18469.844,18137.172,18163.586,18237.902,18344.668,18201.719,18213.85,18263.885,18398.299,18020.217,18500.783,18455.936,18036.828,18080.605,18144.52,17971.158,18003.186,18367.465,18228.666,17992.13,18118.97,18111.979,18252.232,18394.74,18596.996,18247.445
2024-02-06,18260.578,18367.137,18538.129,18302.291,18563.426,18535.025,18201.623,18223.834,18309.049,18407.389,18265.709,18280.736,18326.818,18472.498,18078.664,18572.498,18523.918,18104.225,18142.77,18212.418,18031.252,18066.953,18435.43,18289.678,18046.508,18189.209,18170.07,18314.621,18472.113,18660.867,18312.182
2024-02-07,18311.672,18426.078,18601.28,18354.178,18624.523,18593.096,18264.547,18277.367,18372.63,18464.893,18321.787,18341.34,18384.432,18537.057,18130.87,18635.42,18584.72,18165.998,18198.957,18272.98,18085.41,18125.328,18495.22,18345.867,18097.479,18251.713,18221.584,18373.02,18540.76,18719.541,18370.658
2024-02-08,18399.154,18524.703,18716.18,18447.135,18735.357,18690.994,18394.506,18366.98,18480.658,18568.87,18412.346,18447.85,18488.352,18639.107,18219.43,18737.248,18688.193,18277.625,18297.14,18375.383,18179.36,18230.44,18592.723,18448.54,18194.375,18356.73,18307.393,18483.672,18655.238,18826.14,18472.727
2024-02-09,18389.84,18521.39,18683.848,18425.035,18704.959,18685.3,18314.363,18363.973,18472.01,18541.629,18419.17,18428.574,18461.158,18654.082,18212.86,18744.428,18679.473,18248.533,18281.002,18368.643,18166.006,18204.17,18597.162,18418.52,18155.37,18351.857,18305.63,18440.145,18652.479,18796.52,18456.271
2024-02-10,18403.9,18532.156,18716.521,18448.596,18735.916,18697.684,18382.137,18373.752,18487.352,18569.77,18422.078,18451.299,18489.256,18652.21,18225.068,18748.05,18694.479,18278.643,18300.799,18382.16,18183.467,18231.727,18602.363,18448.516,18191.232,18364.273,18314.21,18480.377,18664.207,18826.574,18476.625
2024-02-11,18469.596,18607.66,18799.053,18516.13,18815.627,18772.125,18467.275,18442.377,18569.104,18644.883,18493.21,18529.848,18564.13,18733.838,18292.213,18828.014,18772.72,18359.312,18373.51,18459.928,18253.463,18307.922,18678.459,18522.086,18258.605,18444.406,18380.1,18556.24,18752.025,18903.207,18552.236
2024-02-12,18533.441,18681.818,18877.328,18580.594,18891.273,18844.963,18543.574,18509.795,18648.906,18716.37,18563.98,18605.473,18635.246,18815.799,18357.832,18907.57,18849.076,18436.102,18443.666,18535.982,18321.223,18380.582,18753.934,18591.771,18321.3,18522.979,18444.906,18623.422,18838.363,18975.916,18625.107
