,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2024-02-03,17991.55,15017.827,17440.469,14543.902,17880.115,17431.19,13693.324,18451.363,14911.385,14710.157,18521.793,14667.156,17917.432,17695.092,17811.508,17995.812,13575.162,15167.624,15848.16,15036.361,17811.654,14379.857,16687.377,15754.054,18023.773,16385.6,15322.755,18160.195,17470.588,16426.504,16424.324
2024-02-04,18017.209,15017.924,17445.22,14549.888,17904.244,17448.725,13693.628,18478.555,14911.732,14703.561,18549.39,14667.438,17941.914,17696.01,17839.736,18019.36,13574.363,15169.332,15847.607,15035.547,17835.723,14382.377,16688.764,15752.686,18052.008,16385.332,15322.056,18185.576,17469.043,16425.564,16433.684
2024-02-05,18082.566,15016.578,17453.322,14561.277,17966.736,17498.193,13693.986,18552.791,14911.663,14698.42,18620.307,14667.035,18007.668,17697.242,17907.29,18087.84,13574.1,15165.964,15849.581,15037.135,17902.006,14387.1455,16688.195,15750.407,18125.012,16386.111,15321.885,18252.312,17463.166,16426.66,16458.418
2024-02-06,18144.24,15014.905,17459.975,14571.078,18025.936,17546.041,13694.22,18624.043,14911.355,14696.431,18687.365,14666.388,18070.543,17698.137,17969.963,18154.541,13574.302,15160.901,15852.258,15039.53,17965.77,14391.247,16686.643,15748.549,18194.16,16387.19,15322.116,18315.78,17457.121,16428.559,16481.977
2024-02-07,18199.932,15013.534,17466.348,14580.277,18079.32,17588.822,13694.47,18687.936,14911.167,14693.576,18747.867,14665.901,18127.016,17699.049,18026.955,18214.0,13574.312,15157.025,15854.372,15041.363,18022.896,14395.1,16685.625,15746.7705,18256.5,16388.035,15322.183,18372.904,17451.844,16429.953,16503.168
2024-02-08,18296.945,15011.793,17479.02,14597.813,18171.904,17661.465,13695.069,18797.297,14911.21,14684.057,18853.016,14665.49,18224.047,17701.055,18127.934,18314.25,13573.648,15153.27,15856.761,15043.131,18120.438,14402.449,16685.443,15743.188,18364.658,16388.951,15321.667,18471.6,17443.422,16431.018,16539.732
2024-02-09,18282.254,15010.204,17472.467,14590.708,18159.049,17655.988,13694.499,18786.443,14910.098,14698.956,18837.803,14664.28,18213.271,17699.482,18107.61,18308.873,13575.794,15144.962,15860.25,15047.089,18111.42,14399.448,16680.756,15745.139,18349.535,16390.484,15323.6,18459.03,17442.416,16434.89,16535.225
2024-02-10,18300.936,15011.174,17478.184,14597.229,18176.053,17666.068,13694.948,18803.463,14910.889,14687.6045,18857.541,14665.102,18229.18,17700.764,18130.61,18321.246,13574.225,15150.509,15857.983,15044.442,18126.133,14402.193,16684.049,15743.453,18369.473,16389.484,15322.187,18476.35,17442.41,16432.238,16541.537
2024-02-11,18373.121,15009.522,17486.732,14609.436,18245.164,17721.174,13695.304,18885.912,14910.71,14683.089,18935.914,14664.553,18302.125,17702.023,18204.787,18397.705,13574.108,15146.027,15860.492,15046.558,18199.582,14407.307,16683.016,15741.052,18450.186,16390.479,15322.161,18550.227,17435.703,16433.809,16568.934
2024-02-12,18442.98,15007.7295,17494.543,14620.799,18312.174,17775.053,13695.599,18966.275,14910.429,14680.05,19011.826,14663.892,18373.111,17703.107,18276.074,18472.678,13574.21,15140.81,15863.3,15049.031,18268.965,14412.066,16681.54,15738.87,18528.422,16391.615,15322.318,18621.955,17428.984,16435.72,16595.47
2024-02-13,18512.342,15006.072,17502.594,14632.364,18378.621,17828.2,13695.918,19045.69,14910.224,14676.186,19087.146,14663.313,18443.332,17704.268,18347.168,18546.488,13574.179,15136.184,15865.847,15051.215,18337.373,14416.905,16680.37,15736.618,18606.012,16392.627,15322.355,18693.014,17422.459,16437.363,16621.748
2024-02-14,18589.139,15004.299,17511.65,14645.313,18452.164,17886.871,13696.292,19133.441,14910.026,14671.494,19170.537,14662.716,18520.953,17705.592,18426.033,18627.908,13574.085,15131.325,15868.552,15053.514,18412.889,14422.326,16679.217,15734.076,18691.877,16393.713,15322.341,18771.61,17415.3,16439.066,16650.812
2024-02-15,18482.396,15004.137,17492.49,14621.009,18351.613,17813.156,13695.089,19019.576,14908.724,14697.103,19055.639,14661.745,18418.617,17701.953,18309.285,18528.643,13577.104,15125.467,15870.274,15056.321,18318.32,14412.114,16674.129,15739.6,18574.312,16394.58,15324.992,18665.729,17422.02,16442.422,16611.951
2024-02-16,18499.81,15006.876,17502.398,14631.48,18366.299,17817.1,13695.992,19029.795,14910.56,14673.239,19073.35,14663.767,18429.58,17704.402,18335.688,18530.498,13573.633,15139.416,15864.346,15049.679,18323.03,14416.543,16681.861,15736.645,18591.654,16392.004,15321.848,18679.531,17424.262,16435.975,16616.709
2024-02-17,18709.695,15003.086,17529.824,14669.4375,18566.613,17974.262,13697.291,19266.307,14910.656,14652.64,19300.809,14662.869,18639.455,17708.756,18554.148,18747.348,13572.196,15131.287,15869.5,15053.501,18525.162,14432.449,16681.451,15728.893,18825.59,16393.984,15320.73,18892.955,17406.014,16438.287,16695.506
2024-02-18,18803.885,14998.446,17534.775,14679.412,18658.383,18053.56,13697.102,19381.5,14908.939,14664.771,19403.988,14660.446,18739.857,17708.695,18644.21,18860.217,13574.788,15113.525,15877.953,15061.938,18627.486,14436.593,16673.773,15727.652,18932.559,16397.521,15323.179,18992.465,17394.207,16445.73,16732.586
2024-02-19,18811.432,14998.103,17535.252,14680.294,18665.713,18059.814,13697.095,19390.625,14908.824,14665.491,19412.234,14660.2705,18747.828,17708.71,18651.52,18869.074,13574.96,15112.268,15878.559,15062.538,18635.545,14436.959,16673.246,15727.525,18941.104,16397.766,15323.337,19000.39,17393.307,16446.25,16735.535
2024-02-20,18819.143,14997.986,17536.33,14681.755,18673.05,18065.498,13697.148,19399.22,14908.84,14664.535,19420.578,14660.265,18755.475,17708.889,18659.617,18876.895,13574.869,15112.101,15878.689,15062.612,18642.861,14437.569,16673.31,15727.212,18949.674,16397.824,15323.273,19008.191,17392.662,16446.281,16738.412
2024-02-21,18830.275,14997.731,17537.652,14683.637,18683.719,18074.008,13697.205,19411.94,14908.813,14663.847,19432.672,14660.168,18766.723,17709.078,18671.057,18888.693,13574.86,15111.403,15879.074,15062.949,18653.8,14438.355,16673.14,15726.842,18962.123,16397.98,15323.268,19019.584,17391.633,16446.527,16742.627
2024-02-22,18845.982,14997.412,17539.605,14686.382,18698.73,18085.88,13697.293,19429.752,14908.8,14662.591,19449.7,14660.074,18782.51,17709.379,18687.3,18905.12,13574.795,15110.607,15879.548,15063.318,18669.074,14439.509,16673.014,15726.289,18979.648,16398.156,15323.2295,19035.596,17390.205,16446.783,16748.543
2024-02-23,18990.918,14995.76,17560.969,14714.928,18836.447,18191.525,13698.432,19590.05,14909.439,14641.345,19606.379,14660.119,18925.363,17713.049,18840.78,19049.72,13572.736,15109.62,15881.099,15063.761,18804.777,14451.482,16675.186,15720.215,19140.498,16398.654,15321.489,19181.684,17378.797,16446.281,16802.385
2024-02-24,19185.854,14990.837,17582.982,14746.859,19023.393,18341.637,13699.279,19813.898,14908.692,14632.339,19818.111,14658.327,19123.16,17716.137,19039.906,19258.426,13572.93,15095.353,15888.804,15070.505,18997.887,14464.843,16671.238,15714.061,19358.62,16401.766,15321.852,19381.537,17360.12,16451.473,16876.361
2024-02-25,19375.01,14986.208,17604.729,14778.221,19204.71,18486.84,13700.135,20029.607,14908.062,14622.49,20023.486,14656.6875,19314.744,17719.232,19233.557,19460.104,13572.959,15082.247,15895.971,15076.699,19184.627,14477.969,16667.814,15707.977,19570.146,16404.63,15322.048,19575.229,17342.166,16456.184,16948.018
2024-02-26,19479.422,14982.402,17613.617,14792.559,19305.611,18570.701,13700.285,20145.652,14906.966,14626.112,20137.309,14654.93,19423.125,17720.09,19337.08,19578.021,13574.341,15069.014,15902.526,15082.973,19292.617,14483.944,16662.74,15705.562,19687.742,16407.338,15323.411,19683.697,17330.729,16461.494,16988.068
2024-02-27,19510.045,14981.163,17615.91,14796.456,19335.287,18595.67,13700.295,20180.043,14906.564,14628.083,20170.742,14654.326,19455.182,17720.254,19367.1,19613.264,13574.883,15064.533,15904.715,15085.102,19324.781,14485.57,16660.934,15704.947,19722.322,16408.25,15323.934,19715.662,17327.21,16463.324,16999.885
2024-02-28,19510.156,14980.943,17615.385,14795.96,19335.531,18596.402,13700.239,20180.771,14906.4375,14629.641,20170.947,14654.179,19455.746,17720.11,19366.637,19614.521,13575.122,15063.5,15905.168,15085.596,19325.744,14485.359,16660.385,15705.116,19722.592,16408.436,15324.146,19716.05,17326.93,16463.799,17000.053
2024-02-29,19589.844,14980.278,17627.758,14812.258,19411.092,18653.744,13700.931,20263.03,14906.937,14616.161,20256.969,14654.367,19533.723,17722.297,19451.691,19692.678,13573.727,15064.134,15905.508,15085.275,19399.3,14492.197,16662.205,15701.577,19810.807,16408.492,15322.949,19795.988,17320.95,16462.984,17029.33
2024-03-01,19584.398,14978.532,17622.451,14806.863,19407.088,18655.146,13700.421,20262.445,14905.832,14630.069,20251.764,14653.133,19532.18,17720.928,19441.053,19696.791,13575.785,15055.508,15909.212,15089.375,19401.34,14489.911,16657.531,15703.161,19805.998,16410.098,15324.817,19792.78,17319.15,16466.938,17028.357
2024-03-02,19548.807,14979.857,17619.486,14802.037,19372.676,18626.482,13700.376,20222.82,14906.227,14628.641,20212.96,14653.746,19495.182,17720.648,19405.836,19656.465,13575.285,15060.141,15906.922,15087.182,19364.44,14487.9,16659.326,15703.965,19765.9,16409.154,15324.333,19755.781,17323.09,16465.064,17014.691
2024-03-03,19696.557,14978.747,17642.74,14832.554,19512.691,18732.45,13701.697,20374.99,14907.219,14602.764,20372.404,14654.19,19639.502,17724.787,19563.861,19800.727,13572.545,15061.907,15907.303,15086.312,19500.336,14500.703,16663.014,15697.317,19929.37,16409.143,15321.98,19903.85,17312.152,16463.293,17068.902
2024-03-04,19771.639,14974.635,17645.705,14839.575,19586.145,18796.832,13701.448,20462.285,14905.611,14615.347,20454.762,14651.978,19720.32,17724.46,19634.598,19892.752,13575.056,15045.798,15914.891,15093.966,19583.379,14503.607,16655.867,15696.621,20014.84,16412.326,15324.331,19983.521,17302.223,16470.107,17098.486
