,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
0,0.37485552,0.37880233,0.37100953,0.37000316,0.36347848,0.3579729,0.35681102,0.3545408,0.3482355,0.34693745,0.34682673,0.3474726,0.3446581,0.3465815,0.34555674,0.34517676,0.34416953,0.34174156,0.3443644,0.3393141,0.3406797,0.342799,0.3430894,0.3408158,0.33868104,0.34198028,0.34305626,0.3437439,0.34034446,0.3430277,0.34955755
1,0.36949652,0.37319958,0.36492524,0.36386156,0.3594162,0.3558041,0.35732085,0.35694578,0.35271734,0.35226947,0.35296786,0.35529423,0.35250294,0.35475975,0.3532833,0.35486412,0.35308504,0.35003847,0.35586625,0.34987146,0.35115993,0.35362118,0.35446084,0.3526274,0.3499328,0.35356164,0.35484654,0.35504478,0.35368058,0.3537762,0.35570672
2,0.36107594,0.3652954,0.36069563,0.36158878,0.35975003,0.35778165,0.36066842,0.36156988,0.35819843,0.3592155,0.3593212,0.36169353,0.35800582,0.35930085,0.3578264,0.35947868,0.35758987,0.3545811,0.36088344,0.3546329,0.35613045,0.35846484,0.35982907,0.35775715,0.35530376,0.35890195,0.3599795,0.35989982,0.35782737,0.35899055,0.3590746
3,0.3520105,0.35733324,0.35487592,0.36011446,0.3584289,0.35633814,0.35803407,0.35879722,0.3555604,0.35627544,0.35664347,0.3579128,0.3543591,0.3557818,0.35421634,0.35437497,0.3515723,0.34834182,0.35386458,0.34868467,0.34844306,0.35050026,0.3515449,0.3494745,0.34687683,0.34949148,0.35105816,0.35073885,0.349203,0.34948558,0.35334453
4,0.35349086,0.35884154,0.3563875,0.36182025,0.360239,0.35984668,0.362849,0.36466485,0.36203638,0.36338836,0.36407134,0.36594677,0.36304268,0.36480862,0.3633616,0.36469898,0.361789,0.35819447,0.36472696,0.35887504,0.359937,0.3614093,0.36306626,0.3617098,0.3590994,0.36261165,0.36316657,0.3621188,0.36184657,0.36285996,0.36169684
5,0.35455918,0.3598462,0.35797915,0.3630748,0.36280856,0.36079115,0.36253202,0.36330563,0.35936838,0.36087525,0.36112154,0.36185542,0.3587978,0.36018732,0.35863522,0.35908607,0.3572728,0.3542295,0.35854262,0.35397393,0.35333395,0.355529,0.35673466,0.35443407,0.3520063,0.35518342,0.3563644,0.3562327,0.3543281,0.35508505,0.35793582
6,0.3550051,0.36028883,0.35796338,0.36283273,0.35977846,0.35802615,0.3601505,0.3606966,0.35730165,0.35767257,0.35794106,0.35924417,0.35577247,0.35723597,0.35583037,0.35622284,0.35362118,0.3500467,0.35687822,0.350621,0.3513923,0.35341197,0.35425866,0.35218233,0.3495472,0.35261023,0.35431156,0.3541231,0.35243252,0.3522687,0.35565567
7,0.3552721,0.36058772,0.3571582,0.36238652,0.36074483,0.35883665,0.36077315,0.36169437,0.35847944,0.35945398,0.3599196,0.36146408,0.35827547,0.35974562,0.3581344,0.3593815,0.35730463,0.35371786,0.36028075,0.3542509,0.35520422,0.3569693,0.3579733,0.35594544,0.3533765,0.35663232,0.35829335,0.35797048,0.35645702,0.35706252,0.35812485
8,0.3576801,0.36278206,0.36053374,0.3645323,0.36383462,0.3623951,0.36554646,0.3671249,0.36434758,0.3655772,0.3662206,0.36828613,0.36533386,0.36695647,0.3654638,0.36615214,0.36411104,0.36067778,0.36597648,0.36093023,0.361365,0.36309195,0.36475202,0.36303273,0.3604076,0.36352435,0.36432663,0.36422908,0.3624698,0.36408418,0.3638582
9,0.35641858,0.36180162,0.36134183,0.36795765,0.36698344,0.36595285,0.36991405,0.37170967,0.3684129,0.3704124,0.3709206,0.37224922,0.3693585,0.3712632,0.36971733,0.37040147,0.36832294,0.36500424,0.36962306,0.3651405,0.36514193,0.36669183,0.36827153,0.36659718,0.36410788,0.36723194,0.36786485,0.36767018,0.36589777,0.36776584,0.36733824
10,0.3601479,0.36563635,0.3666194,0.37572592,0.37533188,0.37565118,0.37883067,0.3805215,0.37756205,0.3808179,0.38130814,0.38208133,0.37965673,0.38116592,0.37967646,0.38098192,0.38052812,0.37737173,0.38001263,0.3770128,0.37632018,0.37628853,0.37840313,0.3766133,0.3737055,0.3761409,0.37586075,0.37590274,0.37440926,0.3761549,0.37654802
11,0.36564997,0.3710578,0.37147695,0.37956882,0.37844965,0.37606275,0.3783766,0.37961236,0.37593165,0.3774073,0.37758422,0.37757772,0.3752261,0.3770314,0.37594283,0.3760652,0.375243,0.3718728,0.37568927,0.37137878,0.3710212,0.37257436,0.37381765,0.3721044,0.36911464,0.37287256,0.3729082,0.3736205,0.37134716,0.3729567,0.3743181
12,0.37071627,0.37596446,0.37544313,0.38118473,0.37962553,0.3780452,0.3811389,0.38104388,0.376788,0.37760022,0.37806046,0.3789252,0.37624756,0.37786543,0.37641075,0.37691244,0.37578887,0.37279785,0.37670588,0.37217706,0.37225702,0.37382674,0.37512976,0.3730833,0.37040886,0.37394428,0.37456775,0.3750276,0.37302083,0.37415636,0.37582883
13,0.3747692,0.37935996,0.37782958,0.38289368,0.37929416,0.37680313,0.37949875,0.37978533,0.37586233,0.3766854,0.37707275,0.37837768,0.37514836,0.3765258,0.37471774,0.3756228,0.3743207,0.37156045,0.37515014,0.37043118,0.37078023,0.37263247,0.37393367,0.37145662,0.36899424,0.37228614,0.37328243,0.37346095,0.37135157,0.37226814,0.3750718
14,0.3769043,0.3810748,0.3784986,0.3820411,0.37909004,0.37600756,0.3785519,0.3786958,0.37490207,0.37541074,0.37575257,0.37770885,0.37434423,0.37540767,0.37349406,0.37535363,0.37291825,0.37040213,0.37551773,0.36943915,0.37059876,0.37299892,0.37411422,0.37195992,0.36927277,0.3727917,0.37332606,0.37373596,0.37136447,0.372302,0.37479934
15,0.37346932,0.3781318,0.376193,0.38009465,0.37705788,0.37404746,0.37665284,0.37687445,0.3732334,0.37374765,0.3741356,0.37617743,0.37287077,0.3738702,0.37196508,0.3738373,0.37137088,0.3684705,0.3735669,0.36791193,0.36858505,0.37049407,0.371657,0.36911705,0.36666048,0.37022302,0.3712092,0.37127122,0.3693561,0.3703886,0.37275466
16,0.37264606,0.3772301,0.3749263,0.37879753,0.37590206,0.372708,0.37524146,0.37550598,0.3718478,0.37238973,0.3727851,0.3749099,0.3714975,0.37248415,0.37066224,0.3724106,0.3700189,0.3671116,0.37247264,0.36661488,0.36732858,0.3692642,0.37060648,0.36812413,0.3656295,0.369183,0.37016886,0.37020653,0.36824164,0.36925215,0.3715389
17,0.37095815,0.37563455,0.37358284,0.3777104,0.37496203,0.37187654,0.37452942,0.37499648,0.37145516,0.37210307,0.37251768,0.37470263,0.37130886,0.3724123,0.37059647,0.3723359,0.3699379,0.36684865,0.37238178,0.36655995,0.36731037,0.3691813,0.37054417,0.3681519,0.3657262,0.36924922,0.3703556,0.37032613,0.36843884,0.36948618,0.371206
18,0.37000087,0.3747649,0.3732747,0.37793458,0.37547326,0.37281474,0.3759554,0.37677938,0.37349015,0.37433144,0.37480727,0.37711418,0.3740106,0.3751959,0.37333828,0.37483346,0.37277567,0.3694887,0.37468368,0.36935416,0.36970827,0.37147453,0.37311882,0.37092018,0.3685186,0.37215924,0.37285492,0.3728684,0.37098217,0.37248194,0.37318364
19,0.36979598,0.37466884,0.37389526,0.37917632,0.37717658,0.37507656,0.37871814,0.37983656,0.37607664,0.37774518,0.37804747,0.37961578,0.37675303,0.37834126,0.3766229,0.3776012,0.3762498,0.3729756,0.37731758,0.3725404,0.37230557,0.37400454,0.37565947,0.3737517,0.37110567,0.37481403,0.3753515,0.37544864,0.37361765,0.375386,0.37565583
20,0.3701162,0.37504184,0.37415013,0.37901133,0.37712526,0.37492412,0.37716493,0.37794507,0.37374476,0.375192,0.37538248,0.3761557,0.3731029,0.37477785,0.3731892,0.37401822,0.3727768,0.3695314,0.37361315,0.36892766,0.36842817,0.3702312,0.3712793,0.36901632,0.36632037,0.370026,0.3708862,0.37108403,0.36917117,0.37017465,0.37275025
21,0.37069637,0.37554675,0.3739594,0.37768865,0.3750599,0.37190318,0.37427044,0.37429997,0.37054312,0.37087944,0.37121618,0.37299213,0.3697025,0.3705411,0.36901036,0.37049383,0.36783317,0.3648484,0.37017727,0.36460203,0.3649299,0.36657214,0.36741143,0.36503884,0.36240828,0.3659675,0.3669249,0.36713085,0.36510733,0.3660291,0.36945954
22,0.37063336,0.37528938,0.37213427,0.37562573,0.37208974,0.36852294,0.37055779,0.37036997,0.3664114,0.36672658,0.36703327,0.36913577,0.36556774,0.36649448,0.36493948,0.3658734,0.3634519,0.36053157,0.36664823,0.3602087,0.36125818,0.3629942,0.36393696,0.36153913,0.3589749,0.3626519,0.36395872,0.3638643,0.3619197,0.36269018,0.36606774
23,0.36868206,0.37320504,0.36912385,0.3718695,0.36846676,0.36533576,0.3670189,0.36689657,0.3629063,0.36321372,0.36346656,0.36547422,0.36174083,0.36296815,0.36140406,0.36209416,0.3600121,0.3566432,0.36302227,0.35665178,0.35748303,0.3594834,0.3606159,0.35825258,0.3556861,0.3595715,0.36091468,0.3606121,0.35896438,0.35962135,0.3627133
24,0.36583126,0.37063998,0.3679189,0.37164855,0.36970836,0.36810914,0.37125337,0.37250024,0.36943823,0.3706003,0.3712483,0.3736888,0.37062895,0.3721318,0.37063476,0.37213117,0.3699455,0.366386,0.372725,0.36664075,0.36801553,0.3697838,0.37132686,0.369829,0.36707002,0.37107456,0.37166443,0.37121248,0.370012,0.37189183,0.3701897
25,0.36494863,0.37000453,0.3696357,0.375234,0.3751319,0.37386835,0.37724105,0.37888587,0.3754517,0.37730148,0.37775657,0.37983924,0.37723032,0.37856162,0.3770077,0.3782103,0.37684587,0.37354568,0.377236,0.37293866,0.37316126,0.3746484,0.37641048,0.3745284,0.3720693,0.37565976,0.37562534,0.37549004,0.3737412,0.37626076,0.37514904
26,0.3664185,0.37173212,0.37275344,0.37978888,0.37919185,0.37874633,0.38186932,0.38371637,0.3800053,0.38161713,0.3820526,0.38344115,0.38098785,0.38260534,0.38135326,0.3820793,0.38106835,0.37787592,0.38119268,0.377235,0.377482,0.37890035,0.38033998,0.3785545,0.37584555,0.37948066,0.37931928,0.37962708,0.37772176,0.37979504,0.37909323
27,0.37052393,0.37590986,0.37637424,0.3839376,0.3828934,0.38148057,0.38424644,0.38558066,0.38141143,0.38270786,0.38309616,0.38413188,0.3816592,0.3833304,0.38194937,0.38262376,0.38164815,0.379116,0.38179344,0.37792346,0.3784814,0.3798486,0.38113886,0.37915224,0.37646037,0.3798424,0.38033932,0.3805787,0.3785026,0.38034612,0.38056764
28,0.37691647,0.38189662,0.3819965,0.38757566,0.3856802,0.38478422,0.38726175,0.388323,0.38389954,0.384942,0.38522863,0.38643202,0.3839041,0.38531518,0.38405725,0.3848688,0.38386,0.38123888,0.38428426,0.37998706,0.38037482,0.3819189,0.3832907,0.38116494,0.37835905,0.38205987,0.38260734,0.3830163,0.38093546,0.38264138,0.38329408
29,0.3802985,0.38498354,0.38461405,0.38991392,0.3873994,0.38646132,0.38902813,0.38997784,0.38562238,0.3866058,0.3868099,0.38795066,0.38540795,0.38677907,0.3854925,0.38621947,0.38543758,0.3827324,0.38602746,0.38142923,0.38181615,0.3836431,0.3849967,0.382895,0.3800106,0.3837511,0.3840575,0.38461185,0.38232148,0.38411093,0.38504684
30,0.38280392,0.3873037,0.38650975,0.39166588,0.38899925,0.38806194,0.39069402,0.39165,0.38719237,0.3881946,0.38831675,0.38944787,0.3868916,0.38825667,0.38694787,0.38764194,0.38688502,0.38433734,0.38755566,0.38283372,0.3833304,0.38534954,0.38664946,0.3847733,0.38176665,0.38558853,0.38543487,0.38625145,0.38376373,0.38550365,0.3866867
31,0.38454705,0.38895792,0.38850495,0.3941743,0.39189827,0.391555,0.3943724,0.39572763,0.39098346,0.3922345,0.39238697,0.3938046,0.39129028,0.39264,0.39134002,0.3922572,0.39151466,0.38911295,0.39177722,0.38740233,0.38825756,0.39023483,0.39158064,0.3898842,0.38686514,0.39065167,0.38996595,0.39086935,0.3883475,0.39072338,0.39079538
32,0.38630652,0.3906361,0.38993713,0.39558357,0.39322865,0.391855,0.39419866,0.39510328,0.39006877,0.3910495,0.39103207,0.3921906,0.38966233,0.39094394,0.3895665,0.39031267,0.3895296,0.38727707,0.39015204,0.38540095,0.38601527,0.38809842,0.38935426,0.38770372,0.38455245,0.38825202,0.3879853,0.38893458,0.38636392,0.38804615,0.38964468
33,0.38797686,0.39216268,0.3909126,0.39613044,0.39319706,0.39259782,0.39507174,0.3954355,0.39003766,0.39100724,0.39092955,0.39191616,0.3893727,0.39066136,0.38928944,0.38999224,0.38922894,0.38696235,0.3900221,0.3851612,0.3857286,0.38784176,0.38907343,0.3876045,0.38444173,0.38793373,0.3878087,0.38885644,0.38604265,0.3875929,0.38969967
34,0.3895967,0.39342546,0.3923009,0.39759874,0.39411926,0.39346266,0.39629316,0.39720717,0.39207703,0.3931847,0.39298564,0.39417788,0.39160895,0.39288843,0.3915172,0.3923584,0.391487,0.38927728,0.39224264,0.3874868,0.38805205,0.3902114,0.39153668,0.39015692,0.38692668,0.39055556,0.39026356,0.39134318,0.38858882,0.39029163,0.3917741
35,0.3909455,0.39473057,0.3936813,0.39911133,0.3963254,0.39595926,0.39849174,0.39962715,0.39431196,0.39551282,0.39530286,0.39674485,0.39412728,0.3953838,0.39400017,0.39494216,0.39402378,0.39185283,0.39469677,0.39003098,0.39072508,0.39287382,0.3942202,0.39284092,0.38961065,0.39338803,0.39279103,0.39396498,0.3912174,0.39326352,0.39415658
36,0.39134148,0.39535302,0.39458328,0.40057486,0.39835647,0.39799944,0.40063605,0.4017143,0.39578968,0.39706165,0.39690858,0.39838725,0.39580458,0.3970504,0.39565888,0.39658922,0.39579332,0.39379615,0.3962236,0.39166477,0.3926462,0.39470652,0.39603782,0.39463672,0.39146653,0.39521578,0.39445788,0.39578286,0.3930059,0.39520746,0.39581499
37,0.39317933,0.3971811,0.39646804,0.4027795,0.40069562,0.40041912,0.40309864,0.40385813,0.39773467,0.39904353,0.39883804,0.40036768,0.39774632,0.39896885,0.3975556,0.39851007,0.39763704,0.3958717,0.39809275,0.39352927,0.39470422,0.39673102,0.39813596,0.3967498,0.39355743,0.39729095,0.39645875,0.3978756,0.39501205,0.39730853,0.39784664
38,0.3959383,0.3998605,0.39936632,0.40617436,0.40464875,0.40489733,0.4077133,0.4085583,0.40232998,0.403788,0.4035352,0.40520203,0.40250832,0.403713,0.40219456,0.4033135,0.40228295,0.4007426,0.4027535,0.39819002,0.39989358,0.40182248,0.40339565,0.40182537,0.39864266,0.40291712,0.40149298,0.40296972,0.40009746,0.40267226,0.402448
39,0.39917403,0.40308523,0.40288705,0.41035876,0.40902632,0.4097439,0.41286555,0.41371095,0.40697056,0.40854573,0.40809327,0.409936,0.40714756,0.4083235,0.4066575,0.40785128,0.40680975,0.40530616,0.40750772,0.40257633,0.4049296,0.40655538,0.40812576,0.40678465,0.40360698,0.40784103,0.40626818,0.40785873,0.4048976,0.40756398,0.40703362
40,0.40172064,0.405443,0.4037203,0.40980732,0.4064325,0.40512592,0.4066025,0.40606827,0.39918768,0.39990932,0.39892602,0.4001075,0.39718193,0.39827904,0.3966463,0.3976643,0.39651743,0.39461643,0.397545,0.39217204,0.39338753,0.3950237,0.39622098,0.39452344,0.39166385,0.39465812,0.39443925,0.39589006,0.3927718,0.39386755,0.39853734
41,0.40328184,0.4064231,0.40355211,0.40757662,0.40352312,0.4026794,0.40439194,0.40296656,0.3974924,0.39740035,0.39669234,0.39845005,0.3954586,0.39617878,0.39398527,0.39616263,0.39399847,0.39189714,0.3963399,0.38999602,0.3919385,0.39388373,0.39507052,0.39334923,0.39033604,0.39353114,0.39355293,0.39464292,0.3915441,0.39268816,0.3969661
42,0.40314943,0.4055953,0.40289825,0.40591824,0.40091312,0.39969587,0.40244868,0.40185773,0.3968531,0.39722708,0.39662078,0.39827484,0.39473113,0.39608288,0.3935877,0.39542273,0.3934232,0.39125204,0.39535943,0.38929617,0.3910185,0.39310312,0.39444068,0.3926542,0.3899328,0.3928225,0.39294297,0.39380813,0.39092317,0.3920504,0.3961435
43,0.40018553,0.40285432,0.40000144,0.40364128,0.39899567,0.39777938,0.40057477,0.40028757,0.3952236,0.39555323,0.39513537,0.3965911,0.3931988,0.3947299,0.39243847,0.39407712,0.39230734,0.38992673,0.39411768,0.38825643,0.3896929,0.39186835,0.39305708,0.3913686,0.38843775,0.39172453,0.391715,0.39273816,0.38988554,0.39112484,0.39458296
44,0.3952099,0.39841932,0.39613396,0.40039977,0.39591384,0.39471555,0.39761165,0.39752638,0.39215177,0.39290887,0.39253503,0.39351785,0.39039487,0.39185095,0.39005053,0.3911077,0.389943,0.38753965,0.39116573,0.38595727,0.38674605,0.38887846,0.3900553,0.38829464,0.38536745,0.38857955,0.3886768,0.3896895,0.38679343,0.3879592,0.39153644
45,0.3937782,0.3971176,0.39542943,0.40020052,0.39626643,0.39536947,0.3989374,0.39919794,0.39481053,0.39538264,0.39519233,0.39694098,0.3941893,0.3954376,0.3936088,0.39494005,0.393577,0.39119327,0.39494264,0.38978058,0.3906765,0.39294484,0.3942742,0.39298415,0.38975477,0.3933663,0.39300922,0.39413533,0.3912881,0.39311326,0.39439467
