,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2024-02-03,18006.953,17951.092,18225.555,18047.486,18024.03,18047.707,17890.973,17877.646,17968.049,17851.47,18045.062,18090.393,18040.637,18115.836,17937.24,18079.703,18040.365,18096.537,18122.648,18031.246,18045.61,18190.336,18130.436,18037.1,18005.545,18098.092,18076.62,17910.432,18206.475,17980.469,18039.059
2024-02-04,17993.818,17940.92,18199.229,18074.771,18013.432,18046.115,17912.797,17843.396,17978.287,17847.004,18035.406,18069.646,18065.209,18134.42,17951.121,18022.143,18040.291,18099.398,18119.197,18040.496,18071.469,18183.502,18180.568,18093.785,18013.303,18135.525,18109.605,17911.008,18202.566,17999.83,18044.275
2024-02-05,18053.816,18000.562,18255.092,18145.998,18070.16,18108.875,17980.365,17893.977,18042.92,17906.314,18095.033,18125.578,18137.355,18205.059,18017.162,18065.576,18103.111,18164.861,18181.023,18107.213,18142.424,18245.445,18262.066,18177.355,18078.992,18210.002,18183.852,17973.488,18266.025,18069.285,18108.967
2024-02-06,18133.283,18077.748,18337.875,18213.62,18144.158,18184.44,18047.043,17975.42,18113.328,17979.533,18171.889,18204.96,18207.766,18277.412,18086.97,18153.059,18177.812,18240.85,18256.629,18180.713,18210.59,18323.305,18327.656,18241.334,18152.203,18275.154,18251.51,18047.37,18343.873,18139.738,18182.574
2024-02-07,18196.582,18139.693,18401.506,18274.52,18203.385,18246.633,18106.166,18036.494,18173.414,18039.219,18233.66,18266.797,18270.484,18340.645,18147.225,18214.854,18239.576,18304.201,18318.506,18243.17,18271.658,18386.432,18391.06,18304.604,18214.16,18335.871,18313.49,18108.562,18407.531,18201.53,18244.387
2024-02-08,18270.443,18214.277,18464.47,18379.922,18273.916,18328.94,18204.463,18089.2,18263.05,18115.623,18308.455,18332.14,18376.0,18441.7,18240.217,18248.459,18322.617,18391.893,18398.777,18335.152,18376.027,18465.479,18519.486,18438.47,18304.207,18449.75,18425.248,18191.395,18489.824,18301.32,18332.031
2024-02-09,18366.791,18301.328,18596.434,18365.89,18359.615,18393.4,18203.371,18239.875,18293.82,18185.285,18394.031,18447.45,18371.014,18453.219,18261.404,18462.23,18382.645,18445.545,18467.895,18370.834,18365.926,18544.873,18446.793,18348.203,18343.38,18408.418,18397.053,18249.066,18561.918,18309.332,18377.9
2024-02-10,18304.99,18246.162,18508.521,18384.824,18305.053,18354.861,18212.547,18137.855,18279.727,18142.566,18339.92,18371.51,18383.559,18453.717,18254.379,18313.96,18347.299,18415.104,18425.89,18353.47,18381.996,18495.492,18509.168,18423.47,18323.387,18447.375,18426.541,18215.373,18517.979,18312.197,18352.963
2024-02-11,18380.395,18320.344,18582.29,18463.61,18375.834,18430.738,18288.299,18207.25,18354.84,18214.805,18413.986,18443.936,18464.16,18534.012,18330.266,18380.582,18422.908,18493.07,18501.064,18431.334,18460.7,18571.68,18594.59,18509.76,18400.434,18527.516,18507.543,18290.36,18595.3,18390.836,18429.412
2024-02-12,18464.111,18401.938,18667.824,18540.037,18453.95,18511.861,18362.979,18290.271,18431.955,18292.781,18495.34,18526.537,18543.26,18614.404,18407.217,18466.941,18503.354,18575.203,18581.932,18511.633,18537.395,18654.545,18671.924,18586.266,18480.277,18602.645,18584.803,18369.95,18678.596,18469.236,18509.307
2024-02-13,18540.414,18476.703,18743.797,18615.78,18525.38,18587.533,18436.236,18362.658,18505.693,18365.008,18569.963,18600.617,18621.088,18692.516,18481.37,18538.83,18578.633,18652.498,18657.062,18588.2,18613.133,18731.025,18752.05,18666.633,18556.201,18678.74,18662.207,18444.52,18755.945,18545.598,18584.87
2024-02-14,18621.553,18556.41,18823.521,18699.566,18601.455,18668.934,18516.906,18437.885,18585.945,18442.404,18649.566,18678.746,18706.914,18778.168,18562.357,18611.633,18659.744,18735.994,18737.719,18671.42,18696.777,18812.87,18842.412,18757.781,18638.625,18763.729,18748.254,18524.908,18838.97,18629.416,18666.688
2024-02-15,18661.04,18584.742,18913.145,18585.738,18632.223,18664.781,18424.3,18558.072,18537.166,18449.676,18676.148,18747.512,18603.182,18697.08,18499.645,18820.61,18649.965,18714.729,18740.725,18625.914,18588.334,18828.588,18641.273,18531.904,18598.787,18611.39,18612.658,18512.611,18843.42,18545.596,18636.7
2024-02-16,18497.498,18436.574,18691.73,18601.574,18486.37,18553.016,18419.26,18306.594,18480.365,18329.984,18530.238,18553.318,18604.045,18671.129,18458.42,18466.54,18545.35,18620.408,18621.475,18560.936,18597.928,18692.453,18752.002,18671.066,18528.18,18671.523,18651.273,18412.023,18719.05,18525.547,18555.195
2024-02-17,18657.201,18597.723,18827.955,18829.45,18638.63,18731.076,18631.719,18420.62,18674.13,18494.674,18691.908,18694.62,18832.256,18889.7,18659.404,18539.174,18725.092,18810.0,18795.006,18759.766,18823.242,18863.395,19029.674,18960.482,18722.994,18917.686,18892.91,18591.207,18897.135,18741.305,18744.67
2024-02-18,18899.35,18825.678,19113.566,18934.658,18859.725,18933.045,18748.95,18723.477,18831.262,18696.867,18917.982,18956.535,18952.096,19030.389,18805.402,18919.041,18921.107,19001.105,19001.715,18927.498,18932.984,19085.035,19069.69,18979.412,18894.102,18989.8,18983.447,18782.951,19111.318,18874.633,18923.428
2024-02-19,18916.76,18842.111,19133.828,18943.047,18875.654,18947.803,18758.08,18744.807,18843.027,18711.555,18934.3,18975.201,18961.488,19041.16,18816.44,18945.434,18935.473,19015.178,19016.771,18940.012,18941.656,19101.107,19073.873,18982.217,18906.826,18996.016,18990.902,18797.014,19126.916,18884.883,18936.652
2024-02-20,18921.021,18846.562,19136.727,18951.385,18879.803,18953.197,18765.676,18746.633,18849.479,18716.379,18938.795,18978.523,18969.705,19048.79,18823.295,18944.838,18940.994,19021.14,19021.93,18946.572,18949.838,19106.02,19084.861,18993.883,18913.195,19005.412,18999.943,18802.549,19132.2,18892.46,18942.725
2024-02-21,18932.752,18858.078,19148.244,18963.525,18890.791,18964.98,18777.361,18757.496,18861.094,18727.545,18950.297,18989.812,18982.145,19061.2,18835.016,18955.332,18952.744,19033.22,19033.596,18958.615,18961.936,19117.86,19097.969,19007.117,18925.13,19017.732,19012.418,18814.182,19144.219,18904.598,18954.566
2024-02-22,18946.916,18872.146,19161.365,18980.605,18904.16,18979.893,18793.535,18769.309,18876.494,18741.498,18964.385,19002.965,18999.443,19078.11,18850.77,18965.293,18967.7,19048.78,19048.248,18974.504,18978.879,19132.531,19117.629,19027.318,18940.797,19035.637,19030.26,18829.04,19159.297,18921.205,18969.959
2024-02-23,19001.176,18932.195,19181.746,19136.904,18958.912,19062.768,18932.936,18765.424,18987.125,18812.666,19025.498,19035.299,19151.256,19215.035,18971.111,18901.355,19054.0,19144.785,19125.684,19085.92,19131.336,19202.92,19337.045,19263.504,19047.87,19218.076,19202.904,18916.209,19238.225,19058.111,19069.936
2024-02-24,19230.023,19155.113,19414.506,19349.69,19172.188,19285.895,19140.37,18990.44,19200.01,19025.361,19248.035,19260.328,19371.336,19438.139,19183.873,19133.113,19275.69,19370.812,19347.617,19307.434,19343.934,19430.164,19554.613,19479.586,19268.357,19428.22,19418.652,19135.254,19467.268,19275.512,19290.05
2024-02-25,19443.082,19363.072,19628.602,19555.898,19370.938,19496.008,19340.395,19195.586,19402.777,19224.586,19455.807,19468.213,19583.928,19652.371,19387.266,19339.781,19484.844,19584.479,19556.129,19518.125,19549.436,19643.025,19770.037,19694.996,19477.896,19634.006,19628.863,19341.947,19682.531,19484.438,19498.635
2024-02-26,19632.6,19543.287,19841.586,19670.824,19545.082,19663.56,19460.018,19415.121,19544.215,19388.28,19635.205,19666.734,19708.611,19788.607,19522.955,19600.674,19649.18,19747.098,19725.58,19667.38,19666.11,19821.756,19853.049,19767.021,19628.793,19731.25,19737.285,19503.008,19858.17,19615.02,19653.27
2024-02-27,19695.379,19602.668,19913.553,19704.625,19602.613,19717.877,19496.02,19490.16,19588.646,19441.643,19694.299,19733.354,19745.914,19830.36,19565.078,19691.922,19702.295,19799.264,19780.727,19714.443,19700.611,19880.32,19873.78,19783.44,19676.564,19758.12,19768.318,19554.947,19915.385,19654.834,19702.57
2024-02-28,19707.936,19614.104,19930.06,19704.94,19613.88,19726.912,19497.732,19508.65,19593.875,19451.068,19705.611,19747.959,19747.309,19833.59,19569.252,19717.43,19710.863,19807.12,19790.248,19720.266,19701.305,19891.033,19867.703,19775.467,19682.775,19755.422,19767.13,19563.188,19925.33,19657.6,19709.525
2024-02-29,19723.52,19634.113,19922.559,19790.562,19631.002,19762.271,19572.398,19485.535,19648.74,19479.174,19726.322,19749.129,19829.258,19905.29,19630.666,19653.164,19748.672,19850.973,19821.979,19774.914,19784.207,19917.545,19995.322,19914.441,19734.723,19858.81,19863.441,19601.83,19957.514,19729.762,19756.594
2024-03-01,19825.455,19726.463,20058.844,19786.303,19722.234,19833.732,19580.537,19639.346,19687.322,19554.37,19817.646,19869.07,19834.184,19926.135,19660.037,19867.914,19816.11,19912.02,19897.71,19818.41,19783.252,20003.488,19935.193,19837.82,19781.594,19828.375,19845.992,19666.457,20036.686,19746.719,19809.979
2024-03-02,19759.436,19663.795,19984.344,19747.156,19661.605,19775.576,19539.6,19562.379,19638.547,19497.613,19755.219,19799.73,19791.55,19879.357,19613.367,19775.99,19759.066,19855.71,19838.871,19766.928,19743.537,19941.326,19907.68,19814.242,19729.484,19795.604,19809.21,19610.627,19975.65,19701.943,19756.504
2024-03-03,19781.305,19694.5,19961.188,19905.77,19687.014,19836.1,19677.09,19509.16,19737.379,19544.41,19787.31,19793.732,19942.752,20010.506,19724.916,19642.516,19824.406,19932.66,19892.39,19865.016,19896.857,19984.51,20147.764,20076.438,19822.375,19988.861,19988.486,19677.701,20029.783,19834.24,19839.906
2024-03-04,19996.523,19895.74,20218.502,19989.514,19882.977,20013.26,19773.191,19783.8,19871.408,19720.809,19987.305,20028.467,20040.44,20128.217,19848.098,19991.525,19996.402,20098.596,20073.912,20008.398,19984.01,20180.312,20167.871,20076.693,19969.494,20040.71,20058.05,19845.074,20218.576,19944.773,19994.42
2024-03-05,19998.803,19898.084,20220.195,19993.545,19885.166,20016.027,19776.889,19785.008,19874.613,19723.277,19989.666,20030.324,20044.436,20131.963,19851.477,19991.68,19999.227,20101.613,20076.568,20011.668,19987.96,20182.873,20173.078,20082.195,19972.688,20045.2,20062.395,19847.895,20221.307,19948.48,19997.475
2024-03-06,20002.408,19901.229,20225.588,19991.646,19888.332,20018.064,19775.691,19791.393,19874.988,19725.598,19992.762,20034.918,20042.967,20131.316,19851.363,20001.244,20001.059,20103.074,20078.84,20012.234,19986.244,20185.645,20168.178,20076.434,19973.438,20041.934,20059.775,19849.6,20223.703,19947.67,19998.58
2024-03-07,20030.969,19936.143,20220.287,20122.924,19918.625,20075.62,19890.646,19762.904,19960.959,19771.969,20028.7,20042.16,20169.025,20242.367,19946.965,19912.24,20062.217,20173.176,20130.979,20098.113,20113.383,20230.24,20361.416,20286.33,20055.416,20199.287,20206.85,19911.916,20276.754,20059.258,20073.26
2024-03-08,20227.982,20126.355,20426.477,20289.174,20101.117,20263.26,20054.83,19965.936,20134.457,19950.217,20218.736,20239.2,20342.842,20421.355,20118.781,20130.861,20248.416,20360.912,20318.066,20279.152,20279.111,20423.402,20521.922,20443.121,20236.703,20358.932,20373.35,20095.084,20470.59,20232.678,20255.1
2024-03-09,20366.049,20257.39,20581.502,20373.686,20227.855,20385.736,20142.709,20125.523,20237.879,20068.873,20349.393,20383.648,20434.576,20521.424,20218.076,20320.156,20368.797,20479.676,20441.717,20388.191,20364.383,20553.852,20583.658,20497.176,20347.123,20430.746,20453.37,20212.787,20599.049,20328.393,20368.115
2024-03-10,20411.352,20299.742,20635.365,20392.291,20269.129,20423.344,20163.795,20182.814,20266.643,20106.053,20391.555,20432.865,20456.102,20547.018,20244.635,20392.562,20405.406,20514.998,20480.166,20418.885,20383.568,20595.254,20589.443,20498.99,20378.604,20442.887,20469.168,20248.363,20639.086,20352.44,20401.084
2024-03-11,20413.508,20301.865,20637.443,20394.664,20271.148,20425.56,20166.062,20184.742,20268.857,20108.107,20393.678,20434.914,20458.527,20549.418,20246.883,20394.336,20407.627,20517.277,20482.346,20421.176,20385.914,20597.457,20592.08,20501.678,20380.88,20445.33,20471.627,20250.555,20641.34,20354.785,20403.326
2024-03-12,20415.025,20303.104,20640.08,20392.732,20272.44,20426.094,20164.598,20188.037,20268.371,20108.865,20394.889,20437.068,20456.842,20548.246,20246.086,20399.637,20408.037,20517.438,20483.037,20420.78,20384.098,20598.45,20588.22,20497.277,20380.602,20442.541,20469.225,20250.89,20642.086,20353.527,20403.277
2024-03-13,20408.316,20296.072,20635.752,20378.87,20265.945,20417.379,20152.035,20185.555,20257.812,20101.254,20387.783,20431.992,20443.203,20535.63,20234.828,20401.44,20399.076,20507.768,20474.758,20410.053,20370.576,20590.604,20569.746,20477.61,20370.158,20426.832,20454.146,20241.914,20633.57,20341.01,20393.389
2024-03-14,20443.467,20341.635,20616.844,20578.3,20304.283,20498.988,20325.582,20130.066,20385.064,20165.148,20434.947,20433.383,20634.006,20702.4,20377.395,20249.06,20486.502,20609.186,20547.715,20536.8,20563.236,20651.316,20867.654,20802.025,20490.912,20667.875,20678.557,20331.34,20707.754,20508.912,20502.344
2024-03-15,20723.467,20606.387,20934.957,20738.646,20560.76,20744.365,20494.44,20459.736,20588.445,20403.033,20698.938,20728.457,20809.756,20896.738,20571.418,20645.412,20727.404,20845.547,20795.89,20751.664,20725.178,20914.195,20975.357,20892.541,20709.176,20799.662,20828.252,20566.428,20965.926,20694.041,20726.543
2024-03-16,20790.229,20666.43,21025.303,20732.697,20620.457,20790.379,20497.203,20562.2,20611.91,20451.377,20758.453,20807.621,20810.123,20908.0,20588.555,20789.807,20770.816,20884.27,20844.803,20778.297,20721.293,20970.11,20930.96,20837.02,20738.184,20775.791,20813.318,20607.723,21017.234,20702.547,20760.105
2024-03-17,20766.377,20649.488,20971.58,20800.238,20601.281,20792.475,20551.756,20490.268,20640.598,20446.412,20742.277,20766.312,20871.537,20955.93,20625.541,20664.4,20776.16,20896.572,20842.547,20805.178,20785.514,20960.201,21050.578,20971.05,20761.926,20866.197,20893.645,20614.844,21014.146,20752.271,20777.574
2024-03-18,20881.6,20758.314,21102.652,20865.78,20706.787,20893.377,20620.895,20626.176,20724.035,20544.037,20850.863,20887.82,20943.498,21035.598,20705.076,20828.045,20875.275,20993.674,20944.592,20893.309,20851.6,21068.36,21094.205,21007.598,20851.525,20919.889,20954.787,20711.463,21120.375,20828.09,20869.643
2024-03-19,20914.78,20789.896,21139.184,20888.348,20737.287,20923.486,20643.941,20663.314,20750.158,20572.824,20882.414,20922.074,20967.707,21061.479,20730.412,20871.004,20905.008,21023.111,20974.834,20920.736,20874.164,21100.078,21112.63,21024.58,20879.252,20939.975,20976.633,20740.521,21151.836,20852.902,20897.816
2024-03-20,20927.686,20801.637,21156.002,20889.178,20748.896,20932.945,20646.16,20682.055,20755.818,20582.531,20894.074,20936.986,20969.64,21065.232,20735.027,20896.691,20914.043,21031.389,20984.756,20926.984,20875.31,21111.195,21107.19,21017.309,20885.89,20937.842,20976.023,20749.17,21162.223,20856.14,20905.2
2024-03-21,20963.217,20845.11,21149.254,21053.287,20786.05,21004.86,20789.611,20646.264,20863.102,20639.549,20938.762,20945.822,21127.246,21204.092,20854.36,20784.7,20990.535,21118.855,21049.7,21034.225,21033.797,21166.707,21348.908,21279.785,20988.621,21134.518,21159.838,20827.133,21228.553,20995.627,20998.4
2024-03-22,21181.148,21048.871,21406.291,21149.604,20984.615,21187.953,20896.94,20918.28,21005.184,20818.582,21141.904,21181.102,21237.41,21332.926,20986.527,21125.465,21169.389,21291.408,21236.266,21185.432,21132.0,21367.05,21387.566,21300.768,21143.693,21201.441,21243.855,21000.668,21423.188,21116.66,21160.074
2024-03-23,21204.475,21071.844,21428.262,21176.854,21006.398,21212.36,20922.799,20938.254,21029.99,20840.885,21164.963,21202.91,21265.145,21360.176,21011.832,21142.81,21193.947,21316.646,21260.176,21211.037,21158.754,21391.104,21418.576,21332.584,21169.14,21229.809,21272.27,21024.918,21447.982,21143.283,21185.008
2024-03-24,21233.846,21100.002,21459.545,21200.09,21033.482,21239.953,20945.973,20969.38,21054.951,20866.9,21193.135,21232.582,21289.654,21385.695,21036.4,21177.162,21221.346,21344.002,21287.705,21237.117,21181.807,21419.69,21440.057,21353.328,21195.4,21251.668,21295.354,21051.746,21476.621,21167.87,21211.416
2024-03-25,21268.42,21136.568,21480.137,21277.004,21066.889,21286.482,21015.281,20979.262,21112.398,20906.72,21230.145,21257.633,21365.129,21455.102,21097.96,21161.588,21269.41,21395.998,21331.621,21295.39,21256.49,21460.943,21543.969,21464.254,21252.207,21339.422,21379.332,21099.928,21521.895,21236.799,21264.812
2024-03-26,21371.643,21235.752,21588.88,21362.38,21162.137,21384.521,21099.855,21086.65,21202.203,20998.715,21329.428,21361.146,21454.76,21547.75,21186.729,21278.098,21366.918,21493.61,21429.238,21389.09,21341.018,21561.977,21625.354,21543.65,21346.453,21420.88,21464.73,21195.467,21623.443,21326.191,21359.287
2024-03-27,21449.604,21311.441,21667.225,21438.459,21234.408,21461.87,21173.562,21161.502,21276.586,21070.281,21405.305,21437.016,21533.375,21626.95,21261.402,21352.986,21444.295,21571.963,21505.656,21466.297,21415.941,21640.068,21705.22,21623.871,21423.703,21496.918,21542.525,21271.518,21702.87,21403.059,21435.863
2024-03-28,21521.85,21380.227,21746.154,21489.65,21300.785,21528.082,21225.496,21241.293,21334.58,21132.984,21474.113,21511.164,21588.072,21685.018,21317.877,21444.22,21509.863,21636.854,21571.99,21527.088,21466.824,21709.477,21748.598,21664.52,21485.195,21543.213,21592.5,21335.53,21771.986,21458.707,21498.129
2024-03-29,21566.13,21424.104,21786.398,21545.879,21342.205,21575.715,21278.395,21276.791,21384.191,21175.979,21518.213,21551.66,21644.979,21740.352,21368.857,21472.04,21557.988,21686.549,21618.412,21578.17,21521.826,21755.828,21814.61,21732.812,21535.896,21602.688,21651.607,21383.098,21820.156,21512.861,21547.479
2024-03-30,21622.455,21476.555,21853.4,21569.11,21393.451,21622.615,21304.754,21347.994,21419.959,21221.73,21570.559,21612.78,21671.943,21772.387,21401.902,21562.027,21603.812,21730.48,21666.262,21616.273,21545.479,21807.393,21821.975,21735.416,21575.113,21617.914,21671.473,21427.416,21870.168,21542.787,21588.523
2024-03-31,21615.773,21468.047,21856.236,21533.398,21386.4,21607.713,21273.7,21357.328,21397.07,21210.234,21561.803,21612.104,21637.748,21742.406,21376.283,21588.637,21587.871,21712.12,21652.947,21593.418,21511.074,21796.24,21768.814,21677.588,21553.215,21574.871,21631.361,21411.111,21856.549,21512.65,21568.822
2024-04-01,21559.197,21413.094,21799.646,21477.354,21333.947,21551.328,21219.496,21303.459,21342.629,21158.227,21506.691,21557.223,21579.896,21684.244,21321.55,21535.232,21531.414,21654.936,21597.3,21536.941,21455.953,21739.436,21709.527,21617.89,21496.709,21518.646,21573.932,21355.633,21798.686,21456.201,21512.879
2024-04-02,21500.92,21356.574,21740.898,21421.023,21279.943,21493.65,21164.85,21247.205,21287.334,21104.879,21450.021,21500.404,21521.627,21625.457,21266.096,21478.627,21473.713,21596.586,21540.299,21479.545,21400.498,21681.135,21650.688,21558.852,21439.242,21462.488,21516.387,21298.955,21739.416,21399.188,21455.883
2024-04-03,21441.545,21298.617,21682.758,21358.408,21224.756,21433.414,21104.744,21192.72,21228.04,21049.525,21391.875,21443.56,21457.348,21561.42,21206.146,21426.867,21413.28,21535.049,21481.012,21418.15,21338.963,21620.941,21582.443,21489.586,21377.965,21398.73,21451.771,21239.469,21677.826,21336.877,21395.46
2024-04-04,21372.664,21231.521,21614.602,21287.973,21160.783,21364.166,21036.883,21128.33,21160.49,20985.676,21324.586,21377.17,21384.86,21488.887,21138.045,21364.326,21343.893,21464.54,21412.746,21348.143,21269.666,21551.45,21506.775,21413.088,21308.043,21327.518,21379.346,21171.201,21606.902,21266.37,21326.354
2024-04-05,21328.176,21194.744,21539.525,21337.309,21122.365,21346.322,21073.467,21035.557,21170.549,20962.008,21288.467,21315.39,21427.252,21517.377,21156.516,21216.74,21329.322,21456.857,21390.662,21355.691,21315.863,21521.102,21608.342,21529.205,21312.453,21400.197,21441.236,21158.879,21583.217,21297.33,21324.402
2024-04-06,21417.139,21276.098,21652.682,21351.549,21202.64,21414.004,21096.041,21160.139,21214.344,21030.26,21369.43,21416.428,21448.684,21550.094,21193.934,21384.246,21394.457,21517.285,21461.02,21403.414,21331.773,21599.086,21584.342,21494.064,21362.652,21396.143,21446.846,21221.34,21656.912,21326.49,21379.117
2024-04-07,21332.041,21182.678,21618.328,21112.285,21118.926,21285.365,20883.092,21162.754,21044.795,20923.102,21274.61,21364.848,21215.992,21339.525,21009.508,21479.121,21260.307,21369.514,21341.418,21232.229,21100.004,21490.016,21249.357,21133.824,21196.74,21117.693,21182.947,21086.07,21533.87,21116.654,21225.252
2024-04-08,21050.982,20924.434,21265.848,21052.166,20864.744,21067.266,20798.959,20777.36,20897.697,20704.223,21017.459,21048.506,21134.041,21224.273,20881.299,20966.982,21049.797,21172.383,21115.541,21072.918,21035.076,21241.229,21301.164,21218.555,21030.236,21111.51,21147.914,20883.65,21297.604,21012.162,21045.533
2024-04-09,21130.975,21002.008,21346.977,21127.852,20938.912,21145.912,20872.58,20855.428,20972.709,20777.465,21095.166,21126.846,21212.432,21303.596,20956.383,21046.521,21128.322,21251.846,21193.406,21150.861,21109.816,21320.98,21379.336,21296.662,21108.213,21186.559,21224.988,20960.854,21378.463,21089.137,21123.04
2024-04-10,21207.725,21076.598,21423.969,21203.088,21010.133,21222.12,20945.438,20928.924,21046.154,20848.17,21169.918,21201.482,21290.121,21381.797,21030.139,21119.879,21204.53,21329.125,21268.717,21227.09,21184.01,21397.898,21458.492,21376.188,21184.41,21261.844,21301.943,21035.81,21456.67,21165.098,21198.586
2024-04-11,21220.086,21074.84,21501.658,21015.861,21015.395,21177.953,20788.076,21048.357,20945.186,20822.455,21166.594,21253.314,21115.172,21236.021,20910.693,21356.984,21153.336,21262.082,21234.623,21128.469,21004.592,21379.807,21155.031,21041.04,21092.586,21024.537,21085.922,20981.191,21422.854,21016.602,21121.045
2024-04-12,20961.691,20838.043,21174.252,20970.883,20782.04,20980.404,20719.498,20688.496,20815.775,20622.998,20930.96,20960.426,21049.557,21138.285,20799.59,20874.586,20963.195,21084.959,21029.371,20987.686,20954.668,21152.71,21218.986,21136.967,20944.875,21031.738,21065.557,20798.555,21208.123,20928.82,20960.457
2024-04-13,20997.32,20860.91,21265.969,20834.96,20809.65,20967.39,20608.326,20814.852,20753.15,20623.92,20952.47,21029.176,20924.924,21038.855,20721.26,21101.604,20944.133,21052.666,21024.668,20928.035,20825.07,21162.227,20984.729,20875.625,20891.102,20852.883,20905.467,20776.21,21204.625,20826.326,20918.615
2024-04-14,20793.162,20672.975,21010.674,20789.154,20624.943,20808.469,20545.482,20536.074,20645.074,20464.164,20765.469,20799.797,20863.498,20953.545,20626.688,20732.135,20790.8,20908.625,20860.14,20811.023,20775.605,20981.29,21018.975,20933.6,20769.027,20845.734,20877.682,20628.498,21032.701,20748.666,20787.123
2024-04-15,20839.76,20716.486,21066.078,20808.357,20667.38,20847.209,20567.244,20594.982,20674.69,20502.285,20808.82,20850.4,20885.732,20979.963,20654.043,20806.572,20828.56,20944.98,20899.717,20842.602,20795.318,21023.912,21025.035,20935.629,20801.457,20858.31,20894.043,20665.135,21073.963,20773.441,20821.07
2024-04-16,20850.918,20729.188,21068.447,20846.18,20678.621,20865.896,20600.658,20591.143,20700.604,20517.645,20821.78,20855.889,20922.318,21012.678,20682.482,20786.883,20848.19,20966.957,20916.916,20868.648,20831.947,21039.225,21079.186,20994.12,20826.547,20902.906,20936.041,20685.014,21091.582,20806.168,20844.16
2024-04-17,20902.354,20778.014,21125.785,20879.035,20725.84,20911.967,20634.58,20649.871,20739.893,20561.885,20870.533,20909.42,20957.832,21051.105,20720.36,20855.885,20893.6,21011.744,20963.31,20909.988,20864.89,21088.068,21104.371,21016.72,20868.42,20931.379,20967.467,20729.354,21139.855,20842.916,20886.883
2024-04-18,20852.379,20714.348,21147.4,20611.209,20672.271,20800.455,20401.346,20720.197,20568.197,20474.613,20804.994,20904.566,20701.488,20826.35,20528.074,21055.22,20774.432,20874.166,20863.48,20738.598,20606.193,21004.496,20705.738,20582.916,20704.771,20608.506,20666.562,20607.47,21038.084,20617.068,20739.188
2024-04-19,20528.729,20420.352,20722.928,20599.016,20381.436,20565.719,20353.11,20245.639,20431.041,20232.32,20513.135,20528.816,20661.045,20739.242,20417.951,20401.43,20550.844,20669.9,20616.723,20586.6,20585.584,20727.0,20855.857,20780.488,20542.725,20672.803,20691.885,20393.518,20779.783,20542.6,20557.941
2024-04-20,20717.088,20603.129,20914.506,20775.25,20556.246,20750.184,20524.773,20430.477,20606.635,20405.197,20696.062,20713.723,20843.635,20924.28,20593.53,20590.957,20734.754,20856.26,20799.607,20769.172,20760.154,20914.412,21036.758,20960.758,20725.188,20847.057,20870.994,20574.535,20969.426,20722.3,20739.57
2024-04-21,20871.787,20748.889,21092.248,20857.879,20697.727,20884.125,20613.033,20615.854,20715.617,20535.29,20841.434,20877.936,20935.188,21026.969,20696.773,20816.725,20866.094,20984.477,20935.357,20884.512,20843.744,21058.79,21086.812,21000.434,20842.684,20912.414,20946.92,20702.457,21110.787,20819.762,20860.758
2024-04-22,20890.193,20762.328,21131.936,20811.146,20712.725,20884.047,20575.527,20668.45,20696.55,20540.148,20854.348,20908.754,20892.88,20994.264,20671.785,20907.447,20863.707,20977.15,20938.371,20866.768,20799.36,21067.29,21003.055,20906.426,20827.166,20849.4,20891.127,20698.77,21114.438,20785.746,20849.709
2024-04-23,20810.162,20686.924,21040.047,20768.217,20639.51,20814.686,20529.695,20572.652,20640.047,20472.822,20779.115,20823.824,20845.32,20940.986,20618.25,20790.828,20795.67,20910.725,20868.082,20806.996,20755.96,20992.54,20976.863,20885.559,20766.29,20815.348,20851.617,20632.52,21041.244,20735.166,20786.924
