,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,22358.357,22672.148,22324.994,22545.281,22529.473,22535.934,22663.98,22405.105,22702.541,22464.104,22795.256,22498.898,22857.164,23023.117,22308.512,22987.723,22808.44,22376.336,22524.006,22669.395,22380.902,22861.293,22606.701,22799.35,22585.24,23010.998,22775.87,22542.049,22568.275,22816.715,22633.271
2021-11-25,22380.201,22697.28,22345.115,22569.283,22552.863,22558.443,22685.656,22428.01,22726.992,22486.67,22819.512,22521.512,22880.273,23047.463,22330.096,23015.412,22834.354,22400.719,22546.775,22694.197,22402.693,22885.22,22629.172,22825.174,22608.508,23034.867,22799.64,22563.469,22592.97,22840.006,22656.754
2021-11-26,22375.248,22691.113,22340.326,22563.658,22547.273,22552.756,22680.395,22422.367,22721.271,22481.07,22813.68,22516.068,22874.695,23041.553,22324.574,23008.697,22827.996,22394.623,22541.246,22687.955,22397.629,22879.35,22623.846,22818.834,22602.822,23029.193,22793.824,22558.418,22586.553,22834.145,22651.04
2021-11-27,22327.041,22635.82,22295.975,22510.77,22495.75,22503.264,22632.65,22371.973,22667.379,22431.428,22760.275,22466.26,22823.814,22987.95,22277.146,22947.773,22770.988,22341.018,22491.121,22633.43,22349.58,22826.682,22574.328,22762.014,22551.604,22976.611,22741.492,22511.201,22532.324,22782.92,22599.352
2021-11-28,22237.234,22532.799,22213.158,22412.361,22399.734,22410.812,22543.475,22277.982,22567.045,22338.824,22660.8,22373.38,22728.998,22887.992,22188.572,22834.418,22664.818,22241.037,22397.602,22531.742,22260.084,22728.426,22482.047,22656.086,22456.062,22878.672,22643.81,22423.133,22431.035,22687.217,22502.979
2021-11-29,22078.223,22351.441,22066.457,22238.951,22230.299,22247.734,22385.67,22112.268,22390.033,22175.617,22485.514,22209.387,22561.795,22711.625,22032.527,22635.172,22478.078,22064.988,22232.457,22352.8,22101.979,22555.092,22319.105,22469.45,22287.47,22705.91,22471.28,22267.307,22252.826,22518.28,22332.99
2021-11-30,21883.34,22131.02,21886.555,22027.82,22023.654,22048.979,22192.457,21910.428,22174.178,21976.914,22272.129,22009.201,22358.064,22496.582,21842.678,22393.521,22251.379,21850.965,22030.84,22135.455,21908.785,22343.793,22120.188,22242.328,22081.873,22495.299,22260.623,22076.52,22036.453,22312.195,22125.807
2021-12-01,21691.873,21915.791,21709.385,21821.61,21821.334,21854.12,22002.377,21712.854,21963.023,21782.443,22063.559,21812.953,22158.707,22285.959,21656.78,22158.213,22030.293,21641.78,21833.107,21923.156,21719.424,22136.83,21925.281,22020.28,21880.42,22289.21,22053.965,21889.027,21824.945,22109.992,21922.955
2021-12-02,21427.477,21619.52,21463.453,21538.322,21542.348,21584.191,21738.602,21439.994,21672.457,21513.855,21776.385,21541.826,21883.795,21995.13,21399.434,21835.55,21726.357,21353.23,21559.686,21630.393,21458.273,21850.912,21656.332,21714.18,21602.055,22005.256,21768.033,21629.523,21532.51,21829.771,21642.96
2021-12-03,21170.805,21336.244,21224.953,21266.053,21274.025,21325.47,21483.672,21178.361,21392.72,21256.438,21500.85,21280.695,21619.732,21715.709,21153.404,21527.795,21436.195,21077.494,21296.48,21351.037,21205.932,21576.496,21397.117,21421.066,21334.535,21732.104,21493.016,21378.375,21254.174,21560.887,21374.062
2021-12-04,20998.047,21145.943,21063.57,21083.543,21093.566,21150.623,21311.197,21002.047,21204.965,21082.943,21315.719,21104.727,21442.064,21527.5,20987.154,21321.818,21241.479,20891.887,21118.965,21162.996,21036.184,21391.584,21222.65,21223.938,21154.215,21548.498,21307.496,21208.896,21066.34,21379.16,21192.99
2021-12-05,20837.945,20970.615,20913.78,20915.188,20926.91,20989.064,21151.322,20839.262,21031.617,20922.762,21144.918,20942.01,21278.006,21353.648,20833.658,21132.443,21062.229,20720.809,20954.818,20989.744,20879.117,21220.836,21061.352,21042.158,20987.588,21378.93,21136.012,21051.855,20893.295,21211.207,21025.77
2021-12-06,20709.688,20830.78,20793.584,20780.81,20793.752,20859.871,21023.164,20709.19,20893.166,20794.773,21008.553,20811.852,21146.924,21214.701,20710.979,20981.7,20919.365,20584.295,20823.504,20851.54,20753.43,21084.398,20932.354,20897.086,20854.365,21243.44,20998.879,20926.027,20755.244,21076.889,20892.143
2021-12-07,20672.543,20791.268,20759.188,20742.273,20755.799,20823.629,20986.717,20672.47,20853.467,20758.66,20969.762,20774.773,21109.666,21175.3,20676.713,20938.982,20879.031,20545.918,20786.205,20812.795,20717.271,21045.818,20895.48,20856.076,20816.602,21204.746,20960.033,20889.965,20716.94,21039.14,20854.24
2021-12-08,20691.021,20811.168,20776.426,20761.527,20774.834,20841.975,21005.041,20690.986,20873.307,20776.879,20989.232,20793.383,21128.383,21195.12,20694.1,20960.45,20899.346,20565.307,20804.955,20832.396,20735.32,21065.254,20913.95,20876.73,20835.604,21224.13,20979.59,20908.012,20736.438,21058.23,20873.303
2021-12-09,20742.396,20867.844,20824.982,20815.535,20828.594,20894.67,21056.98,20743.807,20928.98,20828.871,21044.328,20845.996,21181.395,21251.402,20744.248,21021.363,20957.252,20620.828,20858.133,20888.688,20785.832,21120.605,20965.979,20935.543,20889.594,21278.766,21035.193,20958.75,20793.012,21112.96,20927.416
2021-12-10,20831.613,20965.154,20908.58,20909.045,20921.242,20984.549,21146.12,20834.305,21025.314,20917.922,21139.215,20936.549,21272.598,21348.072,20829.602,21126.285,21056.674,20715.818,20949.486,20984.857,20873.273,21215.531,21055.723,21036.492,20982.281,21373.04,21130.596,21046.275,20889.076,21206.406,21020.387
2021-12-11,20936.51,21080.418,21007.012,21019.432,21030.686,21091.01,21251.275,20941.398,21138.998,21023.322,21251.395,21043.46,21380.39,21462.36,20930.81,21250.635,21174.502,20828.424,21057.4,21098.938,20976.283,21327.836,21161.62,21156.014,21091.846,21484.352,21243.38,21149.393,21003.254,21317.045,21130.314
2021-12-12,21084.168,21242.932,21145.188,21175.21,21184.863,21240.611,21398.92,21092.123,21299.316,21171.658,21409.516,21193.908,21532.21,21623.234,21073.049,21426.326,21340.727,20987.025,21209.2,21259.62,21121.344,21485.906,21310.72,21324.426,21246.02,21641.201,21402.031,21294.361,21163.879,21472.537,21285.072
2021-12-13,21263.604,21441.297,21312.71,21365.303,21372.7,21422.611,21578.096,21275.7,21494.768,21352.328,21602.334,21376.96,21717.18,21819.13,21246.191,21641.28,21543.791,21180.47,21393.857,21455.66,21297.834,21678.412,21492.205,21529.82,21433.686,21832.316,21595.062,21470.438,21359.746,21661.668,21473.572
2021-12-14,21382.496,21572.121,21422.906,21491.334,21496.734,21541.855,21695.785,21396.447,21624.225,21471.117,21729.69,21497.623,21839.188,21948.174,21359.521,21783.545,21677.805,21307.682,21515.414,21584.492,21414.625,21805.088,21612.062,21665.164,21557.209,21958.629,21722.025,21586.557,21487.873,21785.625,21597.768
2021-12-15,21362.01,21548.516,21403.418,21469.22,21474.701,21519.988,21674.727,21374.6,21601.508,21449.578,21706.984,21476.133,21817.39,21925.025,21338.574,21758.047,21653.604,21284.488,21493.648,21560.89,21394.23,21782.238,21590.875,21640.75,21535.012,21936.271,21699.18,21566.105,21463.932,21762.965,21575.488
2021-12-16,21290.07,21468.889,21336.514,21392.79,21399.36,21447.246,21603.164,21301.074,21522.998,21377.227,21629.59,21402.814,21743.225,21846.535,21269.37,21671.533,21572.031,21206.953,21419.729,21482.314,21323.441,21705.13,21518.12,21558.371,21459.863,21859.584,21621.926,21495.646,21385.578,21687.377,21499.945
2021-12-17,21271.799,21449.215,21319.771,21373.592,21380.564,21429.443,21585.383,21282.932,21503.273,21359.398,21610.328,21384.547,21724.783,21827.07,21252.516,21650.076,21551.887,21187.912,21401.373,21463.078,21305.604,21686.072,21499.914,21538.012,21441.242,21840.41,21602.797,21477.975,21366.629,21668.842,21481.217
2021-12-18,21305.012,21486.139,21350.775,21408.91,21415.453,21463.275,21618.584,21317.06,21539.564,21392.99,21646.174,21418.523,21759.15,21863.463,21284.729,21690.139,21589.709,21223.926,21435.65,21499.588,21338.324,21721.848,21533.594,21576.223,21476.102,21875.906,21638.643,21510.596,21403.135,21703.988,21516.242
2021-12-19,21336.006,21520.348,21379.557,21441.803,21447.852,21494.496,21649.346,21348.643,21573.354,21424.064,21679.447,21450.049,21791.033,21897.195,21314.418,21727.316,21624.75,21257.215,21467.424,21533.314,21368.795,21754.977,21564.889,21611.615,21508.395,21908.89,21671.84,21540.91,21436.729,21736.436,21548.705
2021-12-20,21335.127,21519.105,21378.605,21440.773,21446.766,21493.262,21648.27,21347.477,21572.293,21422.902,21678.309,21448.973,21789.93,21896.004,21313.203,21726.014,21623.477,21255.938,21466.309,21531.996,21367.863,21753.771,21563.865,21610.328,21507.24,21907.803,21670.645,21539.934,21435.287,21735.172,21547.557
2021-12-21,21331.889,21515.748,21375.709,21437.414,21443.514,21490.281,21645.223,21344.39,21568.844,21419.88,21674.986,21445.824,21786.758,21892.668,21310.398,21722.328,21620.04,21252.727,21463.162,21528.762,21364.734,21750.523,21560.707,21606.855,21504.059,21904.48,21667.379,21536.86,21432.166,21732.059,21544.348
