,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,22505.05,22222.373,22482.436,22240.094,22748.76,22366.793,22833.758,22407.506,22445.746,22443.04,22800.078,21986.7,22357.701,22673.463,22581.857,23077.395,22190.072,23069.064,22391.822,22269.734,22149.494,22344.469,22836.531,22737.205,22485.445,22920.78,22518.822,22172.9,22714.111,22329.893,22510.1
2021-11-25,22524.025,22238.957,22503.768,22257.533,22767.975,22386.191,22854.729,22425.615,22465.229,22461.523,22821.377,22002.846,22374.95,22692.93,22600.428,23098.514,22207.97,23091.01,22410.543,22289.836,22165.365,22362.947,22857.477,22757.371,22504.08,22943.234,22538.305,22191.186,22733.822,22348.742,22529.283
2021-11-26,22519.348,22235.412,22497.846,22253.18,22763.02,22381.97,22849.832,22420.7,22460.36,22457.531,22816.26,21999.893,22371.283,22688.24,22596.488,23092.955,22203.572,23085.648,22405.791,22285.277,22161.842,22358.096,22851.97,22752.371,22499.736,22938.45,22532.863,22186.78,22728.736,22343.883,22524.645
2021-11-27,22477.545,22198.703,22451.076,22214.775,22720.754,22339.07,22803.574,22380.94,22417.457,22416.637,22769.314,21964.004,22333.092,22645.314,22555.398,23046.549,22164.143,23037.307,22364.584,22240.885,22126.742,22317.469,22805.936,22707.959,22458.604,22888.781,22490.135,22146.47,22685.387,22302.42,22482.37
2021-11-28,22399.213,22130.135,22363.24,22142.742,22641.39,22259.025,22717.182,22306.145,22337.021,22340.275,22681.54,21897.238,22261.744,22564.871,22478.803,22959.475,22090.262,22946.893,22287.248,22158.025,22061.04,22241.146,22719.516,22624.77,22381.648,22796.32,22409.72,22070.998,22604.098,22224.59,22403.213
2021-11-29,22259.973,22007.625,22208.082,22014.617,22500.336,22116.48,22563.87,22173.355,22194.053,22204.01,22525.832,21777.605,22134.168,22421.594,22342.361,22805.184,21958.902,22786.61,22149.736,22010.812,21943.523,22105.572,22566.227,22477.06,22244.648,22632.094,22267.213,21936.795,22459.955,22086.338,22262.488
2021-11-30,22088.424,21855.51,22018.68,21856.604,22326.611,21940.297,22375.375,22010.102,22017.959,22035.107,22334.527,21628.387,21975.576,22244.57,22173.625,22615.977,21797.0,22589.86,21980.256,21829.504,21797.406,21938.742,22377.994,22295.38,22075.482,22429.867,22092.5,21771.338,22283.014,21916.207,22089.062
2021-12-01,21918.424,21704.232,21831.953,21699.773,22154.23,21765.857,22189.346,21848.06,21843.416,21867.428,22145.691,21479.96,21817.705,22068.777,22006.572,22428.947,21636.496,22395.719,21812.057,21650.43,21651.705,21773.229,22191.682,22115.623,21907.766,22230.576,21919.416,21607.393,22108.023,21747.525,21917.268
2021-12-02,21680.295,21492.852,21570.229,21479.639,21911.88,21523.264,21930.676,21619.436,21598.654,21633.66,21882.656,21273.938,21597.074,21822.283,21774.55,22166.85,21411.58,22125.283,21575.693,21401.596,21447.207,21540.28,21930.178,21864.197,21673.275,21955.184,21675.342,21378.072,21862.766,21510.5,21676.967
2021-12-03,21448.31,21283.322,21320.041,21264.887,21676.441,21284.408,21678.69,21398.402,21360.562,21402.559,21627.205,21067.164,21377.83,21581.04,21545.486,21913.96,21192.256,21862.992,21345.674,21158.322,21244.367,21314.445,21677.518,21619.918,21443.646,21685.307,21440.797,21154.166,21625.596,21280.51,21442.53
2021-12-04,21289.998,21140.799,21148.957,21118.066,21515.195,21122.63,21507.92,21246.389,21197.91,21245.744,21453.791,20927.543,21228.729,21416.352,21390.531,21741.209,21042.51,21684.906,21188.213,20993.625,21105.812,21159.555,21504.701,21453.43,21287.27,21503.62,21279.543,21001.596,21463.52,21123.016,21282.771
2021-12-05,21142.422,21007.273,20990.396,20981.049,21364.855,20971.637,21349.084,21104.672,21046.328,21099.111,21292.596,20796.504,21088.936,21262.594,21245.805,21580.646,20902.824,21519.43,21041.334,20840.312,20975.793,21015.162,21343.955,21298.436,21141.336,21334.678,21129.56,20859.328,21312.73,20976.227,21133.836
2021-12-06,21023.541,20899.332,20863.193,20870.564,21243.701,20849.959,21221.408,20990.426,20924.234,20980.771,21163.076,20690.504,20975.867,21138.596,21129.13,21451.58,20790.24,21386.496,20922.926,20717.012,20870.521,20898.791,21214.652,21173.719,21023.701,21198.992,21008.867,20744.705,21191.412,20857.96,21013.863
2021-12-07,20989.807,20867.498,20828.545,20839.205,21209.748,20814.188,21184.672,20958.969,20889.783,20945.836,21126.193,20658.055,20942.291,21103.129,21094.543,21415.688,20758.258,21348.69,20889.598,20681.215,20839.656,20866.41,21178.713,21138.424,20989.895,21159.0,20976.041,20711.928,21157.594,20824.902,20979.617
2021-12-08,21006.822,20883.23,20846.406,20855.027,21226.998,20831.873,21203.04,20975.113,20907.213,20963.08,21144.74,20673.764,20958.822,21120.943,21111.566,21433.986,20774.383,21367.715,20906.49,20699.03,20854.969,20882.93,21197.043,21156.242,21006.826,21178.719,20992.996,20728.389,21174.814,20841.719,20996.83
