,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,11455.585,11353.526,10869.466,11807.48,11423.86,10882.943,10896.77,10993.128,10663.026,11331.841,11336.302,11191.446,10661.803,11382.929,11944.58,11178.176,10846.622,10414.331,10909.874,10592.385,10664.557,10802.202,10874.247,10763.066,11372.061,10885.977,10683.087,11062.647,10951.613,11179.039,11045.819
2000-01-10,11201.949,11345.385,10860.966,11567.049,11438.535,10842.916,11163.729,11401.759,10971.876,10851.184,11358.624,11355.403,10386.396,10829.752,11774.062,11158.159,11088.473,10542.954,10836.158,11154.481,10866.014,11315.736,10702.071,10887.909,11133.223,11165.926,10917.579,11021.907,10998.969,11268.722,11080.263
2000-01-11,11248.1045,11213.366,10937.209,11539.628,11330.818,10850.905,10939.515,10982.934,11028.417,11077.054,11135.465,11200.498,10879.099,11108.583,11388.103,11181.813,11071.5625,10934.689,11056.402,10802.512,11029.703,11040.946,10972.837,10953.164,11112.337,10859.36,10946.497,11090.396,11100.197,10973.169,11066.176
2000-01-12,11118.843,11074.933,10808.356,11411.347,11205.147,10718.139,10799.344,10845.809,10898.743,10943.017,11007.985,11061.197,10737.027,10983.073,11252.842,11047.911,10936.446,10796.537,10927.963,10666.811,10888.127,10910.03,10842.595,10815.834,10978.51,10723.562,10811.137,10956.238,10963.295,10846.051,10932.562
2000-01-13,11150.524,11107.149,10841.972,11443.464,11236.723,10749.12,10833.106,10880.885,10930.942,10974.151,11039.402,11091.61,10769.703,11013.767,11284.27,11082.172,10969.889,10830.456,10959.933,10698.923,10920.983,10942.969,10875.4375,10849.859,11011.091,10754.9375,10846.221,10988.855,10997.651,10878.119,10965.143
2000-01-14,11276.424,11240.426,10969.243,11568.87,11359.865,10877.078,10969.073,11015.753,11057.571,11103.161,11163.735,11223.929,10906.167,11135.997,11414.374,11213.82,11101.748,10965.042,11085.493,10830.033,11057.277,11071.269,11003.138,10983.924,11141.255,10885.5,10979.724,11119.2295,11131.689,11002.818,11095.121
2000-01-15,11404.163,11375.918,11097.831,11695.678,11484.795,11007.391,11107.054,11152.254,11185.822,11234.46,11289.934,11358.887,11045.157,11260.236,11546.55,11346.994,11235.408,11101.559,11212.87,10963.169,11196.03,11201.301,11132.555,11119.846,11273.414,11018.4,11114.592,11251.391,11267.388,11129.361,11227.015
2000-01-16,11508.809,11486.88,11203.048,11799.339,11587.246,11114.299,11220.027,11264.0205,11290.783,11342.096,11393.385,11469.458,11159.125,11362.19,11654.733,11455.998,11344.85,11213.372,11317.283,11072.16,11309.787,11307.837,11238.597,11231.165,11381.723,11127.339,11224.8955,11359.536,11378.4375,11233.179,11335.054
2000-01-17,11588.091,11570.947,11282.662,11877.74,11664.922,11195.408,11305.587,11348.641,11370.245,11423.71,11471.8,11553.284,11245.556,11439.541,11736.666,11538.511,11427.722,11298.07,11396.422,11154.702,11396.043,11388.546,11318.938,11315.479,11463.804,11209.934,11308.33,11441.396,11462.489,11311.91,11416.905
2000-01-18,11539.04,11503.823,11496.171,11695.587,11685.393,11345.122,11440.818,11424.933,11873.754,11274.012,11391.743,11624.4795,11531.152,11223.669,11282.149,11650.539,11789.532,12009.589,11619.61,11505.878,11897.902,11727.282,11520.089,11662.688,11267.5625,11314.15,11677.383,11523.617,11698.916,11232.26,11547.627
