,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,22636.053,22445.139,22483.73,22103.69,22157.803,22301.936,22360.043,22744.164,22400.432,22451.76,22136.219,22194.223,22361.973,22620.361,22252.818,22275.186,22348.977,22444.576,22282.816,22253.254,22281.787,22194.535,22272.191,22314.658,22500.045,22531.385,22533.346,22245.922,22564.324,22378.914,22369.076
2021-11-25,22665.959,22480.059,22522.72,22131.236,22184.787,22331.33,22389.227,22777.406,22431.787,22480.145,22163.078,22224.037,22394.53,22648.34,22284.338,22321.924,22377.38,22476.527,22310.154,22280.047,22310.734,22223.83,22303.992,22343.17,22533.361,22560.576,22565.293,22274.334,22590.977,22408.87,22399.674
2021-11-26,22640.154,22431.791,22458.066,22102.658,22164.898,22302.215,22363.143,22742.973,22401.94,22457.123,22141.514,22194.723,22351.824,22627.682,22247.873,22224.768,22355.637,22440.723,22288.96,22263.285,22282.441,22193.598,22262.717,22319.094,22493.27,22536.873,22527.766,22249.955,22573.658,22377.443,22367.291
2021-11-27,22579.564,22367.227,22389.291,22048.812,22110.043,22244.336,22304.807,22678.018,22339.822,22399.666,22087.078,22135.941,22290.926,22570.418,22187.479,22148.34,22297.742,22379.084,22233.318,22207.527,22225.787,22136.291,22203.102,22261.672,22429.838,22477.791,22466.66,22192.854,22518.393,22318.996,22307.695
2021-11-28,22454.924,22226.39,22232.498,21937.328,22001.287,22125.582,22186.52,22543.463,22212.81,22284.52,21978.117,22015.205,22159.535,22456.828,22060.533,21961.406,22182.469,22250.209,22122.38,22098.643,22109.52,22017.732,22074.75,22146.049,22295.22,22359.373,22337.535,22077.664,22410.11,22197.781,22183.883
2021-11-29,22250.365,22007.59,21996.621,21757.469,21820.18,21937.057,21992.76,22326.28,22006.164,22094.25,21797.936,21819.293,21953.807,22267.717,21858.35,21696.236,21991.791,22043.957,21938.41,21915.266,21920.746,21826.34,21873.48,21955.672,22081.908,22163.719,22132.496,21888.273,22228.207,22002.465,21984.824
2021-11-30,22029.184,21795.52,21784.266,21569.236,21619.105,21738.4,21783.998,22098.771,21786.217,21885.943,21600.377,21611.955,21751.248,22057.848,21652.094,21488.115,21782.129,21831.982,21735.67,21707.613,21720.72,21625.906,21674.674,21749.504,21866.56,21949.547,21924.334,21682.809,22023.105,21798.564,21777.512
2021-12-01,21816.643,21593.39,21583.041,21388.777,21425.53,21547.793,21583.438,21880.932,21575.076,21685.576,21410.676,21413.027,21557.973,21855.793,21454.752,21293.615,21580.328,21629.525,21540.604,21507.424,21528.79,21434.652,21485.062,21551.598,21660.666,21743.543,21725.2,21485.328,21825.445,21603.129,21578.91
2021-12-02,21482.393,21226.621,21182.713,21092.64,21131.477,21239.764,21267.71,21524.33,21235.695,21375.508,21119.11,21091.312,21214.828,21548.578,21120.084,20830.654,21271.865,21289.768,21241.402,21211.047,21220.455,21122.008,21150.258,21242.965,21306.71,21424.238,21386.395,21176.54,21531.19,21281.428,21251.322
2021-12-03,21252.1,21055.82,21048.014,20909.123,20911.24,21040.084,21052.232,21302.613,21013.855,21153.34,20907.182,20884.799,21044.346,21318.852,20930.184,20771.4,21044.041,21091.39,21022.354,20975.553,21022.365,20928.637,20981.56,21025.795,21113.264,21195.229,21197.484,20961.383,21300.34,21083.846,21051.281
2021-12-04,21066.46,20876.06,20867.408,20750.562,20742.582,20870.023,20879.148,21111.418,20831.746,20978.572,20741.842,20711.137,20873.361,21142.719,20756.184,20590.426,20868.023,20913.05,20852.24,20801.56,20855.59,20762.268,20813.678,20853.72,20931.354,21015.023,21022.44,20789.064,21128.479,20912.674,20876.96
2021-12-05,20904.65,20728.549,20727.04,20614.666,20593.637,20723.482,20728.447,20947.648,20674.12,20825.277,20596.523,20561.395,20731.674,20987.205,20609.111,20461.764,20713.572,20761.63,20702.557,20646.436,20711.768,20619.113,20674.3,20703.205,20778.459,20856.973,20874.824,20638.625,20975.574,20766.146,20727.943
2021-12-06,20779.064,20616.506,20623.873,20510.191,20477.318,20610.379,20611.477,20821.58,20552.188,20705.938,20483.29,20445.791,20624.453,20865.76,20496.68,20373.06,20593.24,20645.611,20585.865,20524.744,20600.723,20508.842,20568.727,20586.186,20661.85,20733.936,20762.107,20521.771,20855.742,20653.42,20613.344
2021-12-07,20779.488,20659.424,20694.97,20521.262,20468.844,20618.5,20611.842,20834.672,20557.682,20702.006,20478.18,20453.658,20658.459,20857.111,20518.04,20506.303,20585.785,20664.42,20579.809,20509.32,20608.184,20519.543,20601.125,20584.186,20688.186,20729.932,20785.227,20521.05,20841.934,20666.035,20626.842
2021-12-08,20789.402,20658.914,20687.484,20527.121,20479.988,20625.719,20621.082,20841.826,20566.186,20712.383,20488.332,20461.135,20659.49,20868.7,20522.28,20483.922,20597.021,20669.51,20590.447,20522.426,20615.385,20525.967,20602.305,20593.953,20691.662,20740.621,20789.102,20530.523,20854.535,20672.232,20632.99
2021-12-09,20870.402,20766.398,20813.719,20603.35,20547.549,20705.176,20696.498,20933.797,20649.105,20785.703,20556.742,20541.994,20756.959,20939.406,20612.451,20653.215,20668.018,20759.834,20660.285,20587.586,20692.97,20605.78,20697.1,20667.412,20788.729,20816.26,20880.94,20604.95,20919.861,20755.232,20717.914
2021-12-10,20958.047,20844.162,20886.918,20676.416,20628.674,20784.156,20778.127,21021.855,20734.227,20868.957,20635.734,20622.719,20831.99,21024.105,20691.045,20716.137,20751.943,20840.914,20741.684,20672.412,20770.512,20682.797,20770.975,20749.062,20870.229,20902.096,20959.738,20686.49,21003.402,20833.977,20797.982
2021-12-11,21084.326,20982.191,21036.988,20788.256,20740.08,20902.736,20895.797,21156.549,20860.012,20986.227,20746.15,20743.656,20960.898,21140.537,20817.26,20889.072,20868.82,20969.123,20854.984,20784.848,20886.615,20800.145,20897.092,20865.225,21003.691,21023.033,21087.33,20803.293,21114.984,20955.002,20921.498
2021-12-12,21250.525,21151.834,21214.027,20932.416,20889.242,21056.43,21051.996,21330.201,21024.104,21141.795,20893.387,20900.686,21120.943,21296.35,20977.38,21078.65,21024.822,21132.604,21005.951,20937.344,21037.393,20951.625,21053.988,21019.062,21171.928,21183.45,21248.748,20957.336,21265.906,21110.885,21080.367
2021-12-13,21453.605,21358.02,21428.621,21108.215,21071.582,21240.854,21244.168,21541.932,21229.135,21331.934,21073.662,21093.15,21315.986,21486.8,21172.424,21307.13,21215.469,21331.81,21190.441,21123.904,21221.342,21136.877,21244.822,21207.623,21376.762,21379.41,21445.316,21145.459,21450.512,21301.543,21274.283
2021-12-14,21540.773,21397.188,21435.824,21171.213,21160.25,21311.613,21325.11,21618.068,21309.873,21418.643,21156.418,21166.812,21360.174,21579.166,21231.564,21249.072,21306.258,21395.705,21277.2,21222.555,21291.979,21203.879,21289.37,21291.152,21434.232,21468.7,21503.014,21227.516,21546.43,21368.87,21341.951
2021-12-15,21483.064,21304.03,21315.291,21112.564,21115.812,21253.38,21269.492,21547.691,21247.406,21368.184,21109.598,21105.861,21277.006,21532.588,21158.932,21074.523,21258.457,21323.994,21230.158,21182.668,21233.94,21142.264,21208.979,21239.47,21354.719,21416.734,21428.498,21175.05,21505.76,21304.572,21276.023
2021-12-16,21411.354,21241.912,21257.914,21053.203,21049.21,21190.1,21202.0,21476.068,21176.264,21299.967,21044.861,21039.84,21216.678,21463.078,21095.38,21027.6,21189.236,21258.352,21163.406,21112.809,21170.809,21079.61,21149.695,21172.357,21289.0,21346.455,21364.877,21108.37,21437.0,21240.414,21210.928
2021-12-17,21414.736,21269.838,21303.627,21062.305,21047.053,21197.322,21205.943,21486.83,21183.215,21300.578,21044.623,21047.488,21239.572,21460.943,21110.824,21109.006,21187.932,21272.385,21162.693,21106.658,21177.984,21088.967,21171.418,21174.184,21307.518,21347.117,21381.385,21110.826,21431.76,21250.777,21221.848
2021-12-18,21456.219,21315.568,21353.707,21099.11,21083.498,21235.584,21245.28,21531.15,21225.707,21339.041,21080.951,21087.453,21282.326,21499.025,21152.463,21167.193,21226.18,21314.64,21199.791,21143.36,21216.14,21127.715,21213.127,21212.475,21351.578,21386.727,21423.48,21149.127,21468.203,21290.762,21262.586
2021-12-19,21483.389,21334.793,21368.035,21120.514,21109.645,21258.826,21270.719,21557.012,21251.814,21365.342,21105.973,21111.684,21301.725,21526.295,21174.395,21171.32,21253.191,21337.625,21225.746,21171.453,21239.336,21150.35,21232.326,21238.133,21373.816,21413.81,21445.252,21174.51,21495.717,21313.807,21285.883
2021-12-20,21471.283,21311.283,21335.912,21107.213,21101.162,21245.94,21258.932,21541.076,21238.18,21355.166,21096.66,21098.176,21281.096,21517.385,21157.184,21122.133,21243.89,21320.846,21216.492,21164.588,21226.494,21136.44,21212.455,21227.504,21354.691,21403.332,21427.477,21163.611,21488.533,21299.154,21270.81
