,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,11937.353,11009.407,11572.252,13735.573,11300.06,11182.056,10205.765,11066.86,11219.48,11424.83,10994.202,11049.592,11290.767,12493.262,10772.837,10983.668,11683.868,11060.261,12113.379,11102.867,11681.407,10708.065,11445.294,10967.981,11143.197,11778.445,11322.528,10598.506,12171.919,9865.92,11329.385
2000-01-10,12362.033,11378.164,11271.196,11504.782,11342.097,13164.753,10958.618,10984.255,11681.273,11787.163,11254.838,10501.229,11656.063,11708.175,11331.407,11405.274,11489.179,11648.647,11442.669,11796.978,12628.668,12253.305,10799.904,11942.188,11233.871,11570.931,12068.843,11191.227,12049.645,10593.142,11566.686
2000-01-11,11418.623,11359.038,11439.639,11813.928,11522.945,11647.646,11438.237,11210.153,11311.945,11550.615,11593.538,11354.907,11685.438,11605.92,11420.434,11162.516,11623.859,11322.692,11626.399,11312.716,11720.71,11647.14,11625.005,11412.214,11446.062,11680.47,11818.879,11466.568,11814.923,11686.653,11524.66
2000-01-12,11309.654,11313.173,11446.437,11727.236,11414.179,11562.031,11326.574,11132.195,11212.342,11443.009,11483.11,11260.259,11626.758,11487.061,11347.113,11230.994,11513.844,11243.272,11519.019,11190.336,11628.354,11544.83,11563.786,11305.709,11376.909,11574.8955,11749.002,11366.826,11697.676,11604.553,11440.038
2000-01-13,11381.609,11448.106,11620.777,11833.166,11476.547,11651.021,11400.525,11209.956,11298.779,11525.63,11554.958,11337.704,11751.899,11551.886,11457.714,11490.739,11580.569,11351.507,11588.75,11251.261,11717.189,11625.172,11686.772,11380.819,11488.884,11652.409,11859.133,11448.528,11757.161,11695.908,11535.835
2000-01-14,11526.303,11599.104,11780.027,11990.052,11612.827,11792.647,11548.982,11354.139,11448.824,11678.464,11700.611,11476.245,11904.196,11697.947,11608.609,11662.375,11721.551,11504.995,11730.677,11396.639,11863.798,11774.091,11839.141,11530.034,11637.797,11796.011,12007.005,11594.606,11897.399,11836.902,11683.732
2000-01-15,11661.169,11722.463,11900.823,12128.271,11741.421,11919.262,11687.315,11491.22,11585.242,11818.995,11835.622,11603.375,12031.798,11836.354,11733.845,11771.703,11853.937,11638.792,11865.336,11535.443,11995.821,11910.46,11967.67,11668.294,11765.578,11923.479,12134.202,11728.134,12031.094,11962.149,11814.974
2000-01-16,11768.95,11818.221,11992.866,12237.415,11844.44,12019.571,11797.86,11604.42,11693.703,11930.984,11943.205,11711.678,12131.4375,11947.329,11831.306,11850.839,11959.893,11744.21,11973.048,11646.905,12100.575,12018.09,12068.357,11778.592,11865.905,12025.286,12234.124,11834.414,12139.432,12061.237,11919.143
2000-01-17,11848.472,11886.162,12056.471,12316.686,11921.097,12092.74,11879.415,11688.29,11773.193,12013.3125,12022.634,11791.2705,12202.719,12029.562,11901.779,11901.337,12038.221,11820.547,12052.502,11729.659,12177.143,12097.112,12140.501,11859.785,11938.212,12100.343,12306.19,11912.419,12219.904,12133.384,11995.035
2000-01-18,11491.726,11755.22,12288.738,10614.585,11310.164,11763.221,12042.165,12937.655,11923.263,11995.67,11985.332,11795.258,12459.855,11471.808,14193.915,12521.78,12082.75,12377.921,11761.517,12201.224,11858.706,12795.858,11911.35,12124.218,11643.454,12468.798,12782.144,13867.507,12532.283,13029.565,12199.589
2000-01-19,11401.499,12271.403,13247.158,12846.855,12153.792,10976.286,12710.516,12344.968,11739.089,12114.042,12971.179,13177.835,11993.649,12235.173,12253.223,12511.415,12451.289,12145.669,12312.605,11630.814,11752.043,11579.891,13432.759,11404.844,12153.471,12689.675,12439.11,12591.675,12386.461,13129.602,12301.601
