,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,22745.143,22817.547,22601.049,22729.51,22636.367,22708.066,22892.285,22673.465,22719.615,22671.12,22609.32,22605.213,22701.652,22700.664,22751.168,22789.52,22743.557,22760.143,22834.209,22661.844,22630.107,22645.635,22783.783,22674.549,22822.39,22783.812,22873.406,22835.08,22902.875,22741.312,22734.812
2021-11-25,22771.592,22844.66,22627.166,22755.475,22662.016,22734.262,22920.11,22699.283,22745.768,22696.67,22635.26,22632.23,22727.32,22726.973,22777.346,22816.752,22770.338,22788.033,22860.701,22688.406,22655.953,22672.34,22810.035,22701.09,22848.902,22810.332,22900.43,22862.48,22929.97,22768.06,22761.334
2021-11-26,22770.773,22839.982,22623.281,22754.246,22662.123,22732.24,22918.42,22693.74,22741.672,22694.457,22628.97,22621.785,22726.115,22723.58,22774.533,22811.465,22764.8,22777.797,22858.908,22679.66,22649.135,22667.285,22808.604,22699.395,22848.39,22814.346,22897.998,22859.621,22928.72,22766.404,22757.947
2021-11-27,22710.936,22779.812,22565.13,22695.615,22603.82,22673.334,22855.732,22636.76,22683.494,22637.088,22571.951,22563.598,22668.172,22664.844,22715.914,22751.217,22705.65,22717.553,22799.258,22621.97,22592.488,22608.162,22749.387,22639.613,22788.314,22752.865,22837.338,22798.25,22867.535,22706.139,22698.73
2021-11-28,22603.006,22669.307,22458.65,22589.627,22499.16,22566.434,22742.32,22531.506,22576.814,22532.803,22466.23,22453.613,22563.43,22557.562,22609.129,22640.232,22596.5,22604.004,22691.145,22513.773,22487.105,22499.324,22642.236,22531.365,22680.102,22644.527,22727.105,22686.557,22757.0,22597.059,22590.59
2021-11-29,22410.715,22475.053,22270.97,22401.084,22312.186,22376.758,22541.139,22347.113,22388.83,22347.77,22281.492,22263.984,22377.027,22368.174,22420.182,22445.523,22405.146,22407.941,22499.135,22326.26,22303.111,22308.277,22451.732,22339.217,22487.059,22448.432,22531.781,22489.064,22560.492,22403.42,22399.637
2021-11-30,22172.105,22238.896,22041.809,22167.736,22079.225,22142.936,22293.125,22124.2,22159.525,22119.611,22059.03,22040.402,22146.123,22136.453,22188.19,22209.518,22173.5,22176.277,22262.047,22103.383,22081.783,22076.578,22216.18,22102.143,22247.092,22199.479,22291.457,22246.795,22317.492,22164.48,22165.918
2021-12-01,21941.232,22010.676,21820.102,21942.037,21853.951,21916.77,22053.8,21908.705,21937.65,21898.584,21843.95,21824.26,21922.605,21912.426,21963.78,21981.443,21949.523,21952.502,22032.646,21888.016,21867.379,21852.684,21988.338,21873.068,22014.848,21958.758,22059.057,22012.781,22082.715,21933.623,21939.932
2021-12-02,21641.07,21705.559,21525.045,21647.328,21563.217,21619.676,21741.488,21617.62,21641.36,21607.512,21551.764,21521.6,21630.928,21615.318,21667.316,21675.066,21647.7,21640.504,21732.04,21590.08,21574.582,21552.072,21690.357,21573.479,21713.414,21656.723,21753.28,21704.426,21776.764,21631.912,21640.309
2021-12-03,21331.076,21407.322,21233.064,21345.639,21259.398,21318.816,21423.918,21338.127,21349.936,21312.604,21274.154,21250.287,21331.225,21320.121,21370.117,21378.281,21356.51,21359.3,21425.969,21317.102,21297.299,21260.654,21386.174,21268.715,21400.855,21325.02,21444.832,21395.408,21463.582,21324.719,21342.342
