,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,11284.589,11297.918,11379.613,11442.896,11382.721,11377.67,11284.103,11444.692,11411.437,11346.369,11328.959,11294.485,11611.483,11447.542,11333.893,11289.273,11394.821,11223.693,11420.648,11566.265,11330.699,11451.601,11168.195,11320.824,11166.731,11331.544,11290.663,11408.126,11410.706,11375.742,11360.596
2000-01-10,11291.062,11457.774,11309.532,11286.957,11402.136,11286.021,11411.665,11369.262,11224.712,11304.684,11444.159,11068.921,11460.599,11276.219,11276.08,11252.163,11277.564,11039.551,11321.637,11164.321,11383.18,11320.115,11199.08,11233.768,11042.398,11232.986,11244.465,11380.563,11450.227,11497.753,11296.985
2000-01-11,11331.98,11354.924,11332.364,11383.06,11452.053,11283.591,11362.906,11528.836,11319.516,11384.218,11430.959,11223.604,11460.407,11349.3545,11366.453,11297.236,11325.615,11194.569,11349.132,11428.579,11303.708,11313.351,11326.251,11377.648,11262.541,11308.131,11296.1455,11387.138,11412.654,11381.794,11350.956
2000-01-12,11177.571,11205.21,11181.703,11228.569,11296.42,11129.022,11211.05,11382.338,11168.798,11230.58,11285.034,11082.805,11306.532,11197.705,11212.996,11148.637,11176.206,11055.969,11193.778,11287.103,11154.208,11165.434,11171.614,11225.641,11105.166,11148.592,11142.506,11236.588,11258.783,11227.851,11199.8125
2000-01-13,11192.337,11229.05,11202.361,11247.869,11310.752,11149.802,11229.134,11411.032,11194.3,11247.909,11315.411,11119.469,11322.634,11221.022,11234.181,11174.306,11201.85,11094.722,11211.277,11321.9795,11180.31,11191.366,11191.892,11243.702,11120.421,11155.468,11162.486,11255.441,11276.283,11244.552,11221.778
2000-01-14,11322.412,11363.426,11334.692,11381.882,11441.287,11285.177,11360.122,11547.139,11330.835,11379.6875,11452.514,11258.219,11453.444,11356.358,11369.084,11309.424,11337.606,11233.551,11344.452,11459.653,11316.614,11326.214,11326.856,11374.796,11253.154,11282.491,11296.483,11386.184,11408.308,11375.997,11355.603
2000-01-15,11458.616,11501.591,11471.579,11520.936,11578.032,11425.269,11496.312,11685.665,11470.83,11516.986,11591.617,11397.375,11590.006,11495.656,11508.566,11447.863,11476.7,11372.245,11483.1875,11598.099,11456.237,11464.2295,11466.68,11511.056,11392.09,11417.725,11435.393,11521.886,11545.759,11513.029,11493.707
2000-01-16,11570.185,11614.365,11583.4375,11634.599,11690.003,11539.727,11607.704,11798.47,11585.036,11629.344,11704.829,11510.44,11701.778,11609.35,11622.517,11560.794,11590.138,11484.894,11596.705,11710.603,11570.141,11576.755,11580.958,11622.47,11505.895,11528.84,11548.965,11632.85,11658.195,11625.129,11606.503
2000-01-17,11654.986,11699.717,11668.212,11720.791,11775.097,11626.468,11692.23,11883.62,11671.41,11714.64,11790.221,11595.517,11786.666,11695.405,11708.86,11646.2,11675.906,11569.606,11682.877,11795.291,11656.2705,11661.814,11667.596,11706.988,11592.392,11613.621,11635.092,11717.012,11743.526,11710.218,11691.942
2000-01-18,11870.3955,11890.452,11749.832,11824.56,12050.993,11773.008,11944.194,12058.764,11709.819,11884.812,12082.831,11672.824,11854.726,11793.996,11861.2705,11753.473,11804.344,11661.987,11772.97,11778.003,11746.613,11728.156,11981.819,11945.334,11857.562,11752.472,11800.776,11882.799,11872.747,11888.526,11841.67
