,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,20652.355,20239.936,22226.957,21480.387,21052.416,21306.023,21602.943,20913.0,21056.812,22198.613,20039.818,22006.926,21618.299,21260.762,20487.193,21424.398,21810.016,20842.299,21021.793,21109.748,20852.334,19821.305,21258.65,20767.236,20407.045,20455.902,21060.717,20432.506,22586.13,22554.979,21151.582
2021-11-25,20616.531,20207.38,22180.865,21442.582,21012.87,21264.805,21562.578,20872.443,21020.232,22156.11,20008.25,21959.77,21580.06,21221.527,20452.986,21382.49,21769.322,20804.305,20982.117,21072.686,20817.81,19789.691,21220.197,20730.373,20373.229,20419.496,21020.695,20397.352,22532.303,22504.312,21112.512
2021-11-26,20565.621,20160.506,22113.424,21386.23,20959.877,21208.428,21503.346,20819.6,20968.797,22090.3,19963.896,21895.088,21521.102,21164.234,20406.727,21324.008,21708.3,20750.973,20927.91,21019.158,20765.893,19746.965,21162.99,20679.166,20326.098,20369.762,20966.068,20350.395,22459.379,22435.432,21057.326
2021-11-27,20456.418,20060.146,21968.363,21265.748,20841.281,21085.084,21374.951,20703.988,20856.17,21951.834,19868.232,21753.014,21395.38,21041.0,20304.492,21197.049,21578.277,20636.87,20812.344,20903.188,20655.516,19654.012,21042.441,20567.525,20223.855,20262.883,20846.014,20247.121,22302.373,22286.943,20938.086
2021-11-28,20285.922,19902.252,21740.375,21073.426,20659.496,20892.71,21169.799,20528.508,20680.041,21730.371,19720.203,21533.678,21192.477,20845.656,20143.475,21000.299,21372.154,20459.535,20634.559,20720.846,20480.326,19510.521,20851.947,20393.729,20062.633,20100.406,20660.404,20088.594,22060.262,22054.822,20751.648
2021-11-29,20118.574,19747.291,21516.451,20885.555,20481.895,20705.225,20970.346,20355.164,20504.865,21512.318,19573.88,21319.113,20993.682,20655.168,19987.232,20806.686,21169.885,20284.57,20456.402,20542.271,20308.168,19369.99,20664.668,20223.25,19905.363,19940.053,20477.535,19932.795,21823.15,21826.293,20568.596
2021-11-30,19957.045,19599.281,21303.096,20705.322,20311.152,20525.018,20781.057,20189.844,20343.389,21305.018,19433.803,21113.297,20806.953,20473.035,19840.473,20621.498,20975.855,20116.557,20287.504,20371.96,20142.889,19234.51,20483.947,20062.143,19755.803,19782.355,20305.127,19784.127,21595.428,21613.018,20394.016
2021-12-01,19674.436,19337.146,20920.047,20378.912,20012.652,20206.186,20431.998,19907.11,20039.9,20920.7,19188.123,20751.676,20457.354,20146.28,19572.531,20294.525,20627.182,19823.871,19997.58,20065.496,19844.629,19000.004,20165.564,19773.219,19486.463,19519.527,19993.977,19524.004,21204.693,21231.057,20083.229
2021-12-02,19533.836,19207.79,20733.426,20219.877,19861.727,20048.965,20264.38,19764.152,19893.371,20736.182,19066.156,20573.178,20290.326,19986.803,19440.88,20133.154,20457.123,19677.602,19850.416,19916.133,19697.93,18882.508,20007.932,19631.717,19354.674,19384.697,19841.816,19394.906,21008.492,21042.158,19930.076
2021-12-03,19391.312,19076.727,20543.945,20058.59,19711.87,19890.48,20094.004,19620.49,19746.244,20548.838,18942.717,20392.771,20120.307,19825.332,19308.863,19970.053,20284.342,19530.0,19702.268,19764.586,19548.828,18764.354,19848.709,19488.338,19221.168,19248.762,19688.129,19264.477,20812.074,20852.426,19775.367
