,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2019-06-20,13937.122,13797.272,13915.4375,13979.874,13962.178,13925.648,13899.136,13939.0,13965.145,13992.501,13920.112,13959.04,13999.107,13888.617,13888.632,14019.287,13990.358,13926.667,14017.093,13928.151,13966.798,13977.281,13941.488,13938.68,14032.306,13882.858,13966.159,13955.169,13927.154,13948.913,13946.239
2019-06-21,13964.941,13821.209,13938.85,14008.05,13991.928,13953.913,13922.469,13968.785,13990.128,14015.785,13944.39,13986.857,14021.244,13911.168,13915.783,14047.943,14014.709,13956.253,14048.435,13949.687,13985.78,14001.279,13966.726,13971.642,14059.222,13908.433,13988.801,13985.414,13957.349,13977.915,13972.503
2019-06-22,14000.958,13856.61,13967.386,14046.992,14029.84,13988.161,13956.473,14007.005,14022.0625,14045.185,13980.639,14015.051,14051.612,13942.463,13948.05,14081.186,14044.933,13989.732,14088.162,13985.061,14015.371,14036.945,14000.908,14011.692,14095.005,13943.813,14017.903,14027.24,13990.394,14015.354,14006.739
2019-06-23,14039.264,13901.371,14006.608,14088.269,14063.616,14023.389,13989.475,14053.769,14070.337,14077.216,14027.733,14048.947,14086.051,13987.165,13983.663,14120.273,14074.344,14030.431,14142.025,14025.704,14062.0,14082.025,14039.649,14057.369,14139.278,13984.539,14052.018,14071.608,14026.312,14061.765,14047.206
2019-06-24,14131.163,14020.707,14121.912,14191.213,14172.619,14137.223,14105.674,14157.782,14192.49,14196.256,14141.594,14169.347,14205.578,14105.152,14101.05,14233.627,14201.866,14142.6455,14227.357,14144.753,14174.839,14192.795,14147.828,14155.799,14243.251,14091.317,14163.7,14172.969,14128.51,14166.361,14157.913
2019-06-25,14125.7,14013.918,14116.131,14183.201,14166.438,14134.977,14103.146,14145.259,14184.103,14193.366,14129.375,14168.756,14203.241,14096.896,14095.485,14228.297,14203.526,14137.21,14213.528,14136.942,14166.92,14185.346,14141.958,14147.324,14233.816,14084.937,14162.71,14164.236,14122.968,14156.622,14151.544
2019-06-26,14067.6875,13944.493,14049.638,14120.83,14102.995,14067.419,14035.73,14085.065,14113.049,14126.107,14067.031,14098.702,14134.258,14029.447,14028.958,14160.412,14129.118,14070.25,14159.01,14071.704,14101.831,14119.503,14077.75,14085.012,14172.722,14020.529,14096.091,14100.65,14060.638,14092.72,14086.311
2019-06-27,14054.844,13934.4795,14039.104,14108.073,14089.371,14055.067,14025.081,14072.071,14102.148,14116.642,14056.212,14087.191,14124.9375,14018.947,14017.735,14147.684,14119.382,14057.299,14144.21,14061.816,14093.405,14108.729,14066.497,14070.044,14160.607,14008.801,14086.16,14086.351,14047.447,14079.39,14074.659
2019-06-28,14044.883,13923.271,14031.618,14097.151,14080.074,14045.473,14016.053,14061.265,14092.708,14107.789,14044.712,14079.774,14116.508,14010.257,14008.604,14140.141,14111.053,14048.548,14132.474,14050.937,14083.802,14098.455,14057.308,14058.523,14150.28,13999.384,14078.181,14075.779,14039.501,14069.563,14065.137
2019-06-29,14035.443,13907.732,14018.938,14085.325,14070.168,14034.618,14003.541,14048.156,14076.672,14095.831,14029.013,14068.274,14103.406,13994.6045,13997.417,14127.584,14099.686,14036.962,14120.682,14035.811,14067.173,14082.946,14045.116,14048.333,14137.104,13986.688,14066.281,14063.726,14029.963,14056.327,14052.45
