,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2024-02-03,29008.727,29400.727,29549.09,29486.15,26904.5,28836.127,27154.592,28083.617,29513.979,29469.174,29435.953,29339.525,29326.6,29397.914,27799.346,29110.234,29429.818,29304.992,29411.475,29393.475,29503.592,29405.557,29186.705,26932.87,29487.812,29006.945,29477.195,29431.547,27234.902,29272.371,28943.182
2024-02-04,29038.977,29431.344,29571.805,29511.875,26914.5,28836.92,27161.58,28095.615,29522.357,29494.535,29452.53,29362.66,29337.082,29436.441,27807.021,29119.502,29449.45,29343.756,29423.396,29418.469,29532.814,29421.205,29205.965,26930.324,29506.748,29018.258,29508.395,29448.621,27250.76,29293.748,28961.555
2024-02-05,29124.787,29519.348,29643.621,29589.53,26947.22,28860.031,27187.377,28131.193,29564.264,29571.775,29511.592,29434.875,29382.85,29540.332,27823.693,29145.342,29514.81,29448.408,29472.246,29494.562,29618.268,29478.115,29269.943,26934.77,29570.65,29064.223,29597.887,29508.55,27296.607,29361.676,29020.285
2024-02-06,29178.37,29578.426,29715.166,29654.92,26983.393,28949.904,27225.148,28159.086,29656.059,29639.16,29592.014,29503.762,29469.377,29585.658,27815.746,29159.928,29590.543,29494.502,29557.082,29560.871,29680.84,29558.898,29343.635,26979.787,29647.336,29143.102,29657.324,29587.52,27328.416,29430.527,29080.88
2024-02-07,29183.43,29586.42,29737.607,29671.014,26996.03,29002.684,27241.434,28165.053,29703.277,29656.777,29625.184,29524.246,29511.582,29578.459,27804.22,29160.408,29618.2,29487.541,29597.004,29578.174,29692.158,29593.098,29370.412,27008.82,29676.18,29180.0,29665.023,29619.379,27333.295,29452.553,29100.656
2024-02-08,29187.97,29591.023,29741.035,29674.889,26997.54,29002.844,27242.49,28166.85,29704.566,29660.594,29627.697,29527.732,29513.19,29584.234,27805.36,29161.793,29621.168,29493.357,29598.824,29581.936,29696.553,29595.475,29373.32,27008.459,29679.045,29181.723,29669.71,29621.967,27335.676,29455.771,29103.428
2024-02-09,29163.979,29567.23,29726.27,29656.54,26991.525,29011.432,27239.62,28158.06,29705.94,29642.816,29619.863,29512.281,29511.945,29551.273,27797.064,29154.283,29609.846,29460.24,29596.0,29564.412,29674.482,29588.578,29362.16,27015.64,29668.51,29178.885,29645.387,29613.49,27323.496,29442.057,29091.777
2024-02-10,29377.152,29779.617,29863.814,29823.604,27048.639,28953.094,27270.209,28237.383,29709.418,29805.367,29699.855,29655.236,29536.846,29839.443,27866.215,29220.387,29718.744,29749.889,29634.04,29724.58,29872.727,29660.658,29469.414,26961.729,29770.898,29216.043,29862.291,29698.715,27432.316,29570.059,29200.945
2024-02-11,29523.04,29939.984,30054.6,29999.004,27144.387,29185.465,27369.018,28311.838,29948.955,29985.908,29912.025,29839.178,29763.287,29966.336,27846.904,29259.936,29919.514,29878.752,29856.395,29902.125,30041.936,29873.516,29664.74,27077.176,29973.912,29422.383,30023.787,29907.254,27518.3,29753.072,29362.092
2024-02-12,29654.918,30080.553,30198.275,30139.316,27213.834,29313.877,27434.727,28372.785,30094.568,30128.445,30056.79,29979.78,29905.385,30102.264,27849.057,29297.123,30063.293,30016.148,29998.666,30042.299,30185.016,30017.07,29804.87,27135.686,30117.697,29554.537,30165.977,30050.889,27592.492,29889.795,29481.873
2024-02-13,29936.406,30371.178,30443.576,30400.143,27326.164,29414.936,27525.176,28489.562,30254.629,30388.686,30265.78,30225.205,30075.709,30437.2,27895.39,29379.441,30290.088,30353.709,30177.586,30298.203,30469.174,30219.705,30026.596,27163.637,30340.193,29721.668,30461.18,30262.123,27743.236,30120.723,29682.568
2024-02-14,30307.092,30761.574,30813.883,30773.264,27500.906,29678.861,27680.596,28651.764,30580.152,30765.166,30617.375,30590.404,30401.424,30845.129,27922.85,29484.053,30650.053,30765.424,30508.117,30668.02,30860.295,30565.857,30377.66,27273.04,30697.635,30028.152,30856.732,30613.197,27946.984,30470.299,29988.533
2024-02-15,30558.195,31037.096,31133.537,31068.814,27657.76,30047.22,27838.6,28774.2,30967.34,31069.293,30966.506,30898.896,30769.203,31073.545,27893.29,29550.3,30982.78,30996.639,30869.82,30966.414,31150.016,30915.287,30701.078,27452.373,31033.273,30360.63,31134.822,30956.799,28093.043,30773.385,30256.338
2024-02-16,30693.596,31188.031,31320.264,31236.912,27749.822,30284.354,27934.178,28842.438,31210.402,31243.48,31177.64,31077.938,30997.768,31187.172,27867.174,29584.904,31180.459,31111.725,31093.135,31137.217,31311.584,31127.324,30893.045,27570.117,31233.496,30564.957,31287.047,31163.846,28173.404,30950.191,30413.121
2024-02-17,30923.0,31426.846,31528.562,31454.541,27845.068,30386.531,28011.623,28936.736,31359.248,31461.383,31360.596,31285.234,31153.11,31456.23,27897.266,29649.502,31375.611,31382.854,31254.127,31350.861,31546.975,31305.639,31083.47,27603.06,31425.42,30713.512,31529.47,31348.156,28296.459,31144.615,30583.19
2024-02-18,31245.275,31766.432,31845.516,31775.287,27992.008,30595.857,28138.178,29072.91,31626.607,31784.8,31656.51,31597.986,31422.848,31817.922,27922.031,29738.05,31680.945,31747.492,31528.418,31667.697,31886.666,31596.434,31380.975,27685.463,31727.8,30965.215,31873.799,31644.174,28471.934,31440.494,30843.193
2024-02-19,31396.088,31939.12,32079.484,31978.004,28107.254,30927.201,28261.902,29151.89,31958.047,31997.125,31932.42,31820.264,31731.037,31928.559,27874.082,29774.143,31933.658,31859.44,31827.156,31875.506,32076.86,31874.531,31625.916,27852.973,31984.965,31235.885,32047.98,31913.541,28564.223,31660.695,31039.664
2024-02-20,31450.498,32002.506,32170.547,32055.12,28152.16,31064.373,28311.275,29181.39,32093.422,32078.443,32042.504,31906.32,31856.15,31964.111,27852.125,29786.684,32033.215,31895.42,31947.943,31955.07,32147.967,31985.715,31722.357,27922.959,32086.6,31344.914,32111.893,32020.73,28598.268,31746.258,31116.23
2024-02-21,31623.969,32180.592,32309.943,32208.465,28213.805,31090.133,28354.543,29248.045,32161.049,32230.197,32151.191,32046.91,31934.191,32181.299,27886.453,29835.6,32157.23,32114.098,32032.576,32103.523,32319.914,32089.963,31843.518,27918.992,32206.73,31423.049,32292.873,32131.953,28688.762,31874.88,31228.48
2024-02-22,31680.217,32249.04,32421.887,32298.963,28269.518,31279.596,28418.535,29281.441,32343.465,32326.89,32293.332,32151.611,32100.975,32206.258,27851.332,29847.383,32282.75,32139.4,32192.467,32198.078,32400.066,32234.111,31964.945,28017.488,32335.61,31566.734,32361.797,32269.709,28726.045,31980.0,31322.99
2024-02-23,31620.277,32191.373,32398.129,32260.87,28261.225,31337.014,28421.934,29262.79,32378.865,32291.832,32294.895,32124.652,32125.803,32114.475,27822.615,29829.01,32271.084,32047.064,32211.709,32163.8,32349.516,32238.46,31953.146,28055.324,32327.014,31583.055,32302.951,32268.47,28697.676,31958.754,31305.46
2024-02-24,31848.523,32417.53,32529.717,32431.031,28314.607,31229.879,28439.682,29340.934,32342.943,32454.61,32354.787,32263.715,32118.459,32435.873,27903.352,29896.18,32368.012,32370.553,32220.01,32322.92,32556.955,32289.893,32048.72,27972.354,32415.16,31593.666,32533.223,32335.8,28810.44,32078.496,31407.938
2024-02-25,32039.645,32626.814,32763.305,32648.738,28424.895,31473.8,28546.178,29427.652,32608.928,32678.643,32602.248,32489.39,32373.33,32621.586,27885.223,29944.654,32606.627,32557.648,32471.252,32541.81,32776.023,32536.578,32280.297,28086.453,32654.91,31820.229,32745.207,32579.867,28919.465,32295.514,31600.898
