,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2024-02-03,29435.396,29428.248,29419.209,29312.404,29527.537,29366.9,29363.584,29504.084,29445.07,29356.318,29329.87,29453.117,29528.61,29369.912,29462.398,29385.002,29389.81,29351.156,29409.504,29456.914,29441.412,29369.504,28147.082,29213.83,29451.941,29371.367,29282.592,29349.01,29364.316,29409.543,29356.521
2024-02-04,29451.83,29448.334,29445.4,29330.725,29551.146,29377.053,29382.447,29522.74,29471.28,29380.97,29351.418,29479.611,29554.896,29392.836,29481.648,29405.666,29413.33,29367.086,29432.379,29484.402,29463.273,29387.848,28155.152,29236.602,29477.143,29385.273,29307.885,29369.54,29383.441,29428.842,29377.338
2024-02-05,29510.559,29514.738,29524.527,29392.578,29624.883,29421.326,29445.588,29585.932,29550.86,29456.389,29420.572,29559.04,29634.295,29464.594,29546.498,29473.201,29486.0,29423.486,29504.037,29565.398,29533.4,29450.19,28186.805,29307.422,29553.986,29437.986,29383.732,29436.625,29447.201,29493.584,29444.514
2024-02-06,29590.982,29590.22,29591.367,29466.936,29695.326,29504.922,29519.799,29662.496,29619.426,29523.248,29492.719,29624.014,29701.26,29533.69,29623.977,29547.586,29552.924,29499.22,29573.24,29626.854,29606.473,29526.354,28238.27,29374.125,29621.275,29518.852,29445.87,29510.482,29521.365,29570.084,29515.777
2024-02-07,29624.28,29617.332,29607.918,29494.943,29716.312,29545.688,29547.24,29691.521,29636.984,29541.172,29516.543,29639.176,29717.797,29554.479,29653.018,29573.535,29571.893,29530.166,29594.139,29639.049,29630.572,29555.418,28261.744,29393.623,29638.973,29554.65,29460.414,29536.232,29548.545,29598.5,29539.729
2024-02-08,29626.773,29620.37,29611.863,29497.713,29719.873,29547.24,29550.094,29694.346,29640.932,29544.887,29519.795,29643.166,29721.758,29557.938,29655.932,29576.656,29575.438,29532.582,29597.59,29643.186,29633.873,29558.193,28262.973,29397.057,29642.771,29556.768,29464.225,29539.336,29551.44,29601.42,29542.873
2024-02-09,29619.068,29608.572,29593.201,29487.537,29704.11,29546.018,29539.365,29684.066,29622.43,29527.729,29506.223,29624.01,29703.01,29542.705,29645.166,29564.186,29559.402,29524.883,29582.418,29622.691,29620.094,29548.182,28260.447,29381.723,29625.121,29551.586,29445.947,29526.941,29540.453,29590.502,29529.926
2024-02-10,29698.006,29721.52,29763.227,29586.533,29850.047,29570.262,29643.016,29784.287,29791.383,29684.945,29633.775,29797.945,29873.783,29683.889,29749.705,29682.725,29707.072,29602.979,29723.096,29807.406,29749.555,29646.074,28290.445,29523.355,29786.598,29609.111,29611.895,29644.742,29646.307,29696.154,29651.994
2024-02-11,29910.291,29921.918,29942.797,29783.547,30038.309,29789.143,29839.81,29987.125,29975.42,29864.184,29825.916,29972.764,30053.72,29868.455,29955.076,29880.447,29886.164,29802.947,29907.93,29973.365,29944.143,29847.77,28425.484,29701.693,29967.1,29821.883,29779.045,29841.064,29843.041,29898.994,29841.654
2024-02-12,30054.998,30066.412,30086.41,29923.113,30182.242,29926.582,29980.205,30130.482,30121.521,30004.965,29968.418,30114.309,30197.72,30009.158,30100.86,30024.477,30024.889,29940.0,30048.691,30111.756,30088.506,29989.94,28513.281,29838.719,30109.527,29962.47,29914.293,29984.096,29983.85,30043.47,29981.514
2024-02-13,30263.459,30296.791,30353.041,30139.033,30433.543,30091.447,30200.07,30351.328,30390.166,30260.178,30206.176,30381.258,30465.283,30253.824,30327.186,30258.023,30271.627,30139.549,30293.086,30382.28,30329.484,30207.953,28627.861,30079.686,30369.322,30152.484,30169.17,30216.078,30205.6,30269.078,30212.803
2024-02-14,30615.152,30660.41,30735.592,30486.479,30808.043,30406.754,30551.115,30707.75,30777.895,30631.732,30570.75,30760.66,30849.041,30619.29,30690.664,30622.713,30635.041,30473.7,30658.494,30758.53,30698.803,30560.771,28834.035,30437.12,30746.15,30487.084,30531.516,30578.275,30558.367,30629.986,30569.395
