,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2024-02-03,29271.318,29429.418,29274.344,29331.463,29448.293,29371.473,29381.09,29379.994,29442.297,29347.322,29450.096,29476.334,29349.459,29476.24,29253.467,29475.674,29345.736,29358.424,29193.537,29284.088,29356.605,29365.498,29419.69,28638.555,29306.957,29481.672,29110.31,29416.96,29400.324,29419.17,29341.857
2024-02-04,29304.557,29458.775,29304.09,29359.305,29479.229,29401.27,29412.076,29410.367,29470.95,29375.658,29483.588,29508.043,29375.701,29506.82,29280.543,29503.143,29372.932,29387.896,29221.254,29311.838,29382.867,29394.977,29446.766,28661.113,29330.98,29510.723,29138.213,29446.764,29431.361,29449.738,29370.719
2024-02-05,29396.277,29544.15,29388.443,29440.473,29567.922,29487.445,29500.209,29498.002,29554.352,29458.225,29577.54,29598.432,29453.52,29595.285,29359.215,29585.139,29451.564,29473.459,29301.986,29391.588,29460.592,29480.414,29527.402,28724.984,29403.42,29594.578,29218.748,29532.39,29520.191,29537.32,29454.107
2024-02-06,29444.312,29605.045,29441.035,29499.084,29626.64,29547.184,29556.13,29558.068,29614.125,29517.715,29632.393,29656.39,29514.42,29656.68,29415.16,29651.031,29506.107,29533.979,29359.99,29445.22,29520.885,29540.37,29591.555,28764.553,29464.184,29652.17,29274.082,29589.816,29578.46,29595.14,29511.73
2024-02-07,29443.438,29615.254,29445.965,29509.29,29634.146,29556.309,29561.951,29566.889,29624.299,29528.004,29635.328,29662.762,29527.414,29666.096,29424.469,29665.887,29514.467,29543.863,29369.928,29452.559,29533.496,29549.916,29605.725,28768.13,29479.057,29660.691,29282.281,29597.576,29585.613,29602.438,29520.441
2024-02-08,29448.42,29619.67,29450.432,29513.475,29638.797,29560.79,29566.6,29571.451,29628.605,29532.26,29640.357,29667.527,29531.357,29670.691,29428.531,29670.02,29518.549,29548.295,29374.096,29456.72,29537.441,29554.344,29609.8,28771.51,29482.672,29665.055,29286.47,29602.053,29590.277,29607.031,29524.775
2024-02-09,29420.94,29597.307,29426.834,29492.365,29614.654,29537.867,29542.148,29548.008,29606.824,29510.766,29613.314,29642.553,29512.074,29647.174,29407.908,29650.014,29497.652,29525.781,29353.031,29435.207,29518.06,29531.773,29590.002,28753.613,29465.535,29642.658,29264.967,29578.904,29565.99,29583.156,29502.57
2024-02-10,29662.822,29797.78,29636.385,29681.719,29829.994,29742.963,29759.5,29757.537,29802.121,29703.557,29852.697,29864.803,29686.217,29857.613,29592.66,29831.309,29684.498,29727.5,29542.006,29627.084,29692.943,29733.83,29769.217,28912.346,29621.38,29842.805,29457.127,29785.418,29782.428,29796.059,29701.146
2024-02-11,29795.195,29962.57,29779.605,29840.094,29989.643,29904.969,29911.53,29920.432,29963.668,29864.24,30002.988,30022.61,29849.809,30024.059,29743.78,30008.656,29832.176,29891.324,29698.92,29772.328,29855.209,29896.098,29941.904,29019.836,29784.074,29998.771,29606.998,29941.135,29940.863,29953.264,29857.223
2024-02-12,29924.82,30103.383,29909.135,29974.658,30130.453,30045.098,30047.918,30061.955,30101.363,30000.873,30143.08,30163.682,29984.26,30167.953,29872.924,30153.195,29959.752,30031.803,29832.615,29899.336,29989.125,30035.639,30083.154,29117.156,29914.232,30134.07,29736.982,30077.586,30081.121,30092.09,29992.314
