,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
0,20551.486,20158.729,19466.877,20578.283,18744.895,19335.652,19141.701,17142.5,18322.752,18306.043,18580.307,19826.998,21152.47,20117.062,20225.93,19918.846,20342.738,19748.787,19677.04,19864.08,19216.332,19618.514,19123.314,19277.168,19337.02,19291.105,19420.969,18862.738,18735.861,18263.135,19411.646
1,20355.33,19870.19,19298.408,20405.117,18583.906,19159.219,18987.182,17026.164,18202.463,18037.832,18456.887,19642.941,20926.48,19880.176,20040.145,19685.076,20119.428,19536.818,19468.314,19666.465,19021.887,19437.021,18991.44,19137.549,19160.24,19125.84,19179.598,18697.41,18563.916,18089.572,19225.102
2,20137.62,19652.559,19082.69,20175.43,18384.113,18952.06,18787.57,16869.996,18011.943,17776.88,18275.713,20000.213,21075.27,19687.719,19818.594,19495.457,19927.148,19345.146,19275.438,19507.713,18830.164,19249.193,18804.32,18956.47,18987.127,18962.988,19010.125,18550.672,18428.938,17971.688,19066.367
3,19837.709,19466.518,18786.502,19854.348,18095.06,18645.709,18497.572,16629.81,17772.195,17748.434,18017.402,19590.533,20417.172,19390.84,19514.992,19206.594,19640.74,19060.334,18999.61,19181.242,18548.436,18945.355,18465.717,18615.7,18663.857,18627.506,18761.752,18224.994,18108.463,17657.164,18765.742
4,19671.432,19311.186,18637.057,19699.082,17956.924,18535.156,18349.293,16465.773,17563.953,17547.602,17812.785,19364.576,20239.27,19233.605,19352.117,19033.027,19455.744,18887.338,18825.387,19009.791,18398.256,18798.965,18351.217,18497.477,18548.885,18521.795,18588.377,18108.553,17986.002,17558.424,18610.303
5,19503.715,19152.389,18473.08,19523.854,17805.492,18360.13,18189.514,16377.955,17504.258,17475.312,17745.412,19340.547,20860.854,19042.834,19180.547,18875.82,19295.482,18724.295,18671.672,18855.932,18241.375,18650.78,18204.412,18351.465,18393.783,18378.924,18389.53,17984.297,17863.803,17448.295,18495.527
6,19377.752,19035.158,18336.38,19368.18,17692.422,18279.596,18067.818,16520.562,17365.055,17262.645,17604.314,19191.035,19944.816,18935.932,19075.762,18761.988,19179.723,18603.973,18562.516,18755.467,18150.295,18545.02,18098.498,18258.275,18332.893,18337.031,18313.424,17945.525,17853.377,17480.91,18374.549
7,19311.408,18976.666,18257.676,19276.55,17617.17,18200.537,17994.49,16543.814,17354.32,17342.785,17623.646,19104.186,20647.46,18840.992,19003.879,18719.883,19121.3,18534.326,18511.602,18672.236,18103.953,18479.04,18008.68,18177.457,18259.227,18273.047,18237.443,17894.514,17827.428,17473.854,18346.318
8,19338.436,18998.78,18278.41,19298.328,17639.71,18220.78,17995.998,16536.379,17373.328,17348.424,17615.508,19134.717,20692.547,18892.094,19045.855,18757.047,19161.1,18572.924,18545.344,18702.81,18134.762,18500.404,18013.455,18182.09,18279.252,18286.354,18265.438,17909.994,17837.775,17483.766,18368.06
9,19352.984,19014.164,18298.324,19320.967,17650.902,18235.271,17659.393,16533.979,17392.332,17123.082,17621.23,19136.49,20690.273,18896.375,19073.426,18760.254,19163.084,18578.195,18550.445,18707.488,18138.426,18491.666,18020.842,18190.488,18275.59,18277.7,18263.176,17893.54,17806.924,17447.262,18352.143
