,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2024-02-03,29345.424,29336.375,29020.562,29274.014,29440.566,29329.947,29407.148,27848.32,29326.281,29479.1,29367.379,29344.973,29446.172,29179.195,29366.629,29350.729,29358.75,29494.527,29390.807,29456.695,29411.45,29350.76,29384.39,29515.068,29486.795,29465.25,29439.621,28832.633,29438.965,29385.297,29309.127
2024-02-04,29340.984,29357.852,29027.531,29260.715,29443.059,29351.398,29422.13,27853.887,29340.162,29490.113,29392.566,29364.262,29468.486,29187.832,29372.908,29390.86,29369.504,29513.043,29395.264,29473.73,29434.623,29350.646,29412.285,29546.617,29509.338,29492.33,29464.842,28831.254,29455.998,29406.451,29324.021
2024-02-05,29354.379,29425.984,29063.707,29255.912,29471.559,29419.209,29477.18,27874.787,29391.95,29537.594,29468.486,29428.17,29538.904,29227.793,29409.498,29498.912,29415.479,29575.95,29428.115,29532.654,29506.623,29374.102,29493.998,29637.05,29580.623,29573.08,29541.717,28850.322,29516.016,29474.635,29378.145
2024-02-06,29456.656,29494.521,29145.643,29371.988,29566.84,29486.686,29556.938,27906.39,29469.143,29625.979,29532.03,29501.299,29608.594,29308.666,29500.215,29545.44,29500.12,29652.715,29521.701,29607.766,29574.188,29474.715,29554.332,29696.875,29651.654,29637.668,29608.912,28945.326,29595.746,29546.725,29454.85
2024-02-07,29521.436,29516.25,29188.22,29452.844,29621.328,29507.824,29591.12,27920.262,29502.746,29668.82,29547.488,29527.707,29630.27,29349.117,29548.635,29537.541,29540.96,29681.984,29573.453,29637.355,29593.842,29534.705,29565.492,29704.494,29673.93,29652.074,29626.53,29003.086,29628.092,29570.867,29487.28
2024-02-08,29520.82,29519.492,29189.299,29450.91,29621.74,29511.059,29593.396,27921.102,29504.854,29670.506,29551.281,29530.621,29633.635,29350.443,29549.613,29543.559,29542.604,29684.79,29574.16,29639.934,29597.334,29534.73,29569.688,29709.238,29677.33,29656.152,29630.326,29002.926,29630.674,29574.059,29489.54
2024-02-09,29535.803,29505.62,29191.031,29476.0,29629.238,29497.111,29587.053,27918.98,29499.314,29668.941,29533.258,29519.373,29619.066,29350.426,29552.928,29509.156,29540.91,29674.672,29579.555,29631.1,29581.71,29545.328,29548.69,29684.611,29662.682,29636.385,29612.658,29014.162,29622.314,29560.883,29482.967
2024-02-10,29424.982,29635.094,29189.674,29281.37,29581.041,29627.01,29654.248,27942.143,29559.184,29696.854,29697.223,29627.209,29754.572,29363.77,29539.643,29809.84,29569.28,29773.535,29549.037,29718.71,29725.938,29471.662,29737.44,29904.227,29799.113,29815.373,29774.25,28934.068,29706.709,29685.025,29551.605
2024-02-11,29687.936,29817.658,29402.834,29577.807,29827.549,29806.729,29864.172,28024.514,29761.9,29928.176,29867.732,29820.967,29940.213,29574.441,29775.45,29940.393,29790.602,29976.719,29792.03,29917.064,29906.346,29731.627,29900.258,30066.912,29988.281,29989.215,29954.193,29179.219,29917.22,29876.594,29753.492
2024-02-12,29823.932,29954.629,29531.201,29716.832,29966.43,29942.01,30004.889,28078.678,29896.562,30073.803,30004.465,29960.191,30080.195,29704.213,29915.135,30081.19,29930.139,30119.918,29932.633,30054.92,30045.012,29873.605,30037.393,30210.436,30130.605,30131.113,30096.137,29310.908,30061.908,30017.867,29889.566
