,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
7996,4054.255,4354.859,4591.853,4854.831,4329.231,4485.499,4572.9004,4573.21,4268.359,4770.4263,4169.271,4336.926,4147.927,4735.9736,4342.622,4327.7793,4153.8247,4560.8535,4340.101,4347.081,4539.3037,4334.1064,4389.62,4495.676,4542.6147,4550.8994,4476.9424,4275.2,4775.5767,4423.6694,4437.38
7997,4057.5898,4359.799,4597.8906,4862.1167,4333.9097,4490.9717,4578.855,4579.1606,4272.6475,4777.1553,4173.092,4341.7466,4151.5176,4742.621,4347.3193,4332.5854,4157.5225,4566.938,4344.678,4351.654,4545.237,4338.7295,4394.6333,4501.151,4548.244,4556.8306,4482.492,4279.4883,4782.5684,4428.9136,4442.6016
7998,4054.255,4354.859,4591.853,4854.831,4329.231,4485.499,4572.9004,4573.21,4268.359,4770.4263,4169.271,4336.926,4147.927,4735.9736,4342.622,4327.7793,4153.8247,4560.8535,4340.101,4347.081,4539.3037,4334.1064,4389.62,4495.676,4542.6147,4550.8994,4476.9424,4275.2,4775.5767,4423.6694,4437.38
7999,4031.274,4324.903,4555.141,4811.3315,4298.1187,4450.0264,4535.06,4536.3726,4240.3223,4727.267,4144.037,4306.502,4125.4233,4693.9907,4313.635,4297.272,4126.954,4526.7314,4309.6167,4316.8853,4503.699,4304.1323,4358.6094,4461.181,4505.451,4515.554,4443.6606,4248.406,4733.567,4390.8726,4404.533
8000,3972.297,4241.161,4452.821,4688.7876,4216.5693,4355.502,4432.9194,4435.0376,4165.8115,4611.5146,4077.442,4223.794,4063.7632,4580.2173,4233.5137,4214.673,4060.4631,4425.952,4229.682,4237.2905,4403.585,4224.128,4273.161,4367.345,4407.5806,4415.696,4349.9907,4174.925,4615.7246,4301.2285,4315.0854
8001,3963.8672,4229.453,4438.517,4671.731,4205.0005,4342.156,4418.55,4420.832,4155.2563,4595.2065,4067.99,4212.1562,4055.0774,4564.234,4222.2725,4203.0386,4050.8748,4412.0396,4218.328,4226.0015,4389.6235,4212.8174,4261.179,4354.149,4393.7114,4401.788,4336.929,4164.591,4599.3047,4288.638,4302.5107
8002,3955.452,4217.769,4424.246,4654.7188,4193.4585,4328.841,4404.217,4406.6606,4144.7207,4578.9385,4058.5564,4200.5425,4046.4053,4548.2925,4211.0527,4191.4287,4041.304,4398.157,4206.997,4214.736,4375.6953,4201.5303,4249.2236,4340.9795,4379.8726,4387.913,4323.8975,4154.2744,4582.927,4276.077,4289.9634
8003,3953.0156,4213.9556,4419.5977,4649.0913,4190.005,4324.758,4399.7397,4402.12,4141.509,4573.9004,4055.7092,4196.888,4043.6519,4543.283,4207.445,4187.793,4038.6855,4393.3057,4203.6094,4211.3384,4371.1094,4198.0664,4245.39,4336.8296,4375.703,4383.3164,4319.6045,4150.997,4577.5405,4272.0913,4286.001
8004,3955.9797,4218.6035,4425.2627,4655.9517,4194.208,4329.73,4405.1924,4407.652,4145.4194,4580.036,4059.1753,4201.3403,4047.0063,4549.3857,4211.841,4192.2217,4041.868,4399.225,4207.7334,4215.474,4376.7,4202.2847,4250.061,4341.8857,4380.779,4388.9204,4324.838,4154.9907,4584.1064,4276.947,4290.827
8005,3945.0667,4203.319,4406.6,4633.685,4179.211,4312.401,4386.5146,4389.144,4131.705,4558.8506,4046.9048,4186.191,4035.6797,4528.6025,4197.1787,4177.083,4029.5063,4380.9624,4193.007,4200.8247,4358.4707,4187.589,4234.444,4324.707,4362.789,4370.753,4307.78,4141.5205,4562.6787,4260.553,4274.458
8006,3943.6655,4200.9844,4403.758,4630.2188,4177.189,4309.98,4383.834,4386.391,4129.806,4555.847,4045.2297,4183.9946,4034.0154,4525.5947,4194.9863,4174.9023,4028.052,4377.8975,4191.0244,4198.8276,4355.6523,4185.533,4232.1177,4322.2104,4360.3384,4367.9194,4305.1406,4139.539,4559.371,4258.148,4272.0728
8007,3950.8816,4211.213,4416.244,4645.1387,4187.1357,4321.5,4396.2744,4398.751,4138.919,4569.9453,4053.3757,4194.093,4041.5752,4539.4443,4204.7837,4184.9897,4036.1814,4390.211,4200.7905,4208.552,4367.8613,4195.305,4242.549,4333.6636,4372.2783,4380.095,4316.566,4148.5293,4573.719,4269.0854,4282.9883
8008,3951.7107,4212.364,4417.6494,4646.814,4188.273,4322.8115,4397.686,4400.147,4139.9575,4571.548,4054.3057,4195.2373,4042.43,4541.0146,4205.8887,4186.1333,4037.1245,4391.578,4201.9077,4209.662,4369.2334,4196.4175,4243.727,4334.961,4373.6416,4381.462,4317.8496,4149.5454,4575.332,4270.3228,4284.224
