,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
7996,2560.795,2537.9124,2554.47,2564.7917,2565.5217,2520.7893,2567.5762,2543.4841,2565.5713,2553.4648,2549.317,2535.5278,2595.5483,2518.0288,2577.6882,2512.4048,2542.5623,2564.8604,2547.8225,2497.6528,2556.6821,2537.8687,2542.3489,2547.9702,2522.2686,2556.1995,2540.8215,2573.8442,2544.0947,2540.125,2547.9336
7997,2560.795,2537.9124,2554.47,2564.7917,2565.5217,2520.7893,2567.5762,2543.4841,2565.5713,2553.4648,2549.317,2535.5278,2595.5483,2518.0288,2577.6882,2512.4048,2542.5623,2564.8604,2547.8225,2497.6528,2556.6821,2537.8687,2542.3489,2547.9702,2522.2686,2556.1995,2540.8215,2573.8442,2544.0947,2540.125,2547.9336
7998,2561.2944,2538.0593,2555.1152,2564.5747,2565.608,2521.21,2567.422,2544.1216,2565.7627,2553.779,2549.4656,2536.0735,2595.8877,2518.4438,2577.6594,2512.793,2543.1216,2565.28,2548.1199,2497.887,2556.7742,2538.164,2542.4736,2547.817,2522.4526,2556.085,2541.1726,2574.1165,2543.9744,2539.8984,2548.1536
7999,2550.6875,2525.4783,2543.329,2551.618,2552.5508,2510.3105,2554.2634,2532.6055,2552.5994,2543.3508,2536.6172,2524.971,2584.1504,2508.4062,2564.3796,2502.1685,2532.2725,2554.5366,2535.2717,2486.4111,2543.5586,2527.5894,2530.3618,2535.8918,2512.1287,2544.4827,2530.8196,2562.0012,2531.724,2527.7805,2536.4106
8000,2536.7234,2510.1335,2527.4783,2536.5994,2536.8054,2496.2166,2539.0579,2517.2378,2536.439,2530.1082,2520.958,2510.294,2569.472,2495.3494,2548.2537,2488.491,2517.8555,2540.6255,2519.2007,2472.1406,2527.6118,2514.219,2515.4055,2522.1514,2499.3635,2531.0142,2517.5603,2546.868,2517.4744,2514.012,2521.8374
8001,2536.2957,2509.643,2526.984,2536.0916,2536.2988,2495.781,2538.556,2516.7693,2535.9243,2529.6948,2520.4575,2509.846,2569.0095,2494.9473,2547.726,2488.0674,2517.4163,2540.1956,2518.6943,2471.6895,2527.0989,2513.8005,2514.9297,2521.6975,2498.9587,2530.5706,2517.1482,2546.3906,2516.9995,2513.553,2521.3745
8002,2535.8687,2509.1528,2526.4893,2535.5828,2535.7922,2495.3457,2538.0542,2516.301,2535.4097,2529.281,2519.957,2509.3982,2568.547,2494.5452,2547.199,2487.6436,2516.9775,2539.7659,2518.1885,2471.2383,2526.586,2513.3813,2514.4536,2521.243,2498.554,2530.1272,2516.7358,2545.9138,2516.5247,2513.094,2520.9116
8003,2535.8274,2509.163,2526.4646,2535.627,2535.8115,2495.3154,2538.1062,2516.249,2535.4158,2529.2642,2519.9678,2509.3518,2568.5393,2494.514,2547.2185,2487.6174,2516.9292,2539.7358,2518.1794,2471.2344,2526.6052,2513.3674,2514.458,2521.292,2498.554,2530.1704,2516.714,2545.9065,2516.5627,2513.1533,2520.9106
8004,2539.6855,2514.0051,2530.9055,2540.8801,2540.8772,2499.3333,2543.3547,2520.4253,2540.4604,2533.1616,2524.911,2513.3745,2572.9766,2498.198,2552.481,2491.5466,2520.8452,2543.6953,2523.0361,2475.5916,2531.7288,2517.3357,2519.1199,2526.0557,2502.4893,2534.7866,2520.5615,2550.4907,2521.4531,2518.037,2525.3936
8005,2547.938,2522.9182,2540.2227,2549.564,2549.9983,2507.6301,2552.071,2529.5386,2549.8616,2540.9258,2534.0059,2522.0566,2581.553,2505.894,2561.968,2499.5908,2529.3826,2551.8862,2532.4263,2483.9185,2540.968,2525.1667,2527.822,2533.9265,2509.9277,2542.5156,2528.35,2559.33,2529.6462,2525.896,2533.897
