,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,13443.844,12662.636,13768.534,13524.266,13287.114,12891.34,12896.654,13594.702,13250.77,13188.332,13923.95,13680.98,12963.211,13169.651,13264.139,13607.59,14250.456,13100.6045,13333.781,14186.03,13358.361,12669.671,13371.03,13556.028,13977.049,13177.462,12798.13,13727.5205,13307.908,13908.457,13394.676
2021-11-25,13443.844,12662.636,13768.534,13524.266,13287.114,12891.34,12896.654,13594.702,13250.77,13188.332,13923.95,13680.98,12963.211,13169.651,13264.139,13607.59,14250.456,13100.6045,13333.781,14186.03,13358.361,12669.671,13371.03,13556.028,13977.049,13177.462,12798.13,13727.5205,13307.908,13908.457,13394.676
2021-11-26,13414.388,12640.358,13735.712,13494.487,13258.612,12867.028,12871.56,13563.245,13222.178,13158.532,13887.725,13647.031,12937.847,13142.247,13236.723,13577.539,14211.49,13074.093,13303.835,14147.4,13327.54,12647.555,13341.403,13525.287,13941.186,13149.886,12773.101,13695.795,13280.648,13874.367,13364.96
2021-11-27,13245.001,12510.034,13554.966,13330.934,13101.002,12728.137,12728.442,13390.2705,13073.485,13007.953,13705.157,13458.056,12790.973,12985.419,13083.441,13393.875,13996.39,12925.305,13137.945,13938.965,13171.36,12514.15,13183.569,13346.116,13729.418,13000.465,12637.424,13514.976,13118.51,13676.258,13199.268
2021-11-28,12786.835,12161.99,13054.0,12857.136,12664.33,12347.614,12342.006,12909.241,12642.3,12561.58,13158.832,12939.427,12397.722,12560.487,12652.039,12921.005,13404.591,12501.951,12680.563,13354.297,12708.865,12164.073,12734.136,12869.258,13174.744,12580.186,12255.669,13026.447,12689.822,13138.853,12741.332
2021-11-29,12794.634,12167.938,13062.445,12865.161,12671.717,12354.075,12348.565,12917.3545,12649.501,12568.987,13167.864,12948.181,12404.43,12567.703,12659.407,12929.173,13414.549,12509.076,12688.28,13364.103,12716.553,12170.113,12741.676,12877.398,13184.205,12587.261,12262.096,13034.816,12697.147,13148.04,12749.083
2021-11-30,12802.432,12173.89,13070.895,12873.189,12679.107,12360.54,12355.128,12925.471,12656.701,12576.397,13176.9,12956.938,12411.139,12574.923,12666.778,12937.344,13424.512,12516.204,12696.002,13373.912,12724.242,12176.155,12749.218,12885.542,13193.669,12594.338,12268.526,13043.135,12704.476,13157.23,12756.831
2021-12-01,12755.312,12137.61,13020.67,12828.15,12635.292,12321.837,12315.376,12877.302,12615.184,12534.369,13126.155,12904.559,12370.198,12531.359,12624.356,12886.63,13365.1455,12474.993,12649.956,13316.198,12680.587,12139.029,12705.168,12835.842,13135.277,12552.633,12230.6455,12992.956,12659.458,13102.688,12710.833
2021-12-02,12739.076,12126.203,13000.736,12801.3955,12617.544,12307.385,12302.106,12856.492,12591.982,12511.052,13096.138,12884.897,12357.442,12516.252,12602.892,12873.673,13342.102,12454.756,12630.857,13291.307,12656.382,12128.302,12684.873,12820.387,13119.264,12534.8125,12214.472,12974.283,12646.469,13080.785,12692.144
2021-12-03,12935.724,12275.167,13216.288,13014.396,12806.399,12471.343,12467.196,13065.181,12782.108,12706.208,13335.846,13107.314,12525.312,12698.357,12794.254,13075.51,13595.925,12640.167,12828.695,13543.489,12858.879,12278.617,12879.863,13024.146,13354.165,12716.511,12379.505,13184.86,12828.845,13315.529,12890.194
2021-12-04,12763.377,12143.914,13029.024,12834.84,12642.545,12328.359,12322.207,12885.295,12621.707,12540.757,13133.714,12913.367,12377.321,12538.8,12630.995,12895.704,13375.068,12481.504,12657.661,13325.625,12687.237,12145.563,12712.263,12844.495,13145.626,12559.46,12236.844,13001.522,12667.38,13111.735,12718.464
2021-12-05,12719.616,12110.811,12980.942,12786.83,12600.384,12291.794,12285.505,12838.96,12578.557,12496.847,13079.733,12863.827,12340.025,12498.279,12587.826,12851.071,13318.554,12439.916,12613.618,13269.314,12641.666,12112.199,12668.6455,12799.259,13093.656,12518.835,12199.937,12954.155,12626.934,13059.383,12674.237
2021-12-06,12788.507,12163.375,13055.544,12857.719,12665.644,12348.888,12343.452,12910.695,12643.184,12562.273,13159.501,12941.138,12399.295,12562.024,12652.924,12923.209,13406.46,12502.865,12682.028,13355.892,12709.587,12165.577,12735.252,12871.172,13177.185,12581.353,12256.73,13028.086,12691.6455,13140.507,12742.723
2021-12-07,12857.616,12216.098,13130.419,12928.869,12731.13,12406.145,12401.609,12982.603,12706.998,12627.926,13239.569,13018.754,12458.744,12625.988,12718.241,12995.632,13494.769,12566.0205,12750.445,13442.83,12777.719,12219.101,12802.074,12943.336,13261.08,12644.065,12313.699,13101.863,12756.578,13221.96,12811.3955
