,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
7996,6274.858,5892.0728,5958.9688,6089.578,6261.3047,5884.9062,6132.938,5921.907,5939.352,5998.638,6028.0293,5983.555,6021.0063,6094.7427,6197.3535,6059.0317,6222.344,5872.8315,6184.3047,6021.4243,6087.2534,6151.7583,5945.306,5967.098,5958.8037,5955.415,6039.5933,5982.1094,5915.868,6231.3887,6042.458
7997,6274.858,5892.0728,5958.9688,6089.578,6261.3047,5884.9062,6132.938,5921.907,5939.352,5998.638,6028.0293,5983.555,6021.0063,6094.7427,6197.3535,6059.0317,6222.344,5872.8315,6184.3047,6021.4243,6087.2534,6151.7583,5945.306,5967.098,5958.8037,5955.415,6039.5933,5982.1094,5915.868,6231.3887,6042.458
7998,6285.7407,5897.9434,5966.205,6098.447,6271.0303,5890.9746,6142.077,5929.0645,5946.247,6005.756,6034.7617,5990.5347,6027.89,6102.995,6206.841,6066.278,6232.1167,5878.8364,6193.653,6029.373,6095.5986,6160.4287,5951.73,5974.561,5965.6577,5962.8745,6047.4243,5989.2266,5922.1943,6241.1,6050.252
7999,6246.799,5875.4136,5939.7295,6066.681,6237.0605,5867.899,6108.5728,5902.591,5920.8984,5979.4033,6010.507,5964.9683,6003.541,6074.6333,6173.323,6040.933,6197.4067,5857.053,6160.2964,6000.4785,6065.7207,6128.9795,5927.5645,5947.9365,5940.6377,5936.343,6019.644,5963.8735,5899.383,6207.0864,6022.178
8000,6134.0693,5817.841,5865.856,5974.7876,6134.2256,5807.9014,6015.572,5830.1577,5850.743,5907.435,5940.8906,5893.762,5931.3403,5986.2505,6073.8057,5964.1846,6095.451,5795.2476,6063.0454,5918.872,5979.098,6039.8496,5863.476,5870.2124,5870.5396,5858.526,5937.729,5889.6113,5833.9883,6104.6055,5941.637
8001,6153.3096,5828.0283,5878.6113,5990.485,6151.6,5818.464,6031.6357,5842.732,5862.8867,5919.934,5952.8257,5906.0645,5943.6157,6001.085,6090.706,5977.1714,6112.799,5805.881,6079.633,5932.9194,5993.8955,6055.174,5874.6963,5883.474,5882.633,5871.7827,5951.669,5902.277,5845.2036,6121.942,5955.4375
8002,6172.5933,5838.231,5891.388,6006.215,6169.009,5829.042,6047.731,5855.326,5875.0493,5932.453,5964.78,5918.388,5955.9106,6015.9453,6107.637,5990.1772,6130.182,5816.5303,6096.2515,5946.9893,6008.722,6070.525,5885.9355,5896.759,5894.745,5885.0625,5965.634,5914.962,5856.437,6139.312,5969.2656
8003,6157.7466,5829.207,5881.11,5994.0747,6156.253,5819.8647,6034.724,5844.977,5865.1777,5922.1416,5955.4595,5908.455,5946.6704,6005.417,6094.9463,5980.6343,6117.005,5808.111,6083.534,5935.824,5997.3145,6058.3955,5876.3804,5886.6016,5885.0415,5874.9614,5955.0796,5905.296,5847.6665,6126.5156,5958.486
8004,6084.319,5790.92,5832.63,5934.16,6089.566,5780.08,5973.72,5797.303,5819.068,5874.762,5909.936,5861.7026,5899.6636,5948.2793,6030.228,5930.771,6050.67,5767.603,6020.1606,5882.352,5940.8105,6000.0366,5834.0063,5835.914,5839.056,5824.274,5901.736,5856.8677,5804.894,6060.0103,5905.8506
8005,6090.646,5795.6006,5837.328,5939.3633,6094.5493,5784.7295,5979.7017,5802.179,5823.6353,5879.6406,5913.996,5866.255,5903.4507,5952.122,6035.3955,5934.5103,6056.1367,5771.3574,6025.53,5887.347,5945.673,6005.4243,5838.7227,5840.1978,5843.468,5828.5,5906.099,5860.921,5808.7217,6065.056,5910.542
8006,6138.5063,5819.4014,5868.5005,5978.3867,6138.671,5809.6406,6018.861,5832.6177,5853.203,5909.8633,5943.5654,5896.3,5934.3247,5990.291,6077.938,5967.5005,6099.5933,5797.552,6066.924,5921.889,5982.5156,6043.1763,5865.455,5873.3203,5873.0737,5861.6665,5941.078,5892.602,5836.4937,6108.9956,5944.7314
8007,6100.896,5800.0913,5843.781,5947.706,6104.342,5789.5293,5987.772,5808.3657,5829.7134,5885.7676,5920.2754,5872.465,5910.1865,5960.783,6044.6963,5941.834,6065.5596,5776.8574,6034.4424,5894.583,5953.5713,6013.36,5843.982,5847.336,5849.6157,5835.672,5913.7007,5867.7676,5814.614,6074.777,5917.802
8008,6104.4233,5801.963,5846.1226,5950.585,6107.5303,5791.4683,5990.7188,5810.6743,5831.943,5888.063,5922.4673,5874.724,5912.4404,5963.5063,6047.798,5944.2188,6068.741,5778.8115,6037.485,5897.1616,5956.286,6016.173,5846.0425,5849.771,5851.8364,5838.1055,5916.2607,5870.093,5816.6743,6077.9585,5920.3354
8009,6107.9517,5803.8335,5848.465,5953.466,6110.72,5793.4077,5993.668,5812.9834,5834.1733,5890.3584,5924.659,5876.984,5914.695,5966.23,6050.901,5946.6055,6071.925,5780.765,6040.5303,5899.741,5959.0024,6018.9883,5848.1035,5852.206,5854.0566,5840.538,5918.8203,5872.4194,5818.7334,6081.1406,5922.869
8010,6131.35,5816.9185,5864.2466,5972.5825,6131.4824,5806.867,6013.572,5828.668,5849.2476,5905.965,5939.2534,5892.2183,5929.505,5983.747,6071.2607,5962.1367,6092.905,5793.841,6060.665,5917.0293,5977.004,6037.816,5862.288,5868.3037,5868.9976,5856.5967,5935.669,5887.775,5832.4546,6101.898,5939.7417
8011,6179.3594,5841.621,5895.798,6011.7285,6175.218,5832.5854,6053.278,5859.6377,5879.2334,5936.736,5968.9526,5922.638,5960.2573,6021.3037,6113.6313,5994.8125,6136.3145,5820.2285,6102.0938,5951.87,6013.9233,6075.8594,5889.732,5901.429,5898.931,5889.74,5970.5625,5919.426,5860.3564,6145.4966,5974.0913
8012,6195.698,5850.765,5906.806,6025.0645,6189.679,5841.99,6067.1772,5870.5835,5889.7476,5947.6265,5979.1226,5933.263,5970.569,6033.4893,6127.817,6005.6147,6150.9473,5829.337,6116.132,5963.925,6026.477,6088.9897,5899.637,5912.645,5909.3496,5900.931,5982.3,5930.1216,5869.9165,6159.9556,5985.8564
8013,6233.774,5870.463,5931.8433,6056.1006,6224.2495,5862.482,6098.721,5895.183,5913.545,5972.0728,6002.647,5957.401,5994.884,6063.1167,6161.338,6031.408,6185.333,5850.243,6148.9507,5991.55,6055.732,6119.153,5921.476,5938.8667,5933.095,5927.172,6009.9077,5955.1626,5892.0176,6194.424,6013.076
8014,6242.8257,5875.1636,5937.7993,6063.4766,6232.452,5867.3687,6106.229,5901.0386,5919.2075,5977.8926,6008.236,5963.143,6000.656,6070.138,6169.2954,6037.5244,6193.5005,5855.211,6156.7466,5998.117,6062.6816,6126.323,5926.68,5945.0938,5938.741,5933.4053,6016.4624,5961.109,5897.2695,6202.6025,6019.547
8015,6246.9697,5877.3486,5940.537,6066.854,6236.188,5869.6353,6109.6836,5903.738,5921.813,5980.5757,6010.798,5965.7837,6003.29,6073.324,6172.9272,6040.31,6197.2334,5857.491,6160.314,6001.133,6065.8613,6129.6147,5929.0884,5947.9424,5941.337,5936.254,6019.456,5963.827,5899.6763,6206.3296,6022.5107
8016,6251.116,5879.535,5943.277,6070.233,6239.925,5871.9023,6113.1387,5906.4375,5924.4194,5983.26,6013.36,5968.425,6005.9253,6076.513,6176.5615,6043.096,6200.968,5859.7725,6163.8813,6004.1494,6069.042,6132.9062,5931.497,5950.791,5943.9336,5939.103,6022.4526,5966.5474,5902.0845,6210.0576,6025.4775
8017,6235.8945,5870.8457,5932.969,6057.814,6226.572,5862.991,6100.105,5896.1543,5914.5615,5973.025,6003.8857,5958.4727,5996.3755,6065.324,6163.4185,6033.132,6187.377,5851.2734,6150.829,5992.8853,6057.359,6120.6416,5922.1416,5940.3706,5934.1865,5928.715,6011.567,5956.619,5893.1753,6196.6953,6014.5127
8018,6199.1606,5852.208,5908.9526,6027.878,6193.017,5843.5454,6069.8633,5872.626,5891.7627,5949.6504,5981.228,5935.327,5972.8477,6036.4575,6130.9707,6008.103,6154.1377,5831.174,6119.142,5966.341,6029.1396,6091.6426,5901.355,5915.0527,5911.397,5903.3564,5984.8706,5932.429,5871.8926,6163.262,5988.2925
8019,6196.321,5850.1606,5906.868,6025.5513,6190.7607,5841.5054,6067.2075,5870.4697,5889.7383,5947.495,5979.4175,5933.3066,5971.1465,6034.7017,6128.646,6006.415,6151.679,5829.5063,6116.7363,5964.1177,6026.963,6089.241,5899.281,5913.134,5909.439,5901.4644,5982.911,5930.613,5870.1855,6160.98,5986.1987
8020,6171.9707,5837.791,5890.934,6005.7036,6168.5063,5828.6025,6047.153,5854.8574,5874.6084,5931.986,5964.3823,5917.9478,5955.5347,6015.5513,6107.1235,5989.802,6129.6406,5816.1655,6095.722,5946.504,6008.243,6070.0005,5885.487,5896.336,5894.3174,5884.6455,5965.201,5914.5615,5856.0625,6138.8047,5968.805
8021,6171.1567,5837.0293,5890.27,6005.0317,6167.9546,5827.864,6046.3003,5854.141,5873.952,5931.267,5963.845,5917.3022,5955.0796,6015.1836,6106.5073,5989.387,6128.9663,5815.654,6095.0435,5945.8164,6007.6196,6069.2656,5884.758,5895.7964,5893.699,5884.12,5964.668,5914.054,5855.554,6138.236,5968.1846
8022,6148.5454,5825.067,5875.288,5986.587,6147.5415,5815.4604,6027.4263,5839.373,5859.691,5916.5864,5949.8276,5902.8525,5940.6616,5997.7573,6086.6533,5974.135,6108.5825,5803.1655,6075.555,5929.3174,5990.2344,6051.264,5871.5796,5880.2183,5879.4966,5868.5474,5948.293,5899.1797,5842.3823,6117.868,5951.9717
8023,6125.994,5813.124,5860.334,5968.185,6127.1743,5803.08,6008.596,5824.634,5845.4546,5901.9336,5935.8354,5888.4287,5926.2705,5980.366,6066.841,5958.9087,6088.248,5790.698,6056.112,5912.85,5972.888,6033.3,5858.426,5864.671,5865.32,5853.0063,5931.95,5884.3315,5829.234,6097.5444,5935.791
8024,6113.1094,5806.625,5851.909,5957.6777,6115.3506,5796.2925,5998.007,5816.389,5837.457,5893.7456,5927.868,5880.307,5917.979,5970.1665,6055.418,5950.0684,6076.5674,5783.631,6044.976,5903.528,5962.9717,6023.1143,5851.1587,5855.7617,5857.321,5844.089,5922.5513,5875.8135,5821.75,6085.764,5926.5796
8025,6109.925,5804.524,5849.6396,5955.067,6112.701,5794.1777,5995.129,5814.076,5835.267,5891.4365,5925.849,5878.1113,5916.024,5968.0327,6052.7407,5948.083,6073.7686,5781.79,6042.256,5901.0835,5960.5225,6020.468,5848.981,5853.589,5855.1836,5841.9365,5920.3115,5873.7505,5819.8486,6083.097,5924.2456
8026,6098.646,5799.197,5842.3994,5945.8765,6102.1426,5788.5557,5986.0483,5807.059,5828.419,5884.4756,5918.9062,5871.1367,5908.6904,5958.8115,6042.628,5940.1904,6063.475,5775.6685,6032.48,5893.0205,5951.8364,6011.6436,5842.898,5845.7637,5848.2964,5834.088,5912.018,5866.2563,5813.3306,6072.5986,5916.218
