,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
7996,6257.2266,6199.517,6261.114,6240.5337,6258.143,6185.6074,6204.329,6191.8047,6161.3706,6199.9365,6193.2183,6250.146,6159.672,6223.602,6170.235,6205.4497,6231.7305,6196.5117,6190.651,6213.33,6199.991,6212.89,6190.473,6138.7656,6220.347,6148.4224,6233.843,6204.277,6166.509,6149.1836,6201.9614
7997,6257.2266,6199.517,6261.114,6240.5337,6258.143,6185.6074,6204.329,6191.8047,6161.3706,6199.9365,6193.2183,6250.146,6159.672,6223.602,6170.235,6205.4497,6231.7305,6196.5117,6190.651,6213.33,6199.991,6212.89,6190.473,6138.7656,6220.347,6148.4224,6233.843,6204.277,6166.509,6149.1836,6201.9614
7998,6225.694,6167.507,6229.0156,6207.5317,6224.4893,6155.416,6173.915,6160.8364,6129.163,6169.0913,6161.499,6216.0317,6128.476,6192.6304,6140.3936,6174.2397,6199.32,6166.5713,6160.4346,6180.5356,6168.9424,6180.2866,6159.2837,6106.996,6188.092,6116.1123,6200.1836,6170.445,6133.8716,6117.682,6170.1567
7999,6126.6406,6081.419,6141.332,6118.1416,6137.3457,6057.0474,6084.4736,6070.266,6032.8125,6079.088,6066.802,6130.1396,6030.9277,6105.276,6047.6807,6079.991,6114.1855,6075.581,6068.8936,6089.602,6075.2964,6093.916,6065.17,6008.158,6098.536,6019.426,6111.2266,6082.907,6045.219,6019.571,6078.5693
8000,5894.3267,5827.673,5891.945,5877.632,5891.902,5835.195,5834.3765,5842.966,5796.654,5845.395,5831.234,5881.386,5800.273,5863.225,5805.198,5848.587,5868.894,5828.2656,5846.5938,5843.977,5841.668,5847.6523,5835.913,5774.6504,5862.3076,5782.049,5862.4326,5836.468,5807.697,5787.4478,5839.8
8001,5911.0796,5845.1597,5910.3257,5894.2915,5908.9443,5851.574,5852.017,5859.0474,5813.4453,5862.3784,5848.5757,5898.5737,5816.91,5880.038,5822.2734,5865.5757,5886.648,5845.5435,5862.474,5861.4585,5858.9517,5866.059,5852.265,5791.5303,5878.8735,5799.096,5880.4233,5853.517,5824.151,5804.2246,5856.847
8002,5927.868,5862.682,5928.7466,5910.988,5925.834,5867.989,5869.696,5875.161,5830.274,5879.4,5865.9536,5915.7935,5833.5776,5896.8867,5839.3857,5882.6,5904.4375,5862.857,5878.3853,5878.9746,5876.2695,5884.38,5868.651,5808.378,5895.4717,5816.01,5898.4507,5870.604,5840.642,5820.982,5873.911
8003,5927.673,5865.3145,5931.816,5912.2217,5927.5195,5867.0063,5871.584,5875.6562,5830.5513,5880.921,5867.0474,5917.236,5833.444,5898.6753,5840.62,5883.415,5907.3345,5864.5,5878.539,5880.7505,5877.4556,5886.0737,5868.8525,5808.266,5896.3154,5816.292,5900.9355,5871.917,5841.85,5820.875,5875.022
8004,5930.906,5861.715,5927.2915,5911.9326,5926.0273,5872.1123,5869.845,5877.081,5832.632,5879.974,5867.2104,5915.838,5836.506,5897.045,5840.395,5884.1973,5903.127,5863.3022,5880.77,5879.257,5877.3745,5883.578,5871.045,5811.2217,5896.9565,5818.333,5897.672,5871.495,5841.5864,5823.826,5875.009
8005,5840.877,5786.5645,5904.88,5832.7886,5934.3506,5804.747,5842.1475,5845.1274,5771.9526,5830.475,5860.596,5911.1357,5837.389,5945.3047,5814.1963,5897.3057,5889.4404,5870.9844,5800.534,5939.782,5805.0493,5658.9595,5906.9614,5823.6147,5762.048,5796.6157,5751.7964,5835.8315,5763.4297,5822.059,5836.2314
