,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,14351.426,14627.599,14545.553,14376.634,14657.064,14666.997,14601.055,14623.988,14798.408,14381.446,14335.536,14720.042,14589.131,14403.171,14765.168,14454.463,14586.283,14689.176,14558.782,14655.052,14402.146,14385.506,14450.16,14425.688,14842.579,14637.522,14681.816,14745.53,14492.799,14553.38,14566.806
2021-11-25,14351.426,14627.599,14545.553,14376.634,14657.064,14666.997,14601.055,14623.988,14798.408,14381.446,14335.536,14720.042,14589.131,14403.171,14765.168,14454.463,14586.283,14689.176,14558.782,14655.052,14402.146,14385.506,14450.16,14425.688,14842.579,14637.522,14681.816,14745.53,14492.799,14553.38,14566.806
2021-11-26,14500.082,14782.261,14683.391,14505.901,14808.884,14780.872,14722.51,14759.902,14931.061,14547.317,14494.558,14855.55,14738.275,14571.406,14884.305,14581.459,14723.95,14827.118,14711.863,14802.719,14534.184,14524.973,14595.014,14580.914,14971.796,14769.591,14798.1,14880.993,14641.161,14696.587,14706.89
2021-11-27,14280.609,14507.781,14441.4375,14268.765,14677.126,14573.215,14454.493,14531.007,14699.69,14360.973,14350.558,14638.657,14416.365,14349.87,14739.0205,14320.455,14511.67,14595.234,14500.458,14520.987,14276.683,14249.85,14327.899,14194.089,14817.133,14549.505,14555.316,14563.975,14377.839,14462.044,14470.423
2021-11-28,13205.009,13422.384,13516.206,13342.362,13564.966,13647.155,13585.998,13342.528,13631.267,13189.003,13218.2295,13589.566,13396.03,13210.535,13697.813,13392.53,13414.288,13521.92,13454.55,13504.093,13244.867,13249.838,13226.277,13297.048,13811.475,13558.935,13521.492,13463.262,13362.445,13377.458,13431.985
2021-11-29,13267.368,13488.267,13571.597,13399.583,13631.44,13714.088,13646.316,13422.75,13697.532,13251.99,13280.683,13657.925,13465.522,13270.41,13767.39,13457.67,13478.689,13589.626,13512.455,13574.801,13310.318,13314.167,13294.927,13353.922,13872.06,13626.288,13599.29,13539.444,13428.0205,13447.477,13497.733
2021-11-30,13329.281,13553.41,13627.048,13457.792,13700.818,13781.333,13707.809,13498.979,13763.013,13315.014,13343.181,13726.356,13534.845,13333.517,13836.84,13522.865,13543.145,13657.392,13570.449,13641.202,13376.194,13377.383,13364.078,13409.679,13931.784,13693.693,13674.943,13615.806,13493.4375,13515.043,13563.21
2021-12-01,13335.947,13560.425,13626.043,13469.79,13737.267,13778.061,13696.937,13521.977,13783.606,13336.408,13367.082,13744.661,13528.509,13356.835,13875.345,13522.8545,13565.41,13663.189,13593.117,13651.912,13384.386,13374.717,13385.432,13412.294,13976.692,13715.213,13679.143,13638.583,13508.289,13532.111,13577.408
2021-12-02,13270.21,13482.018,13576.967,13385.8545,13566.356,13723.573,13666.639,13381.534,13673.963,13220.768,13245.195,13632.516,13479.712,13235.914,13702.166,13463.02,13446.139,13579.403,13478.726,13556.66,13301.858,13323.88,13264.334,13353.205,13799.482,13597.803,13596.124,13501.569,13411.427,13422.731,13477.991
2021-12-03,13653.945,13874.866,13894.964,13746.085,14063.775,14091.905,13972.388,13877.285,14122.0,13668.104,13682.864,14080.249,13853.814,13687.36,14190.85,13797.273,13885.11,13990.56,13884.835,13952.989,13703.263,13672.3125,13730.191,13687.112,14271.991,14032.503,14025.126,13976.581,13808.908,13862.222,13891.381
