,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
7996,1329.1661,1322.6759,1327.003,1312.2886,1319.7147,1319.5712,1330.9043,1318.7098,1313.5792,1325.5579,1313.386,1323.3575,1331.5,1346.3098,1300.3269,1327.5754,1329.4214,1340.7433,1311.3868,1305.3761,1328.3909,1322.2249,1321.5157,1332.1619,1329.2137,1312.9653,1338.5786,1305.0654,1327.6903,1344.4543,1323.6938
7997,1329.1661,1322.6759,1327.003,1312.2886,1319.7147,1319.5712,1330.9043,1318.7098,1313.5792,1325.5579,1313.386,1323.3575,1331.5,1346.3098,1300.3269,1327.5754,1329.4214,1340.7433,1311.3868,1305.3761,1328.3909,1322.2249,1321.5157,1332.1619,1329.2137,1312.9653,1338.5786,1305.0654,1327.6903,1344.4543,1323.6938
7998,1330.5463,1324.2245,1328.7327,1314.1426,1321.0144,1321.3003,1332.4156,1320.026,1314.8989,1327.0762,1314.9503,1324.7583,1332.8097,1348.304,1301.8938,1329.3315,1331.084,1342.4625,1312.6122,1306.6294,1330.1208,1323.6604,1323.0149,1333.8511,1331.0273,1314.703,1340.5148,1306.6296,1329.3442,1346.4563,1325.2847
7999,1321.9132,1314.2238,1317.6224,1302.0088,1312.9252,1310.3597,1322.3466,1311.8384,1306.2675,1317.0061,1305.0995,1315.512,1324.6534,1336.1343,1291.5526,1318.4001,1320.1654,1331.4077,1303.7054,1297.9019,1319.1335,1315.017,1312.7084,1323.641,1319.626,1303.1001,1328.8734,1297.158,1319.4944,1333.7651,1315.1189
8000,1301.9026,1291.8129,1292.413,1275.1814,1293.2448,1285.5052,1300.36,1292.876,1286.7998,1294.8844,1282.596,1294.1832,1305.115,1307.719,1268.7812,1293.2686,1296.0139,1306.556,1285.7148,1279.3994,1293.8984,1293.4023,1290.4664,1299.5958,1293.5896,1277.7767,1301.3643,1274.367,1295.668,1304.9689,1291.9808
8001,1296.8231,1286.3492,1286.2101,1268.6399,1288.4751,1279.4796,1294.6143,1288.0287,1281.8551,1289.4622,1277.1124,1288.5571,1299.7734,1300.8789,1263.2104,1287.196,1290.1082,1300.5035,1281.1287,1274.7751,1287.7184,1288.0192,1284.519,1293.8138,1287.283,1271.5677,1294.757,1268.8114,1289.918,1297.9818,1286.2524
8002,1291.7567,1280.9025,1280.0277,1262.1255,1283.6576,1273.4757,1288.8857,1283.1956,1276.9198,1284.0568,1271.6191,1282.9473,1294.4238,1294.0632,1257.6588,1281.1459,1284.2214,1294.47,1276.2959,1269.9121,1281.5581,1282.6494,1278.5914,1288.0502,1280.9982,1265.3809,1288.1711,1263.2758,1284.1844,1291.0192,1280.5215
8003,1283.8118,1272.121,1270.1611,1251.6124,1275.8511,1263.8312,1279.6649,1275.2494,1268.7579,1275.2997,1262.8549,1274.2598,1286.1088,1283.2366,1248.6753,1271.4897,1274.5973,1284.6953,1268.1729,1262.1344,1271.6718,1274.384,1269.1687,1278.9127,1270.946,1255.3442,1277.7418,1254.2473,1275.189,1279.8589,1271.3348
8004,1277.1047,1265.4037,1263.0691,1244.5492,1270.0701,1256.3827,1273.3165,1267.2036,1261.6711,1269.1705,1256.529,1266.3322,1278.7319,1275.2808,1242.6973,1264.5719,1267.8531,1277.1506,1263.5636,1256.1637,1264.1283,1267.2432,1262.2574,1272.1102,1263.8142,1248.7622,1269.9353,1247.0924,1267.3271,1272.0331,1264.3842
8005,1289.1671,1278.2552,1276.9735,1258.9819,1281.2257,1270.5334,1286.0974,1280.425,1274.3795,1281.4595,1268.901,1280.0211,1291.5022,1290.6697,1254.9885,1278.1603,1281.2903,1291.5063,1274.0693,1267.5182,1278.4362,1279.8151,1275.6426,1285.1672,1277.9077,1262.4198,1284.8704,1260.3306,1281.259,1287.6089,1277.6528
