,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,3845.4084,3866.9417,3919.1304,3821.1543,3855.7488,3866.8376,3862.761,3888.7798,3862.958,3880.354,3852.0332,3855.9714,3898.1719,3855.9324,3877.948,3856.1611,3901.387,3865.8752,3859.0034,3894.4148,3899.9443,3874.6802,3907.63,3869.2178,3845.8562,3901.8015,3874.9307,3871.8235,3878.2725,3904.0747,3873.8406
2021-11-25,3845.4084,3866.9417,3919.1304,3821.1543,3855.7488,3866.8376,3862.761,3888.7798,3862.958,3880.354,3852.0332,3855.9714,3898.1719,3855.9324,3877.948,3856.1611,3901.387,3865.8752,3859.0034,3894.4148,3899.9443,3874.6802,3907.63,3869.2178,3845.8562,3901.8015,3874.9307,3871.8235,3878.2725,3904.0747,3873.8406
2021-11-26,3862.4553,3885.111,3941.2266,3838.1428,3873.2034,3884.7317,3878.7483,3907.7014,3881.2427,3901.199,3870.1138,3875.2664,3918.6697,3870.867,3895.3442,3871.5977,3923.221,3884.042,3878.705,3914.0488,3920.9927,3893.651,3927.316,3885.9143,3862.396,3921.7473,3891.0,3890.225,3895.879,3925.2295,3892.3325
2021-11-27,3808.7651,3826.3826,3872.831,3781.4453,3817.7522,3824.6802,3827.6565,3849.098,3825.1702,3835.2876,3812.3586,3813.1924,3852.9634,3819.7795,3841.4307,3823.8933,3857.4688,3823.489,3816.988,3852.5044,3854.4922,3836.6296,3865.0476,3831.76,3813.328,3858.7937,3842.349,3829.6353,3840.405,3857.9094,3833.783
2021-11-28,3668.6934,3678.0527,3691.2483,3645.6614,3663.9287,3681.6306,3680.7617,3681.9602,3670.821,3664.9583,3664.967,3656.6807,3686.1868,3688.5117,3696.6106,3694.6833,3675.5757,3675.6958,3655.596,3682.2766,3682.8533,3677.4814,3704.045,3671.4917,3673.8098,3695.5117,3691.7295,3666.7607,3690.2344,3685.7207,3678.1375
2021-11-29,3685.9333,3696.8447,3713.3677,3662.782,3683.9194,3699.7515,3699.0154,3702.52,3690.0479,3685.92,3683.1987,3676.0852,3706.9255,3706.141,3714.934,3710.9622,3697.5151,3694.3616,3675.3699,3704.103,3703.9475,3696.7212,3723.871,3691.3184,3690.596,3715.6008,3711.065,3686.9775,3709.4534,3706.958,3697.54
2021-11-30,3703.2334,3715.7085,3735.588,3679.9624,3703.9902,3717.9412,3717.3342,3723.1572,3709.3455,3706.9658,3701.498,3695.566,3727.7488,3723.828,3732.6287,3726.7617,3719.5508,3713.095,3695.2268,3726.0232,3725.134,3716.0273,3743.7744,3711.226,3707.44,3735.768,3730.4712,3707.2766,3728.0022,3728.2834,3716.9514
2021-12-01,3702.7493,3714.9614,3735.2354,3678.6643,3705.8018,3716.375,3718.5347,3724.3386,3709.9617,3706.2983,3700.7825,3694.6743,3726.9468,3724.252,3732.3591,3726.3992,3719.6892,3711.5825,3694.7395,3727.6477,3724.4583,3716.196,3743.1387,3713.4373,3707.7446,3735.1553,3732.5625,3707.8474,3728.1812,3727.4973,3716.9404
2021-12-02,3702.2317,3714.4705,3733.983,3679.9492,3699.976,3717.8843,3714.2092,3719.8435,3706.8333,3705.8372,3700.677,3694.8557,3726.7307,3721.611,3731.3345,3725.3967,3717.3594,3713.2046,3694.002,3722.0605,3724.0154,3714.051,3742.7188,3706.7483,3705.5374,3734.6619,3726.1404,3704.736,3726.0925,3727.2776,3715.1482
2021-12-03,3751.929,3767.2288,3798.4995,3727.625,3759.6147,3768.2644,3770.3713,3782.783,3762.91,3766.2021,3752.8545,3750.1492,3785.8252,3773.115,3782.6128,3771.4795,3782.3303,3764.9998,3751.261,3786.9634,3784.798,3770.9717,3799.771,3769.583,3755.5088,3792.5356,3784.9932,3765.4504,3780.8083,3788.2234,3771.6553
