,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,3757.1008,3698.586,3810.478,4032.2954,3701.5444,3882.949,3719.6724,3641.4512,3244.531,4038.2534,4176.6553,4483.354,4213.0625,4176.7847,4034.9607,3823.9163,3664.7603,4111.815,4090.2908,4064.4038,3976.2004,3623.4612,3480.4016,3772.6545,4085.3733,3969.4316,4413.039,3885.3289,3770.8782,3501.5935,3894.841
2021-11-25,3757.1008,3698.586,3810.478,4032.2954,3701.5444,3882.949,3719.6724,3641.4512,3244.531,4038.2534,4176.6553,4483.354,4213.0625,4176.7847,4034.9607,3823.9163,3664.7603,4111.815,4090.2908,4064.4038,3976.2004,3623.4612,3480.4016,3772.6545,4085.3733,3969.4316,4413.039,3885.3289,3770.8782,3501.5935,3894.841
2021-11-26,3747.4353,3688.5356,3800.152,4021.7515,3691.8672,3872.4915,3710.6272,3632.965,3237.6394,4027.2886,4165.5312,4469.819,4200.594,4164.779,4023.7593,3814.0144,3654.7634,4100.1616,4079.111,4052.006,3964.338,3613.6968,3471.5002,3763.1821,4073.8044,3957.9363,4398.8228,3874.8027,3761.1282,3493.553,3884.2683
2021-11-27,3690.0251,3633.5168,3739.4253,3955.9814,3635.9639,3811.3699,3654.5977,3580.9648,3199.3472,3961.5198,4090.3254,4385.7056,4125.138,4090.794,3956.159,3754.3625,3600.2312,4030.479,4008.8213,3983.1458,3898.3062,3560.802,3425.2202,3705.3262,4002.7717,3892.7463,4314.606,3812.4573,3705.0881,3447.231,3821.7483
2021-11-28,3657.2046,3602.925,3704.8467,3917.7732,3604.3022,3776.5999,3622.125,3550.8574,3177.9194,3923.7673,4045.6865,4336.977,4081.7014,4048.047,3917.3179,3720.0884,3569.9697,3990.5576,3967.943,3944.7036,3861.4094,3531.5068,3399.9678,3671.9243,3961.7793,3856.0688,4266.6094,3776.8538,3673.3606,3420.9692,3786.0583
2021-11-29,3678.7078,3623.5562,3727.5715,3942.4153,3625.2415,3799.5044,3643.1123,3570.3904,3192.3025,3948.4316,4073.7834,4368.4233,4109.95,4075.7078,3942.629,3742.443,3590.4023,4016.6494,3994.2327,3970.479,3886.1345,3551.3342,3417.344,3693.6172,3988.3406,3880.4822,4298.0635,3800.197,3694.3875,3438.3643,3809.4736
2021-11-30,3700.3054,3644.2695,3750.4058,3967.1614,3646.2737,3822.5051,3664.1907,3589.9863,3206.7317,3973.191,4102.029,4400.0317,4138.342,4103.5107,3968.0544,3764.8906,3610.923,4042.8594,4020.6519,3996.3762,3910.9722,3571.246,3434.7817,3715.3887,4015.0361,3905.006,4329.692,3823.6467,3715.4922,3455.8176,3832.9922
2021-12-01,3686.3323,3629.5586,3735.4712,3952.0352,3632.2295,3807.35,3651.2046,3577.7551,3196.6182,3957.3384,4086.3237,4380.646,4120.425,4086.2832,3951.912,3750.5945,3596.289,4026.0427,4004.6572,3978.2942,3893.661,3556.9421,3421.6453,3701.7424,3998.4197,3888.2778,4309.1875,3808.4365,3701.309,3444.1143,3817.7039
2021-12-02,3604.02,3550.9844,3648.5671,3857.4053,3552.2227,3719.7563,3570.6514,3502.8137,3141.7202,3862.8213,3978.0127,4260.0103,4012.2153,3980.225,3854.9407,3664.9287,3518.515,3926.1436,3903.7117,3880.103,3799.4404,3481.5032,3355.6824,3618.5503,3896.5847,3795.1187,4188.9326,3719.1147,3620.9465,3377.5955,3728.1074
2021-12-03,3585.4514,3534.5483,3629.1462,3835.1682,3534.6104,3700.2495,3551.8306,3485.39,3130.108,3841.3013,3951.1191,4231.7993,3987.401,3955.5906,3832.7686,3645.3591,3502.321,3903.4631,3879.8894,3859.29,3779.4321,3465.8716,3342.6106,3599.2866,3873.0188,3774.9653,4161.9507,3699.005,3603.2957,3362.919,3707.9722
