,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,45651.375,45500.207,45535.87,45617.152,45510.64,45745.977,45144.637,45545.055,45642.695,45800.08,45573.55,45747.797,45375.953,45582.83,45363.15,45905.67,45644.316,45490.426,45876.48,45185.395,45465.65,46036.38,45638.41,45683.61,45662.113,45844.688,45524.98,45809.23,45211.85,45676.56,45599.76
2021-11-25,45583.406,45434.05,45475.02,45555.484,45453.203,45686.44,45091.81,45482.164,45582.445,45738.79,45513.7,45685.918,45319.164,45526.324,45309.523,45845.277,45585.348,45433.91,45813.883,45131.105,45399.715,45972.605,45577.465,45622.02,45593.637,45784.16,45465.47,45751.9,45158.652,45615.668,45539.605
2021-11-26,45567.617,45417.984,45459.496,45540.793,45439.344,45671.97,45078.89,45466.562,45567.297,45723.81,45498.246,45670.375,45305.39,45511.55,45295.766,45829.816,45570.47,45419.75,45798.305,45117.08,45384.09,45956.824,45562.535,45606.73,45577.625,45769.59,45451.0,45737.508,45144.918,45600.465,45524.73
2021-11-27,45564.43,45415.66,45458.17,45538.305,45437.203,45669.88,45077.117,45464.715,45565.73,45721.754,45497.145,45668.754,45303.367,45510.71,45294.68,45828.555,45568.996,45418.227,45796.52,45116.082,45381.348,45954.9,45560.523,45604.914,45574.543,45767.305,45448.914,45735.992,45143.93,45598.773,45522.9
2021-11-28,45546.504,45394.766,45435.277,45520.227,45419.55,45651.016,45060.02,45443.227,45544.176,45701.926,45473.742,45646.688,45285.54,45487.684,45274.137,45805.58,45547.645,45398.26,45774.88,45094.797,45362.414,45933.297,45540.664,45583.875,45555.938,45748.85,45430.05,45715.59,45123.152,45577.508,45502.562
2021-11-29,45483.46,45329.03,45370.113,45460.67,45362.996,45591.695,45006.93,45378.67,45481.008,45640.375,45408.516,45581.953,45229.2,45424.88,45216.16,45740.52,45485.492,45339.324,45710.277,45035.52,45299.316,45868.027,45479.25,45520.598,45491.758,45689.473,45370.754,45655.6,45065.164,45514.363,45441.04
2021-11-30,45294.812,45125.414,45161.14,45278.6,45188.203,45407.37,44841.223,45175.62,45280.2,45448.492,45197.855,45376.426,45054.59,45220.19,45029.152,45531.1,45287.305,45152.277,45506.55,44843.684,45107.33,45662.855,45287.45,45321.26,45298.61,45506.293,45186.56,45464.914,44877.68,45314.633,45247.586
2021-12-01,44980.82,44804.793,44848.8,44984.48,44908.766,45115.816,44580.668,44863.543,44974.707,45147.57,44886.9,45064.035,44778.297,44921.16,44749.9,45218.23,44986.453,44866.17,45194.16,44560.082,44795.824,45345.91,44986.836,45013.867,44980.168,45213.03,44895.465,45173.863,44600.04,45008.656,44948.297
2021-12-02,44691.336,44509.44,44560.453,44712.652,44649.43,44845.617,44339.016,44575.996,44692.01,44869.312,44599.97,44775.523,44522.84,44644.47,44490.723,44928.445,44707.645,44600.973,44905.953,44297.664,44508.594,45053.133,44708.453,44729.664,44686.79,44941.176,44625.918,44904.02,44343.035,44725.707,44671.523
2021-12-03,44575.82,44405.977,44473.605,44611.688,44556.12,44750.727,44255.594,44481.65,44602.668,44773.55,44516.883,44684.254,44432.797,44567.65,44413.96,44842.062,44620.363,44516.06,44812.098,44222.004,44400.496,44956.05,44612.94,44636.074,44572.16,44842.848,44531.4,44818.277,44268.438,44634.145,44579.605
2021-12-04,44690.168,44525.434,44593.277,44720.758,44661.09,44860.453,44354.06,44599.254,44719.324,44886.734,44636.59,44803.133,44536.28,44683.945,44522.13,44962.73,44735.695,44625.402,44930.26,44331.72,44515.254,45075.82,44726.37,44752.54,44688.453,44952.695,44640.81,44929.67,44375.85,44750.445,44692.883
2021-12-05,44846.273,44685.605,44750.69,44867.89,44801.77,45007.145,44485.355,44755.625,44873.402,45037.832,44793.44,44960.316,44674.86,44835.45,44663.734,45121.008,44887.74,44769.906,45087.105,44475.176,44670.54,45235.062,44877.625,44907.168,44846.76,45100.1,44787.125,45076.734,44516.355,44904.535,44843.414
2021-12-06,45016.773,44860.773,44922.773,45028.45,44954.973,45167.055,44628.418,44926.668,45041.582,45202.742,44964.992,45132.066,44826.098,45000.945,44818.113,45293.75,45053.574,44927.48,45258.566,44631.836,44840.2,45408.996,45042.59,45076.008,45019.76,45260.727,44946.68,45237.082,44669.754,45072.785,45007.742
2021-12-07,45228.895,45081.08,45141.152,45229.086,45146.414,45367.395,44807.797,45142.766,45254.035,45409.93,45183.297,45349.273,45015.785,45211.684,45013.566,45512.65,45263.01,45126.168,45475.15,44830.86,45052.258,45628.266,45249.715,45288.816,45235.434,45461.484,45146.715,45439.34,44864.54,45285.113,45214.723
2021-12-08,45451.85,45307.18,45359.426,45436.65,45342.617,45572.066,44990.426,45362.082,45467.55,45621.273,45400.297,45567.98,45210.117,45419.48,45207.645,45730.523,45472.92,45326.008,45694.39,45028.207,45272.625,45850.664,45460.58,45504.26,45461.332,45667.633,45351.168,45642.492,45057.77,45499.395,45424.555
2021-12-09,45523.71,45370.656,45411.043,45498.516,45398.87,45629.266,45040.523,45419.4,45520.78,45679.312,45449.406,45622.72,45264.887,45464.18,45252.55,45781.367,45524.61,45376.46,45751.01,45072.676,45339.453,45909.227,45518.098,45560.527,45532.68,45727.15,45408.31,45693.387,45101.527,45554.168,45479.875
2021-12-10,45509.938,45361.496,45407.117,45488.24,45390.26,45621.05,45033.67,45412.688,45515.52,45671.383,45446.64,45617.24,45256.88,45462.69,45249.523,45777.76,45519.754,45371.2,45744.64,45070.234,45327.98,45902.17,45510.363,45553.926,45519.477,45717.9,45400.11,45688.234,45099.023,45548.203,45473.18
2021-12-11,45582.195,45437.285,45482.7,45556.703,45455.35,45689.41,45094.89,45487.324,45588.62,45742.375,45522.383,45692.17,45321.8,45535.703,45316.74,45853.203,45591.695,45439.363,45819.336,45139.043,45400.508,45977.586,45581.195,45627.043,45593.113,45786.24,45468.445,45757.625,45166.316,45621.23,45544.254
2021-12-12,45690.51,45549.875,45593.855,45658.703,45551.965,45790.746,45185.543,45597.73,45696.34,45847.574,45633.574,45802.688,45418.164,45642.547,45415.344,45963.97,45697.598,45539.84,45929.742,45239.953,45508.74,46089.11,45686.082,45735.1,45703.35,45887.746,45569.777,45859.85,45265.035,45729.02,45649.332
2021-12-13,45820.547,45683.938,45724.99,45780.44,45666.83,45911.113,45293.086,45728.7,45823.6,45972.516,45764.496,45933.383,45532.79,45767.97,45531.316,46094.363,45822.56,45658.547,46060.56,45358.65,45638.17,46221.32,45810.516,45863.086,45835.547,46008.53,45690.176,45980.57,45381.15,45856.56,45773.863
2021-12-14,45905.508,45766.836,45801.28,45857.453,45738.348,45985.34,45358.953,45807.598,45898.945,46049.11,45839.6,46010.902,45603.754,45838.758,45598.273,46169.85,45896.195,45729.11,46138.996,45426.637,45720.652,46301.13,45886.566,45940.105,45921.207,46083.957,45764.438,46052.15,45447.754,45932.707,45849.08
2021-12-15,45891.195,45748.723,45780.203,45842.32,45723.36,45969.09,45344.117,45788.41,45879.473,46031.85,45817.785,45990.95,45588.41,45817.105,45579.387,46148.734,45876.887,45711.203,46119.605,45406.86,45704.93,46281.95,45869.266,45921.4,45906.137,46068.32,45748.176,46033.805,45428.465,45913.645,45831.06
