,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,2413.3184,3504.7476,2696.6853,3612.5383,2187.2488,2676.6987,3046.3433,2704.4785,3558.313,2820.1233,2228.6335,2536.229,2259.34,2282.5298,2227.8584,1892.5101,3751.3152,3158.3599,3642.4937,2156.6702,2359.7036,4431.7856,2046.0281,2869.2327,3414.674,2837.457,3087.2659,3179.1226,3029.542,1575.9945,2806.2412
2000-01-10,1152.9573,3223.5144,737.8922,2779.2964,1387.5616,4127.0767,2670.0588,2235.8484,2408.0264,3144.7456,677.93054,1155.5529,2612.3767,2925.3457,2702.1084,2377.3647,3092.9944,2539.985,2108.881,3193.8677,1805.8536,2736.654,1750.4551,2107.056,4038.5852,1270.7389,2671.3923,1687.9984,2858.4648,2275.6523,2348.5413
2000-01-11,1895.6124,3595.2625,2738.9458,3023.0815,2386.8794,2966.3276,2740.858,2942.6377,2650.4321,2383.1265,2184.3352,2361.8691,2688.6763,2639.228,2340.3467,2373.8005,2804.0557,2517.5632,2832.3088,2814.6875,2458.0771,2934.098,2892.0227,2775.6572,3554.9436,2205.61,2990.545,2771.66,2947.5085,2313.313,2690.7822
2000-01-12,1979.5677,3664.8843,2816.7046,3104.2,2475.246,3044.072,2808.8677,3021.3123,2737.5217,2468.4277,2263.5212,2442.0032,2764.2021,2719.6465,2421.4233,2446.4304,2885.134,2601.2742,2909.772,2895.523,2536.5278,3013.1848,2973.309,2853.4128,3628.2737,2291.4753,3073.607,2855.8958,3021.0444,2390.7266,2770.24
2000-01-13,2091.6914,3758.3237,2920.5413,3212.8137,2593.349,3147.9214,2900.194,3128.5356,2854.5347,2583.187,2370.294,2549.8801,2865.236,2827.1958,2529.7505,2544.0415,2993.799,2713.012,3013.9426,3005.8904,2641.0022,3118.4407,3082.1611,2957.9,3727.5854,2409.1245,3184.826,2968.478,3119.4924,2493.954,2876.903
2000-01-14,2187.6404,3837.1487,3009.667,3304.289,2693.5127,3237.1592,2976.281,3211.7126,2950.9695,2677.6543,2457.938,2638.683,2950.9824,2918.7576,2622.077,2625.6538,3085.273,2807.9236,3100.388,3090.186,2731.6528,3210.1511,3174.1191,3044.852,3807.3691,2497.0947,3278.4702,3063.6328,3202.599,2583.35,2965.9062
2000-01-15,2231.0886,3873.0208,3050.0098,3345.8513,2738.9236,3277.5513,3010.9592,3250.3547,2994.99,2720.8228,2498.0745,2679.2861,2989.885,2960.278,2663.905,2662.8687,3126.8655,2850.9026,3139.8533,3129.4753,2772.5613,3251.504,3215.892,3084.5122,3844.1108,2538.3196,3321.0168,3106.786,3240.3413,2623.739,3006.4585
2000-01-16,2248.1423,3886.886,3065.8872,3361.9175,2756.6023,3293.459,3024.2126,3264.0168,3011.6426,2737.1206,2513.169,2694.6108,3005.0312,2976.488,2680.2563,2677.1238,3142.9236,2867.6694,3154.8677,3143.1328,2788.8352,3268.0173,3232.0781,3099.6465,3857.61,2552.2966,3337.4553,3123.5344,3254.9592,2639.7668,3021.9783
2000-01-17,2234.2341,3874.9724,3053.0432,3348.1465,2741.7988,3280.6152,3012.4253,3248.7852,2996.3804,2722.0886,2499.0527,2680.4497,2992.3416,2963.024,2666.75,2664.534,3129.1013,2853.7349,3141.3235,3127.2153,2776.1526,3255.3125,3218.3088,3086.12,3844.0916,2534.9297,3323.3503,3109.3848,3242.5103,2627.1626,3008.2446
2000-01-18,2245.3708,3885.1519,3063.2163,3359.8748,2754.0562,3290.7612,3022.892,3265.281,3010.3718,2735.9587,2512.2546,2693.5398,3002.8584,2974.0618,2677.7456,2675.6294,3140.9304,2865.169,3153.5361,3144.99,2785.6914,3264.6865,3229.933,3098.195,3857.5525,2555.1145,3335.3792,3121.2346,3253.036,2636.7668,3020.375
2000-01-19,2306.2422,3935.9475,3119.67,3418.612,2817.9434,3347.285,3072.2568,3322.684,3073.324,2797.7983,2569.9563,2751.7498,3057.6287,3032.4397,2736.467,2728.5776,3199.7812,2925.5247,3209.8777,3203.8203,2842.5396,3322.0303,3288.9119,3154.7158,3911.0554,2617.5776,3395.5168,3182.0251,3306.3223,2693.0107,3078.0427
2000-01-20,2361.5576,3981.7593,3171.0488,3471.5413,2875.717,3398.7517,3116.4873,3372.2502,3129.4067,2852.8613,2621.2617,2803.5825,3107.1807,3085.3384,2789.7031,2776.1047,3252.7952,2980.1504,3260.2642,3254.2097,2894.5784,3374.6301,3342.1448,3205.329,3958.0918,2670.5051,3449.6958,3236.897,3354.3926,2744.441,3129.756
2000-01-21,2383.0354,3999.192,3191.0625,3491.683,2897.9077,3418.8152,3133.0684,3389.0388,3150.159,2873.1853,2640.1008,2822.7046,3126.2117,3105.7263,2810.2588,2793.9832,3272.9385,3001.1826,3279.052,3270.896,2915.1375,3395.5137,3362.4656,3224.2705,3974.8484,2687.4631,3470.3042,3257.8906,3372.7346,2764.6929,3149.184
2000-01-22,2369.5554,3987.6746,3178.596,3478.4077,2883.6143,3406.3372,3121.7366,3374.6445,3135.5505,2858.7878,2626.5713,2809.1304,3113.943,3092.6938,2797.1863,2781.8474,3259.6055,2987.733,3266.0354,3255.9136,2902.7874,3383.122,3349.171,3211.2651,3961.9597,2671.2004,3456.7092,3244.245,3360.7188,2752.4194,3135.9722
2000-01-23,2323.6428,3948.9976,3136.0588,3433.772,2835.256,3363.7473,3083.9888,3329.1794,3087.2292,2811.2466,2582.0698,2764.3477,3072.4546,3048.528,2752.8176,2741.3706,3214.8372,2942.1255,3222.8384,3209.037,2860.215,3340.2637,3304.3835,3168.0024,3920.26,2620.9692,3411.0042,3198.1853,3320.256,2710.218,3091.9102
2000-01-24,2234.6367,3874.4194,3053.574,3347.5503,2741.6582,3281.181,3011.3176,3243.1687,2994.3281,2719.9421,2496.7847,2678.391,2992.208,2963.0544,2666.89,2663.468,3128.427,2853.755,3139.7876,3120.584,2777.3914,3256.8086,3217.8613,3084.7566,3840.7656,2526.5833,3322.7256,3109.0667,3242.085,2628.2158,3007.0464
2000-01-25,2128.3723,3786.275,2954.9973,3245.3855,2630.2793,3182.518,2925.765,3145.6118,2885.3547,2613.0383,2397.294,2577.836,2896.8137,2861.3372,2564.4734,2571.7751,3026.168,2748.3894,3042.2947,3020.8806,2677.776,3156.2468,3115.273,2986.877,3749.065,2421.23,3218.1265,3003.1116,3149.3813,2529.804,2907.058
