,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,45780.14,45488.477,45752.434,45803.625,46083.74,45981.215,46059.832,46210.465,45280.496,45222.336,45561.15,45816.414,45532.94,45952.117,46086.09,46246.562,46174.13,46135.215,45316.496,45321.152,46140.41,46008.85,46457.176,46239.71,45758.688,46408.598,45789.3,46104.52,45333.777,45265.664,45843.727
2021-11-25,45717.633,45425.004,45684.27,45736.242,46015.355,45913.97,45986.52,46138.082,45217.273,45158.64,45496.156,45745.855,45468.11,45884.99,46014.535,46173.99,46104.215,46062.195,45257.01,45251.78,46070.395,45942.906,46383.336,46169.98,45693.844,46333.473,45719.973,46035.773,45267.145,45200.59,45775.64
2021-11-26,45702.094,45409.258,45667.51,45719.695,45998.348,45897.38,45968.848,46120.48,45202.04,45142.734,45480.21,45728.45,45451.93,45868.39,45996.984,46156.355,46086.926,46044.324,45241.87,45234.94,46053.24,45926.49,46365.395,46152.59,45677.734,46314.96,45702.586,46018.574,45250.723,45184.273,45758.85
2021-11-27,45700.29,45407.387,45665.34,45717.53,45996.395,45895.31,45966.133,46117.98,45199.69,45140.98,45478.105,45726.27,45450.13,45866.367,45994.67,46153.824,46084.812,46041.918,45240.55,45232.508,46050.957,45924.62,46362.82,46150.65,45675.855,46312.625,45700.766,46016.72,45248.656,45182.555,45756.746
2021-11-28,45678.777,45385.723,45642.816,45695.33,45972.79,45872.77,45943.613,46094.94,45180.28,45118.69,45456.76,45702.637,45427.508,45843.684,45971.195,46130.824,46061.207,46018.145,45218.312,45210.598,46028.062,45901.773,46339.418,46126.36,45653.574,46287.543,45676.117,45992.484,45226.387,45159.453,45733.93
2021-11-29,45614.434,45320.613,45573.88,45627.266,45902.367,45804.36,45871.652,46022.875,45118.207,45052.684,45391.18,45630.87,45360.39,45775.152,45899.055,46058.7,45989.863,45944.758,45154.848,45141.73,45957.562,45833.734,46266.016,46054.246,45586.887,46211.266,45603.81,45921.02,45158.684,45091.605,45664.652
2021-11-30,45411.85,45115.99,45358.676,45414.996,45680.8,45590.207,45650.3,45799.637,44927.15,44844.316,45186.605,45406.324,45148.594,45560.332,45674.227,45835.523,45766.293,45716.426,44951.85,44928.617,45737.957,45619.39,46038.766,45826.77,45377.09,45972.887,45375.047,45695.137,44946.918,44876.844,45447.85
2021-12-01,45101.527,44801.766,45025.297,45086.113,45342.656,45259.914,45300.062,45450.26,44624.367,44527.19,44868.83,45060.215,44825.707,45229.918,45325.34,45485.805,45422.508,45361.426,44648.78,44593.89,45396.793,45292.14,45682.332,45479.926,45055.766,45605.53,45029.164,45352.098,44620.133,44551.457,45113.562
2021-12-02,44815.918,44512.625,44718.94,44784.12,45032.38,44956.4,44978.703,45129.68,44346.08,44235.742,44576.54,44742.42,44528.74,44926.37,45004.94,45164.953,45106.84,45035.547,44369.855,44286.348,45083.414,44991.383,45354.977,45161.047,44760.266,45268.684,44711.86,45036.805,44319.996,44252.438,44806.465
2021-12-03,44722.9,44417.71,44615.66,44682.125,44931.777,44855.35,44864.043,45018.547,44246.676,44142.35,44477.508,44636.664,44433.133,44825.977,44896.33,45053.094,45002.453,44924.41,44285.61,44178.844,44976.957,44894.03,45240.883,45058.37,44663.84,45156.37,44611.688,44936.336,44219.85,44157.824,44704.246
