,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,45566.13,45425.637,45545.535,45554.75,45487.38,45275.21,45408.9,45459.125,45578.04,45640.92,45453.055,45604.617,45489.312,45630.137,45530.68,45165.26,45300.832,45388.902,45577.516,45477.91,45531.598,45717.652,45563.344,45678.25,45330.047,45567.816,45521.113,45244.15,45378.117,45518.195,45487.008
2021-11-25,45529.766,45374.66,45530.96,45508.152,45459.17,45248.91,45369.87,45410.2,45545.723,45620.77,45418.633,45563.047,45447.5,45595.254,45501.703,45134.19,45290.42,45364.75,45534.2,45455.793,45497.23,45680.96,45527.062,45642.31,45310.203,45520.11,45490.797,45216.254,45342.87,45472.254,45453.457
2021-11-26,45515.59,45360.12,45517.676,45493.863,45445.527,45235.586,45355.977,45395.59,45531.45,45607.703,45405.06,45548.695,45433.46,45581.35,45487.66,45120.664,45277.562,45351.504,45519.504,45442.01,45483.227,45666.418,45513.07,45628.492,45297.094,45505.637,45477.035,45202.684,45329.332,45457.78,45439.574
2021-11-27,45520.176,45360.7,45527.86,45495.49,45451.996,45242.277,45359.453,45396.863,45537.36,45615.965,45409.57,45551.906,45436.258,45586.09,45494.332,45126.145,45288.53,45358.746,45522.566,45450.46,45488.234,45671.316,45517.484,45632.816,45305.492,45507.133,45482.992,45209.164,45333.562,45459.81,45444.684
2021-11-28,45482.363,45333.965,45475.23,45466.117,45409.6,45199.77,45325.36,45367.992,45495.508,45569.332,45373.027,45517.797,45403.883,45548.297,45450.668,45086.85,45234.344,45314.773,45488.31,45402.047,45449.492,45631.965,45480.496,45596.363,45258.395,45477.82,45441.895,45166.855,45297.883,45428.95,45405.848
2021-11-29,45412.652,45269.76,45399.44,45401.137,45338.836,45129.99,45258.816,45302.26,45423.01,45497.9,45306.066,45449.727,45337.887,45479.477,45377.824,45018.37,45159.016,45244.38,45419.027,45327.188,45379.754,45560.086,45411.875,45528.63,45186.56,45412.258,45371.54,45096.39,45231.543,45362.457,45336.453
2021-11-30,45146.723,45050.785,45073.36,45172.094,45057.324,44848.844,45011.395,45073.266,45138.31,45200.074,45049.91,45199.08,45097.13,45215.438,45086.633,44750.28,44828.87,44957.242,45165.363,45016.54,45110.77,45284.7,45150.832,45271.164,44886.453,45182.2,45093.72,44814.438,44979.46,45125.484,45067.934
2021-12-01,44850.9,44755.92,44783.72,44880.07,44770.09,44565.67,44723.508,44775.56,44837.664,44918.836,44766.39,44902.453,44807.668,44924.65,44789.125,44465.695,44546.234,44674.594,44862.09,44720.547,44817.402,44980.652,44858.96,44982.965,44604.254,44886.66,44803.32,44526.73,44697.152,44828.83,44776.94
2021-12-02,44576.92,44483.93,44513.85,44610.42,44503.53,44302.758,44457.168,44500.734,44558.832,44657.254,44503.758,44628.1,44540.062,44655.234,44513.03,44201.855,44281.938,44412.0,44581.613,44445.32,44545.56,44698.957,44588.637,44716.08,44341.79,44613.797,44533.934,44259.67,44435.742,44554.754,44507.234
2021-12-03,44583.652,44430.21,44606.656,44573.176,44539.63,44344.074,44448.805,44456.883,44584.645,44722.777,44511.938,44613.875,44521.125,44665.34,44550.95,44224.39,44386.695,44461.824,44563.695,44510.54,44559.164,44708.637,44593.57,44720.508,44409.09,44573.84,44562.566,44296.836,44439.938,44522.582,44522.93
