,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,1879.2202,1322.2489,-626.9049,3690.7847,4658.4536,-1316.057,1897.7781,936.4599,2553.4043,726.91034,1606.9424,899.23395,1911.9446,3583.5117,-75.083206,1549.7065,2265.4744,951.1802,3667.0435,2375.477,-408.79965,-4221.475,-1371.1119,2422.2832,2224.1328,822.3287,3480.9504,1338.3965,2050.855,2031.0377,1427.5442
2000-01-10,2430.3723,98.91541,748.30835,265.4276,3795.8076,1455.614,2835.5325,2964.5295,2956.1929,3095.601,1482.8585,1585.3654,902.6927,3629.568,-791.3537,1624.6403,1588.9104,1462.4419,2106.3254,2376.7446,1074.6998,-600.26447,2440.36,1296.6185,1597.0553,649.11804,1780.8755,1873.5367,1616.1533,888.54456,1641.0394
2000-01-11,2045.6301,754.6744,1547.305,1343.4231,1678.2983,2050.7688,2989.5222,1328.0219,1664.8423,876.97125,1099.1969,613.3833,1254.3229,1553.4265,326.20926,1459.1934,884.6255,2915.5625,1390.1893,1413.8649,1641.2833,319.01852,2911.1384,1769.5579,1523.6248,945.1994,1157.8129,1970.8203,3038.9653,2415.1885,1562.7346
2000-01-12,2129.4993,842.18274,1637.8374,1435.33,1755.6095,2141.1396,3073.9473,1435.1621,1750.4055,965.9389,1194.2268,722.4447,1357.9012,1664.7687,418.4326,1545.372,978.93463,3001.2456,1477.1718,1508.361,1730.3612,393.95627,3010.6675,1836.477,1615.9568,1032.989,1256.5509,2056.9734,3126.0837,2504.7043,1653.3542
2000-01-13,2249.2725,968.39545,1769.2638,1569.0612,1867.7932,2271.9124,3195.032,1589.4346,1871.6891,1095.7733,1331.4103,879.7443,1500.4071,1823.1952,551.6347,1671.3561,1112.4053,3124.177,1603.2231,1639.9967,1859.3439,502.46307,3156.9053,1930.0493,1750.3416,1158.7958,1397.5366,2181.3894,3250.3499,2628.497,1783.3616
2000-01-14,2320.641,1038.866,1839.4323,1639.2175,1927.8069,2343.305,3265.1748,1676.5818,1947.4547,1162.5438,1407.5835,967.5883,1605.997,1919.9081,625.28424,1735.2697,1196.6035,3195.2756,1671.3522,1731.1572,1929.466,561.445,3228.4036,1993.4122,1820.7689,1232.1161,1481.7046,2250.2905,3324.9631,2717.7925,1858.5802
2000-01-15,2356.486,1075.0243,1875.9949,1675.9907,1959.0511,2380.2192,3300.7283,1721.1279,1984.9445,1197.791,1446.745,1012.6635,1655.6936,1968.116,663.2022,1769.1703,1238.1449,3231.3333,1706.6985,1774.893,1965.776,591.9869,3266.8428,2024.0084,1857.6992,1269.2094,1523.9587,2285.7456,3362.3489,2760.1394,1896.7245
2000-01-16,2365.0962,1082.6385,1882.9268,1682.6628,1965.008,2387.605,3308.814,1730.7433,1994.7451,1203.855,1454.8867,1022.1542,1672.3215,1980.2183,671.0115,1774.7843,1249.1812,3239.507,1713.6047,1788.2836,1972.97,598.03485,3272.5278,2033.0835,1864.3817,1277.7458,1534.1431,2293.072,3371.4575,2773.8352,1905.3767
2000-01-17,2343.257,1058.5714,1857.151,1656.165,1943.0378,2362.3057,3286.2922,1701.5471,1973.4062,1177.8251,1428.6315,992.1605,1650.9379,1951.8373,645.45154,1749.3346,1225.8748,3216.6099,1689.0676,1767.1061,1947.9518,576.9869,3242.3823,2017.7144,1837.7333,1254.4412,1508.4648,2269.2224,3348.928,2754.7131,1881.1704
2000-01-18,2376.3306,1096.6252,1898.9576,1699.5302,1978.6295,2402.8352,3321.0784,1747.388,2004.5332,1220.8481,1470.288,1039.582,1676.2885,1994.0323,686.1026,1791.6648,1259.5828,3252.0154,1728.6016,1794.8525,1988.1298,610.79083,3293.352,2038.401,1881.3684,1290.2909,1547.2987,2307.121,3382.8535,2778.3904,1918.5919
