,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,45019.92,45330.402,45011.78,45312.76,45114.32,45093.582,45147.56,45448.934,45134.363,45434.223,45296.707,45012.47,45437.637,45052.56,44787.695,45359.953,45642.2,45029.684,45175.043,45065.93,45414.777,45107.79,45402.188,45440.02,45212.4,45439.035,45038.816,44882.484,45432.375,45228.293,45216.863
2021-11-25,45014.33,45330.87,44985.902,45296.836,45083.92,45058.434,45143.793,45421.92,45122.242,45435.656,45274.543,44994.94,45429.31,45033.41,44769.926,45329.625,45639.844,45012.82,45170.57,45034.445,45405.47,45107.54,45391.66,45424.4,45186.195,45405.574,45040.59,44866.688,45452.043,45199.31,45202.09
2021-11-26,45002.098,45319.15,44973.18,45284.344,45071.11,45045.49,45131.61,45408.895,45109.734,45423.387,45261.785,44982.668,45416.992,45020.844,44757.805,45316.613,45627.598,45000.465,45158.695,45021.434,45392.97,45095.79,45379.355,45412.0,45173.312,45392.137,45028.824,44854.54,45440.746,45185.902,45189.645
2021-11-27,45013.832,45332.145,44979.336,45293.242,45076.0,45049.086,45143.84,45415.043,45119.797,45437.273,45269.094,44990.848,45427.992,45028.86,44765.74,45321.742,45640.32,45008.934,45170.375,45026.21,45403.87,45108.6,45389.676,45420.887,45179.543,45396.793,45042.26,44863.1,45459.066,45191.87,45198.848
2021-11-28,44958.508,45274.01,44939.438,45245.754,45039.65,45016.27,45087.15,45374.656,45068.87,45375.6,45225.812,44945.824,45374.645,44983.816,44721.695,45284.355,45582.094,44962.938,45115.816,44989.848,45350.52,45050.957,45338.348,45373.574,45139.152,45360.04,44982.78,44817.19,45386.133,45151.34,45150.56
2021-11-29,44884.562,45200.047,44873.223,45175.723,44975.3,44953.617,45012.53,45307.152,44996.7,45297.7,45157.47,44877.992,45301.617,44915.02,44654.97,45218.715,45506.35,44894.254,45043.516,44924.84,45276.902,44977.203,45266.594,45303.938,45072.12,45293.37,44907.867,44749.246,45304.613,45082.484,45080.19
2021-11-30,44553.605,44860.008,44607.73,44878.01,44725.11,44718.23,44675.812,45037.47,44683.53,44938.137,44876.74,44592.723,44978.824,44627.742,44375.1,44962.516,45162.336,44604.125,44718.39,44673.223,44952.88,44639.21,44952.99,45007.57,44803.383,45037.113,44561.547,44460.9,44901.438,44809.48,44779.19
2021-12-01,44281.95,44596.027,44337.504,44606.98,44455.83,44448.844,44404.105,44761.31,44409.81,44661.3,44603.734,44327.543,44706.816,44357.043,44113.55,44688.734,44888.41,44336.8,44454.016,44400.234,44677.45,44375.16,44682.76,44738.344,44529.836,44755.805,44295.867,44197.496,44635.14,44525.906,44508.477
2021-12-02,44028.164,44348.94,44086.45,44354.49,44206.05,44199.266,44150.12,44504.887,44154.57,44402.14,44349.855,44080.684,44452.855,44105.133,43870.1,44434.746,44632.27,44087.887,44206.953,44147.09,44420.336,44128.137,44430.64,44487.516,44275.734,44495.105,44047.12,43952.145,44384.508,44262.66,44256.215
2021-12-03,44148.277,44489.832,44122.324,44431.656,44222.953,44196.586,44277.613,44539.37,44248.88,44553.78,44402.523,44148.414,44561.973,44168.93,43935.004,44454.26,44766.85,44159.402,44327.91,44161.53,44527.113,44266.223,44529.61,44565.043,44312.008,44505.977,44194.293,44025.934,44605.523,44292.977,44338.086
