,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,495.13647,1224.5417,2432.522,71.97132,963.7876,2902.6338,1630.0825,1241.69,3309.5076,1464.6859,953.9564,793.8582,216.35829,2521.571,4739.7036,1100.9886,1996.003,1737.1045,4320.2437,2761.6064,1360.1605,1707.0453,1762.5605,4599.5938,807.7842,750.8017,1297.6351,3279.8032,-1131.7079,-65.09544,1708.218
2000-01-10,218.17236,2181.4038,1871.9049,370.3798,2549.7026,1851.6289,-508.78912,18.875889,-327.74362,2393.2583,864.72034,883.46515,846.9904,2067.6035,1104.9971,-410.4603,636.10626,1029.4872,970.03534,1014.1243,-835.0399,2289.3274,1191.5657,-109.067795,564.2692,975.45197,1000.9032,476.12473,-1210.8572,656.49896,820.8346
2000-01-11,288.40634,1384.1525,1293.812,931.68097,1649.7096,1559.9204,341.03345,1030.2112,591.4291,-645.36365,667.695,1518.0371,758.4847,1030.6938,1827.2405,1248.2238,516.82697,1581.9833,1500.2289,1133.3429,-115.9181,1619.163,797.7005,1264.6399,747.26306,744.25024,889.9638,1618.7058,244.73126,-291.07068,924.23926
2000-01-12,362.9589,1458.3342,1362.6426,1003.932,1718.9062,1628.3962,415.63077,1101.3098,664.28107,-567.36035,740.3105,1589.9445,831.82416,1102.1746,1898.5165,1318.365,592.2666,1652.7767,1573.4388,1203.5961,-41.025093,1692.5712,871.72723,1336.9357,818.3521,815.80286,964.5947,1689.758,323.99722,-219.02264,996.8645
2000-01-13,477.70544,1574.1293,1463.4216,1112.4308,1818.942,1725.9803,530.91754,1205.3334,774.8193,-445.35272,847.6745,1697.5306,944.0646,1208.6116,2005.1293,1419.8712,709.4026,1758.918,1686.5232,1304.9808,73.34905,1807.0348,984.2905,1445.5654,922.2958,918.84503,1081.4159,1796.3661,452.55304,-113.98416,1106.2922
2000-01-14,514.44073,1605.4384,1514.0845,1156.7947,1873.9426,1784.9814,566.1584,1257.8567,815.8875,-413.21896,897.674,1742.9111,982.27026,1255.4065,2050.1934,1475.3049,743.26733,1802.9192,1721.2798,1361.3704,113.21059,1838.4045,1025.2021,1489.728,975.0252,976.9591,1111.8698,1840.2601,470.39804,-59.5094,1149.6837
2000-01-15,538.0012,1627.2455,1541.0509,1182.3563,1902.3157,1814.4844,589.2618,1285.7677,840.5157,-390.52792,925.04486,1768.7268,1006.0897,1281.5946,2075.8044,1503.9641,766.07983,1828.1274,1744.0043,1390.3444,137.80199,1860.1062,1049.9757,1515.2336,1003.0002,1006.67786,1133.49,1865.4764,488.84238,-30.834349,1175.0006
2000-01-16,536.48285,1623.9354,1545.3983,1183.8939,1908.0839,1821.7646,587.22394,1290.326,840.8098,-394.28073,928.4492,1770.6815,1005.30493,1284.1151,2077.7703,1509.7019,763.40906,1829.8185,1742.064,1396.3906,137.29053,1856.9656,1049.9949,1516.6945,1007.63043,1013.07104,1129.8011,1867.0812,479.94785,-25.790123,1176.1345
2000-01-17,508.52222,1594.4404,1524.929,1159.5966,1888.8164,1804.1578,558.7615,1269.2526,815.13635,-425.54663,905.7614,1746.9004,978.4567,1261.007,2054.2258,1490.0653,734.0611,1806.1829,1714.1881,1377.008,110.14026,1827.9053,1023.6518,1492.3093,986.624,993.5527,1099.7931,1843.2761,443.44595,-46.75179,1151.329
2000-01-18,561.62085,1651.92,1559.1245,1203.2908,1919.5629,1830.5298,613.23785,1304.3815,862.4459,-364.40857,944.8701,1789.2809,1028.8671,1301.6516,2096.1572,1521.5214,790.72076,1848.5186,1767.4929,1407.729,160.875,1884.4355,1072.4366,1536.2273,1021.56604,1024.2272,1158.5481,1886.0002,518.69855,-12.2445545,1196.3093
2000-01-19,617.8905,1708.1226,1610.4138,1257.4698,1970.9353,1881.1877,669.605,1357.3314,917.22595,-305.27637,999.0955,1843.1323,1084.1458,1355.1306,2149.5308,1573.6115,847.79596,1901.5773,1822.7971,1459.8527,217.2965,1940.029,1128.1245,1590.4447,1074.5048,1077.2794,1215.1342,1939.2618,579.3827,41.370323,1250.8134
2000-01-20,650.4014,1738.6597,1646.2413,1292.0155,2008.3467,1919.7963,701.61566,1394.388,950.78864,-273.44147,1035.679,1877.9257,1116.8485,1390.3092,2184.0442,1611.424,879.5525,1935.6082,1854.2676,1498.0184,250.987,1970.3776,1161.9413,1624.9312,1111.6365,1116.3785,1245.4922,1973.32,606.6049,79.360245,1285.1172
2000-01-21,645.42114,1731.1093,1649.9493,1291.5408,2014.0957,1927.7542,695.88257,1398.3182,948.48706,-281.7734,1037.8815,1878.0615,1112.9727,1391.2777,2184.2185,1617.09,872.8764,1935.4036,1848.7279,1504.1302,247.44997,1963.0989,1159.2002,1624.3398,1115.6705,1122.9396,1237.3793,1972.9812,590.79614,83.960144,1284.0414
2000-01-22,620.9624,1705.4358,1631.6296,1270.0708,1996.7255,1911.7328,671.0227,1379.4567,925.90155,-308.97003,1017.68854,1857.0167,1089.4329,1370.7795,2163.3816,1599.4016,847.2829,1914.5043,1824.3746,1486.6433,223.62735,1937.7915,1136.0504,1602.8011,1096.8586,1105.3088,1211.2822,1951.9396,559.3848,65.15459,1262.1559
2000-01-23,563.1009,1646.0447,1583.9875,1217.0266,1950.2726,1867.3417,612.59534,1330.3395,871.1487,-371.692,966.26495,1804.6741,1033.2208,1319.316,2111.5295,1552.1975,787.5865,1862.7211,1767.1029,1439.6774,166.509,1879.1643,1080.1372,1549.6514,1047.8164,1057.7242,1151.1703,1899.8783,490.5206,15.802364,1208.4276
2000-01-24,466.04907,1547.5673,1500.4302,1126.1442,1867.786,1787.3677,514.9266,1244.1368,778.1789,-475.52698,876.90576,1714.6996,938.4865,1230.4683,2022.3798,1468.4626,688.174,1773.8717,1671.3265,1356.1471,70.06296,1781.8679,985.3854,1458.638,961.6922,972.91547,1051.7211,1810.6101,379.63553,-71.11304,1116.6466
2000-01-25,386.68243,1470.2368,1421.882,1046.4691,1787.5612,1706.5386,435.9787,1162.9562,698.9913,-556.5942,795.14166,1635.0356,859.7624,1150.7372,1943.3918,1387.2404,608.89526,1695.6431,1593.8011,1274.5349,-10.607898,1705.2264,905.1844,1378.9916,880.45557,889.585,974.2468,1732.1865,301.90555,-153.77696,1036.9427
