,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,45403.42,45379.27,45493.63,45353.37,45436.44,45176.4,45302.62,45291.656,45680.527,45808.87,45593.09,45327.293,45312.11,45501.785,45264.62,45444.27,45489.727,45290.527,45653.965,45678.195,45544.367,45494.95,45602.387,45369.336,45335.883,45761.066,45237.49,45376.066,45448.25,45548.434,45453.336
2021-11-25,45352.395,45328.457,45426.586,45295.33,45388.98,45120.58,45237.742,45223.47,45621.78,45755.06,45533.02,45274.26,45235.5,45448.543,45211.254,45392.414,45446.035,45230.81,45596.5,45615.938,45486.82,45435.84,45549.77,45324.31,45293.0,45706.32,45170.89,45317.3,45381.156,45489.125,45396.305
2021-11-26,45337.863,45313.73,45410.805,45280.93,45375.9,45106.082,45222.477,45208.434,45606.676,45740.082,45517.664,45259.934,45219.902,45433.977,45197.492,45377.824,45432.027,45216.02,45581.707,45600.594,45471.832,45420.85,45535.03,45310.332,45279.86,45691.555,45155.92,45302.55,45365.77,45473.938,45381.582
2021-11-27,45338.42,45314.562,45407.91,45279.227,45375.94,45105.16,45219.664,45204.375,45605.543,45740.293,45516.402,45259.656,45213.914,45433.91,45196.5,45378.2,45434.227,45214.24,45580.613,45598.656,45470.926,45419.477,45535.336,45312.094,45281.344,45691.25,45152.266,45301.008,45362.42,45472.72,45380.543
2021-11-28,45311.75,45286.785,45389.16,45259.375,45353.285,45082.86,45201.57,45190.297,45582.82,45713.867,45493.63,45235.78,45204.52,45409.0,45175.688,45351.953,45403.66,45193.957,45558.3,45577.88,45447.74,45397.668,45509.047,45282.875,45254.35,45666.684,45137.145,45280.09,45345.668,45450.113,45358.25
2021-11-29,45247.61,45221.355,45325.695,45199.8,45296.375,45021.48,45140.215,45132.12,45519.17,45648.395,45429.13,45174.016,45147.336,45345.8,45117.645,45287.87,45338.88,45132.84,45495.93,45514.633,45384.2,45334.965,45444.46,45219.027,45194.605,45603.043,45078.58,45218.73,45284.715,45386.28,45296.168
2021-11-30,45029.004,44996.52,45133.88,45012.52,45105.645,44822.62,44954.863,44966.25,45314.24,45427.824,45222.266,44969.28,44998.54,45134.78,44930.48,45070.47,45106.46,44940.99,45294.973,45316.758,45178.01,45134.94,45226.145,44992.88,44984.082,45392.223,44908.562,45024.32,45104.52,45181.344,45095.85
2021-12-01,44734.418,44697.6,44821.152,44725.242,44823.996,44531.734,44652.44,44670.95,45011.5,45124.918,44914.797,44680.613,44695.99,44840.72,44654.67,44772.336,44818.984,44646.05,44998.453,45010.957,44877.207,44835.133,44927.906,44707.027,44701.973,45094.64,44613.895,44729.715,44800.695,44877.23,44799.766
2021-12-02,44462.76,44421.87,44533.727,44460.938,44554.516,44263.9,44374.484,44399.902,44732.8,44845.69,44631.77,44414.637,44418.805,44569.72,44400.754,44497.496,44553.43,44374.73,44725.47,44729.656,44600.227,44559.195,44652.957,44443.098,44432.35,44820.46,44343.324,44458.617,44521.6,44597.285,44526.543
2021-12-03,44408.816,44371.082,44423.72,44374.39,44474.984,44188.37,44267.902,44276.027,44651.523,44784.72,44547.56,44349.363,44264.195,44506.438,44327.316,44438.34,44525.805,44285.332,44646.168,44635.586,44522.832,44474.875,44594.41,44409.137,44377.734,44752.855,44225.61,44372.953,44406.668,44514.42,44446.64
