,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,45348.426,45534.426,45254.445,45291.77,45453.03,45245.473,45457.137,45341.074,45448.395,45143.44,45104.184,45577.336,45853.867,45360.594,45667.434,45171.65,45429.902,45277.445,45373.137,45671.645,45497.4,45978.22,45404.957,45191.34,45669.434,45790.715,45421.027,45783.977,45146.77,45378.63,45442.24
2021-11-25,45295.15,45473.574,45193.586,45229.387,45395.805,45191.09,45398.5,45275.25,45388.68,45086.113,45045.547,45510.62,45788.754,45298.977,45604.88,45111.266,45367.805,45215.473,45310.875,45611.688,45438.164,45918.555,45346.664,45134.05,45599.047,45719.355,45365.05,45722.098,45089.92,45309.684,45381.184
2021-11-26,45280.953,45458.68,45179.52,45214.695,45381.215,45176.484,45383.32,45259.945,45374.242,45072.02,45031.023,45495.24,45773.707,45284.418,45591.848,45096.51,45353.242,45201.05,45296.203,45596.504,45423.305,45905.094,45332.254,45120.28,45583.75,45703.887,45350.61,45707.953,45076.01,45294.48,45366.617
2021-11-27,45280.46,45456.684,45176.605,45212.008,45379.965,45176.113,45382.293,45256.89,45372.074,45070.203,45029.28,45492.0,45770.582,45281.812,45587.29,45094.492,45350.496,45198.188,45293.527,45595.082,45421.742,45901.875,45330.49,45118.113,45579.312,45699.348,45349.574,45704.816,45074.133,45290.37,45364.195
2021-11-28,45257.434,45436.83,45160.867,45194.535,45358.473,45152.016,45359.152,45239.43,45353.53,45051.203,45009.344,45474.938,45753.76,45264.344,45578.13,45074.945,45333.42,45181.707,45276.05,45573.06,45400.703,45888.082,45310.797,45100.7,45565.9,45685.934,45327.707,45689.6,45055.64,45276.168,45346.145
2021-11-29,45196.61,45375.594,45104.883,45135.438,45297.293,45089.18,45295.023,45178.316,45294.64,44993.145,44949.31,45413.805,45693.895,45205.71,45529.54,45014.383,45275.008,45123.902,45217.023,45509.586,45338.91,45835.293,45251.28,45044.68,45507.26,45626.73,45266.773,45633.69,44998.508,45217.375,45287.098
2021-11-30,44996.56,45184.88,44938.242,44956.79,45101.43,44881.523,45087.766,44995.52,45112.984,44811.766,44760.81,45232.23,45515.72,45028.04,45399.332,44826.04,45099.047,44950.93,45038.492,45307.258,45143.227,45681.53,45064.633,44872.61,45342.56,45460.867,45070.215,45467.8,44820.652,45049.832,45106.64
2021-12-01,44710.938,44888.094,44660.18,44665.664,44809.445,44587.293,44783.47,44692.77,44826.0,44530.82,44471.137,44928.246,45207.645,44739.535,45098.242,44532.234,44810.7,44660.27,44747.754,45003.59,44846.484,45416.414,44777.242,44599.004,45042.805,45155.727,44780.74,45159.688,44543.63,44751.36,44814.234
2021-12-02,44447.832,44615.117,44404.555,44398.094,44540.69,44319.0,44503.297,44414.586,44562.105,44272.395,44204.645,44648.23,44923.383,44474.355,44820.906,44262.0,44545.707,44386.035,44480.53,44724.12,44573.434,45172.953,44512.863,44347.434,44767.758,44874.516,44514.23,44877.87,44288.83,44477.406,44545.164
2021-12-03,44379.92,44521.67,44281.44,44295.797,44459.96,44254.5,44423.27,44304.293,44468.53,44185.45,44116.94,44534.22,44802.94,44373.805,44656.68,44169.305,44443.1,44270.984,44378.516,44638.363,44486.97,45040.6,44426.16,44256.766,44637.207,44738.75,44437.3,44747.633,44201.777,44352.07,44442.832
2021-12-04,44491.242,44632.934,44388.055,44402.145,44571.324,44368.586,44540.21,44414.05,44574.93,44290.605,44225.785,44644.082,44913.5,44479.375,44754.91,44278.9,44548.152,44377.875,44484.758,44753.79,44599.19,45150.61,44533.69,44357.89,44741.293,44844.69,44548.38,44855.0,44305.188,44456.707,44550.934
2021-12-05,44635.566,44781.11,44536.508,44546.617,44717.957,44515.6,44693.363,44563.977,44717.926,44430.96,44370.652,44794.793,45066.168,44622.617,44900.625,44425.547,44691.145,44525.242,44629.055,44906.152,44747.87,45293.07,44676.938,44494.105,44888.04,44994.57,44694.004,45005.605,44443.48,44603.2,44697.086
2021-12-06,44793.64,44943.305,44690.324,44704.707,44878.516,44676.645,44861.066,44728.027,44874.43,44584.6,44529.242,44959.676,45233.176,44779.355,45059.816,44586.06,44847.61,44686.45,44786.95,45072.97,44910.637,45435.965,44834.23,44643.184,45048.508,45158.45,44853.47,45170.31,44594.86,44763.406,44856.32
2021-12-07,44996.31,45147.9,44877.8,44902.457,45082.676,44884.65,45074.934,44932.63,45071.305,44778.562,44729.754,45164.875,45440.305,44975.543,45250.152,44788.44,45043.13,44886.56,44984.477,45284.82,45116.95,45612.934,45033.035,44830.49,45245.4,45359.176,45056.707,45372.934,44785.773,44960.69,45055.71
2021-12-08,45195.0,45357.184,45075.87,45109.145,45287.215,45089.07,45287.582,45148.06,45274.133,44976.543,44933.637,45381.52,45661.523,45180.266,45472.477,44995.703,45248.004,45094.29,45190.87,45497.766,45325.375,45802.633,45235.37,45024.05,45461.39,45579.734,45259.1,45594.285,44981.156,45175.17,45263.133
2021-12-09,45234.55,45414.305,45140.65,45173.062,45335.72,45128.33,45335.203,45217.324,45331.957,45029.83,44987.19,45452.88,45732.15,45243.02,45561.28,45052.688,45312.234,45160.867,45254.6,45549.492,45377.824,45869.184,45288.848,45080.215,45545.203,45665.06,45304.965,45669.492,45034.633,45255.305,45324.6
2021-12-10,45234.805,45406.684,45127.97,45161.703,45332.004,45129.32,45332.777,45204.137,45323.312,45023.0,44980.83,45438.746,45718.547,45232.055,45539.63,45044.93,45300.53,45148.023,45243.312,45545.004,45372.496,45854.734,45282.367,45071.46,45524.65,45643.99,45302.38,45655.62,45027.438,45236.473,45314.633
2021-12-11,45305.707,45477.383,45192.12,45229.598,45402.99,45202.633,45407.297,45274.223,45391.203,45090.074,45050.246,45508.773,45787.152,45299.445,45594.395,45114.84,45367.6,45214.52,45311.13,45618.59,45444.055,45915.016,45351.17,45135.996,45591.22,45711.176,45373.164,45719.59,45093.402,45303.375,45382.605
2021-12-12,45409.297,45582.297,45288.496,45331.168,45507.516,45309.6,45516.734,45379.38,45492.21,45189.523,45153.02,45614.03,45890.234,45400.207,45678.88,45218.633,45468.05,45313.64,45412.586,45727.08,45549.75,46006.094,45453.08,45232.117,45692.742,45813.707,45477.17,45815.94,45191.31,45405.027,45483.984
2021-12-13,45530.793,45707.156,45404.504,45449.285,45631.01,45434.887,45645.695,45505.79,45612.72,45307.78,45275.074,45740.79,46014.305,45520.953,45782.992,45342.195,45588.6,45432.746,45534.23,45855.406,45674.984,46116.29,45574.14,45346.918,45816.59,45938.855,45599.81,45932.19,45307.836,45528.63,45605.11
2021-12-14,45597.93,45783.594,45480.82,45510.91,45703.01,45503.42,45719.508,45588.36,45687.72,45379.816,45348.766,45824.45,46095.965,45598.277,45861.195,45418.055,45666.51,45510.484,45612.36,45930.82,45749.473,46191.055,45647.4,45418.855,45904.695,46028.18,45670.254,46009.766,45379.254,45614.973,45681.195
2021-12-15,45575.78,45766.105,45468.324,45493.582,45683.152,45480.094,45697.8,45574.31,45671.703,45362.992,45330.94,45810.977,46082.617,45583.773,45856.85,45400.895,45652.53,45497.21,45597.906,45910.613,45730.375,46180.79,45629.832,45403.94,45896.047,46019.64,45649.81,45998.02,45362.992,45605.215,45665.82
2021-12-16,45502.145,45692.195,45400.89,45429.848,45609.188,45404.004,45620.242,45500.68,45600.645,45292.883,45258.44,45737.35,46010.5,45513.086,45798.61,45327.785,45582.13,45427.824,45526.75,45833.89,45655.715,46117.266,45557.957,45336.363,45825.61,45948.527,45576.113,45930.7,45294.02,45534.54,45594.863
2021-12-17,45418.35,45605.266,45319.555,45356.227,45523.6,45317.668,45531.016,45412.11,45516.613,45210.598,45173.58,45648.44,45923.5,45428.65,45724.55,45241.74,45497.754,45344.38,45441.664,45744.887,45568.76,46039.758,45473.766,45256.258,45738.047,45860.016,45491.24,45849.07,45212.88,45447.324,45510.58
2021-12-18,45394.832,45573.91,45285.312,45326.21,45496.07,45294.086,45503.594,45375.38,45485.17,45181.254,45143.926,45610.773,45886.848,45395.047,45684.453,45210.508,45463.52,45309.824,45407.59,45715.71,45539.426,46005.04,45444.2,45225.84,45695.098,45816.336,45464.91,45813.703,45183.54,45405.996,45477.938
2021-12-19,45516.133,45686.926,45382.05,45430.668,45613.51,45420.242,45628.37,45481.74,45592.355,45288.883,45256.02,45716.074,45990.27,45499.043,45756.12,45322.035,45566.23,45410.125,45511.996,45836.81,45656.223,46093.383,45555.13,45327.184,45788.035,45909.805,45583.15,45908.93,45288.906,45501.23,45583.914
2021-12-20,45799.2,45968.918,45637.72,45678.633,45896.77,45712.953,45925.785,45761.074,45863.074,45556.418,45532.914,45995.145,46263.688,45767.7,45973.996,45600.875,45833.598,45673.38,45782.367,46130.42,45941.703,46333.535,45829.586,45584.496,46053.08,46177.293,45865.65,46163.824,45552.008,45767.656,45854.113
2021-12-21,46040.934,46231.61,45891.926,45895.64,46149.68,45960.914,46187.266,46036.94,46118.95,45804.52,45787.73,46273.93,46535.633,46028.246,46220.727,45861.246,46095.09,45933.19,46045.29,46394.375,46201.0,46579.35,46082.637,45829.188,46337.16,46464.914,46114.797,46420.66,45797.32,46048.13,46112.297
2021-12-22,46218.164,46412.305,46058.79,46052.113,46329.11,46143.805,46375.895,46218.9,46293.12,45975.74,45964.57,46456.58,46714.098,46202.348,46368.613,46040.03,46268.766,46104.64,46220.63,46580.71,46382.676,46737.418,46258.004,45995.016,46514.03,46643.594,46293.17,46587.664,45965.953,46224.96,46286.71
