,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,3069.2627,-136.60326,-3154.6948,3003.301,6217.077,-553.54785,4471.1836,3783.9414,1139.4772,541.2633,4752.1914,1072.4989,-2746.1782,-365.85822,-470.8088,1870.8931,4129.4116,-2186.2563,3889.766,2244.9539,2864.6233,5210.313,5832.963,5001.3965,5819.6294,1264.3457,4173.923,1466.9698,2993.7783,2456.4148,2255.1877
2000-01-10,1315.3314,2221.8616,1286.0491,1783.0939,3003.9675,533.16315,2712.6907,3819.2766,5112.115,3085.6724,4295.0767,3899.7986,10620.651,-5264.415,3117.7214,2646.0288,3339.6611,9120.825,-316.37332,-151.54575,1773.2068,8586.476,3612.1277,545.6027,2029.994,4767.612,4434.215,446.81195,1152.2859,522.5281,2801.717
2000-01-11,1009.95276,410.9174,2915.553,2158.9014,583.3465,1367.097,1894.7781,1217.6659,3636.5,1411.6848,1217.2631,571.2074,787.1853,1183.3137,431.44275,2095.8103,3420.912,1279.8044,1879.4696,2457.449,1658.1918,2312.1846,3484.9575,2523.1982,2266.9255,2535.4539,3757.8955,1245.4075,2846.7847,2072.389,1887.7882
2000-01-12,1083.3306,493.63727,2987.4539,2225.0405,663.9678,1441.1941,1979.1586,1285.0117,3702.2156,1487.4808,1292.7634,649.75415,863.4305,1262.4725,502.348,2175.1274,3488.6687,1352.1786,1951.4921,2526.1055,1732.1897,2379.9556,3559.3806,2602.7935,2340.4153,2610.072,3820.3313,1324.926,2922.5088,2147.2803,1961.7561
2000-01-13,1180.9082,600.96295,3079.912,2313.3496,769.8198,1539.8219,2088.8098,1370.8899,3787.9785,1585.2119,1393.843,752.1602,963.06836,1366.6367,591.0407,2275.2224,3575.0422,1445.1116,2046.8737,2618.3672,1829.2463,2469.617,3660.9011,2703.737,2436.5977,2708.6646,3900.422,1427.6549,3024.2964,2245.1345,2058.3767
2000-01-14,1266.5753,706.1996,3174.0598,2389.4287,868.3596,1626.0483,2195.6,1461.4014,3869.9792,1683.6127,1479.8026,850.48267,1057.753,1462.6257,691.9044,2385.217,3666.2012,1540.3141,2132.2563,2695.437,1919.9849,2550.2415,3739.547,2812.5044,2527.384,2797.8335,3982.8047,1530.2305,3109.2139,2338.1777,2150.3726
2000-01-15,1305.1599,752.3888,3215.0386,2423.851,912.1258,1664.9221,2242.542,1500.5085,3906.176,1726.5493,1518.8202,893.8413,1099.6061,1505.3594,734.8107,2432.3318,3705.5784,1581.6989,2170.5322,2730.5771,1960.246,2586.3438,3776.116,2859.2864,2567.575,2837.7046,4018.5874,1575.0739,3147.9438,2379.3003,2191.0198
2000-01-16,1320.6698,772.8486,3233.7427,2437.4414,930.68207,1680.4912,2263.2239,1518.8267,3921.8809,1745.9734,1534.0297,912.71875,1117.67,1523.3195,756.0089,2455.0723,3724.0403,1600.677,2186.202,2744.0286,1977.3828,2601.187,3789.019,2881.5522,2584.8252,2854.1848,4035.0435,1595.2284,3162.7537,2397.0574,2208.5925
2000-01-17,1309.0038,762.46606,3225.5723,2426.5603,919.2734,1668.6158,2252.4514,1511.9204,3913.119,1737.0885,1521.3247,902.34424,1107.361,1511.874,750.51556,2448.024,3717.1213,1592.5912,2175.164,2732.1243,1967.0051,2590.8909,3774.5498,2873.9622,2574.7354,2842.9744,4028.15,1585.7009,3149.5933,2386.9417,2198.6338
2000-01-18,1317.3118,764.1539,3224.6653,2435.0618,924.49023,1677.261,2254.6667,1509.0035,3915.8823,1736.8871,1531.816,905.3714,1110.9668,1517.671,742.5081,2441.578,3714.102,1591.2935,2182.1711,2742.6396,1971.5283,2597.233,3790.2898,2868.9243,2578.6318,2849.604,4026.806,1586.0654,3161.2688,2390.45,2202.0103
2000-01-19,1370.6229,823.895,3276.4844,2483.2344,982.8856,1731.1061,2315.632,1557.4447,3963.4094,1791.5472,1586.759,962.1653,1166.1256,1575.0355,793.27484,2498.4885,3762.8293,1643.4331,2234.4465,2792.6487,2025.1096,2646.4077,3844.6975,2926.0984,2631.817,2903.732,4071.7754,1643.4331,3216.4292,2444.6274,2255.5198
2000-01-20,1419.7211,882.23926,3328.1213,2528.0698,1038.3561,1780.5894,2374.9514,1606.6115,4009.207,1845.6896,1636.522,1017.0093,1219.1012,1629.2354,846.968,2557.571,3812.3352,1695.5599,2283.0876,2837.5208,2076.1257,2692.274,3891.6475,2984.8328,2682.7146,2954.3691,4116.8315,1700.0079,3265.8933,2496.676,2306.9949
2000-01-21,1439.3833,908.69745,3352.4458,2545.8445,1062.1467,1800.3027,2401.6667,1630.5524,4029.432,1870.9124,1655.6664,1041.3369,1242.3436,1652.2189,874.93506,2587.448,3836.4695,1720.2632,2303.0278,2854.386,2098.1086,2711.1787,3907.4993,3014.016,2704.8813,2975.3804,4138.268,1726.1465,3284.4495,2519.5251,2329.6313
2000-01-22,1427.9667,898.0384,3343.8645,2535.2524,1050.7333,1788.7023,2390.6514,1623.1091,4020.555,1861.6486,1643.3628,1030.8058,1231.9291,1640.8167,868.52106,2579.551,3829.0054,1711.7363,2292.153,2842.9167,2087.7053,2701.0198,3893.8179,3005.6777,2694.721,2964.2947,4130.9766,1716.2627,3271.7783,2509.3057,2319.5625
2000-01-23,1388.2473,856.2669,3308.4846,2498.6675,1008.6198,1748.4923,2347.8474,1590.7804,3986.8132,1824.0566,1601.7335,990.5846,1192.627,1599.2065,836.4161,2542.6543,3796.5134,1676.2765,2253.6133,2804.6775,2049.1624,2664.8552,3850.6687,2968.0938,2656.6736,2924.6152,4100.4746,1676.601,3229.5703,2470.7134,2281.467
2000-01-24,1310.8003,772.11017,3236.3088,2427.4873,925.1296,1670.179,2261.7983,1524.0275,3919.3699,1747.6597,1521.2465,910.0896,1114.2145,1516.955,768.1624,2465.2695,3729.39,1603.7825,2178.0635,2731.0854,1972.6455,2593.87,3769.1155,2889.849,2580.9255,2846.6055,4038.0305,1596.2178,3148.372,2393.7104,2205.4155
2000-01-25,1217.1959,663.8751,3141.3938,2343.1628,820.8982,1575.7452,2151.567,1434.3966,3833.885,1647.8683,1425.6204,807.81934,1015.1792,1414.859,672.052,2358.6423,3639.182,1508.1068,2085.781,2644.469,1876.8915,2506.9482,3676.7595,2783.3545,2485.6174,2750.778,3955.413,1491.7339,3052.8657,2296.4207,2109.2827
2000-01-26,1137.7526,571.4504,3060.1733,2271.93,732.1512,1495.6129,2057.472,1357.552,3760.9883,1562.5272,1344.6027,720.58905,930.75555,1327.974,589.30334,2267.0134,3561.8357,1426.2069,2007.3749,2571.1567,1795.3368,2433.0767,3598.9114,2691.94,2404.403,2669.3145,3884.6755,1402.421,2972.0352,2213.4849,2027.3339
2000-01-27,1079.1158,501.72784,2998.452,2219.552,665.87933,1436.5192,1986.5842,1298.7667,3706.2673,1497.8154,1285.1812,655.0541,867.4566,1263.2222,525.087,2196.3623,3502.6523,1363.8973,1949.2769,2517.5818,1734.3873,2378.2932,3542.883,2621.714,2343.5928,2608.8286,3830.8162,1334.805,2912.9797,2151.2937,1965.868
2000-01-28,1053.3497,468.0757,2967.7805,2196.9329,635.224,1410.649,1952.5549,1268.8002,3680.386,1465.9342,1259.8322,623.95605,837.6707,1233.5289,490.57654,2159.2627,3472.4507,1332.7944,1923.2949,2495.1128,1706.0911,2353.6956,3521.1318,2585.3398,2315.1335,2581.5344,3803.8481,1301.7028,2888.246,2122.0144,1936.8969
2000-01-29,1050.4601,464.46994,2964.5376,2194.3757,631.8708,1407.745,1948.8964,1265.6675,3677.5842,1462.5505,1256.9489,620.5948,834.44055,1230.2668,487.05548,2155.438,3469.299,1329.5099,1920.4083,2492.5364,1703.0032,2350.9673,3518.5344,2581.5679,2312.039,2578.5151,3801.0046,1298.18,2885.4043,2118.84,1933.757
2000-01-30,1048.5356,462.40494,2962.7747,2192.6272,629.809,1405.7966,1946.785,1264.0453,3675.9236,1460.6821,1254.9414,618.6145,832.5098,1228.2338,485.41403,2153.5696,3467.6655,1327.7422,1918.5367,2490.6985,1701.114,2349.2075,3516.4822,2579.671,2310.1724,2576.5828,3799.4832,1296.211,2883.376,2116.9429,1931.885
2000-01-31,1043.8351,457.50458,2958.6367,2188.3389,624.8479,1401.0386,1941.7584,1260.2781,3671.9565,1456.2805,1250.0074,613.8868,827.886,1223.3286,481.6996,2149.2861,3463.8774,1323.5978,1913.9816,2486.1592,1696.5748,2344.9368,3511.3389,2575.2996,2305.6938,2571.8982,3795.919,1291.5647,2878.367,2112.4038,1927.4061
2000-02-01,1025.2709,438.85565,2943.133,2171.3042,605.6108,1382.2137,1922.5917,1246.3729,3656.72,1439.7141,1230.3276,595.75885,810.0905,1204.2386,468.528,2133.8035,3449.9133,1308.1072,1896.0999,2467.9739,1678.9984,2328.185,3490.3357,2559.3372,2288.4163,2553.5579,3782.6228,1274.0171,2858.286,2094.9329,1910.1772
2000-02-02,978.83075,389.10703,2900.6968,2129.1013,555.9133,1335.2318,1871.6763,1207.3232,3616.7163,1394.7236,1181.8848,548.0369,763.5401,1155.2156,429.09323,2088.837,3410.659,1265.5221,1850.9048,2423.5906,1633.4773,2285.7456,3440.7534,2513.7283,2243.4067,2506.9514,3745.9626,1226.6179,2809.3062,2049.2246,1865.0591
2000-02-03,917.09174,318.23694,2838.702,2073.621,487.42947,1272.9286,1799.4652,1148.9152,3560.648,1329.4939,1118.6833,480.97717,698.55817,1088.0903,366.77884,2019.5459,3351.8801,1203.0575,1790.1152,2366.2773,1570.5795,2228.5042,3379.3467,2444.4324,2180.843,2443.8699,3692.0376,1158.2843,2746.1047,1985.3888,1801.9965
2000-02-04,884.357,274.76486,2798.8884,2044.9764,448.11456,1240.0868,1755.5441,1109.8575,3527.3267,1288.1652,1086.6566,440.91583,660.2438,1050.0652,321.43515,1970.9705,3312.5093,1162.6477,1757.0017,2337.989,1534.2678,2197.1296,3352.3962,2396.907,2144.274,2409.0237,3656.9854,1115.4213,2714.9714,1947.7249,1764.7207
2000-02-05,891.7779,281.19482,2803.88,2051.918,455.28134,1247.6404,1762.2281,1114.0131,3532.793,1293.617,1094.7792,447.37936,666.6849,1057.2704,324.5662,1975.1036,3316.668,1167.5752,1763.9943,2345.6194,1540.7792,2203.6458,3361.7625,2401.4175,2150.5886,2416.1091,3661.1794,1121.2838,2723.4072,1954.0446,1770.94
2000-02-06,925.52435,316.2023,2833.3684,2082.7363,490.81467,1281.8215,1798.1322,1140.8134,3561.1658,1325.0027,1130.2726,481.18494,699.76166,1092.4249,350.83102,2005.4825,3343.5994,1197.1053,1796.665,2378.2837,1573.2854,2234.2883,3398.8843,2432.466,2182.6362,2449.7068,3686.5667,1154.4388,2759.4631,1986.5204,1802.9817
2000-02-07,999.7013,395.95575,2901.4958,2150.1125,570.34753,1356.8584,1879.7365,1203.5833,3625.2432,1397.201,1207.5758,557.6331,774.3062,1170.8502,414.42886,2077.8918,3406.7065,1265.4838,1868.8984,2449.0723,1646.1454,2302.1282,3477.8035,2505.8503,2254.6987,2524.2258,3745.4417,1230.4698,2837.58,2059.7224,1875.2382
2000-02-08,1100.3812,510.72946,3001.65,2240.6943,681.6194,1458.4877,1996.7302,1297.7325,3716.1895,1502.6566,1310.8499,666.37805,879.7539,1279.9883,514.3688,2189.2756,3501.4438,1366.3618,1967.913,2542.8252,1748.315,2395.336,3578.7104,2617.3857,2356.264,2626.9067,3832.5024,1341.0033,2940.9707,2163.3015,1977.5577
2000-02-09,1224.0334,647.13293,3119.2896,2352.5432,815.9563,1583.4521,2136.065,1407.1105,3825.1086,1626.961,1438.8351,796.45544,1006.2767,1412.1499,627.6049,2316.9219,3611.4546,1484.6215,2088.837,2659.5903,1871.5052,2509.0198,3706.9705,2746.039,2478.3772,2751.9385,3934.4353,1471.6353,3069.7903,2287.5645,2100.256
2000-02-10,1354.2356,799.92535,3253.954,2469.1133,962.08057,1714.7395,2291.5361,1534.8607,3945.3838,1768.3352,1571.2875,940.42523,1145.5028,1555.0903,765.9663,2469.735,3740.0488,1620.4751,2217.5398,2779.2756,2005.8246,2630.3193,3833.3096,2898.269,2612.241,2885.7654,4051.8096,1619.4922,3201.736,2424.345,2235.421
2000-02-11,1448.0413,910.58984,3351.6611,2554.2388,1067.653,1809.3059,2404.1042,1627.701,4032.3918,1870.8547,1666.5636,1044.5958,1246.1891,1658.3148,866.8732,2581.0054,3833.5093,1719.0773,2310.3513,2865.2961,2102.8923,2717.81,3923.7732,3009.0134,2709.0178,2982.3218,4137.0146,1726.6755,3296.563,2523.2668,2333.2224
2000-02-12,1517.2491,991.1472,3422.4656,2617.5344,1144.9897,1879.1084,2486.116,1694.7001,4095.921,1945.2476,1737.1349,1120.6173,1319.7651,1734.0214,939.0443,2660.9106,3900.948,1790.4733,2378.6626,2929.1465,2173.9543,2782.1702,3991.5522,3088.7268,2779.792,3053.2974,4198.68,1804.5287,3366.9631,2595.5452,2404.6804
2000-02-13,1566.451,1050.1116,3475.1248,2662.437,1200.831,1928.6843,2546.0361,1744.658,4142.118,2000.0739,1786.8771,1175.9584,1373.1786,1788.7487,993.8899,2721.1184,3951.2495,1843.3289,2427.481,2973.9387,2225.3284,2828.2205,4038.1282,3148.495,2831.0862,3104.1616,4244.377,1861.7844,3416.3281,2648.0269,2456.6072
2000-02-14,1585.1416,1075.1313,3499.618,2679.3406,1223.3813,1947.4276,2571.3052,1767.2291,4161.2656,2023.8965,1805.1104,1198.9834,1395.1824,1811.4045,1020.19464,2749.2534,3974.006,1866.6416,2446.4175,2990.0193,2246.1604,2846.1677,4053.3247,3175.994,2852.0781,3124.1035,4264.61,1886.4797,3434.0247,2669.6597,2478.118
2000-02-15,1587.846,1077.6151,3501.5989,2681.853,1226.0634,1950.1782,2573.8738,1768.9362,4163.342,2026.0414,1808.0369,1201.4448,1397.6229,1814.0896,1021.62354,2751.037,3975.7131,1868.6107,2448.986,2992.7522,2248.6042,2848.5684,4056.6077,3177.8894,2854.4597,3126.72,4266.29,1888.7733,3437.0454,2672.0522,2480.476
2000-02-16,1614.5503,1103.458,3523.0002,2706.5789,1253.2344,1977.2838,2600.5093,1787.5979,4184.6616,2048.755,1836.5905,1226.7761,1422.5819,1841.2831,1038.5336,2771.3467,3994.4387,1889.6827,2474.562,3019.2585,2273.3906,2872.4932,4087.7488,3199.062,2878.7505,3152.8665,4284.343,1912.9187,3466.3245,2696.5479,2504.6377
2000-02-17,1622.2013,1121.7521,3544.08,2713.036,1266.5674,1984.6935,2618.5479,1807.8883,4197.408,2067.717,1842.0215,1242.3531,1436.8628,1854.768,1066.1122,2799.0354,4014.964,1909.1819,2483.5188,3022.9697,2285.9646,2882.4026,4086.3071,3225.0488,2891.9844,3162.9373,4301.4478,1932.0872,3470.3203,2710.6194,2518.8267
2000-02-18,1594.319,1086.9556,3511.013,2687.6677,1234.2163,1956.6466,2583.2717,1777.6852,4170.3857,2035.0702,1814.1792,1209.9365,1405.688,1822.2905,1032.1531,2762.1467,3984.5388,1877.5244,2455.6445,2998.0747,2256.1562,2854.9087,4061.222,3188.6555,2862.1218,3133.7844,4274.04,1898.0897,3442.8967,2679.9832,2488.3755
2000-02-19,1583.0973,1073.7664,3498.821,2677.413,1221.612,1945.3306,2569.8508,1766.6442,4160.0063,2022.8593,1802.7673,1197.513,1393.6736,1809.6448,1020.1819,2748.929,3973.4243,1865.7882,2444.5508,2987.7688,2244.5703,2844.443,4050.3567,3175.495,2850.571,3122.2446,4263.899,1885.3209,3431.5344,2668.1814,2476.6753
2000-02-20,1573.1991,1062.5895,3488.6943,2668.341,1210.7277,1935.338,2558.452,1757.5339,4151.131,2012.6141,1792.591,1186.9019,1383.3773,1798.73,1010.5761,2738.193,3964.2595,1856.0034,2434.833,2978.5178,2234.5793,2835.2993,4040.337,3164.7227,2840.6487,3112.1787,4255.4565,1874.574,3421.3308,2658.0671,2466.66
2000-02-21,1560.9882,1049.012,3476.4912,2657.1355,1197.4059,1923.0009,2544.5881,1746.584,4140.307,2000.2146,1779.9803,1173.9733,1370.8131,1785.373,999.1675,2725.3667,3953.2427,1844.1887,2422.8748,2967.023,2222.3604,2824.052,4027.7744,3151.8196,2828.5256,3099.8047,4245.2705,1861.551,3408.6516,2645.725,2454.4421
2000-02-22,1536.7291,1023.5639,3454.347,2634.7864,1171.718,1898.4398,2518.507,1726.9265,4119.739,1977.3285,1754.5371,1149.4585,1346.8483,1759.6405,979.69543,2702.9634,3933.4893,1822.6134,2399.3477,2943.6462,2198.8508,2801.978,4001.3594,3128.9832,2805.3264,3075.5872,4226.713,1837.4008,3382.8486,2622.1968,2431.1858
2000-02-23,1486.9838,969.8419,3407.9043,2589.0496,1118.2614,1848.127,2463.5576,1684.5125,4076.6248,1928.6428,1702.7571,1098.0094,1296.7048,1706.6569,936.5526,2653.9324,3890.8403,1776.4657,2350.8699,2896.2598,2149.871,2756.444,3948.657,3079.34,2756.8645,3025.5588,4186.971,1786.1466,3330.5588,2572.9548,2382.5308
2000-02-24,1421.5303,895.0416,3342.5732,2529.1038,1045.8281,1782.063,2387.3188,1623.0468,4017.387,1859.8696,1635.6653,1027.1713,1228.0293,1635.6285,871.19183,2581.146,3828.991,1710.651,2286.4727,2835.376,2083.3564,2695.8142,3883.2356,3006.4849,2690.7268,2958.758,4130.1675,1714.0778,3263.416,2505.494,2315.854
