,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,1736.7007,1934.6262,1656.4122,1736.0659,1779.6388,1778.9614,1716.5967,1611.462,1839.4583,1764.9923,1875.712,1714.4609,1706.487,1768.1259,1673.7435,1836.9801,1785.3009,1618.5613,1902.6775,1797.5283,1612.2146,1745.2281,1798.1782,1827.082,1748.255,1875.0186,1842.0079,1718.4327,3098.7769,1651.5752,1805.0422
2000-01-10,1799.1152,1997.1749,1705.5275,1790.7473,1846.4211,1836.4734,1780.4547,1688.2919,1904.5642,1819.8225,1946.4226,1769.7521,1770.1527,1830.3153,1729.9347,1902.585,1843.3549,1668.1125,1960.0305,1855.9952,1666.1143,1808.501,1858.8785,1889.2457,1807.7733,1934.2249,1908.7394,1788.5227,3167.9146,1704.1937,1865.9788
2000-01-11,1870.1332,2069.8599,1766.1761,1852.7518,1918.9683,1905.2141,1851.7543,1773.1421,1978.7434,1883.0576,2025.1508,1834.5822,1842.9309,1903.4229,1794.4688,1979.5251,1912.1699,1731.6022,2029.1558,1926.611,1733.0165,1884.5354,1930.8998,1959.3745,1876.6686,2000.8882,1983.6958,1864.2002,3242.7983,1763.8368,1936.311
2000-01-12,1986.957,2180.0454,1851.023,1954.3204,2019.6361,2006.1986,1953.9722,1888.684,2097.8992,1982.6682,2134.0315,1931.2704,1951.2385,2012.9384,1891.6302,2096.9387,2011.106,1837.5437,2140.015,2037.3782,1838.964,1998.741,2043.2341,2062.0833,1981.5804,2100.505,2084.5469,1977.0563,3341.8245,1866.5596,2042.0197
2000-01-13,2035.977,2224.4236,1887.1061,1998.6498,2058.7688,2045.9806,1994.7585,1931.9927,2145.9158,2024.5656,2176.3906,1969.5994,1996.0148,2061.1213,1930.3293,2144.6675,2052.5083,1882.7849,2186.8625,2081.7495,1884.4363,2046.7106,2087.5676,2102.3804,2023.2783,2138.1729,2123.8333,2020.1866,3378.793,1908.8601,2084.8127
2000-01-14,2065.593,2248.5908,1907.974,2025.3632,2077.9426,2069.0852,2018.4427,1956.4261,2176.47,2048.5999,2198.3992,1990.8131,2018.2278,2086.0288,1953.4498,2169.973,2074.7593,1915.2974,2214.5593,2107.716,1914.7039,2074.3777,2116.4656,2124.0542,2045.2186,2159.4165,2145.8074,2045.8215,3398.8696,1938.4663,2109.5637
2000-01-15,2068.6116,2249.098,1906.4614,2025.7306,2079.8801,2069.0989,2020.1882,1961.2765,2179.4177,2050.811,2200.6035,1991.8812,2018.9242,2085.7246,1955.057,2169.8518,2075.1555,1915.6754,2215.0693,2107.4226,1914.7596,2072.0188,2119.5266,2126.3604,2046.1792,2161.8135,2148.6753,2048.3132,3403.1443,1941.1553,2110.9297
2000-01-16,2035.3147,2223.5166,1888.1267,1995.8256,2064.0356,2048.9004,1998.6454,1943.7775,2147.9207,2026.9717,2181.6106,1971.8092,1997.6888,2060.1875,1933.1042,2144.2578,2052.9182,1883.4177,2184.555,2080.2388,1884.0403,2044.6903,2090.7192,2106.5813,2025.7921,2142.288,2131.932,2027.9153,3388.6992,1909.5989,2087.1692
2000-01-17,2079.2393,2267.958,1924.6095,2035.0425,2109.3506,2091.3745,2040.011,1994.1694,2191.9746,2068.7964,2226.9854,2012.6749,2043.1993,2105.9294,1971.6626,2191.0457,2093.3533,1923.3389,2227.1892,2121.984,1925.1326,2089.369,2132.7686,2148.6394,2069.456,2183.0984,2174.968,2076.4265,3432.3047,1948.3856,2130.0146
2000-01-18,2135.5857,2323.3784,1968.5387,2087.3057,2160.857,2142.5994,2091.684,2052.6936,2249.1323,2120.2734,2279.4395,2061.5193,2096.6262,2160.8174,2019.3171,2247.7153,2141.784,1977.3661,2280.4712,2174.9067,1979.0983,2145.8474,2187.6233,2199.2742,2121.5715,2232.3708,2225.2878,2133.9153,3483.386,2001.6934,2182.7363
