,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2019-06-20,37993.125,37647.38,37700.25,37663.164,37553.977,37827.062,37537.734,37500.656,37767.523,37687.008,37723.555,37913.41,37544.895,37575.277,37686.113,37506.67,37873.426,37742.414,37639.46,37604.13,37800.574,37566.79,37583.95,37774.188,37643.44,37616.89,37561.836,37389.17,37439.055,37789.555,37661.758
2019-06-21,38052.32,37713.82,37752.76,37721.055,37619.734,37886.33,37621.445,37550.043,37832.727,37760.84,37786.08,37973.02,37605.547,37642.355,37740.414,37578.75,37930.23,37791.746,37686.848,37651.344,37869.594,37638.73,37644.93,37839.77,37705.73,37675.6,37634.836,37445.727,37489.79,37853.156,37723.18
2019-06-22,38160.2,37820.29,37850.13,37818.4,37724.332,37992.543,37740.074,37638.066,37934.71,37872.855,37883.426,38076.562,37703.973,37746.086,37844.06,37686.74,38032.37,37894.574,37782.715,37745.984,37973.62,37742.12,37751.613,37949.027,37814.25,37783.992,37736.684,37547.027,37585.586,37958.47,37826.348
2019-06-23,38317.67,37973.57,38002.75,37967.37,37870.89,38154.438,37878.11,37781.957,38085.176,38019.227,38014.027,38223.773,37855.535,37884.15,38004.48,37828.16,38188.45,38053.176,37935.05,37905.555,38109.11,37881.92,37899.723,38090.23,37965.1,37940.82,37863.086,37695.88,37744.316,38103.973,37974.598
2019-06-24,38439.074,38095.094,38123.707,38082.676,37992.176,38279.62,37973.434,37899.082,38212.637,38122.285,38126.285,38347.94,37976.48,37994.49,38133.69,37934.32,38310.816,38185.145,38058.664,38036.33,38218.754,37993.668,38022.05,38206.47,38088.695,38065.89,37969.902,37814.13,37874.188,38219.54,38093.234
2019-06-25,38519.477,38177.812,38208.152,38157.586,38071.535,38360.22,38044.957,37979.0,38296.51,38199.297,38201.707,38429.156,38056.41,38068.156,38218.195,38010.605,38389.945,38267.51,38138.64,38127.145,38295.043,38071.695,38098.953,38278.004,38163.945,38143.402,38038.65,37890.227,37965.387,38290.074,38171.918
2019-06-26,38531.383,38190.816,38214.24,38169.977,38085.062,38372.668,38065.25,37984.582,38308.113,38216.395,38213.84,38439.9,38067.49,38083.324,38225.824,38027.297,38400.812,38273.18,38145.11,38130.125,38309.92,38087.08,38112.33,38294.855,38179.812,38156.492,38057.098,37901.727,37968.926,38306.95,38184.016
2019-06-27,38593.332,38252.207,38272.42,38227.375,38144.71,38434.953,38119.11,38040.754,38368.973,38271.492,38268.81,38500.01,38126.785,38138.977,38287.086,38085.133,38461.445,38334.63,38204.434,38192.023,38366.48,38144.543,38172.438,38353.168,38240.645,38218.25,38110.723,37960.543,38031.16,38364.28,38242.9
2019-06-28,38611.29,38260.316,38285.55,38235.547,38149.93,38448.957,38116.65,38053.547,38372.13,38270.53,38273.5,38511.03,38133.125,38140.31,38305.004,38090.895,38475.504,38356.195,38224.77,38214.062,38370.812,38144.2,38184.43,38361.465,38249.355,38232.625,38104.465,37974.375,38050.477,38370.32,38252.38
2019-06-29,38567.95,38207.09,38244.586,38189.92,38093.33,38402.574,38047.086,38018.54,38316.625,38209.125,38213.176,38455.207,38088.445,38080.99,38264.855,38030.42,38435.746,38324.555,38192.01,38181.098,38308.18,38081.75,38132.402,38302.46,38194.18,38187.727,38034.94,37931.51,38014.51,38309.953,38202.027
2019-06-30,38465.695,38107.125,38158.26,38098.36,37999.74,38303.695,37935.094,37938.113,38226.613,38103.95,38125.8,38361.965,37997.43,37987.625,38175.047,37923.293,38340.85,38241.066,38106.125,38094.285,38211.293,37984.14,38037.977,38205.516,38095.977,38091.297,37944.59,37838.348,37926.754,38216.047,38108.066
2019-07-01,38331.777,37981.254,38041.03,37975.684,37877.45,38169.043,37822.37,37821.918,38103.87,37993.91,38018.566,38238.5,37872.305,37873.324,38040.15,37808.348,38208.234,38103.65,37976.91,37967.02,38101.098,37871.883,37909.535,38080.76,37964.89,37953.684,37838.414,37710.883,37800.59,38094.094,37985.04
2019-07-02,38190.668,37844.992,37890.938,37846.9,37745.605,38026.77,37729.406,37679.547,37962.797,37879.656,37900.617,38105.445,37734.734,37757.133,37885.832,37695.1,38066.21,37942.637,37826.598,37801.89,37984.582,37753.9,37775.06,37960.45,37837.234,37812.875,37736.332,37575.957,37637.195,37975.992,37852.105
2019-07-03,38200.65,37855.285,37894.94,37856.84,37756.48,38036.875,37754.58,37681.305,37970.664,37897.832,37910.207,38113.414,37742.477,37771.715,37891.098,37710.453,38074.45,37946.76,37830.027,37799.55,37997.586,37766.816,37786.45,37976.207,37849.418,37824.062,37753.04,37585.246,37636.348,37991.64,37862.082
2019-07-04,38274.035,37927.906,37966.66,37925.24,37826.758,38110.742,37820.73,37748.637,38042.875,37967.574,37974.008,38183.95,37813.625,37838.11,37966.312,37777.887,38147.023,38020.387,37900.863,37873.97,38063.297,37834.246,37856.996,38044.1,37921.094,37897.484,37815.383,37654.99,37710.63,38058.445,37932.13
2019-07-05,38329.7,37982.68,38022.434,37976.805,37880.55,38167.09,37867.7,37800.676,38098.508,38015.39,38023.75,38239.277,37867.188,37888.242,38024.332,37827.33,38202.027,38078.703,37956.254,37932.742,38113.082,37884.445,37911.65,38096.21,37976.297,37953.707,37862.293,37708.246,37768.86,38109.855,37985.53
2019-07-06,38359.914,38011.08,38052.266,38003.312,37907.09,38196.61,37889.457,37829.586,38126.164,38039.754,38047.94,38267.64,37895.12,37911.758,38055.906,37852.492,38231.527,38110.758,37987.047,37967.16,38137.52,37908.945,37938.992,38120.82,38003.797,37982.824,37882.383,37736.277,37802.367,38133.61,38012.996
2019-07-07,38363.094,38014.383,38055.613,38007.246,37910.547,38200.496,37889.613,37833.79,38130.53,38041.258,38050.137,38270.68,37899.832,37914.777,38060.49,37853.793,38235.938,38115.83,37991.27,37971.066,38139.05,37911.438,37942.3,38123.48,38007.355,37986.89,37884.887,37739.973,37806.293,38136.395,38016.28
2019-07-08,38370.645,38024.31,38065.668,38015.82,37921.34,38209.16,37897.914,37843.01,38142.625,38050.25,38061.566,38281.395,37909.32,37924.73,38069.285,37862.504,38243.88,38124.64,37999.4,37981.008,38149.574,37922.29,37951.785,38132.754,38016.676,37994.875,37896.316,37748.023,37816.574,38146.16,38025.777
2019-07-09,38375.715,38031.516,38069.97,38021.477,37928.324,38214.25,37910.523,37846.184,38149.04,38061.758,38068.797,38286.64,37914.816,37932.586,38072.17,37872.656,38248.105,38125.19,38001.21,37982.734,38158.72,37931.94,37957.254,38139.848,38022.27,37999.246,37906.43,37752.633,37819.29,38153.36,38031.82
2019-07-10,38344.125,37985.848,38030.57,37979.117,37880.434,38176.035,37865.83,37807.066,38094.34,38012.82,38025.273,38247.88,37865.855,37885.71,38033.87,37831.492,38209.957,38093.746,37971.312,37950.36,38115.355,37879.746,37919.617,38101.516,37983.316,37964.41,37851.582,37717.29,37782.7,38112.49,37990.652
2019-07-11,38282.32,37912.457,37971.844,37916.953,37801.9,38110.9,37772.984,37757.54,38011.91,37930.816,37941.195,38172.113,37806.1,37804.67,37977.285,37748.54,38155.04,38046.03,37922.69,37900.816,38027.47,37794.04,37845.367,38018.21,37909.367,37901.26,37757.22,37657.008,37729.164,38027.504,37920.36
2019-07-12,38156.01,37791.332,37867.24,37805.45,37691.953,37990.95,37621.05,37659.594,37908.27,37796.508,37844.18,38066.86,37694.734,37694.09,37863.477,37617.27,38036.176,37938.363,37818.363,37795.816,37913.406,37677.35,37734.62,37905.414,37795.594,37782.61,37654.23,37543.855,37622.586,37919.375,37806.895
2019-07-13,37972.176,37611.543,37691.676,37629.367,37512.145,37801.44,37453.48,37496.438,37726.633,37622.684,37685.777,37889.734,37513.67,37519.875,37674.06,37455.605,37850.98,37744.79,37640.633,37623.664,37753.215,37512.598,37550.49,37723.74,37606.668,37589.05,37488.688,37365.082,37449.895,37738.992,37629.824
2019-07-14,37735.254,37375.62,37444.418,37403.598,37282.438,37554.883,37273.773,37261.88,37480.957,37418.082,37467.78,37647.426,37283.63,37314.19,37421.203,37247.51,37610.15,37487.336,37396.94,37349.816,37538.703,37295.5,37320.67,37511.79,37376.316,37355.65,37296.918,37139.95,37180.09,37516.613,37399.64
2019-07-15,37729.887,37375.18,37444.594,37402.742,37286.56,37552.8,37267.36,37260.523,37489.773,37417.09,37474.297,37650.77,37283.707,37318.758,37419.258,37244.49,37610.71,37481.91,37393.86,37345.727,37541.51,37300.824,37323.004,37515.68,37378.35,37354.0,37306.523,37137.96,37177.047,37519.844,37400.16
2019-07-16,37751.67,37402.09,37463.75,37426.64,37311.79,37575.805,37300.773,37280.832,37517.867,37444.24,37500.566,37673.73,37306.55,37342.848,37439.457,37273.355,37633.418,37497.33,37409.94,37366.965,37571.402,37331.895,37343.72,37537.48,37398.953,37371.996,37334.887,37157.406,37199.844,37546.73,37423.797
