,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
797,52139.6,51732.918,51783.426,51634.656,52116.1,51794.535,51424.54,51747.93,52213.73,52014.17,51864.08,51444.734,51270.664,51915.305,52167.11,51473.184,51725.258,51498.574,52103.805,51610.957,51606.01,51521.977,51330.676,51715.137,51905.473,51973.51,51298.14,51240.504,51244.18,51285.035,51693.19
798,52290.18,51866.617,51931.785,51776.234,52266.68,51943.332,51566.28,51892.0,52363.56,52159.71,52017.918,51566.863,51382.78,52054.1,52309.383,51611.23,51870.477,51643.305,52248.176,51746.863,51754.254,51659.96,51457.51,51857.35,52041.29,52128.758,51412.215,51357.02,51372.38,51411.19,51831.98
799,52456.17,52011.973,52093.117,51933.39,52432.2,52107.156,51719.973,52050.43,52528.773,52320.23,52187.055,51701.23,51505.242,52207.055,52466.055,51763.766,52030.66,51802.086,52407.477,51895.773,51915.83,51812.49,51597.13,52013.004,52190.164,52299.29,51536.33,51485.324,51512.9,51550.383,51984.42
800,52597.953,52120.957,52214.1,52075.56,52570.035,52245.605,51832.047,52183.09,52669.957,52457.75,52327.918,51814.367,51601.402,52337.242,52598.938,51896.914,52167.914,51931.844,52544.605,52016.43,52039.918,51945.766,51714.91,52137.348,52310.86,52440.17,51629.91,51594.13,51626.81,51670.094,52110.484
801,52795.164,52315.805,52430.434,52250.785,52771.844,52442.402,52042.652,52375.098,52866.28,52647.918,52534.25,51976.164,51759.137,52519.688,52786.242,52073.848,52357.742,52129.074,52732.28,52202.754,52252.31,52122.71,51882.883,52334.92,52497.234,52649.85,51795.56,51747.62,51802.75,51834.297,52297.66
802,52965.2,52439.227,52567.496,52425.156,52935.438,52607.75,52167.832,52532.855,53035.74,52813.08,52701.523,52110.95,51870.402,52675.645,52945.066,52234.836,52522.664,52281.902,52897.266,52344.27,52394.492,52284.06,52023.395,52479.973,52638.9,52816.58,51901.855,51877.67,51936.45,51978.293,52446.867
803,53062.695,52500.04,52635.043,52530.36,53026.91,52701.594,52226.992,52621.57,53132.953,52908.066,52795.074,52187.156,51928.676,52764.777,53035.52,52329.027,52617.535,52365.69,52992.582,52421.133,52466.883,52378.55,52103.008,52557.5,52715.895,52909.05,51954.65,51951.73,52009.082,52061.402,52529.703
804,53007.86,52398.64,52522.418,52506.28,52959.77,52642.312,52108.66,52559.99,53078.477,52856.438,52726.39,52137.28,51858.63,52712.605,52980.727,52288.844,52566.023,52292.586,52943.77,52349.12,52364.4,52338.617,52051.773,52475.72,52643.867,52835.812,51869.855,51906.7,51941.047,52018.273,52464.76
805,52890.496,52293.13,52405.258,52396.51,52842.117,52526.203,51996.562,52447.57,52961.547,52742.953,52606.06,52042.16,51770.55,52604.32,52869.93,52181.605,52452.703,52179.234,52831.332,52242.74,52247.582,52231.215,51952.836,52364.05,52537.395,52714.297,51779.836,51815.906,51840.547,51919.97,52356.223
806,52809.137,52240.895,52347.258,52309.51,52765.438,52447.74,51945.32,52373.273,52880.45,52663.74,52527.645,51978.383,51721.094,52529.895,52794.332,52103.266,52373.59,52108.74,52751.89,52177.95,52185.82,52152.668,51886.254,52298.52,52472.535,52636.668,51734.566,51754.016,51779.344,51850.707,52286.688
