,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
0,44078.945,44058.746,44283.008,44281.477,45003.47,44729.535,44593.37,44615.824,44708.76,44566.33,44351.832,44277.125,44608.316,44359.203,44464.55,44270.54,44312.902,44346.61,44515.777,44059.15,44157.426,44310.26,44317.582,44361.906,44251.41,44400.473,44535.38,44498.77,44180.074,44657.402,44405.2
1,43823.36,43844.863,44109.26,44119.195,44821.676,44550.297,44442.203,44477.258,44570.375,44473.953,44267.383,44211.668,44515.883,44318.3,44473.39,44274.227,44357.49,44417.273,44602.86,44165.31,44276.78,44440.004,44468.37,44511.402,44422.58,44575.344,44718.457,44686.418,44383.293,44774.234,44403.105
2,43587.215,43646.75,43946.562,43922.51,44621.47,44366.78,44260.492,44332.18,44419.594,44354.605,44157.285,44094.6,44445.742,44262.543,44415.336,44224.715,44299.004,44394.06,44472.293,44150.953,44123.48,44421.797,44446.99,44441.97,44458.938,44448.414,44550.07,44571.863,44420.355,44582.543,44294.707
3,43361.074,43434.562,43768.145,43698.504,44401.23,44125.492,44021.848,44124.332,44217.746,44148.223,43937.258,43894.87,44242.414,44053.797,44203.0,44052.777,44086.83,44186.848,44255.934,43967.87,43926.25,44195.504,44253.535,44224.97,44237.027,44220.066,44323.58,44373.938,44158.695,44348.47,44081.5
4,43427.754,43489.805,43818.168,43767.758,44474.13,44191.54,44124.848,44230.215,44326.715,44254.08,44051.832,44024.324,44375.21,44173.37,44377.81,44124.918,44168.46,44335.695,44345.055,44054.0,44007.297,44304.367,44330.914,44320.17,44366.207,44319.707,44419.844,44454.848,44453.105,44441.715,44185.137
5,43534.023,43579.664,43904.754,43859.16,44573.508,44285.855,44316.26,44417.79,44519.785,44438.504,44254.42,44230.65,44662.47,44348.52,44514.977,44298.53,44334.348,44489.77,44524.62,44247.64,44187.73,44494.188,44552.95,44479.266,44587.777,44477.246,44611.67,44714.016,44670.562,44621.555,44357.734
6,43659.816,43685.508,43990.027,43943.55,44663.59,44386.008,44336.45,44435.67,44535.297,44454.234,44261.617,44253.516,44717.03,44464.14,44601.64,44384.7,44418.85,44563.516,44600.355,44314.29,44268.605,44574.844,44627.117,44580.016,44652.33,44587.02,44706.637,44810.098,44758.84,44729.402,44432.164
7,43797.68,43799.457,44082.855,44040.734,44771.934,44476.02,44423.195,44511.688,44615.016,44519.953,44331.258,44337.777,44779.434,44561.016,44679.605,44492.105,44527.645,44676.05,44705.695,44429.715,44383.082,44698.152,44746.98,44707.35,44781.156,44716.98,44840.625,44926.83,44842.395,44875.89,44535.938
8,43999.11,43972.582,44227.43,44201.605,44941.742,44653.77,44589.082,44658.17,44766.297,44656.5,44472.676,44480.13,44921.1,44704.168,44811.918,44656.793,44712.824,44827.703,44894.785,44599.15,44552.637,44874.95,44926.207,44896.145,44972.664,44910.406,45039.945,45119.133,44960.234,45089.637,44702.984
9,44147.777,44113.816,44351.453,44337.25,45066.234,44790.09,44743.977,44778.812,44887.17,44767.254,44611.05,44596.47,45061.867,44824.504,44924.664,44779.684,44840.15,44930.883,45020.82,44724.223,44682.844,45010.184,45061.64,45039.7,45099.64,45057.645,45188.73,45265.816,45076.613,45246.52,44834.25
10,44088.78,44063.33,44309.914,44293.83,45029.332,44750.09,44729.574,44785.85,44896.39,44790.74,44628.42,44638.062,45123.484,44845.76,44976.938,44760.1,44818.855,44937.742,45000.684,44706.973,44664.734,44991.945,45045.8,45019.992,45099.082,45039.61,45172.965,45254.68,45232.863,45214.855,44830.383
11,44128.133,44096.336,44339.355,44320.55,45057.523,44779.04,44762.49,44817.92,44929.48,44825.7,44664.477,44675.31,45199.633,44911.594,45012.074,44806.707,44857.824,44977.992,45043.09,44751.254,44719.617,45044.47,45104.59,45067.625,45147.68,45089.055,45225.805,45326.24,45292.62,45265.246,44874.64
12,44198.32,44155.113,44390.31,44366.973,45106.43,44829.047,44819.38,44874.242,44987.83,44887.293,44728.496,44742.336,45280.598,44975.39,45072.582,44872.31,44924.406,45046.86,45115.332,44824.934,44796.824,45122.14,45186.84,45146.09,45231.195,45172.6,45313.48,45417.863,45383.195,45352.58,44944.04
