,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
0,0.82190907,0.8215324,0.82571405,0.8256855,0.83914804,0.83404016,0.83150125,0.8319199,0.8336528,0.83099693,0.8269974,0.8256044,0.8317799,0.82713485,0.8290992,0.8254816,0.82627153,0.8269,0.8300544,0.82153994,0.8233725,0.8262223,0.82635874,0.8271853,0.8251249,0.82790434,0.8304199,0.82973725,0.8237948,0.8326952,0.82799256
1,0.8171433,0.8175443,0.82247436,0.8226596,0.83575827,0.830698,0.8286825,0.82933617,0.8310724,0.82927454,0.8254227,0.82438385,0.83005637,0.82637215,0.82926404,0.8255503,0.8271029,0.8282176,0.83167815,0.8235194,0.825598,0.8286415,0.8291704,0.8299728,0.82831657,0.8311651,0.83383363,0.8332362,0.827584,0.8348737,0.8279534
2,0.81274015,0.8138502,0.81944066,0.81899214,0.8320251,0.8272762,0.82529426,0.82663095,0.8282609,0.82704914,0.82336986,0.822201,0.82874846,0.8253325,0.8281815,0.82462716,0.8260124,0.8277848,0.82924354,0.8232517,0.8227395,0.828302,0.8287717,0.82867813,0.8289945,0.8287983,0.83069384,0.83110017,0.8282751,0.8312993,0.8259322
3,0.8085235,0.8098937,0.8161138,0.8148153,0.8279185,0.82277703,0.8208444,0.82275534,0.8244972,0.8232008,0.81926715,0.8184768,0.8249572,0.82144016,0.8242222,0.82142115,0.82205606,0.8239211,0.82520926,0.8198379,0.8190619,0.8240825,0.82516456,0.82463187,0.82485676,0.8245405,0.82647055,0.8274096,0.8233961,0.8269347,0.82195663
4,0.80976677,0.81092376,0.8170465,0.81610656,0.8292778,0.8240085,0.822765,0.8247297,0.826529,0.8251747,0.8214035,0.8208906,0.82743335,0.8236698,0.8274818,0.8227663,0.82357824,0.8266965,0.82687104,0.8214439,0.8205731,0.8261124,0.82660735,0.8264071,0.82726544,0.8263984,0.8282656,0.8289183,0.8288858,0.82867336,0.823889
5,0.8117483,0.81259936,0.81866103,0.8178109,0.8311308,0.8257672,0.8263341,0.8282273,0.8301291,0.8286135,0.82518107,0.8247378,0.83278966,0.82693565,0.83003944,0.82600355,0.8266714,0.82956946,0.83021927,0.8250546,0.82393754,0.8296518,0.8307475,0.8293736,0.8313969,0.8293359,0.8318424,0.8337508,0.8329406,0.8320267,0.8271076
6,0.8140939,0.81457293,0.8202511,0.81938446,0.8328105,0.8276347,0.8267106,0.8285607,0.83041835,0.82890683,0.82531524,0.8251642,0.833807,0.82909155,0.8316554,0.82761025,0.8282471,0.83094454,0.8316315,0.82629734,0.82544553,0.8311558,0.83213043,0.83125216,0.83260053,0.83138275,0.8336132,0.8355424,0.8345866,0.83403766,0.82849514
7,0.8166645,0.81669766,0.82198197,0.82119656,0.83483076,0.82931304,0.8283281,0.8299781,0.8319048,0.83013225,0.8266138,0.8267353,0.8349706,0.8308979,0.83310914,0.829613,0.83027565,0.83304286,0.83359563,0.82844967,0.8275801,0.83345497,0.8343655,0.8336265,0.8350027,0.83380604,0.8361116,0.83771896,0.83614457,0.83676916,0.83043045
8,0.82042044,0.8199258,0.82467777,0.8241962,0.837997,0.8326274,0.83142126,0.8327095,0.8347256,0.8326783,0.8292507,0.82938963,0.83761215,0.83356714,0.8355763,0.8326838,0.83372855,0.8358706,0.8371215,0.83160895,0.83074164,0.8367516,0.8377074,0.8371468,0.83857363,0.8374127,0.83982813,0.8413047,0.83834183,0.84075475,0.8335451
9,0.82319254,0.8225593,0.8269903,0.8267255,0.8403184,0.8351693,0.83430946,0.83495903,0.8369795,0.8347435,0.83183086,0.83155894,0.8402369,0.835811,0.8376786,0.83497524,0.83610266,0.83779454,0.8394716,0.8339411,0.8331696,0.8392732,0.8402327,0.8398236,0.84094125,0.8401582,0.84260243,0.8440398,0.8405119,0.84368,0.83599263
