,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
797,49894.89,50268.977,48939.04,51716.16,46513.09,50042.402,52273.223,49398.355,49535.543,50479.49,51857.41,52810.35,46523.12,52258.48,50236.71,47132.18,47485.465,49984.527,48702.457,51772.4,50826.234,51751.668,51366.41,51264.293,49492.895,50228.89,48418.793,51700.9,51433.19,51864.48,50205.74
798,49988.59,50384.87,48994.906,51861.867,46512.75,50130.723,52362.773,49493.24,49587.86,50577.34,51993.797,52905.637,46523.12,52301.14,50322.215,47163.676,47528.816,50041.992,48739.816,51931.21,50941.8,51905.18,51507.91,51402.406,49590.188,50302.863,48492.746,51850.992,51550.8,52022.867,50297.133
799,50091.617,50513.277,49056.816,52026.996,46512.492,50229.844,52462.793,49598.754,49646.37,50684.812,52149.527,53011.047,46523.12,52347.734,50417.234,47198.137,47576.71,50106.656,48780.79,52108.68,51072.19,52073.594,51663.74,51556.258,49697.676,50385.133,48574.785,52017.355,51680.57,52200.094,50398.824
800,50177.152,50627.25,49111.79,52200.715,46513.184,50327.168,52557.59,49695.293,49702.336,50773.145,52321.824,53103.34,46523.12,52384.03,50503.664,47225.42,47618.24,50171.42,48814.066,52277.26,51205.188,52210.574,51794.926,51698.805,49790.715,50460.348,48648.3,52160.242,51791.613,52370.13,50491.96
801,50303.42,50773.92,49182.46,52349.812,46511.56,50426.793,52663.094,49811.617,49763.297,50906.156,52450.133,53225.582,46523.12,52444.598,50609.16,47269.57,47674.38,50234.566,48865.367,52463.86,51329.0,52421.094,51983.254,51865.805,49916.918,50551.098,48740.992,52335.383,51945.824,52554.02,50603.2
802,50404.96,50912.867,49249.492,52574.25,46512.83,50549.805,52781.47,49930.66,49833.41,51010.566,52676.06,53337.516,46523.12,52486.5,50715.504,47301.305,47724.55,50316.95,48904.492,52674.555,51499.188,52582.293,52139.895,52042.395,50029.25,50643.832,48830.95,52491.676,52079.3,52767.26,50717.562
803,50461.566,50995.375,49289.312,52724.48,46514.152,50628.676,52855.52,50003.156,49877.566,51068.16,52831.48,53403.188,46523.12,52508.223,50779.96,47318.09,47753.73,50370.46,48925.793,52806.58,51611.023,52670.223,52228.465,52150.992,50094.49,50700.277,48884.805,52582.52,52155.98,52901.84,50787.31
804,50418.566,50967.668,49276.047,52784.395,46515.543,50640.18,52855.113,49990.543,49879.14,51020.17,52917.746,53375.996,46523.12,52480.4,50766.816,47299.066,47739.94,50382.42,48906.08,52807.254,51643.63,52589.984,52169.832,52138.902,50063.008,50690.3,48869.58,52539.24,52113.492,52908.434,50775.75
805,50345.08,50877.344,49232.508,52672.94,46515.543,50572.07,52785.785,49916.824,49838.684,50943.363,52814.098,53301.633,46523.12,52446.758,50700.34,47274.26,47706.074,50338.207,48876.72,52684.336,51554.9,52469.37,52058.992,52031.72,49986.992,50632.824,48811.992,52433.66,52021.508,52785.98,50705.125
806,50297.625,50808.95,49199.504,52550.84,46515.543,50507.52,52724.945,49856.992,49802.44,50894.984,52688.31,53247.086,46523.12,52428.297,50647.09,47260.047,47681.8,50294.504,48858.78,52575.89,51463.734,52395.363,51984.938,51942.234,49932.707,50586.23,48767.41,52358.074,51957.574,52675.562,50647.61
