,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,6294.35,6289.165,6290.7563,6267.8003,6301.9307,6318.915,6280.004,6291.7983,6330.634,6252.2524,6292.3394,6290.8896,6274.7393,6330.8613,6294.0234,6298.391,6300.7153,6313.0713,6294.899,6300.03,6262.6313,6355.5527,6196.143,6197.2324,6320.497,6305.5947,6321.8667,6304.877,6283.915,6304.444,6292.0103
2021-11-25,6282.961,6279.671,6282.154,6259.7485,6290.264,6316.61,6280.214,6279.2427,6325.5073,6246.664,6284.8223,6277.541,6268.2983,6323.0938,6289.366,6287.681,6300.4907,6307.9033,6294.9653,6289.642,6260.3276,6345.7026,6187.048,6183.415,6306.8096,6301.038,6311.6255,6298.6636,6281.4746,6293.1763,6284.537
2021-11-26,6291.8794,6289.603,6292.9146,6270.589,6299.068,6331.473,6296.696,6287.487,6338.3525,6258.9023,6296.498,6285.1104,6280.195,6334.795,6302.497,6297.18,6316.6396,6320.913,6310.847,6299.2744,6274.7646,6355.808,6196.3037,6189.761,6314.457,6314.384,6321.0264,6310.95,6296.1934,6302.1367,6295.89
2021-11-27,6311.724,6309.42,6313.1816,6290.5654,6318.96,6352.6133,6318.1553,6307.282,6358.8647,6278.949,6317.1885,6304.589,6300.405,6355.697,6323.0483,6317.3013,6337.975,6341.671,6331.624,6319.3384,6295.3433,6376.108,6214.9497,6207.971,6334.2812,6335.1436,6340.683,6331.5073,6317.2383,6321.95,6316.1235
2021-11-28,6332.171,6329.296,6333.1875,6310.1626,6339.528,6371.5576,6336.65,6328.023,6378.08,6297.8955,6337.2476,6325.2837,6319.7373,6376.012,6342.1616,6337.79,6356.4873,6361.1104,6349.5703,6339.685,6313.801,6396.5034,6233.6973,6227.7065,6355.3735,6354.408,6360.636,6351.0757,6336.1396,6342.335,6335.777
2021-11-29,6348.379,6344.9766,6348.928,6325.562,6355.841,6386.1895,6350.8203,6344.5107,6393.0522,6312.6826,6352.9775,6341.773,6334.8604,6391.95,6357.033,6353.9985,6370.692,6376.2554,6363.3257,6355.769,6328.06,6412.6,6248.496,6243.4805,6372.182,6369.391,6376.411,6366.3687,6350.7446,6358.4893,6351.194
2021-11-30,6348.173,6341.4395,6343.349,6319.305,6356.0776,6368.5503,6328.3916,6346.4233,6381.058,6301.9863,6345.04,6345.4165,6325.509,6384.2373,6344.1675,6352.3057,6349.161,6364.0835,6341.8555,6353.563,6310.9937,6409.198,6245.4565,6249.2593,6376.0728,6356.1313,6374.3643,6356.256,6333.441,6358.1,6343.645
2021-12-01,6312.9526,6305.3896,6305.963,6282.2534,6320.8906,6326.4297,6284.438,6311.8506,6341.542,6263.6367,6306.28,6311.8647,6287.2266,6345.1606,6304.3525,6316.2046,6305.6665,6324.0845,6299.3657,6317.427,6270.0195,6372.3286,6211.613,6218.518,6341.973,6315.8423,6338.991,6317.1562,6291.577,6322.8867,6305.796
2021-12-02,6265.1606,6257.859,6257.4697,6234.498,6272.9595,6276.5347,6234.0527,6264.055,6292.831,6215.9707,6256.904,6264.733,6239.0913,6295.2607,6255.599,6267.836,6255.528,6274.793,6250.568,6269.2246,6221.4443,6323.629,6166.875,6174.3154,6293.9946,6266.6094,6291.76,6268.2266,6241.8906,6275.183,6257.495
2021-12-03,6215.594,6209.16,6208.1357,6186.0522,6223.17,6227.9023,6185.7656,6214.1064,6244.4175,6168.411,6207.0747,6215.163,6190.803,6244.8486,6207.2974,6217.936,6207.3374,6225.8086,6203.759,6219.5903,6174.079,6273.6904,6120.985,6127.4043,6243.502,6217.8804,6243.1055,6219.251,6193.414,6225.74,6208.712
2021-12-04,6167.409,6161.306,6159.354,6138.0283,6174.834,6177.956,6135.4214,6165.8726,6195.548,6120.568,6157.451,6167.5635,6142.459,6194.692,6158.4023,6169.199,6157.2246,6176.357,6154.9976,6171.0317,6125.4507,6224.6553,6075.937,6082.7144,6195.0435,6168.51,6195.5234,6170.122,6143.6714,6177.6455,6160.1655
2021-12-05,6117.5703,6112.222,6109.559,6089.101,6124.7866,6128.4385,6086.0815,6115.724,6146.4507,6072.3745,6107.075,6117.859,6093.581,6143.737,6109.387,6118.9736,6108.014,6126.68,6107.1772,6121.054,6077.227,6174.3306,6029.694,6035.758,6144.4194,6119.0493,6146.536,6120.526,6094.3223,6127.9253,6110.8545
2021-12-06,6070.7,6066.3213,6063.1494,6043.5625,6077.6836,6083.2354,6041.421,6068.3965,6101.2007,6027.8726,6060.304,6070.8115,6048.33,6096.404,6064.282,6071.8545,6063.404,6080.8984,6063.871,6074.209,6033.197,6127.253,5986.4277,5991.1294,6096.4883,6073.558,6100.6104,6074.659,6049.252,6081.1787,6065.0547
2021-12-07,6039.1006,6037.9946,6036.0806,6017.616,6045.58,6066.4536,6028.767,6034.8228,6079.9546,6006.116,6034.8433,6036.07,6025.0103,6070.3853,6043.819,6041.254,6050.08,6059.432,6051.3823,6044.197,6016.76,6098.0215,5959.495,5956.349,6060.953,6053.142,6071.0967,6051.5186,6032.297,6049.808,6039.947
