,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,1243.1361,1246.7908,1300.4408,1427.5161,1238.4683,1384.0067,827.2597,1410.6029,675.1673,895.4449,975.0664,1150.6442,939.0027,1133.4619,1396.604,1348.257,1321.3612,1110.5176,1149.7155,882.8591,597.5191,1160.0155,1028.8953,799.45355,1618.7273,1739.3508,1157.168,1255.335,1391.5415,1079.4602,1162.7931
2000-01-10,1362.4666,1089.0468,1318.4948,1295.164,1053.6421,937.53516,1074.8544,1206.1893,1161.3252,1079.8276,1135.4591,1206.9427,1245.688,1293.2665,1149.8169,978.2551,1123.1451,1222.7698,1253.2756,1052.7783,1036.5295,1216.5277,1373.5222,1194.5189,1129.3586,1197.5966,1265.7664,1091.8181,1244.4277,1264.7118,1175.1573
2000-01-11,1151.5809,1100.9193,1177.3461,1188.1337,1130.1708,1134.711,1105.6504,1080.5269,1125.3478,1140.195,1140.9172,1127.8474,1134.4274,1139.1698,1152.4862,1145.4509,1096.0706,1121.5907,1151.572,1101.3033,1139.5454,1126.5721,1046.2572,1095.2826,1115.4934,1073.9506,1094.0176,1096.4059,1161.3132,1074.9087,1122.3054
2000-01-12,1159.7744,1106.1244,1173.6476,1192.3556,1130.5647,1141.3499,1112.1207,1088.8519,1127.8411,1145.3431,1144.1646,1130.9207,1135.1761,1150.0808,1155.0981,1147.6555,1097.64,1123.1267,1152.0773,1107.0945,1142.9469,1134.977,1051.2637,1100.3875,1118.6573,1080.0381,1097.0659,1104.7107,1168.0709,1082.131,1126.7086
2000-01-13,1174.6454,1120.9198,1186.7798,1205.0538,1140.6251,1155.2091,1124.5325,1102.7013,1141.967,1157.8346,1158.5061,1143.9825,1149.4185,1163.7339,1167.53,1159.0743,1109.7211,1136.0542,1165.336,1120.5801,1156.7462,1149.432,1065.5148,1113.5176,1131.551,1093.8826,1109.4039,1119.132,1185.0984,1096.7678,1140.1752
2000-01-14,1186.3584,1133.1749,1200.1486,1215.6215,1150.6755,1166.3336,1134.607,1113.4769,1154.6421,1168.0294,1170.7479,1155.1084,1162.0309,1173.812,1178.8357,1168.8558,1120.2681,1147.6034,1177.3715,1131.5393,1168.469,1160.7366,1077.365,1124.2955,1142.5073,1105.105,1120.2194,1131.0002,1199.0476,1108.5906,1151.5526
2000-01-15,1191.6554,1139.1692,1207.8713,1220.8256,1156.1846,1171.521,1139.3876,1118.2504,1161.102,1172.9075,1176.9949,1160.7698,1168.7782,1177.8618,1184.559,1173.7946,1126.087,1153.586,1183.7434,1136.7493,1174.4125,1165.7878,1083.7931,1129.4977,1148.0642,1110.4188,1126.1145,1136.7504,1206.3114,1114.0518,1157.2333
2000-01-16,1495.5284,1199.0626,1229.6199,1182.646,1463.8799,1226.6969,1210.322,1117.7275,1143.6266,1250.8964,1116.355,1473.2207,1144.2668,1041.5232,1365.485,1021.2821,955.0073,1001.14954,1096.5803,1227.2559,1006.31287,998.1527,1104.5472,1541.4382,1234.5612,892.1374,1247.1779,1311.3633,1192.6688,1023.62866,1183.804
2000-01-17,1368.9407,1167.7544,1296.7971,1116.9268,1362.0983,1290.1835,1099.4368,1264.0867,1227.8362,921.18994,1136.4778,1151.816,856.8515,1197.6635,1202.5096,1163.0056,1229.3995,1108.1666,1215.7834,1039.624,991.6755,1023.01324,1084.1826,1219.3624,1470.2865,1062.519,1001.947,1078.9535,1122.5756,974.42444,1148.183
2000-01-18,1161.2241,1110.1748,1184.2869,1196.048,1135.3115,1143.5917,1114.6183,1089.6033,1133.6228,1148.0992,1149.6738,1135.8364,1142.6176,1148.4407,1159.9281,1151.8645,1103.3075,1128.9424,1158.8751,1109.8646,1148.004,1136.0116,1055.1713,1103.5542,1123.3951,1082.7566,1101.5813,1106.1093,1172.0566,1084.2087,1130.6259
