,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,924.2255,1078.523,1401.1298,1152.977,1388.0398,1094.2365,979.4589,1103.4905,1113.7018,1303.9951,956.2317,1387.0127,1028.6044,1298.9291,1252.7491,1074.6332,1448.5264,1461.9927,766.1323,1052.8291,951.13794,1175.4111,1123.8683,575.26953,1214.9597,1223.0427,1261.332,759.4227,1186.8983,1088.9491,1127.5902
2000-01-10,1221.1038,1066.8495,1083.8396,1119.8673,1094.8496,1420.4325,1053.4724,1137.7653,1193.316,932.4544,915.40967,1218.2994,1165.3108,992.5058,786.72144,973.3548,1437.0876,1337.1503,1181.355,979.8506,1272.29,1268.9746,1227.1398,935.5841,951.9458,1298.3634,1149.7592,1228.3807,948.3255,1205.3687,1126.5709
2000-01-11,1184.6307,1196.0563,1113.9341,1189.864,1236.7067,1221.6783,1164.1715,1150.6064,1193.8678,1136.2397,1230.6176,1148.0266,1143.7341,1220.3959,1111.316,1167.6603,1203.1256,1151.1595,1169.1339,1078.6224,1144.2448,1171.8048,1202.5403,1146.4462,1110.0342,1208.3562,1201.2385,1166.2869,1124.553,1188.9392,1169.1996
2000-01-12,1181.6188,1189.3131,1117.9747,1192.3917,1238.5364,1217.3334,1168.7974,1156.3752,1188.8021,1143.2505,1227.786,1152.625,1147.2239,1219.5051,1111.6299,1173.7015,1204.3013,1156.3423,1176.9749,1079.0525,1152.4606,1175.2686,1216.9098,1144.3479,1105.1466,1215.4755,1202.7075,1184.6198,1120.9644,1193.698,1171.8379
2000-01-13,1194.926,1206.4861,1135.2944,1207.1547,1251.9911,1231.3057,1183.8417,1170.2118,1205.6713,1158.0403,1244.209,1169.1396,1162.6646,1234.1022,1123.9158,1191.2552,1217.6329,1172.9418,1191.9053,1092.7255,1166.1798,1191.495,1230.7056,1156.7756,1121.353,1231.7407,1217.4694,1202.7672,1133.8138,1207.9572,1186.8556
2000-01-14,1207.4983,1223.2861,1150.0537,1220.0905,1263.7205,1244.745,1196.4373,1181.4622,1221.8599,1169.9264,1259.5464,1183.0629,1175.8452,1247.407,1134.8995,1205.8218,1229.3838,1186.8232,1203.9631,1104.9333,1176.8605,1205.3877,1240.2157,1168.373,1136.9103,1244.9316,1230.4468,1215.3915,1146.0907,1219.8196,1199.8398
2000-01-15,1214.7562,1233.3458,1157.5688,1226.8081,1269.8762,1252.6526,1202.6942,1186.8147,1231.3633,1175.48,1268.2888,1190.0479,1182.5723,1254.7828,1140.8496,1212.9661,1235.6378,1193.7079,1209.4016,1111.5354,1181.9233,1212.5065,1243.4965,1174.9778,1146.0452,1251.1825,1237.3309,1219.8451,1153.2639,1225.6592,1206.5795
2000-01-16,1350.7194,914.24384,1116.2509,1453.5168,1196.7603,1123.5186,1087.5941,1094.864,1136.5566,958.6106,1190.4681,1112.575,1071.124,698.87415,1337.666,942.5013,862.98816,1190.6918,1044.0039,738.65204,1170.7263,1351.948,1137.3096,1224.6772,1400.7544,1473.2224,917.6863,1236.4054,807.7176,1517.4701,1128.6698
2000-01-17,1157.7666,1048.797,1144.5157,1110.3865,1197.3722,1302.5975,1394.6538,1069.9727,1300.9082,1204.9203,1294.6029,1107.2941,1067.7905,1040.9889,1092.2305,975.6687,1104.0044,1094.5497,1480.3,1027.6685,989.266,1369.4855,1196.0305,1098.2178,1017.2041,1224.8491,1121.6086,1068.9747,988.98615,1460.4166,1158.4009
2000-01-18,1192.0353,1205.2708,1124.5231,1198.6755,1244.7761,1229.3118,1173.5029,1159.2434,1203.1052,1145.7078,1239.8616,1158.2128,1153.161,1228.8065,1118.5222,1178.6248,1211.0453,1161.465,1178.8353,1086.6519,1153.2322,1181.687,1212.3081,1153.4467,1118.9062,1218.6982,1210.0276,1179.0679,1131.6215,1197.8282,1178.272
2000-01-19,926.4489,1080.3422,1406.987,1153.2439,1387.6259,1093.6453,982.9284,1107.9669,1112.84,1306.6174,954.2721,1394.361,1027.7743,1301.1064,1254.1545,1082.5518,1457.8038,1470.2975,770.83215,1057.3265,958.1488,1176.8466,1135.0747,574.0965,1214.6766,1229.1487,1266.1248,767.2863,1185.2542,1093.3723,1130.9719
2000-01-20,1219.3026,1064.7968,1078.0009,1110.4204,1091.49,1416.5181,1049.8033,1131.4202,1189.3289,924.90625,907.594,1212.8322,1159.8645,989.7768,776.0052,969.2938,1435.4752,1331.9084,1177.4011,978.94775,1266.7233,1264.259,1213.439,930.13184,947.9642,1293.998,1146.227,1218.2272,945.3033,1200.833,1121.4064
2000-01-21,1184.5807,1194.6078,1117.7256,1192.5852,1239.0178,1221.0527,1168.0056,1154.806,1193.2001,1141.2023,1230.9847,1152.0033,1147.0599,1221.51,1112.769,1172.4459,1205.107,1155.4283,1174.6334,1080.2786,1149.6779,1175.2012,1210.9628,1146.7456,1109.3824,1213.5277,1203.5133,1177.0905,1124.175,1192.7548,1172.0679
