,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,6322.855,6302.255,6279.226,6294.659,6298.582,6321.4385,6286.938,6304.673,6318.514,6315.673,6278.0693,6312.682,6291.6694,6326.556,6291.3545,6291.5933,6344.1533,6298.2544,6300.3345,6297.4766,6304.075,6330.5225,6292.8135,6314.63,6288.424,6311.8994,6288.3364,6310.032,6301.0254,6297.446,6303.873
2021-11-25,6315.434,6295.4204,6274.8384,6288.5566,6291.478,6307.438,6284.4214,6300.2476,6310.7085,6304.879,6270.3125,6305.8843,6288.0835,6314.714,6289.7505,6285.899,6340.84,6294.1064,6297.3003,6284.4673,6298.1265,6324.5537,6288.0273,6309.441,6283.645,6305.905,6276.6265,6304.0015,6292.83,6293.291,6297.3745
2021-11-26,6328.097,6307.074,6288.234,6301.9307,6303.1987,6315.199,6299.3706,6313.899,6322.7925,6314.1284,6281.6553,6317.9883,6302.0103,6323.474,6304.6855,6298.624,6355.6226,6308.3657,6311.8325,6292.6396,6310.813,6337.349,6301.1436,6322.416,6296.8423,6318.5815,6285.471,6316.711,6304.376,6306.951,6309.7163
2021-11-27,6350.0117,6327.2466,6308.9395,6323.8364,6323.651,6335.3965,6320.7734,6334.968,6344.2236,6333.983,6302.082,6338.725,6322.838,6343.4375,6325.4175,6319.385,6377.3784,6330.0303,6333.0576,6312.667,6331.704,6358.399,6321.7676,6343.144,6317.5674,6339.493,6305.451,6337.693,6325.3823,6327.837,6330.5493
2021-11-28,6371.102,6346.662,6328.1084,6344.539,6343.3853,6356.9014,6340.006,6354.461,6365.007,6354.266,6321.982,6358.617,6341.8804,6364.117,6343.806,6338.9795,6397.146,6349.961,6352.2856,6333.7393,6351.4854,6378.322,6340.9814,6362.563,6336.8657,6359.602,6326.1064,6357.5757,6345.91,6347.0947,6350.4487
2021-11-29,6387.6187,6361.8667,6343.011,6360.6,6358.847,6374.0425,6354.869,6369.6133,6381.306,6370.3203,6337.6006,6374.185,6356.649,6380.525,6357.981,6354.269,6412.4556,6365.4355,6367.1694,6350.5015,6366.9287,6393.875,6355.9355,6377.695,6351.8853,6375.5264,6342.489,6373.101,6362.0317,6362.0527,6366.013
2021-11-30,6378.251,6353.25,6329.51,6348.8125,6350.4194,6378.105,6337.3335,6355.805,6373.117,6369.0503,6330.359,6364.9243,6341.6,6381.0015,6339.5176,6343.0264,6395.9697,6350.5215,6350.7324,6352.982,6356.0015,6382.8228,6343.2236,6365.5903,6339.0566,6365.005,6342.7144,6362.228,6354.9707,6347.953,6356.1294
2021-12-01,6336.9434,6315.2275,6289.2524,6307.0957,6311.9517,6343.3896,6294.7744,6314.825,6332.978,6333.533,6292.251,6325.732,6300.718,6345.7534,6297.9023,6303.266,6353.0635,6308.1895,6308.778,6318.1484,6316.0947,6342.6025,6303.32,6325.6626,6298.9434,6324.296,6307.371,6322.1763,6315.8833,6307.2188,6316.578
2021-12-02,6284.701,6267.137,6240.164,6255.01,6263.1772,6294.501,6244.2397,6264.881,6281.8306,6285.7817,6243.472,6276.3213,6251.4253,6297.6377,6249.038,6253.912,6301.619,6256.871,6258.608,6269.762,6266.407,6292.543,6254.382,6276.4395,6249.7695,6274.242,6259.2314,6272.2686,6265.6963,6257.732,6266.9595
2021-12-03,6232.1523,6218.765,6191.6284,6203.0415,6214.0615,6243.0337,6194.925,6215.512,6230.2095,6236.448,6194.1387,6226.6924,6202.9546,6247.614,6201.6226,6204.6963,6251.172,6206.272,6209.4746,6219.097,6216.79,6242.5605,6205.861,6227.5137,6201.024,6224.5596,6209.227,6222.413,6214.8687,6208.889,6217.241
2021-12-04,6179.668,6170.4517,6142.4087,6150.7627,6165.054,6193.6533,6144.3315,6165.4365,6178.8057,6188.325,6145.102,6177.061,6153.562,6199.0884,6152.732,6155.162,6199.6387,6154.833,6159.2256,6170.2563,6166.914,6192.3115,6156.777,6178.13,6151.7046,6174.6294,6160.6816,6172.3135,6164.408,6159.2803,6167.4233
2021-12-05,6126.5063,6121.515,6093.135,6098.1016,6115.377,6142.0557,6094.131,6115.314,6126.6187,6138.683,6095.248,6126.8394,6104.2993,6148.814,6104.4087,6105.285,6148.3374,6103.4355,6109.247,6119.4097,6116.645,6141.6714,6107.5464,6128.513,6102.2446,6124.2954,6110.4185,6121.806,6113.0596,6109.6772,6117.0884
2021-12-06,6077.228,6076.152,6047.837,6049.475,6069.302,6093.195,6048.2773,6069.242,6078.1636,6092.0796,6048.914,6080.318,6059.132,6101.48,6060.393,6059.242,6101.366,6056.2495,6063.5156,6071.3794,6070.2085,6094.895,6062.227,6082.7837,6056.7188,6077.794,6063.114,6075.1416,6065.3047,6064.116,6070.508
2021-12-07,6051.19,6052.1772,6027.742,6025.706,6044.697,6056.895,6030.9736,6048.8633,6051.7583,6061.497,6023.2017,6056.065,6040.341,6069.03,6045.0635,6036.87,6082.4805,6035.9854,6045.432,6036.8853,6047.321,6071.876,6041.4985,6061.2993,6035.941,6054.814,6030.881,6052.0566,6038.4873,6044.313,6046.711
2021-12-08,6070.1562,6069.63,6050.469,6047.074,6062.072,6061.253,6058.166,6072.06,6069.3013,6071.2207,6039.341,6074.422,6064.7188,6076.9946,6072.9297,6057.2856,6108.7373,6060.5786,6071.413,6042.807,6067.4653,6092.218,6063.375,6082.5923,6057.9805,6074.9033,6039.113,6072.1836,6054.685,6067.734,6065.763
2021-12-09,6103.74,6100.548,6079.7446,6079.4146,6093.581,6098.9077,6086.539,6101.812,6102.658,6105.457,6071.4287,6105.991,6093.392,6112.344,6099.6333,6087.852,6138.284,6090.797,6100.0537,6079.328,6098.4277,6123.3916,6092.924,6112.6445,6087.6455,6105.934,6074.3584,6103.3335,6087.8887,6097.011,6097.1694
2021-12-10,6128.6094,6123.4404,6103.0713,6104.1885,6116.8022,6122.292,6110.5205,6125.5444,6127.014,6128.252,6094.6626,6129.509,6116.8027,6135.3286,6122.809,6111.3257,6162.7095,6115.177,6123.871,6102.459,6122.063,6147.2036,6116.1855,6136.0483,6111.0186,6129.5947,6097.352,6127.074,6111.7964,6120.523,6120.775
2021-12-11,6155.516,6148.2075,6128.3604,6131.016,6141.921,6147.4526,6136.5596,6151.274,6153.354,6152.834,6119.782,6154.957,6142.1987,6160.095,6147.9897,6136.748,6189.215,6141.6157,6149.721,6127.363,6147.656,6172.989,6141.396,6161.404,6136.3506,6155.2153,6122.132,6152.7803,6137.641,6146.017,6146.325
2021-12-12,6181.666,6172.2803,6152.316,6156.779,6166.377,6173.606,6160.743,6175.6377,6179.085,6177.693,6144.3975,6179.6377,6166.058,6185.3735,6171.176,6161.1387,6214.0137,6166.555,6173.858,6153.047,6172.2627,6197.7744,6165.3755,6185.6133,6160.439,6179.8574,6147.39,6177.51,6163.017,6170.103,6171.0264
