,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,1136.6631,909.0537,1267.5973,1060.1276,635.09045,1393.144,1323.9974,1262.5387,1194.6624,964.7167,836.73126,1317.8883,1146.2372,1153.717,894.18713,613.93207,1177.9672,1290.4426,1070.1997,967.4532,1229.1606,1236.4939,1475.8823,1354.941,733.75604,1062.4882,548.6438,1379.7191,1157.9498,1062.3337,1095.2572
2000-01-10,988.47217,1016.90753,1184.4144,1079.1495,813.2402,1102.6718,1051.084,1032.3226,1117.734,1029.8192,1208.3914,1238.9705,1243.4329,1211.1411,999.2289,943.3448,1400.4496,1359.2859,888.23145,1211.6548,1184.6274,1381.6793,1402.2882,1349.8824,1091.7034,994.7128,1024.2642,1285.9156,1063.0035,1357.188,1141.8403
2000-01-11,1240.6946,1171.5688,1156.3229,1015.06555,1186.0792,1196.4081,1270.7761,1131.9546,1157.03,1111.9124,985.7512,1292.9691,1173.5056,1112.1862,1076.9485,1080.9175,1176.9845,1148.3792,1181.5457,1102.9695,1168.0303,1208.4995,1194.538,1279.9397,1135.1128,1124.1505,1127.2156,1284.2296,1194.9381,1095.118,1159.3914
2000-01-12,1200.8793,1160.3684,1148.7188,1006.5615,1185.9,1177.5791,1262.653,1110.8688,1162.2417,1111.4532,985.7849,1285.293,1168.0635,1112.2798,1075.7338,1064.8428,1164.869,1139.5182,1173.4462,1106.1063,1162.0365,1211.8351,1197.863,1279.5188,1133.7576,1121.3837,1109.3466,1282.6136,1177.5345,1094.6279,1152.4558
2000-01-13,1212.4957,1174.6157,1163.6768,1021.1602,1198.9098,1189.9747,1277.0502,1125.0981,1176.4912,1126.4784,1001.1842,1300.1176,1184.5763,1126.4082,1090.0769,1077.812,1178.7205,1152.8871,1187.8813,1120.5618,1175.4225,1225.3043,1211.9923,1296.9043,1148.4454,1135.3131,1124.3246,1296.8197,1191.6967,1109.2219,1166.7207
2000-01-14,1230.9625,1189.6831,1178.6587,1036.0004,1210.6445,1204.9138,1291.6326,1142.141,1188.2543,1140.0813,1015.0244,1314.9943,1200.5201,1139.0936,1103.2181,1092.7122,1193.6165,1166.6935,1202.4926,1132.628,1188.6666,1236.7435,1224.0271,1312.6218,1161.9253,1148.3956,1141.3925,1309.9191,1207.9373,1122.4435,1180.9347
2000-01-15,1246.32,1199.3889,1187.8402,1045.2241,1217.0693,1215.5616,1300.6653,1154.2361,1193.9792,1147.5626,1022.56976,1324.128,1209.94,1146.0009,1110.5479,1102.9734,1203.3499,1175.4005,1211.5378,1138.19,1196.6864,1242.5408,1230.1508,1318.9769,1169.4584,1155.8993,1153.0745,1317.2793,1219.1062,1129.721,1189.5126
2000-01-16,1407.755,1082.8832,1098.6913,1001.52014,1767.6196,995.4797,1479.9584,1027.8273,1154.6614,1294.3077,1171.0159,1300.3743,1257.6703,1109.282,1293.0519,1203.1575,1204.5577,1034.82,1324.1575,1272.164,1157.8805,1213.3079,1178.0143,1363.4238,1282.2555,1217.6658,1058.1827,1221.6271,1180.1882,1162.0776,1217.186
2000-01-17,1463.2682,1308.9905,1130.4365,958.9653,1367.9225,1150.7023,1505.072,1233.3708,1188.2119,1196.8768,747.6251,1302.5516,1384.4861,1173.8804,1241.291,1036.9971,1034.6066,954.2187,1494.9615,1033.3986,1169.1414,1307.8499,1153.3467,1294.6859,1062.0138,1236.1218,830.09485,1220.6808,1216.6873,974.25385,1179.0903
2000-01-18,1242.7122,1178.5431,1164.1416,1022.5672,1193.6492,1201.3898,1278.2057,1137.7363,1165.9679,1120.6246,994.7409,1300.7015,1182.49,1120.4414,1085.1722,1086.5631,1183.6185,1155.1207,1188.9998,1111.5026,1175.1241,1216.7576,1203.1799,1290.0338,1143.521,1131.9475,1133.8185,1292.3257,1201.1207,1103.5752,1166.8765
