,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,6331.7646,6319.9243,6297.0103,6317.4937,6267.7847,6279.9185,6287.6255,6294.1895,6311.9526,6270.153,6288.004,6283.1514,6289.058,6255.1714,6305.1045,6325.0044,6289.4995,6283.8076,6320.8774,6291.7515,6286.933,6309.3413,6255.563,6311.989,6319.775,6299.9634,6323.8735,6188.9,6271.0996,6264.45,6291.372
2021-11-25,6327.237,6309.517,6285.3,6315.327,6262.631,6271.8667,6281.429,6295.827,6311.1914,6264.926,6286.0874,6275.389,6289.4604,6249.3784,6298.6724,6320.0474,6282.748,6281.898,6319.993,6285.325,6282.6567,6301.117,6248.4478,6307.4297,6316.1035,6293.237,6315.2954,6182.176,6258.46,6254.482,6285.7886
2021-11-26,6340.4277,6318.978,6293.7915,6330.467,6275.5024,6283.67,6293.8877,6313.145,6327.309,6278.2983,6301.5024,6286.755,6306.0522,6261.975,6311.144,6333.0347,6295.0806,6297.122,6335.546,6297.2793,6295.9966,6312.3486,6259.0444,6320.6606,6330.1475,6304.6924,6326.254,6193.3867,6266.884,6264.1113,6298.4824
2021-11-27,6360.9644,6338.8315,6313.307,6351.8677,6296.069,6304.909,6314.658,6334.681,6348.9873,6299.5737,6323.0845,6307.213,6327.519,6282.6387,6332.1016,6353.6133,6316.0815,6318.4497,6356.5723,6317.554,6316.5483,6332.9614,6278.0312,6341.274,6351.19,6324.5264,6346.762,6212.8984,6286.9756,6283.8716,6319.124
2021-11-28,6380.028,6359.0024,6333.5615,6370.9966,6315.338,6325.597,6334.405,6352.829,6367.9517,6319.4775,6342.2974,6327.1416,6345.9653,6302.178,6352.0786,6372.837,6336.19,6337.4414,6375.0073,6336.94,6335.5527,6353.1587,6296.501,6360.412,6370.444,6343.6167,6366.9707,6231.71,6307.996,6303.8345,6338.581
2021-11-29,6394.856,6374.953,6349.6367,6385.764,6330.353,6341.8345,6349.835,6366.6675,6382.527,6334.9824,6357.118,6342.7837,6360.0884,6317.429,6367.6953,6387.808,6351.921,6352.092,6389.183,6352.1035,6350.3228,6369.028,6310.9946,6375.2993,6385.3774,6358.5674,6382.8643,6246.447,6324.7026,6319.6045,6353.761
2021-11-30,6381.776,6372.997,6350.3384,6367.61,6318.352,6334.2793,6339.4717,6341.6304,6361.596,6322.383,6338.333,6335.518,6337.3115,6306.4624,6357.5596,6375.4463,6342.3047,6333.556,6369.1406,6342.6587,6336.7812,6362.4224,6304.094,6362.197,6370.26,6350.1064,6376.9937,6238.3135,6326.46,6316.9673,6342.4443
2021-12-01,6341.9287,6337.2993,6315.9443,6324.89,6278.7383,6294.6484,6299.928,6296.8535,6317.6514,6281.3545,6295.126,6297.3477,6293.2534,6266.948,6317.7456,6335.7144,6302.549,6290.866,6326.5874,6304.236,6296.7856,6324.1504,6268.627,6322.209,6328.978,6312.7256,6339.1016,6201.59,6291.3228,6281.255,6302.8784
2021-12-02,6293.2217,6289.5884,6268.8936,6274.398,6229.899,6243.928,6250.5,6246.4365,6266.6514,6230.8403,6244.2334,6248.4917,6242.8696,6217.812,6267.8535,6286.8657,6252.5195,6240.571,6277.107,6255.9478,6248.0693,6274.882,6223.2935,6273.321,6279.1714,6265.4424,6290.0435,6155.0635,6242.8228,6233.8105,6253.8184
2021-12-03,6245.0063,6240.4204,6219.936,6225.237,6181.3525,6192.6357,6201.0513,6198.583,6217.459,6180.664,6194.77,6199.083,6194.648,6168.7744,6217.8833,6238.375,6202.3145,6191.683,6229.3335,6207.5166,6199.9272,6224.9263,6177.476,6224.921,6230.1787,6217.8804,6240.175,6108.2275,6192.1704,6185.0396,6204.9214
